,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,267.07M,0.00,,-190.37M,1.159M,0.00,-189.34M,22.99M,23.16M,46.14M,46.14M,53.01M,27.90M,11.84M,,0.104M,33.25M,,25.14M,-195.56M,,,33.06M,-104.11M,112.62M,,-16.77M,,-16.77M,-176.44M,,,-193.21M,,102.67M,-7.675M,95.00M,9.541M,-24.80M,-15.26M,-35.72M,-35.72M,-25.34M,18.68M,,862.42M,-61.90M,36.49M,837.01M,,9.541M,603.50M,-508.50M,-24.80M,,AOR,
2020-09,92.35M,3.13M,,-35.25M,10.86M,1.947M,-18.25M,24.08M,23.49M,47.56M,47.56M,19.80M,162.24M,11.94M,,-28.80M,27.83M,,-47.18M,108.45M,,,56.43M,145.52M,432.37M,,-29.45M,0.00,-29.45M,-6.966M,0.00,,-36.41M,,-491.24M,0.00,-491.24M,8.442M,-51.43M,-42.99M,-46.44M,-46.44M,-0.139M,-580.81M,,1.025B,-184.85M,22.47M,862.42M,,8.442M,185.00M,-676.24M,-51.43M,,AOR,
2020-06,254.05M,-31.46M,,-131.35M,-1.924M,0.00,-164.78M,22.28M,23.14M,45.41M,45.41M,-10.97M,,12.37M,,7.304M,78.07M,,28.68M,12.29M,,,97.08M,216.12M,359.51M,,-27.48M,0.058M,-27.43M,-12.36M,0.00,,-27.43M,,-954.86M,0.00,-954.86M,9.873M,0.00,9.873M,-33.99M,-33.99M,-2.913M,-981.89M,,1.656B,-649.81M,18.74M,1.025B,,9.873M,63.90M,-1.019B,0.00,,AOR,
2020-03,-85.80M,-19.97M,,375.54M,0.95M,0.00,356.24M,22.57M,22.09M,44.66M,44.66M,-29.05M,,9.556M,,41.12M,-117.61M,,-4.625M,65.24M,,,-127.58M,-184.58M,152.15M,,-39.08M,0.038M,-39.04M,-279.60M,,,-330.99M,,1.701B,-200.00M,1.501B,12.72M,-285.82M,-273.10M,-37.91M,-37.91M,-2.215M,1.188B,,619.21M,1.009B,27.98M,1.656B,,12.72M,1.896B,-395.46M,-285.82M,,AOR,
2019-12,263.27M,-61.94M,,-105.32M,-0.715M,2.651M,-165.29M,22.15M,21.84M,44.00M,44.00M,102.49M,0.00,14.28M,,1.699M,-96.08M,,-4.152M,-271.47M,,,-25.93M,-397.62M,-137.19M,,-22.26M,,-22.26M,-12.00M,,,-34.26M,,210.54M,0.072M,210.62M,6.201M,0.00,6.201M,-25.62M,-25.62M,-24.33M,166.86M,,631.07M,-4.581M,-7.275M,619.21M,,6.201M,841.62M,-631.01M,0.00,,AOR,Restated
2019-09,149.79M,-17.41M,,80.28M,-1.152M,1.534M,67.48M,20.51M,22.75M,43.26M,43.26M,-158.53M,,21.80M,,-83.06M,-85.04M,,-19.12M,-212.16M,,,129.47M,-186.85M,-146.12M,,-29.31M,-0.123M,-29.43M,-0.166M,0.00,,-29.60M,,179.71M,-22.66M,157.05M,18.82M,-329.06M,-310.24M,-24.14M,-24.14M,-0.628M,-177.96M,,998.24M,-353.68M,-13.49M,631.07M,,18.82M,575.00M,-417.95M,-329.06M,,AOR,Restated
2019-06,531.06M,-908.09M,,-2.175M,-2.307M,0.00,-914.30M,25.85M,18.38M,44.23M,44.23M,83.60M,,18.42M,,11.23M,212.00M,,-41.73M,-28.88M,,,-80.71M,60.67M,-165.08M,,-45.19M,0.06M,-45.13M,2.218B,64.71M,,2.241B,,-2.094B,198.26M,-1.896B,20.20M,-36.18M,-15.98M,-25.87M,-25.87M,-5.87M,-1.944B,,850.64M,132.44M,15.16M,998.24M,,20.20M,758.29M,-2.654B,-36.18M,,AOR,Restated
2019-03,62.77M,0.00,,,-2.184M,-32.45M,-31.41M,23.49M,18.68M,42.17M,42.17M,-4.928M,,13.32M,,-23.78M,104.21M,,8.535M,86.54M,,,-87.96M,111.32M,169.47M,,-40.76M,7.035M,-33.72M,0.00,,,-36.66M,,172.41M,-3.899M,168.51M,18.36M,-346.64M,-328.27M,-27.79M,-27.79M,-5.546M,-193.09M,,913.90M,-60.28M,-2.979M,850.64M,,18.36M,797.75M,-629.23M,-346.64M,,AOR,Restated
2018-12,129.59M,0.00,,,-3.141M,-2.172M,-4.802M,20.32M,19.28M,39.61M,39.61M,-26.08M,,15.59M,,-6.892M,-299.06M,,39.20M,-151.06M,,,39.20M,-371.72M,-224.70M,,-20.72M,0.205M,-20.52M,-1.113M,,,-22.60M,,527.31M,-0.257M,527.06M,7.582M,-141.80M,-134.22M,-28.60M,-28.60M,-18.51M,345.72M,,793.36M,98.43M,22.12M,913.90M,,7.582M,851.16M,-324.10M,-141.80M,,AOR,Restated
2018-09,-31.42M,21.41M,,,5.748M,1.595M,36.19M,29.14M,22.24M,51.38M,51.38M,295.50M,,17.42M,,-73.36M,-112.54M,,-24.75M,67.48M,,,-13.69M,-83.50M,212.20M,,-31.48M,2.865M,-28.61M,-0.873M,0.00,,-37.10M,,-189.05M,-3.841M,-192.89M,20.00M,0.001M,20.00M,-21.34M,-21.34M,-3.133M,-197.37M,,824.37M,-22.26M,-8.75M,793.36M,,20.00M,411.85M,-604.74M,0.001M,,AOR,Restated
