,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,33.54B,33.54B,22.08B,11.46B,6.076B,,340.00M,11.00M,-329.00M,6.604B,4.852B,11.00M,340.00M,-329.00M,,-329.00M,4.523B,1.091B,3.432B,,,3.432B,3.432B,5.494B,631.00M,4.863B,,3.20,,3.20,3.20,,3.18,,3.18,3.18,,1.073B,1.078B,1.50,,AOR,
2020-07,38.05B,38.05B,25.11B,12.94B,6.355B,,346.00M,9.00M,-337.00M,6.874B,6.067B,9.00M,346.00M,-337.00M,,-337.00M,5.73B,1.398B,4.332B,,,4.332B,4.332B,6.691B,615.00M,6.076B,,4.04,,4.04,4.04,,4.02,,4.02,4.02,,1.073B,1.077B,1.50,,AOR,
2020-04,28.26B,28.26B,18.64B,9.625B,5.829B,,324.00M,17.00M,-307.00M,6.349B,3.276B,17.00M,324.00M,-307.00M,,-307.00M,2.969B,724.00M,2.245B,,,2.245B,2.245B,3.90B,607.00M,3.293B,,2.09,,2.09,2.09,,2.08,,2.08,2.08,,1.073B,1.077B,1.50,,AOR,
2020-01,25.78B,25.78B,17.05B,8.736B,4.814B,,309.00M,17.00M,-292.00M,5.333B,3.403B,17.00M,309.00M,-292.00M,,-292.00M,3.111B,630.00M,2.481B,,,2.481B,2.481B,4.015B,595.00M,3.42B,,2.29,,2.29,2.29,,2.28,,2.28,2.28,,1.084B,1.088B,1.36,,AOR,
2019-10,27.22B,27.22B,17.84B,9.387B,4.942B,,302.00M,22.00M,-280.00M,5.44B,3.947B,22.00M,302.00M,-280.00M,,-280.00M,3.667B,898.00M,2.769B,,,2.769B,2.769B,4.563B,594.00M,3.969B,,2.54,,2.54,2.54,,2.53,,2.53,2.53,,1.089B,1.094B,1.36,,AOR,Restated
2019-07,30.84B,30.84B,20.41B,10.43B,5.044B,,302.00M,19.00M,-283.00M,5.536B,4.896B,19.00M,302.00M,-283.00M,,-283.00M,4.613B,1.134B,3.479B,,,3.479B,3.479B,5.475B,560.00M,4.915B,,3.18,,3.18,3.18,,3.17,,3.17,3.17,,1.095B,1.099B,1.36,,AOR,Restated
2019-04,26.38B,26.38B,17.36B,9.017B,4.94B,,288.00M,15.00M,-273.00M,5.42B,3.597B,15.00M,288.00M,-273.00M,,-273.00M,3.324B,811.00M,2.513B,,,2.513B,2.513B,4.159B,547.00M,3.612B,,2.28,,2.28,2.28,,2.27,,2.27,2.27,,1.101B,1.106B,1.36,,AOR,Restated
2019-01,26.49B,26.49B,17.46B,9.027B,4.922B,,269.00M,20.00M,-249.00M,5.402B,3.625B,20.00M,269.00M,-249.00M,,-249.00M,3.113B,769.00M,2.344B,,,2.344B,2.344B,3.931B,549.00M,3.382B,,2.10,,2.10,2.10,,2.09,,2.09,2.09,,1.116B,1.122B,1.03,,AOR,Restated
2018-10,26.30B,26.30B,17.15B,9.151B,4.808B,,249.00M,25.00M,-224.00M,5.281B,3.87B,25.00M,249.00M,-224.00M,,-224.00M,3.646B,779.00M,2.867B,,,2.867B,2.867B,4.436B,541.00M,3.895B,,2.53,,2.53,2.53,,2.51,,2.51,2.51,,1.135B,1.141B,1.03,,AOR,Restated
2018-07,30.46B,30.46B,20.10B,10.36B,5.004B,,272.00M,26.00M,-246.00M,5.464B,4.901B,26.00M,272.00M,-246.00M,,-246.00M,4.655B,1.149B,3.506B,,,3.506B,3.506B,5.457B,530.00M,4.927B,,3.06,,3.06,3.06,,3.05,,3.05,3.05,,1.144B,1.149B,1.03,,AOR,Restated
2018-04,24.95B,24.95B,16.33B,8.617B,4.779B,,261.00M,22.00M,-239.00M,5.236B,3.381B,22.00M,261.00M,-239.00M,,-239.00M,3.142B,738.00M,2.404B,,,2.404B,2.404B,3.935B,532.00M,3.403B,,2.09,,2.09,2.09,,2.08,,2.08,2.08,,1.152B,1.158B,1.03,,AOR,Restated
2018-01,23.88B,23.88B,15.79B,8.093B,4.44B,,269.00M,23.00M,-246.00M,4.904B,3.189B,23.00M,269.00M,-246.00M,,-246.00M,2.943B,1.164B,1.779B,,,1.779B,1.779B,3.741B,529.00M,3.212B,,1.53,,1.53,1.53,,1.52,,1.52,1.52,,1.16B,1.166B,0.89,,AOR,Restated
2017-10,25.03B,25.03B,16.38B,8.648B,4.514B,,269.00M,22.00M,-247.00M,4.968B,3.68B,22.00M,269.00M,-247.00M,,-247.00M,3.433B,1.268B,2.165B,,,2.165B,2.165B,4.22B,518.00M,3.702B,,1.85,,1.85,1.85,,1.84,,1.84,1.84,,1.168B,1.174B,0.89,,AOR,Restated
2017-07,28.11B,28.11B,18.65B,9.461B,4.549B,,265.00M,16.00M,-249.00M,4.998B,4.463B,16.00M,265.00M,-249.00M,,-249.00M,4.214B,1.542B,2.672B,,,2.672B,2.672B,4.989B,510.00M,4.479B,,2.26,,2.26,2.26,,2.25,,2.25,2.25,,1.183B,1.189B,0.89,,AOR,Restated
2017-04,23.89B,23.89B,15.73B,8.154B,4.361B,,254.00M,13.00M,-241.00M,4.805B,3.349B,13.00M,254.00M,-241.00M,,-241.00M,3.108B,1.094B,2.014B,,,2.014B,2.014B,3.867B,505.00M,3.362B,,1.68,,1.68,1.68,,1.67,,1.67,1.67,,1.198B,1.204B,0.89,,AOR,Restated
2017-01,22.21B,22.21B,14.65B,7.553B,4.183B,,246.00M,11.00M,-235.00M,4.626B,2.927B,11.00M,246.00M,-235.00M,,-235.00M,2.692B,948.00M,1.744B,,,1.744B,1.744B,3.437B,499.00M,2.938B,,1.45,,1.45,1.45,,1.44,,1.44,1.44,,1.208B,1.21B,0.69,,AOR,Restated
2016-10,23.15B,23.15B,15.11B,8.042B,4.28B,,246.00M,10.00M,-236.00M,4.722B,3.32B,10.00M,246.00M,-236.00M,,-236.00M,3.084B,1.115B,1.969B,,,1.969B,1.969B,3.826B,496.00M,3.33B,,1.61,,1.61,1.61,,1.60,,1.60,1.60,,1.224B,1.229B,0.69,,AOR,Restated
2016-07,26.47B,26.47B,17.54B,8.927B,4.388B,,236.00M,8.00M,-228.00M,4.824B,4.103B,8.00M,236.00M,-228.00M,,-228.00M,3.875B,1.434B,2.441B,,,2.441B,2.441B,4.603B,492.00M,4.111B,,1.98,,1.98,1.98,,1.97,,1.97,1.97,,1.235B,1.24B,0.69,,AOR,Restated
2016-04,22.76B,22.76B,14.97B,7.791B,4.281B,,244.00M,7.00M,-237.00M,4.714B,3.077B,7.00M,244.00M,-237.00M,,-237.00M,2.84B,1.037B,1.803B,,,1.803B,1.803B,3.57B,486.00M,3.084B,,1.45,,1.45,1.45,,1.44,,1.44,1.44,,1.247B,1.252B,0.69,,AOR,Restated
2016-01,20.98B,20.98B,13.82B,7.156B,4.178B,,242.00M,6.00M,-236.00M,4.607B,2.549B,6.00M,242.00M,-236.00M,,-236.00M,2.313B,842.00M,1.471B,,,1.471B,1.471B,3.034B,479.00M,2.555B,,1.17,,1.17,1.17,,1.17,,1.17,1.17,,1.256B,1.262B,0.59,,AOR,Restated
2015-10,21.82B,21.82B,14.25B,7.565B,4.161B,,247.00M,7.00M,-240.00M,4.584B,2.981B,7.00M,247.00M,-240.00M,,-240.00M,2.741B,1.016B,1.725B,,,1.725B,1.725B,3.457B,469.00M,2.988B,,1.36,,1.36,1.36,,1.35,,1.35,1.35,,1.268B,1.274B,0.59,,AOR,Restated
2015-07,24.83B,24.83B,16.46B,8.365B,4.299B,,233.00M,149.00M,-84.00M,4.718B,3.647B,149.00M,233.00M,-84.00M,,-84.00M,3.563B,1.329B,2.234B,,,2.234B,2.234B,4.257B,461.00M,3.796B,,1.74,,1.74,1.74,,1.73,,1.73,1.73,,1.283B,1.289B,0.59,,AOR,Restated
2015-04,20.89B,20.89B,13.71B,7.179B,4.163B,,197.00M,4.00M,-193.00M,4.582B,2.597B,4.00M,197.00M,-193.00M,,-193.00M,2.404B,825.00M,1.579B,,,1.579B,1.579B,3.055B,454.00M,2.601B,,1.22,,1.22,1.22,,1.21,,1.21,1.21,,1.298B,1.305B,0.59,,AOR,Restated
2015-01,19.16B,19.16B,12.58B,6.582B,3.987B,,213.00M,115.00M,-98.00M,4.391B,2.191B,115.00M,213.00M,-98.00M,,-98.00M,2.093B,714.00M,1.379B,,,1.379B,1.379B,2.747B,441.00M,2.306B,,1.06,,1.06,1.06,,1.05,,1.05,1.05,,1.308B,1.316B,0.47,,AOR,Restated
2014-10,20.52B,20.52B,13.47B,7.043B,4.08B,,218.00M,105.00M,-113.00M,4.49B,2.553B,105.00M,218.00M,-113.00M,,-113.00M,2.44B,903.00M,1.537B,,,1.537B,1.537B,3.107B,449.00M,2.658B,,1.16,,1.16,1.16,,1.15,,1.15,1.15,,1.327B,1.334B,0.47,,AOR,Restated
2014-07,23.81B,23.81B,15.80B,8.007B,4.146B,,208.00M,17.00M,-191.00M,4.559B,3.448B,17.00M,208.00M,-191.00M,,-191.00M,3.257B,1.207B,2.05B,,,2.05B,2.05B,3.914B,449.00M,3.465B,,1.52,,1.52,1.52,,1.52,,1.52,1.52,,1.346B,1.353B,0.47,,AOR,Restated
2014-04,19.69B,19.69B,12.93B,6.757B,4.067B,,191.00M,100.00M,-91.00M,4.48B,2.277B,100.00M,191.00M,-91.00M,,-91.00M,2.186B,807.00M,1.379B,,,1.379B,1.379B,2.824B,447.00M,2.377B,,1.01,,1.01,1.01,,1.00,,1.00,1.00,,1.367B,1.376B,0.47,,AOR,Restated
2014-01,17.70B,17.70B,11.98B,5.717B,3.549B,,182.00M,4.00M,-178.00M,3.956B,1.761B,4.00M,182.00M,-178.00M,,-178.00M,1.583B,570.00M,1.013B,,,1.013B,1.013B,2.205B,440.00M,1.765B,,0.73,,0.73,0.73,,0.73,,0.73,0.73,,1.386B,1.392B,0.39,,AOR,Restated
2013-10,19.47B,19.47B,12.67B,6.798B,4.096B,,191.00M,3.00M,-188.00M,4.505B,2.293B,3.00M,191.00M,-188.00M,,-188.00M,2.105B,754.00M,1.351B,,,1.351B,1.351B,2.736B,440.00M,2.296B,,0.96,,0.96,0.96,,0.95,,0.95,0.95,,1.408B,1.417B,0.39,,AOR,Restated
2013-07,22.52B,22.52B,14.80B,7.721B,4.294B,,174.00M,2.00M,-172.00M,4.703B,3.018B,2.00M,174.00M,-172.00M,,-172.00M,2.846B,1.051B,1.795B,,,1.795B,1.795B,3.462B,442.00M,3.02B,,1.25,,1.25,1.25,,1.24,,1.24,1.24,,1.434B,1.443B,0.39,,AOR,Restated
2013-04,19.12B,19.12B,12.44B,6.679B,4.183B,,164.00M,3.00M,-161.00M,4.585B,2.094B,3.00M,164.00M,-161.00M,,-161.00M,1.933B,707.00M,1.226B,,,1.226B,1.226B,2.532B,435.00M,2.097B,,0.84,,0.84,0.84,,0.83,,0.83,0.83,,1.468B,1.478B,0.39,,AOR,Restated
2013-01,18.25B,18.25B,11.88B,6.366B,4.217B,,166.00M,6.00M,-160.00M,4.616B,1.75B,6.00M,166.00M,-160.00M,0.00,-160.00M,1.59B,569.00M,1.021B,,,1.021B,1.021B,2.183B,427.00M,1.756B,,0.69,,0.69,0.69,,0.68,,0.68,0.68,,1.481B,1.493B,0.29,,AOR,Restated
2012-10,18.13B,18.13B,11.86B,6.267B,4.139B,,155.00M,5.00M,-150.00M,4.534B,1.733B,5.00M,155.00M,-150.00M,,-150.00M,1.583B,636.00M,947.00M,,,947.00M,947.00M,2.162B,424.00M,1.738B,,0.64,,0.64,0.64,,0.63,,0.63,0.63,,1.487B,1.498B,0.29,,AOR,Restated
2012-07,20.57B,20.57B,13.54B,7.026B,4.066B,,155.00M,4.00M,-151.00M,4.457B,2.569B,4.00M,155.00M,-151.00M,,-151.00M,2.418B,886.00M,1.532B,,,1.532B,1.532B,2.996B,423.00M,2.573B,,1.02,,1.02,1.02,,1.01,,1.01,1.01,,1.501B,1.512B,0.29,,AOR,Restated
2012-04,17.81B,17.81B,11.62B,6.183B,4.086B,,156.00M,5.00M,-151.00M,4.469B,1.714B,5.00M,156.00M,-151.00M,67.00M,-151.00M,1.63B,595.00M,1.035B,,,1.035B,1.035B,2.196B,410.00M,1.786B,,0.68,,0.68,0.68,,0.68,,0.68,0.68,,1.522B,1.531B,0.29,,AOR,Restated
2012-01,16.01B,16.01B,10.42B,5.597B,3.877B,,154.00M,4.00M,-150.00M,4.267B,1.33B,4.00M,154.00M,-150.00M,,-150.00M,1.18B,406.00M,774.00M,,,774.00M,774.00M,1.751B,417.00M,1.334B,,0.51,,0.51,0.51,,0.50,,0.50,0.50,,1.532B,1.537B,0.29,,AOR,Restated
2011-10,17.33B,17.33B,11.36B,5.961B,3.956B,0.00,162.00M,4.00M,-158.00M,4.346B,1.615B,4.00M,162.00M,-158.00M,,-158.00M,1.457B,523.00M,934.00M,,,934.00M,934.00M,2.035B,416.00M,1.619B,,0.61,0.00,0.61,0.61,,0.60,0.00,0.60,0.60,,1.54B,1.548B,0.25,,AOR,Restated
2011-07,20.23B,20.23B,13.36B,6.876B,4.186B,0.00,149.00M,3.00M,-146.00M,4.582B,2.294B,3.00M,149.00M,-146.00M,,-146.00M,2.148B,785.00M,1.363B,,,1.363B,1.363B,2.722B,425.00M,2.297B,,0.87,0.00,0.87,0.87,,0.86,0.00,0.86,0.86,,1.568B,1.577B,0.25,,AOR,Restated
2011-04,16.82B,16.82B,11.00B,5.828B,4.009B,0.00,141.00M,2.00M,-139.00M,4.406B,1.422B,2.00M,141.00M,-139.00M,,-139.00M,1.283B,471.00M,812.00M,,,812.00M,812.00M,1.848B,424.00M,1.424B,,0.51,0.00,0.51,0.51,,0.50,0.00,0.50,0.50,,1.599B,1.611B,0.25,,AOR,Restated
2011-01,15.13B,15.13B,9.883B,5.243B,3.807B,,91.00M,4.00M,-87.00M,4.206B,1.037B,4.00M,91.00M,-87.00M,0.00,-87.00M,950.00M,363.00M,587.00M,,,587.00M,587.00M,1.467B,426.00M,1.041B,,0.37,,0.37,0.37,,0.36,,0.36,0.36,,1.621B,1.631B,0.2362,,AOR,Restated
2010-10,16.60B,16.60B,10.91B,5.685B,3.837B,0.00,146.00M,4.00M,-142.00M,4.237B,1.448B,4.00M,146.00M,-142.00M,,-142.00M,1.306B,472.00M,834.00M,,,834.00M,834.00M,1.878B,426.00M,1.452B,,0.51,0.00,0.51,0.51,,0.51,0.00,0.51,0.51,,1.637B,1.646B,0.2362,,AOR,
2010-07,19.41B,19.41B,12.83B,6.582B,4.127B,0.00,151.00M,3.00M,-148.00M,4.533B,2.049B,3.00M,151.00M,-148.00M,,-148.00M,1.901B,709.00M,1.192B,,,1.192B,1.192B,2.48B,428.00M,2.052B,,0.72,0.00,0.72,0.72,,0.72,0.00,0.72,0.72,,1.653B,1.663B,0.2362,,AOR,Restated
2010-04,16.86B,16.86B,11.07B,5.794B,4.078B,-51.00M,142.00M,4.00M,-138.00M,4.489B,1.305B,4.00M,142.00M,-138.00M,-51.00M,-138.00M,1.116B,391.00M,725.00M,,,725.00M,758.13M,1.696B,438.00M,1.258B,,0.43,0.00,0.4498,0.43,,0.43,0.00,0.4496,0.43,,1.677B,1.688B,0.2362,,AOR,Restated
2010-01,14.57B,14.57B,9.556B,5.013B,3.869B,-163.00M,161.00M,3.00M,-158.00M,4.286B,727.00M,3.00M,161.00M,-158.00M,,-158.00M,406.00M,105.00M,301.00M,,,342.00M,421.84M,1.009B,442.00M,567.00M,,0.18,0.02,0.2519,0.20,,0.18,0.02,0.2514,0.20,,1.68B,1.692B,0.225,,AOR,Restated
2009-10,16.36B,16.36B,10.80B,5.561B,3.87B,0.00,168.00M,4.00M,-164.00M,4.298B,1.263B,4.00M,168.00M,-164.00M,,-164.00M,1.099B,410.00M,689.00M,,,689.00M,689.00M,1.72B,453.00M,1.267B,,0.41,0.00,0.41,0.41,,0.41,0.00,0.41,0.41,,1.682B,1.693B,0.225,,AOR,Restated
