,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,5.136B,545.00M,5.681B,1.028B,,1.028B,7.459B,7.459B,383.00M,14.55B,,,,,4.957B,,4.957B,,4.957B,986.00M,339.00M,1.325B,,369.00M,6.651B,21.20B,9.11B,,9.11B,968.00M,10.08B,,670.00M,670.00M,685.00M,1.355B,1.066B,1.066B,,12.94B,1.256B,2.117B,3.373B,,,,798.00M,4.171B,17.12B,26.00M,3.659B,133.00M,,,,268.00M,4.086B
2020-07,,5.305B,0.00,5.305B,906.00M,,906.00M,4.136B,4.136B,336.00M,10.68B,,,,,5.047B,,5.047B,,5.047B,986.00M,359.00M,1.345B,,337.00M,6.729B,17.41B,6.613B,,6.613B,893.00M,7.506B,,681.00M,681.00M,674.00M,1.355B,966.00M,966.00M,,10.08B,632.00M,2.206B,2.838B,,,,716.00M,3.554B,13.63B,26.00M,3.413B,83.00M,,,,256.00M,3.778B
2020-04,,3.919B,,3.919B,749.00M,,749.00M,3.993B,3.993B,335.00M,8.996B,,,,,4.922B,,4.922B,,4.922B,986.00M,362.00M,1.348B,,339.00M,6.609B,15.60B,4.428B,,4.428B,769.00M,5.197B,1.25B,673.00M,1.923B,683.00M,2.606B,788.00M,788.00M,,8.804B,621.00M,2.076B,2.697B,,,,694.00M,3.391B,12.20B,26.00M,3.126B,15.00M,,,,243.00M,3.41B
2020-01,561.00M,2.229B,,2.229B,1.149B,,1.149B,5.174B,5.174B,305.00M,8.857B,0.0,650.00M,,6.286B,2.709B,2.292B,11.94B,-6.90B,5.037B,984.00M,363.00M,1.347B,,350.00M,6.734B,15.59B,5.288B,,5.288B,906.00M,6.194B,,14.00M,14.00M,660.00M,674.00M,782.00M,782.00M,,8.06B,1.257B,2.138B,3.395B,,,,657.00M,4.052B,12.11B,26.00M,3.158B,0.00,,,,295.00M,3.479B
2019-10,,1.205B,0.00,1.205B,1.056B,,1.056B,7.569B,7.569B,345.00M,10.18B,,,,,5.11B,,5.11B,,5.11B,982.00M,402.00M,1.384B,,257.00M,6.751B,16.93B,7.232B,,7.232B,769.00M,8.001B,,14.00M,14.00M,644.00M,658.00M,716.00M,716.00M,,9.726B,1.239B,2.20B,3.439B,,,,636.00M,4.075B,13.80B,26.00M,2.809B,,,,,290.00M,3.125B
2019-07,,1.289B,320.00M,1.609B,966.00M,,966.00M,5.208B,5.208B,409.00M,8.192B,,,,,5.135B,,5.135B,,5.135B,965.00M,416.00M,1.381B,,270.00M,6.786B,14.98B,5.045B,,5.045B,799.00M,5.844B,,14.00M,14.00M,643.00M,657.00M,732.00M,732.00M,,7.576B,1.247B,2.23B,3.477B,,,,640.00M,4.117B,11.69B,26.00M,2.965B,,,,,294.00M,3.285B
2019-04,,1.561B,0.00,1.561B,833.00M,,833.00M,5.195B,5.195B,425.00M,8.014B,,,,,5.042B,,5.042B,,5.042B,915.00M,351.00M,1.266B,,228.00M,6.536B,14.55B,4.718B,,4.718B,851.00M,5.569B,,14.00M,14.00M,639.00M,653.00M,674.00M,674.00M,,7.171B,1.193B,2.173B,3.366B,,,,659.00M,4.025B,11.20B,27.00M,3.038B,,,,,289.00M,3.354B
2019-01,570.00M,1.98B,,1.98B,1.015B,,1.015B,5.409B,5.409B,466.00M,8.87B,0.0,637.00M,,5.865B,,2.698B,9.20B,-6.69B,2.51B,915.00M,350.00M,1.265B,,256.00M,4.031B,12.90B,5.257B,,5.257B,982.00M,6.239B,,56.00M,56.00M,0.00,56.00M,736.00M,736.00M,,7.513B,1.332B,0.00,1.332B,,,,750.00M,2.082B,9.595B,27.00M,2.985B,0.00,,,,294.00M,3.306B
2018-10,,1.228B,76.00M,1.304B,921.00M,,921.00M,8.168B,8.168B,508.00M,10.90B,,,,,2.525B,,2.525B,,2.525B,921.00M,383.00M,1.304B,,270.00M,4.099B,15.00B,7.964B,,7.964B,844.00M,8.808B,,,46.00M,,46.00M,730.00M,730.00M,,9.933B,1.28B,,1.28B,,,,775.00M,2.055B,11.99B,27.00M,2.685B,,,,,300.00M,3.012B
2018-07,,1.865B,465.00M,2.33B,915.00M,,915.00M,5.016B,5.016B,510.00M,8.771B,,,,,2.432B,,2.432B,,2.432B,425.00M,,425.00M,,365.00M,3.222B,11.99B,5.338B,12.00M,5.35B,801.00M,6.151B,,,47.00M,,47.00M,713.00M,713.00M,,7.229B,801.00M,,801.00M,,,,777.00M,1.578B,8.807B,27.00M,2.863B,,,,,296.00M,3.186B
