,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,391.00M,,,,,,214.00M,214.00M,6.00M,,42.00M,,112.00M,-126.00M,-3.314B,,2.481B,-43.00M,,356.00M,-646.00M,,119.00M,-194.00M,,-194.00M,0.00,-574.00M,-2.00M,-770.00M,638.00M,638.00M,6.00M,0.00,6.00M,-142.00M,-142.00M,0.00,502.00M,5.422B,-149.00M,-2.00M,5.271B,6.00M,642.00M,-4.00M,0.00
2020-07,432.00M,,,,,,207.00M,207.00M,-2.00M,,50.00M,,4.00M,-151.00M,-122.00M,,2.159B,-5.00M,,389.00M,2.27B,,2.961B,-162.00M,,-162.00M,0.00,-46.00M,4.00M,-204.00M,-1.257B,-1.257B,22.00M,0.00,22.00M,-143.00M,-143.00M,-3.00M,-1.381B,4.034B,1.376B,12.00M,5.422B,22.00M,0.00,-1.257B,0.00
2020-04,159.00M,,,,,,207.00M,207.00M,15.00M,,15.00M,,6.00M,383.00M,1.136B,,-816.00M,-12.00M,,-266.00M,425.00M,,827.00M,-178.00M,,-178.00M,,,-1.00M,-179.00M,1.25B,1.25B,,-62.00M,-62.00M,-141.00M,-141.00M,2.00M,1.049B,2.355B,1.697B,-18.00M,4.034B,,1.25B,,-62.00M
2020-01,745.00M,,,,,,205.00M,205.00M,50.00M,,34.00M,,5.00M,-95.00M,2.396B,,-1.937B,18.00M,,207.00M,589.00M,,1.628B,-157.00M,,-157.00M,0.00,-11.00M,0.00,-168.00M,-4.00M,-4.00M,3.00M,-307.00M,-304.00M,-129.00M,-129.00M,-1.00M,-438.00M,1.332B,1.022B,1.00M,2.355B,3.00M,0.00,-4.00M,-307.00M
2019-10,293.00M,,,,,,206.00M,206.00M,10.00M,,35.00M,,0.00,-93.00M,-2.358B,,2.197B,27.00M,,-5.00M,-232.00M,,312.00M,-201.00M,,-201.00M,-20.00M,322.00M,0.00,101.00M,-3.00M,-3.00M,18.00M,-368.00M,-350.00M,-131.00M,-131.00M,,-484.00M,1.404B,-71.00M,-1.00M,1.332B,18.00M,0.00,-3.00M,-368.00M
2019-07,238.00M,,,,,,201.00M,201.00M,-3.00M,,38.00M,,56.00M,-125.00M,-8.00M,,306.00M,-15.00M,,-65.00M,93.00M,,623.00M,-192.00M,,-192.00M,-125.00M,-319.00M,0.00,-636.00M,-8.00M,-8.00M,27.00M,-230.00M,-203.00M,-133.00M,-133.00M,-6.00M,-350.00M,1.767B,-363.00M,0.00,1.404B,27.00M,0.00,-8.00M,-230.00M
2019-04,265.00M,,,,,,200.00M,200.00M,13.00M,,36.00M,,1.00M,182.00M,207.00M,,-519.00M,-14.00M,,-369.00M,-513.00M,,2.00M,-193.00M,,-193.00M,,,1.00M,-192.00M,0.00,0.00,,-98.00M,-98.00M,-134.00M,-134.00M,6.00M,-226.00M,2.184B,-416.00M,-1.00M,1.767B,,0.00,,-98.00M
2019-01,735.00M,,,,,,220.00M,220.00M,-5.00M,,31.00M,,-16.00M,-93.00M,2.756B,,-2.653B,11.00M,,315.00M,336.00M,,1.301B,-200.00M,,-200.00M,5.00M,128.00M,1.00M,-66.00M,-11.00M,-11.00M,1.00M,-361.00M,-360.00M,-121.00M,-121.00M,0.00,-492.00M,1.439B,743.00M,2.00M,2.184B,1.00M,0.00,-11.00M,-361.00M
2018-10,277.00M,,,,,,192.00M,192.00M,10.00M,,29.00M,,-10.00M,1.00M,-3.137B,,2.60B,8.00M,,29.00M,-499.00M,,-1.00M,-244.00M,,-244.00M,-792.00M,405.00M,5.00M,-626.00M,486.00M,486.00M,8.00M,-370.00M,-362.00M,-123.00M,-123.00M,-3.00M,-2.00M,2.068B,-629.00M,0.00,1.439B,8.00M,498.00M,-12.00M,-370.00M
2018-07,244.00M,,,,,,182.00M,182.00M,-4.00M,,31.00M,,19.00M,-69.00M,-56.00M,,699.00M,-40.00M,,-102.00M,432.00M,,904.00M,-194.00M,,-194.00M,0.00,320.00M,1.00M,127.00M,-512.00M,-512.00M,5.00M,-374.00M,-369.00M,-125.00M,-125.00M,-2.00M,-1.008B,2.049B,23.00M,-4.00M,2.068B,5.00M,,-512.00M,-374.00M
2018-04,208.00M,,,,,,176.00M,176.00M,9.00M,,32.00M,,28.00M,189.00M,243.00M,,-214.00M,-13.00M,,-454.00M,-249.00M,,204.00M,-181.00M,,-181.00M,,1.245B,9.00M,1.073B,-11.00M,-11.00M,24.00M,-400.00M,-376.00M,-128.00M,-128.00M,-1.00M,-516.00M,1.30B,761.00M,-12.00M,2.049B,24.00M,,-11.00M,-400.00M
2018-01,364.00M,,,,,,183.00M,183.00M,158.00M,,32.00M,,2.00M,-98.00M,1.476B,,-1.726B,15.00M,,532.00M,199.00M,,938.00M,-199.00M,,-199.00M,0.00,222.00M,-9.00M,14.00M,-15.00M,-15.00M,18.00M,-866.00M,-848.00M,-99.00M,-99.00M,0.00,-962.00M,1.30B,-10.00M,10.00M,1.30B,18.00M,0.00,-15.00M,-866.00M
2017-10,239.00M,,,,-329.00M,,171.00M,171.00M,-5.00M,,30.00M,,-72.00M,12.00M,-1.526B,,1.515B,9.00M,,71.00M,81.00M,,511.00M,-193.00M,,-193.00M,0.00,-114.00M,-1.00M,-308.00M,-12.00M,-12.00M,20.00M,-367.00M,-347.00M,-102.00M,-102.00M,0.00,-461.00M,1.561B,-258.00M,-3.00M,1.30B,20.00M,0.00,-12.00M,-367.00M
2017-07,209.00M,,,,168.00M,,168.00M,168.00M,-3.00M,,36.00M,,68.00M,68.00M,-508.00M,,397.00M,-20.00M,,101.00M,38.00M,,449.00M,-143.00M,,-143.00M,,-144.00M,2.00M,-285.00M,-9.00M,-9.00M,50.00M,-398.00M,-348.00M,-103.00M,-103.00M,-1.00M,-461.00M,1.834B,-297.00M,24.00M,1.561B,50.00M,,-9.00M,-398.00M
2017-04,188.00M,,,,161.00M,,161.00M,161.00M,12.00M,,31.00M,,-1.00M,333.00M,223.00M,,-382.00M,-25.00M,,-297.00M,-148.00M,,243.00M,-153.00M,,-153.00M,,-271.00M,1.00M,-423.00M,-10.00M,-10.00M,75.00M,-373.00M,-298.00M,-105.00M,-105.00M,,-413.00M,2.433B,-593.00M,-6.00M,1.834B,75.00M,,-10.00M,-373.00M
2017-01,607.00M,,,,-491.00M,,163.00M,163.00M,173.00M,,26.00M,,14.00M,-272.00M,1.568B,,-1.283B,28.00M,,126.00M,167.00M,,1.15B,-135.00M,-56.00M,-191.00M,,108.00M,54.00M,-29.00M,-10.00M,-10.00M,105.00M,-226.00M,-121.00M,-88.00M,-88.00M,0.00,-219.00M,1.534B,902.00M,-3.00M,2.433B,105.00M,,-10.00M,-226.00M
2016-10,194.00M,,,,164.00M,,164.00M,164.00M,28.00M,,25.00M,,-49.00M,-160.00M,-1.53B,,1.446B,11.00M,,-76.00M,-309.00M,,110.00M,-169.00M,0.00,-169.00M,,-188.00M,0.00,-357.00M,-10.00M,-10.00M,43.00M,-201.00M,-158.00M,-89.00M,-89.00M,0.00,-257.00M,2.05B,-504.00M,-12.00M,1.534B,43.00M,,-10.00M,-201.00M
2016-07,198.00M,,,,165.00M,,165.00M,165.00M,-8.00M,,26.00M,,31.00M,166.00M,-204.00M,,428.00M,1.00M,,59.00M,450.00M,,805.00M,-140.00M,56.00M,-84.00M,,-368.00M,1.00M,-451.00M,-12.00M,-12.00M,2.00M,-219.00M,-217.00M,-90.00M,-90.00M,-2.00M,-321.00M,2.032B,33.00M,-15.00M,2.05B,2.00M,,-12.00M,-219.00M
2016-04,229.00M,,,,162.00M,,162.00M,162.00M,8.00M,,31.00M,,26.00M,73.00M,365.00M,,-73.00M,-30.00M,,-299.00M,36.00M,,492.00M,-136.00M,,-136.00M,,92.00M,4.00M,-40.00M,-362.00M,-362.00M,21.00M,-52.00M,-31.00M,-238.00M,-238.00M,10.00M,-621.00M,2.161B,-169.00M,40.00M,2.032B,21.00M,,-362.00M,-52.00M
2016-01,479.00M,0.00,,0.00,163.00M,,163.00M,163.00M,92.00M,,24.00M,,68.00M,-106.00M,1.58B,,-1.688B,16.00M,,252.00M,54.00M,,880.00M,-156.00M,0.00,-156.00M,-153.00M,328.00M,73.00M,92.00M,-10.00M,-10.00M,3.00M,-670.00M,-667.00M,-78.00M,-78.00M,-20.00M,-775.00M,1.697B,197.00M,-25.00M,2.161B,3.00M,,-10.00M,-670.00M
2015-10,125.00M,0.00,,0.00,168.00M,,168.00M,168.00M,-2.00M,,25.00M,,0.00,-39.00M,-1.662B,,1.487B,29.00M,,24.00M,-161.00M,,155.00M,-200.00M,0.00,-200.00M,10.00M,49.00M,1.00M,-140.00M,-5.00M,-5.00M,16.00M,-64.00M,-48.00M,-80.00M,-80.00M,12.00M,-121.00M,1.80B,-106.00M,3.00M,1.697B,16.00M,,-5.00M,-64.00M
2015-07,164.00M,0.00,,0.00,163.00M,,163.00M,163.00M,-16.00M,,28.00M,,3.00M,-34.00M,-93.00M,,111.00M,-13.00M,,5.00M,-24.00M,,318.00M,-169.00M,0.00,-169.00M,44.00M,-129.00M,-10.00M,-264.00M,-5.00M,-5.00M,3.00M,-321.00M,-318.00M,-80.00M,-80.00M,1.00M,-402.00M,2.173B,-348.00M,-25.00M,1.80B,3.00M,,-5.00M,-321.00M
2015-04,129.00M,-99.00M,,-99.00M,163.00M,,163.00M,163.00M,-25.00M,,27.00M,,189.00M,302.00M,261.00M,,-446.00M,4.00M,,-515.00M,-394.00M,,-10.00M,-124.00M,,-124.00M,48.00M,-102.00M,-36.00M,-214.00M,-8.00M,-8.00M,25.00M,0.00,25.00M,-261.00M,-261.00M,6.00M,-238.00M,2.626B,-462.00M,9.00M,2.173B,25.00M,,-8.00M,0.00
2015-01,520.00M,0.00,,0.00,172.00M,,172.00M,172.00M,84.00M,,24.00M,,10.00M,-256.00M,1.40B,,-1.092B,15.00M,,284.00M,351.00M,,1.161B,-136.00M,,-136.00M,1.00M,-241.00M,6.00M,-370.00M,-5.00M,-5.00M,23.00M,0.00,23.00M,-66.00M,-66.00M,0.00,-48.00M,1.929B,743.00M,-46.00M,2.626B,23.00M,,-5.00M,0.00
2014-10,107.00M,0.00,,0.00,165.00M,,165.00M,165.00M,13.00M,,23.00M,,5.00M,-64.00M,-1.336B,,1.406B,-3.00M,,-29.00M,-26.00M,,287.00M,-167.00M,,-167.00M,1.00M,-268.00M,-1.00M,-435.00M,-7.00M,-7.00M,10.00M,0.00,10.00M,-67.00M,-67.00M,3.00M,-61.00M,2.141B,-209.00M,-3.00M,1.929B,10.00M,,-7.00M,0.00
2014-07,147.00M,-1.00M,,-1.00M,158.00M,,158.00M,158.00M,7.00M,,17.00M,,10.00M,-135.00M,-326.00M,,264.00M,10.00M,,28.00M,-159.00M,,179.00M,-147.00M,,-147.00M,37.00M,-443.00M,8.00M,-545.00M,-6.00M,-6.00M,8.00M,0.00,8.00M,-59.00M,-59.00M,-4.00M,-61.00M,2.569B,-427.00M,-1.00M,2.141B,8.00M,,-6.00M,0.00
2014-04,461.00M,0.00,,0.00,161.00M,,161.00M,161.00M,-401.00M,,23.00M,,6.00M,436.00M,121.00M,,-144.00M,7.00M,,-362.00M,58.00M,,308.00M,-111.00M,,-111.00M,0.00,-272.00M,21.00M,-362.00M,-6.00M,-6.00M,9.00M,,9.00M,-59.00M,-59.00M,3.00M,-53.00M,2.678B,-107.00M,-2.00M,2.569B,9.00M,,-6.00M,
2014-01,294.00M,20.00M,,20.00M,164.00M,2.00M,166.00M,166.00M,-25.00M,,20.00M,,171.00M,-201.00M,1.571B,,-1.451B,32.00M,,173.00M,124.00M,,770.00M,-125.00M,,-125.00M,139.00M,-224.00M,8.00M,-202.00M,-6.00M,-6.00M,24.00M,,24.00M,-59.00M,-59.00M,1.00M,-40.00M,2.17B,528.00M,-20.00M,2.678B,24.00M,0.00,-6.00M,
2013-10,54.00M,0.00,,0.00,162.00M,1.00M,163.00M,163.00M,0.00,,25.00M,,22.00M,63.00M,-1.543B,,1.579B,-43.00M,,-15.00M,41.00M,,305.00M,-121.00M,,-121.00M,0.00,11.00M,-2.00M,-112.00M,-6.00M,-6.00M,125.00M,,125.00M,-58.00M,-58.00M,6.00M,67.00M,1.91B,260.00M,0.00,2.17B,125.00M,0.00,-6.00M,
2013-07,248.00M,151.00M,,151.00M,175.00M,2.00M,177.00M,177.00M,13.00M,-175.00M,23.00M,,56.00M,-328.00M,-133.00M,,4.00M,-85.00M,,73.00M,-469.00M,,24.00M,-127.00M,,-127.00M,41.00M,22.00M,-23.00M,-87.00M,985.00M,985.00M,13.00M,,13.00M,-58.00M,-58.00M,-7.00M,933.00M,908.00M,870.00M,-31.00M,1.91B,13.00M,2.121B,-1.136B,
2013-04,-73.00M,-28.00M,,-28.00M,200.00M,10.00M,210.00M,210.00M,-16.00M,175.00M,22.00M,,72.00M,473.00M,702.00M,,-1.118B,26.00M,,-450.00M,-367.00M,,-5.00M,-174.00M,,-174.00M,26.00M,11.00M,21.00M,-116.00M,-592.00M,-592.00M,9.00M,,9.00M,-58.00M,-58.00M,,-641.00M,1.663B,-762.00M,7.00M,908.00M,9.00M,293.00M,-885.00M,
2013-01,-566.00M,0.00,,0.00,137.00M,8.00M,145.00M,145.00M,77.00M,822.00M,12.00M,,220.00M,-767.00M,418.00M,,768.00M,102.00M,,344.00M,865.00M,,1.575B,-183.00M,,-183.00M,-2.00M,1.00M,58.00M,-126.00M,327.00M,327.00M,-1.00M,133.00M,132.00M,-58.00M,-58.00M,-5.00M,396.00M,309.00M,1.845B,-52.00M,1.826B,-1.00M,707.00M,-380.00M,133.00M
2012-10,1.00M,0.00,,0.00,212.00M,10.00M,222.00M,222.00M,-8.00M,,31.00M,0.00,26.00M,-84.00M,-1.842B,,1.801B,-28.00M,,-18.00M,-171.00M,,101.00M,-206.00M,,-206.00M,1.00M,2.00M,-14.00M,-217.00M,-223.00M,-223.00M,11.00M,0.00,11.00M,-57.00M,-57.00M,-4.00M,-273.00M,680.00M,-389.00M,18.00M,309.00M,11.00M,442.00M,-665.00M,0.00
