,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,1.622B,0.00,,-87.00M,-87.00M,,,,428.00M,-2.111B,,24.00M,17.00M,-510.00M,-206.00M,31.00M,140.00M,-10.00M,,52.00M,7.00M,,858.00M,,-713.00M,,-14.00M,,-18.00M,,169.00M,-562.00M,,-130.00M,0.00,-130.00M,1.00M,,1.00M,-248.00M,-248.00M,-192.00M,-569.00M,,1.172B,-273.00M,,899.00M,,1.00M,320.00M,-450.00M,,,AOR,Restated
2017-09,125.00M,-1.095B,,-115.00M,-1.21B,,,,433.00M,8.00M,,1.207B,17.00M,1.224B,-83.00M,7.00M,34.00M,6.00M,,-37.00M,-73.00M,,705.00M,,-657.00M,,-13.00M,,2.032B,,55.00M,1.43B,,-2.395B,0.00,-2.395B,5.00M,,5.00M,-248.00M,-248.00M,-243.00M,-2.881B,,1.918B,-746.00M,,1.172B,,5.00M,370.00M,-2.765B,,,AOR,Restated
2017-06,193.00M,0.00,,-125.00M,-125.00M,,,,433.00M,63.00M,,18.00M,23.00M,41.00M,172.00M,0.00,-47.00M,-35.00M,,-110.00M,-20.00M,,799.00M,,-557.00M,,-12.00M,,-27.00M,,59.00M,-525.00M,,1.463B,0.00,1.463B,3.00M,,3.00M,-248.00M,-248.00M,-213.00M,1.005B,,639.00M,1.279B,,1.918B,,3.00M,2.173B,-710.00M,,,AOR,Restated
2017-03,569.00M,-269.00M,,-107.00M,-376.00M,,,,442.00M,28.00M,,,21.00M,21.00M,29.00M,-30.00M,-101.00M,18.00M,,-63.00M,-147.00M,,727.00M,,-513.00M,,-2.00M,,148.00M,,122.00M,-243.00M,,-1.53B,-93.00M,-1.623B,2.122B,,2.122B,-248.00M,-248.00M,-266.00M,-15.00M,,170.00M,469.00M,,639.00M,,2.122B,470.00M,-2.00B,,,AOR,Restated
2016-12,37.00M,-27.00M,,,-424.00M,,,,437.00M,48.00M,,369.00M,18.00M,387.00M,-90.00M,-18.00M,424.00M,7.00M,,508.00M,831.00M,,2.058B,,-474.00M,,1.00M,,297.00M,,26.00M,-491.00M,,-1.305B,90.00M,-1.215B,115.00M,,115.00M,-150.00M,-150.00M,-224.00M,-1.474B,,77.00M,93.00M,,170.00M,,115.00M,820.00M,-2.125B,,,AOR,Restated
2016-09,131.00M,0.00,,,0.00,,,,435.00M,68.00M,,64.00M,21.00M,85.00M,-118.00M,-4.00M,133.00M,10.00M,,-112.00M,-91.00M,,628.00M,,-508.00M,,-2.00M,,702.00M,,74.00M,346.00M,,-460.00M,-195.00M,-655.00M,2.00M,,2.00M,-150.00M,-150.00M,-243.00M,-1.046B,,135.00M,-72.00M,,77.00M,,2.00M,1.205B,-1.665B,,,AOR,Restated
2016-06,-505.00M,0.00,,,0.00,,,,446.00M,-144.00M,,803.00M,13.00M,816.00M,-8.00M,13.00M,154.00M,-37.00M,,-49.00M,73.00M,,686.00M,,-556.00M,,7.00M,,-59.00M,,56.00M,-400.00M,,505.00M,61.00M,566.00M,0.00,,0.00,-481.00M,-481.00M,-386.00M,-301.00M,,164.00M,-15.00M,,135.00M,,0.00,1.815B,-1.31B,,,AOR,Restated
2016-03,-13.00M,0.00,,,0.00,,,,445.00M,2.00M,,112.00M,21.00M,133.00M,298.00M,-16.00M,-164.00M,16.00M,,82.00M,216.00M,,783.00M,,-513.00M,,24.00M,,-63.00M,,97.00M,-346.00M,,697.00M,-365.00M,332.00M,6.00M,,6.00M,-480.00M,-480.00M,-231.00M,-373.00M,,100.00M,64.00M,,164.00M,,6.00M,2.688B,-1.991B,,,AOR,Restated
2015-12,-1.337B,,,,,,,,451.00M,-378.00M,,2.176B,17.00M,2.193B,-335.00M,29.00M,119.00M,10.00M,,-130.00M,-307.00M,,622.00M,,-742.00M,,0.00,,-66.00M,,63.00M,-592.00M,,1.934B,-1.033B,901.00M,59.00M,,59.00M,-480.00M,-480.00M,-535.00M,-55.00M,,125.00M,-25.00M,,100.00M,,59.00M,2.887B,-953.00M,,,AOR,Restated
2015-09,-173.00M,,,,,,,,432.00M,-67.00M,,466.00M,19.00M,485.00M,24.00M,12.00M,-98.00M,39.00M,,-51.00M,-74.00M,,603.00M,,-771.00M,,-3.00M,,-46.00M,,-14.00M,-705.00M,,524.00M,-215.00M,309.00M,6.00M,,6.00M,-480.00M,-480.00M,188.00M,23.00M,,204.00M,-79.00M,,125.00M,,6.00M,1.165B,-641.00M,,,AOR,Restated
2015-06,183.00M,,,,,,,,428.00M,80.00M,,30.00M,23.00M,53.00M,50.00M,32.00M,126.00M,-54.00M,,-84.00M,70.00M,,814.00M,,-822.00M,,6.00M,,-512.00M,,53.00M,-1.246B,,-809.00M,1.741B,932.00M,11.00M,,11.00M,-442.00M,-442.00M,-206.00M,295.00M,,341.00M,-137.00M,,204.00M,,11.00M,465.00M,-1.274B,,,AOR,Restated
2015-03,13.00M,,,,,,,,427.00M,28.00M,,0.00,23.00M,23.00M,300.00M,32.00M,-181.00M,9.00M,,18.00M,178.00M,,669.00M,,-832.00M,,0.00,,-83.00M,,66.00M,-756.00M,,1.607B,-799.00M,808.00M,10.00M,,10.00M,-434.00M,-434.00M,-196.00M,188.00M,,240.00M,101.00M,,341.00M,,10.00M,5.255B,-3.648B,,,AOR,Restated
2014-12,308.00M,,,-22.00M,-22.00M,,,,379.00M,222.00M,,67.00M,17.00M,84.00M,-170.00M,53.00M,-145.00M,5.00M,,297.00M,40.00M,,1.011B,,-1.088B,,-1.00M,,-137.00M,,38.00M,-1.147B,,223.00M,533.00M,756.00M,2.00M,,2.00M,-426.00M,-426.00M,-258.00M,74.00M,,302.00M,-62.00M,,240.00M,,2.00M,1.187B,-964.00M,,,AOR,Restated
2014-09,1.708B,,,-2.522B,-2.522B,,,,369.00M,1.011B,,0.00,13.00M,13.00M,-123.00M,-8.00M,-92.00M,-12.00M,,1.00M,-234.00M,,345.00M,,-1.104B,,7.00M,,-62.00M,,-80.00M,-1.074B,,335.00M,265.00M,600.00M,61.00M,,61.00M,-419.00M,-419.00M,-71.00M,171.00M,,860.00M,-558.00M,,302.00M,,61.00M,1.199B,-864.00M,,,AOR,Restated
2014-06,127.00M,,,,,,,,214.00M,127.00M,,,12.00M,12.00M,1.00M,-54.00M,-25.00M,-59.00M,,-30.00M,-167.00M,,313.00M,,-1.046B,,22.00M,,-6.013B,,93.00M,-6.944B,,3.439B,-1.00M,3.438B,3.394B,,3.394B,-291.00M,-291.00M,-114.00M,6.427B,,1.064B,-204.00M,,860.00M,,3.394B,3.439B,0.00,,,AOR,Restated
2014-03,196.00M,,,,,,,,214.00M,-96.00M,,,11.00M,11.00M,16.00M,-27.00M,51.00M,22.00M,,59.00M,121.00M,,446.00M,,-793.00M,,6.00M,,-228.00M,,23.00M,-992.00M,,1.496B,-225.00M,1.271B,14.00M,,14.00M,-276.00M,-276.00M,-80.00M,929.00M,,681.00M,383.00M,,1.064B,,14.00M,1.496B,0.00,,,AOR,Restated
2013-12,49.00M,,,,,,,,209.00M,123.00M,,,9.00M,38.00M,-50.00M,36.00M,96.00M,14.00M,,0.00,96.00M,,515.00M,,-1.03B,,,,-111.00M,,-11.00M,-1.149B,,994.00M,-146.00M,848.00M,4.00M,,4.00M,-260.00M,-260.00M,-9.00M,583.00M,,732.00M,-51.00M,,681.00M,,4.00M,994.00M,0.00,,,AOR,Restated
2013-09,197.00M,,,0.00,0.00,,,,207.00M,40.00M,,,8.00M,8.00M,95.00M,-55.00M,24.00M,19.00M,,4.00M,87.00M,,539.00M,,-1.012B,,,,-162.00M,,-3.00M,-1.177B,,0.00,-340.00M,-340.00M,1.207B,,1.207B,-250.00M,-250.00M,-71.00M,546.00M,,824.00M,-92.00M,,732.00M,,1.207B,0.00,0.00,,,AOR,Restated
2013-06,192.00M,,,,,,,,198.00M,158.00M,,,11.00M,11.00M,62.00M,15.00M,39.00M,-19.00M,,12.00M,109.00M,,668.00M,,-817.00M,,,,-95.00M,,-6.00M,-918.00M,,-251.00M,710.00M,459.00M,2.00M,,2.00M,-241.00M,-241.00M,152.00M,372.00M,,702.00M,122.00M,,824.00M,,2.00M,935.00M,-1.186B,,,AOR,Restated
2013-03,230.00M,,,,,,,,201.00M,103.00M,,,9.00M,9.00M,-72.00M,-13.00M,-19.00M,11.00M,,45.00M,-48.00M,,495.00M,,-713.00M,,,,-93.00M,,-2.00M,-808.00M,,-125.00M,0.00,-125.00M,624.00M,,624.00M,-231.00M,-231.00M,-92.00M,176.00M,,839.00M,-137.00M,,702.00M,,624.00M,770.00M,-895.00M,,,AOR,Restated
