,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-12,225.00M,,,,-13.00M,,,,232.00M,-445.00M,,,,234.00M,-50.00M,6.00M,-307.00M,1.00M,250.00M,-176.00M,-276.00M,,559.00M,,-716.00M,-35.00M,2.065B,,,32.00M,-77.00M,-313.00M,,,,37.00M,352.00M,-292.00M,60.00M,,-59.00M,-41.00M,-3.00M,,1.455B,243.00M,,1.699B,,352.00M,,,-292.00M,,AOR,Restated
2007-09,198.00M,,,,26.00M,,,,333.00M,114.00M,,,,-30.00M,85.00M,13.00M,-44.00M,1.00M,-126.00M,124.00M,53.00M,,694.00M,,-864.00M,-11.00M,-875.00M,,,172.00M,27.00M,-676.00M,,,,-21.00M,8.00M,-234.00M,-226.00M,,-60.00M,6.00M,-301.00M,,1.739B,-283.00M,,1.455B,,8.00M,,,-234.00M,,,
2007-06,433.00M,,,,9.00M,,,,252.00M,258.00M,,,,-268.00M,-95.00M,35.00M,39.00M,-15.00M,65.00M,-28.00M,1.00M,,685.00M,,-727.00M,46.00M,-681.00M,,,9.00M,6.00M,-666.00M,,,,6.00M,14.00M,,14.00M,,-60.00M,-51.00M,-91.00M,,1.811B,-72.00M,,1.739B,,14.00M,,,,,,
2007-03,134.00M,,,,13.00M,,,,265.00M,73.00M,,,,4.00M,-62.00M,-25.00M,3.00M,3.00M,-189.00M,80.00M,-190.00M,,299.00M,,-509.00M,,-509.00M,,,-132.00M,,-641.00M,,,,-119.00M,15.00M,,15.00M,,-54.00M,42.00M,-116.00M,,2.269B,-458.00M,,1.811B,,15.00M,,,,,,
2006-12,146.90M,,,,-5.90M,,,,238.10M,-119.60M,,,,56.60M,19.30M,18.50M,101.90M,17.10M,162.30M,-283.50M,35.60M,,575.70M,,-739.50M,-41.10M,1.728B,,,91.30M,108.90M,-557.40M,,,,545.20M,650.20M,,650.20M,,-55.20M,36.10M,1.176B,,1.075B,1.195B,,2.269B,,650.20M,,,,,,Restated
2006-09,106.20M,,,,-196.30M,,,,220.40M,72.00M,,,,210.00M,-74.00M,47.50M,2.80M,13.90M,117.40M,121.10M,228.70M,,641.00M,,-766.90M,34.10M,-732.80M,,,240.40M,10.40M,-482.00M,,,,18.00M,231.80M,,231.80M,,-53.60M,-261.00M,-64.80M,,980.40M,94.20M,,1.075B,,231.80M,,,,,,
2006-06,-76.00M,,,,173.50M,,,,210.50M,-27.00M,,,,25.40M,0.20M,-29.80M,12.40M,-14.90M,-67.30M,300.80M,201.40M,0.80M,508.60M,,-534.30M,-5.50M,-539.80M,,,-236.50M,-14.20M,-790.50M,,,,-28.10M,4.80M,,4.80M,,-47.00M,217.60M,147.30M,,1.115B,-134.60M,,980.40M,,4.80M,,,,,,
2006-03,131.90M,,,,36.70M,,,,197.00M,74.60M,,,,,440.50M,-5.20M,-313.10M,-46.10M,-212.40M,-138.40M,-274.70M,-0.80M,164.70M,,-468.30M,12.50M,-455.80M,,,-54.20M,18.90M,-491.10M,,,,-64.10M,10.20M,,10.20M,,-51.20M,-50.70M,-155.80M,,1.597B,-482.20M,,1.115B,,10.20M,,,,,,
2005-12,67.20M,,,,-28.80M,,,,184.20M,63.10M,,,,227.70M,-127.00M,29.90M,231.50M,-66.80M,-52.70M,-243.80M,-228.90M,-1.80M,367.70M,,-413.10M,-70.40M,815.50M,,,-35.30M,390.90M,-49.90M,,,,-3.10M,6.60M,,6.60M,,-23.20M,-61.60M,-81.30M,,1.360B,236.50M,,1.597B,,6.60M,,,,,,Restated
2005-09,3.90M,,,,-73.00M,,,,199.50M,-212.70M,,,,56.30M,-287.70M,-41.50M,241.30M,66.00M,47.00M,288.10M,313.20M,1.80M,289.00M,,-369.30M,-40.80M,-410.10M,,,99.10M,1.20M,-309.80M,,,,35.80M,117.80M,,117.80M,,-48.40M,-21.10M,84.10M,,1.297B,63.30M,,1.360B,,117.80M,,,,,,
2005-06,40.70M,,,,50.90M,,,,178.10M,30.70M,,,,129.40M,13.00M,-36.70M,-23.00M,25.30M,124.80M,-44.30M,59.10M,,488.90M,,-293.70M,104.20M,-189.50M,,,-184.10M,-2.50M,-376.10M,,,,-5.20M,8.60M,,8.60M,,-42.90M,13.90M,-25.60M,,1.21B,87.20M,,1.297B,,8.60M,,,,,,
2005-03,202.20M,,,,-8.10M,,,,178.20M,118.90M,,,,-129.40M,159.70M,38.30M,-103.80M,-32.50M,-119.10M,,-57.40M,,304.40M,,-222.90M,7.00M,-215.90M,,,-17.70M,150.40M,-83.20M,,,,-215.50M,288.00M,,288.00M,,-28.50M,14.80M,58.80M,,930.00M,280.00M,,1.21B,,288.00M,,,,,,
2004-12,95.50M,,,,51.90M,,,,182.60M,92.40M,,,,-73.90M,-106.40M,0.50M,113.50M,40.00M,176.60M,-170.20M,54.00M,-2.80M,399.70M,,-248.90M,32.00M,-216.90M,,,7.30M,-6.40M,-216.00M,,,,-128.00M,5.90M,,5.90M,,-27.80M,-80.50M,-230.40M,,976.70M,-46.70M,,930.00M,,5.90M,,,,,,
2004-09,16.20M,,,,280.60M,,,,166.90M,49.50M,,,,,191.00M,-6.30M,-93.60M,372.20M,-275.40M,-244.00M,-56.10M,16.00M,473.10M,,-209.50M,548.80M,339.30M,,,380.70M,-310.30M,409.70M,,,,-843.20M,2.80M,,2.80M,,-5.90M,-90.10M,-936.40M,,1.030B,-53.60M,,976.70M,,2.80M,,,,,,
2004-06,-18.50M,,,,25.30M,,,,168.10M,-23.60M,,,,-120.60M,-11.20M,-51.40M,72.50M,126.80M,102.20M,187.20M,426.10M,55.50M,512.30M,,-201.20M,28.20M,-173.00M,,,9.20M,287.00M,123.20M,,,,-1.509B,7.10M,,7.10M,,-9.20M,-93.10M,-1.604B,,1.999B,-968.40M,,1.030B,,7.10M,,,,,,
2004-03,,,,,13.50M,,,,160.40M,4.70M,,,,120.60M,161.20M,38.90M,-210.90M,-18.10M,-114.60M,,-143.50M,-52.90M,102.80M,,-127.80M,280.80M,153.00M,,,74.40M,85.10M,312.50M,,,,-711.60M,4.80M,,4.80M,,-6.40M,-21.60M,-734.80M,,2.318B,-319.50M,,1.999B,,4.80M,,,,,,
2003-12,-75.40M,,,,127.80M,,,,171.00M,-59.70M,,,,-354.00M,-20.10M,33.40M,-91.20M,-99.40M,63.90M,306.30M,192.90M,72.70M,75.30M,,-222.60M,127.20M,-95.40M,,,426.10M,-432.10M,-101.40M,,,,-1.127B,0.80M,0.00,0.80M,,-25.00M,64.40M,-1.087B,,3.431B,-1.113B,,2.318B,,0.80M,,,0.00,,,
2003-09,11.40M,,,,-13.80M,,,,164.10M,45.50M,,,,-15.00M,19.00M,14.80M,-50.30M,231.50M,-263.90M,79.70M,30.80M,2.90M,225.90M,,-282.10M,315.70M,33.60M,,,28.70M,44.50M,106.80M,,,,-116.40M,0.30M,0.00,0.30M,,-4.50M,-10.90M,-131.50M,,3.230B,201.20M,,3.431B,,0.30M,,,0.00,,,
2003-06,118.50M,,,,-168.10M,,,,259.60M,103.10M,,,,57.00M,717.10M,0.50M,-382.00M,234.70M,-23.20M,-386.00M,161.10M,34.40M,565.60M,,-217.00M,1.732B,1.515B,,,-471.00M,18.20M,1.062B,,,,154.30M,0.10M,-275.00M,-274.90M,,-31.20M,252.20M,100.40M,,1.502B,1.728B,,3.230B,,0.10M,,,-275.00M,,,
2003-03,-39.30M,,,,45.90M,,,,249.20M,-22.30M,,,,-57.00M,-44.30M,39.40M,-88.60M,-106.50M,-163.50M,,-363.50M,90.30M,-96.70M,,-235.10M,679.60M,444.50M,,,-5.60M,-10.30M,428.60M,,,,-191.00M,,,,,-12.40M,-362.90M,-566.30M,,1.736B,-234.40M,,1.502B,,,,,,,,
2002-12,-151.20M,,,,253.10M,,,,322.30M,-44.30M,,,,,714.10M,147.60M,-546.60M,74.40M,-236.50M,-442.20M,-289.20M,271.10M,863.60M,,-448.30M,480.20M,31.90M,,,247.60M,-3.30M,276.20M,,,,-826.80M,2.00M,0.00,2.00M,,-60.00M,188.30M,-696.50M,,1.293B,443.30M,,1.736B,,2.00M,,,0.00,,,
2002-09,-175.90M,,,,-24.00M,,,,146.90M,4.90M,,,,,88.40M,49.00M,-627.20M,-552.30M,75.60M,425.80M,-540.70M,124.80M,-464.00M,,-278.90M,1.820B,1.541B,,,6.50M,-2.60M,1.545B,,,,26.00M,-9.20M,-135.00M,-144.20M,,19.10M,-462.30M,-561.40M,,773.30M,519.40M,,1.293B,,-9.20M,,,-135.00M,,,
2002-06,-407.80M,,,,119.60M,,,,124.00M,-226.30M,,,,,-499.10M,-21.00M,623.10M,-222.80M,147.80M,335.40M,363.40M,122.40M,95.30M,,-504.20M,39.80M,-464.40M,,,-138.80M,16.00M,-587.20M,,,,-1.049B,-7.80M,,-7.80M,,-120.40M,739.80M,-437.80M,,1.703B,-929.70M,,773.30M,,-7.80M,,,,,,
2002-03,123.20M,,,,-504.80M,,,,211.60M,73.30M,,,,,-62.30M,-95.00M,-25.70M,-200.00M,-241.70M,-319.00M,-943.70M,30.20M,-1.010B,,-431.40M,509.70M,78.30M,,,-151.00M,-56.90M,-129.60M,,,,1.469B,291.50M,,291.50M,,-117.50M,-101.30M,1.542B,,1.301B,401.90M,,1.703B,,291.50M,,,,,,
2001-12,-136.40M,,,,276.20M,,,,66.00M,-27.20M,,,,,1.143B,277.50M,-596.20M,304.20M,-287.20M,-163.90M,677.70M,-330.90M,525.40M,,-316.70M,163.00M,-153.70M,,-21.30M,93.40M,1.122B,1.040B,,,,582.40M,179.10M,,-14.90M,,-160.00M,-1.182B,-774.60M,,413.90M,790.70M,96.50M,1.301B,,179.10M,,,,,,
2001-09,243.40M,,,,128.20M,,,,212.60M,174.20M,,,,,-230.60M,-105.40M,-393.10M,-17.00M,565.10M,-686.80M,-867.80M,-72.00M,-181.40M,,-557.10M,9.40M,-547.70M,,-1.322B,-185.80M,961.30M,-1.094B,,,,835.00M,16.40M,,16.40M,,-92.60M,-84.10M,674.70M,,1.015B,-600.70M,0.00,413.90M,,16.40M,,,,,,
2001-06,328.80M,,,,-48.30M,,,,175.30M,88.60M,,,,,-630.30M,-78.10M,492.70M,910.50M,-127.60M,80.50M,647.70M,48.10M,1.240B,,-443.10M,6.70M,-436.40M,,,-144.40M,-785.30M,-1.366B,,,,1.148B,18.40M,,18.40M,,-65.50M,-198.40M,902.70M,,334.30M,776.80M,-96.50M,1.015B,,18.40M,,,,,,
2001-03,366.90M,,,,40.30M,,,,174.30M,127.10M,,,,,75.20M,175.30M,66.30M,-501.90M,71.50M,-835.70M,-949.30M,31.50M,-209.20M,,-307.20M,14.50M,-292.70M,,,-87.60M,-1.454B,-1.834B,,,,-1.505B,1.362B,,1.362B,,-79.80M,1.390B,1.167B,,1.211B,-876.40M,,334.30M,,1.362B,,,,,,
2000-12,371.20M,,,,428.00M,,,,15.30M,224.30M,,,,,-1.026B,17.50M,601.30M,-583.80M,-421.80M,455.10M,-957.50M,-139.40M,-58.10M,,2.226B,-46.80M,2.179B,,-578.60M,-649.80M,71.30M,1.022B,,,,-1.002B,9.80M,,9.80M,,-108.70M,330.30M,-770.40M,,1.028B,193.60M,,1.211B,,9.80M,,,,,,
2000-09,168.90M,,,,-325.20M,,,,317.60M,46.00M,,,,,-216.90M,-130.50M,275.30M,17.40M,65.60M,43.90M,54.80M,112.70M,374.80M,,-3.066B,26.40M,-3.040B,,-0.10M,604.70M,-6.60M,-2.442B,,,,2.488B,31.20M,,31.20M,,-66.50M,211.90M,2.664B,,419.80M,597.30M,,1.028B,,31.20M,,,,,,
2000-06,286.40M,,,,8.20M,,,,159.60M,161.60M,,,,,-176.20M,-103.90M,285.20M,-112.80M,130.50M,-314.00M,-291.20M,-140.90M,183.70M,,-381.60M,7.00M,-374.60M,,-147.70M,-90.90M,16.40M,-596.80M,,,,126.20M,14.00M,,14.00M,,-66.30M,11.00M,84.90M,,264.10M,-328.20M,,419.80M,,14.00M,,,,,,
2000-03,138.90M,,,,19.90M,,,,154.30M,8.60M,,,,,-139.30M,-76.80M,117.30M,-21.20M,-190.40M,-85.50M,-395.90M,28.20M,-46.00M,,-291.40M,13.40M,-278.00M,,,,-42.80M,-320.80M,,,,89.50M,20.20M,,20.20M,,-66.30M,-10.20M,33.20M,,597.70M,-333.60M,,264.10M,,20.20M,,,,,,
1999-12,57.10M,,,,-83.20M,,,,196.90M,41.40M,,,,,-139.00M,47.70M,372.20M,-48.30M,196.20M,70.50M,499.30M,,711.50M,,-1.442B,-38.20M,-1.480B,,-8.50M,-976.40M,-175.90M,-2.641B,,,,1.097B,1.551B,,1.551B,,-65.30M,151.20M,2.734B,,287.90M,804.10M,,1.092B,,1.551B,,,,,,
1999-09,31.80M,,,,93.40M,,,,194.10M,35.10M,,,,-125.10M,-491.20M,-113.90M,450.10M,-24.50M,-1.20M,58.90M,-121.80M,,107.50M,,-903.00M,71.10M,-831.90M,,0.00,-53.90M,14.70M,-871.10M,,,,998.60M,-66.20M,,-66.20M,,-66.30M,-14.70M,851.40M,,200.10M,87.80M,,287.90M,,-66.20M,,,,,,
1999-06,17.00M,,,,34.10M,,,,178.10M,350.70M,,,,8.60M,-266.00M,-33.10M,231.70M,-15.30M,99.40M,26.90M,43.60M,,632.10M,,-791.70M,51.00M,-740.70M,,0.00,-51.30M,14.10M,-777.90M,,,,34.40M,42.70M,,42.70M,,-65.80M,4.50M,15.80M,,330.10M,-130.00M,,200.10M,,42.70M,,,,,,
1999-03,55.90M,,,,0.60M,,,,172.90M,27.90M,,,,116.50M,32.00M,-19.40M,-104.80M,-29.60M,-226.50M,11.10M,-337.20M,,36.60M,,-376.50M,,-376.50M,,-162.90M,-353.20M,-93.50M,-986.10M,,,,755.70M,82.10M,,82.10M,,-66.30M,4.80M,776.30M,,503.30M,-173.20M,,330.10M,,82.10M,,,,,,
1998-12,-33.40M,,,,133.00M,,,,,-24.20M,,,,160.60M,-11.00M,-60.90M,27.50M,-26.70M,-2.10M,-24.00M,-97.20M,,138.80M,,-373.70M,21.40M,-352.30M,,,-122.40M,91.30M,-393.00M,,,,535.50M,11.00M,,11.00M,,-65.60M,185.00M,665.90M,,91.60M,411.70M,,503.30M,,11.00M,,,,,,
1998-09,32.10M,,,,34.40M,,,,,7.10M,,,,203.80M,-203.40M,47.20M,2.90M,14.90M,63.20M,-81.10M,-156.30M,,121.10M,,-499.20M,6.70M,-492.50M,,,-54.30M,12.10M,-534.70M,,,,336.40M,4.30M,,4.30M,,-65.90M,94.90M,369.70M,,135.50M,-43.90M,,91.60M,,4.30M,,,,,,
1998-06,60.70M,,,,3.00M,,,,,22.20M,,,,129.50M,-92.10M,-60.50M,45.50M,-52.80M,84.50M,1.60M,-73.80M,,141.60M,,-460.40M,14.60M,-445.80M,,,-278.80M,1.20M,-723.40M,,,,577.60M,21.30M,,21.30M,,-65.30M,10.50M,544.10M,,173.20M,-37.70M,,135.50M,,21.30M,,,,,,
1998-03,72.90M,,,,-2.10M,,,,,37.80M,,,,152.40M,263.60M,12.60M,-275.60M,6.10M,-53.70M,-2.80M,-49.80M,,211.20M,,-374.90M,12.00M,-362.90M,,,-14.80M,-11.30M,-389.00M,,,,231.90M,41.60M,,41.60M,,-64.60M,20.00M,228.90M,,122.10M,51.10M,,173.20M,,41.60M,,,,,,
1997-12,62.90M,,,,54.40M,,,,,45.30M,,,,112.90M,-294.90M,14.10M,243.80M,-9.00M,104.50M,-26.10M,32.40M,,307.90M,,-409.10M,20.10M,-389.00M,,-11.00M,23.60M,4.10M,-372.30M,,,,72.30M,34.80M,0.00,34.80M,,-57.90M,-1.20M,48.00M,,138.50M,-16.40M,,122.10M,,34.80M,,,0.00,,,
1997-09,87.40M,,,,-157.10M,,,,,12.90M,,,,173.10M,-163.40M,-25.30M,247.80M,-8.30M,4.90M,9.90M,65.60M,,181.90M,,-453.30M,14.10M,-439.20M,,-5.50M,-58.90M,8.10M,-495.50M,,,,325.90M,11.70M,0.00,11.70M,,-52.20M,-18.60M,266.80M,,185.30M,-46.80M,,138.50M,,11.70M,,,0.00,,,
1997-06,118.50M,,,,-33.60M,,,,,20.70M,,,,140.50M,11.40M,-31.40M,41.50M,-11.10M,-138.40M,-4.00M,-132.00M,,114.10M,,-300.80M,64.50M,-236.30M,,-110.10M,-36.80M,-4.30M,-387.50M,,,,327.60M,7.30M,-16.30M,-9.00M,,-51.80M,-1.10M,265.70M,,193.00M,-7.70M,,185.30M,,7.30M,,,-16.30M,,,
1997-03,178.60M,,,,-68.30M,,,,,25.40M,,,,159.40M,455.00M,-46.90M,-345.10M,45.10M,-8.60M,-10.30M,89.20M,,384.30M,,-177.30M,76.70M,-100.60M,,-20.10M,-133.50M,-0.60M,-254.80M,,,,-85.50M,18.70M,-33.90M,-15.20M,,-52.50M,-3.40M,-156.60M,,220.10M,-27.10M,,193.00M,,18.70M,,,-33.90M,,,
1996-12,203.50M,,,,,,,,,61.90M,,,,-12.50M,-278.70M,-1.80M,253.40M,32.60M,2.00M,-15.40M,-7.90M,,198.60M,,-290.70M,58.90M,-231.80M,,-70.70M,-19.60M,17.10M,-305.00M,,,,216.30M,11.60M,-0.10M,11.50M,,-43.60M,-3.00M,181.20M,,40.50M,74.80M,,115.30M,,11.60M,,,-0.10M,,,
1996-09,71.00M,,,,,,,,,8.20M,,,,107.40M,30.70M,-2.10M,-37.50M,-23.20M,37.60M,-16.50M,-11.00M,,175.60M,,-254.40M,24.30M,-230.10M,,-58.80M,-29.40M,-31.60M,-349.90M,,,,213.80M,5.90M,-33.80M,-27.90M,,-38.30M,1.70M,149.30M,,65.50M,-25.00M,,40.50M,,5.90M,,,-33.80M,,,
1996-06,80.40M,,,,,,,,,-5.50M,,,,106.20M,88.00M,2.60M,-57.40M,-1.30M,-48.90M,-12.40M,-29.40M,,151.70M,,-158.20M,,-158.20M,,-21.70M,-27.90M,6.90M,-200.90M,,,,57.30M,10.50M,,10.50M,,-38.30M,-2.40M,27.10M,,87.60M,-22.10M,,65.50M,,10.50M,,,,,,
1996-03,104.90M,,,,,,,,,7.80M,,,,112.80M,-67.30M,-14.80M,45.50M,-4.30M,-15.60M,15.50M,-41.00M,,184.50M,,-115.60M,,-115.60M,,-215.00M,,-233.30M,-563.90M,,,,391.10M,26.30M,,26.30M,,-38.20M,-2.60M,376.60M,,90.40M,-2.80M,,87.60M,,26.30M,,,,,,
1995-12,77.50M,,,,26.20M,,,,,102.70M,,,,96.60M,-51.60M,31.80M,67.20M,-41.70M,-24.10M,-7.70M,-26.10M,,276.90M,,-229.90M,16.30M,-213.60M,,-41.80M,-49.70M,-26.00M,-331.10M,,,,62.10M,59.30M,-0.80M,58.50M,,-30.70M,-8.90M,81.00M,,63.60M,26.80M,,90.40M,,59.30M,,,-0.80M,,,
1995-09,68.50M,,,,0.00,,,,,-4.20M,,,,99.40M,-23.10M,-29.30M,34.20M,12.60M,61.70M,-41.40M,14.70M,,178.40M,,-248.10M,-1.60M,-249.70M,,-169.00M,1.40M,-92.90M,-510.20M,,,,40.40M,3.30M,-2.90M,0.40M,,-31.20M,2.90M,12.50M,,382.90M,-319.30M,,63.60M,,3.30M,,,-2.90M,,,
1995-06,83.30M,,,,12.60M,,,,,16.20M,,,,89.90M,97.70M,16.90M,-58.70M,-4.10M,-47.40M,-16.40M,-12.00M,,190.00M,,-213.60M,86.70M,-126.90M,,-169.50M,123.70M,-228.40M,-401.10M,,,,-6.20M,15.50M,,15.50M,,-31.00M,0.70M,-21.00M,,615.00M,-232.10M,,382.90M,,15.50M,,,,,,
1995-03,1.089B,,,,-1.006B,,,,,10.70M,,,,83.50M,66.10M,-7.50M,-49.20M,23.00M,6.50M,-32.90M,6.00M,,183.40M,,-135.90M,2.515B,2.379B,,-478.60M,,-73.30M,1.827B,,,,-1.214B,,,,,-26.20M,-191.90M,-1.432B,,36.10M,578.90M,,615.00M,,,,,,,,
1994-12,76.50M,,,,-41.40M,,,,,12.20M,,,,39.50M,-124.60M,19.00M,33.90M,28.90M,-8.60M,-18.00M,-69.40M,16.60M,34.00M,,-175.20M,0.60M,-174.60M,,-9.40M,-3.30M,17.10M,-170.20M,,,,486.20M,1.40M,-307.00M,-305.60M,,-21.80M,-14.50M,144.30M,,28.00M,8.10M,,36.10M,,1.40M,,,-307.00M,,,
1994-09,55.60M,,,,-23.40M,,,,,8.30M,,,,39.30M,-87.80M,4.80M,-14.00M,-31.20M,17.90M,38.40M,-71.90M,40.70M,48.60M,,-133.10M,0.10M,-133.00M,,-1.90M,0.00,-3.10M,-138.00M,,,,198.30M,5.60M,-106.20M,-100.60M,,-24.00M,14.30M,88.00M,,29.40M,-1.40M,,28.00M,,5.60M,,,-106.20M,,,
1994-06,74.00M,,,,-38.80M,,,,,-4.60M,,,,35.30M,17.70M,-22.20M,48.30M,-1.60M,2.00M,-34.30M,9.90M,67.50M,143.30M,,-94.20M,0.50M,-93.70M,,0.00,80.60M,4.10M,-9.00M,,,,-135.10M,19.40M,,19.40M,,-24.10M,-9.70M,-149.50M,,44.60M,-15.20M,,29.40M,,19.40M,,,,,,
1994-03,52.80M,,,,-12.20M,,,,,9.90M,,,,36.20M,19.70M,8.60M,-47.50M,1.10M,-3.20M,13.10M,-8.20M,44.60M,123.10M,,-65.80M,0.40M,-65.40M,,-45.20M,,0.80M,-109.80M,,,,-18.90M,,,,,-24.00M,9.90M,-33.00M,,64.30M,-19.70M,,44.60M,,,,,,,,
