,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-10,605.73M,,605.73M,97.58M,316.83M,408.81M,28.24M,11.26M,,,1.138B,0.0,1.333B,974.52M,413.05M,112.28M,2.833B,-648.52M,2.184B,342.58M,45.86M,388.44M,,0.212M,30.03M,2.603B,3.741B,359.82M,12.64M,372.46M,,372.46M,,,,25.60M,25.60M,9.476M,9.476M,,,407.54M,411.84M,88.49M,500.34M,77.83M,77.83M,,0.311M,622.82M,1.030B,0.024M,2.138B,701.65M,-128.49M,2.711B
2020-07,477.72M,,477.72M,94.28M,262.32M,376.95M,20.08M,15.33M,,,963.76M,0.0,1.235B,932.98M,397.97M,118.46M,2.685B,-624.54M,2.060B,343.62M,47.77M,391.39M,,0.213M,39.72M,2.492B,3.455B,132.92M,20.74M,153.66M,37.50M,191.17M,,,,25.57M,25.57M,97.25M,97.25M,,,356.04M,397.04M,95.58M,492.62M,71.69M,71.69M,,0.43M,609.70M,965.74M,0.024M,1.938B,672.73M,-121.09M,2.490B
2020-04,306.39M,,306.39M,79.08M,273.19M,377.82M,19.81M,14.78M,,,794.15M,0.0,1.149B,902.42M,385.89M,106.63M,2.544B,-599.04M,1.945B,338.04M,48.67M,386.71M,,0.31M,35.48M,2.367B,3.162B,250.84M,0.905M,251.75M,,251.75M,,,,26.94M,26.94M,7.884M,7.884M,,,286.57M,403.65M,85.70M,489.35M,57.72M,57.72M,,0.134M,594.00M,880.57M,0.023M,1.774B,646.33M,-138.92M,2.281B
2020-01,93.51M,,93.51M,98.53M,353.75M,514.38M,18.52M,14.96M,,,731.96M,0.0,1.132B,864.24M,373.18M,104.36M,2.473B,-579.66M,1.894B,338.26M,50.29M,388.55M,,0.348M,34.06M,2.317B,3.049B,296.98M,0.728M,297.70M,,297.70M,,14.22M,14.22M,23.31M,37.53M,7.603M,7.603M,,,342.84M,399.85M,81.91M,481.75M,55.50M,55.50M,,0.138M,581.04M,923.88M,0.023M,1.627B,617.71M,-119.87M,2.125B
2019-10,181.10M,,181.10M,87.47M,312.23M,442.68M,19.48M,14.78M,,,744.08M,,,,,1.682B,1.682B,,1.682B,337.18M,52.62M,389.80M,,0.404M,39.58M,2.112B,2.856B,289.25M,1.313M,290.56M,,290.56M,,0.59M,0.59M,27.06M,27.64M,5.113M,5.113M,,,323.32M,399.98M,113.26M,513.24M,53.68M,53.68M,,0.137M,606.02M,929.34M,0.023M,1.458B,587.64M,-119.29M,1.927B
2019-07,186.32M,,186.32M,89.27M,282.93M,386.79M,20.94M,16.57M,,,687.17M,0.0,939.82M,686.62M,338.92M,,1.965B,-537.62M,1.428B,333.32M,55.16M,388.48M,,0.411M,43.84M,1.860B,2.548B,113.95M,7.363M,121.31M,38.27M,159.58M,,,,1.138M,1.138M,79.89M,79.89M,,,282.00M,400.09M,0.00,400.09M,48.68M,48.68M,,3.342M,487.23M,769.24M,0.023M,1.338B,572.56M,-132.53M,1.778B
2019-04,102.83M,,102.83M,97.17M,285.17M,395.47M,22.31M,17.70M,,,613.58M,,,,,,,,1.341B,337.72M,57.63M,395.35M,,0.333M,41.80M,1.778B,2.392B,279.78M,1.583M,281.36M,,281.36M,,,7.556M,,7.556M,7.988M,7.988M,,,296.91M,398.84M,,398.84M,40.16M,40.16M,,3.371M,476.00M,772.91M,0.023M,1.186B,545.90M,-113.19M,1.619B
2019-01,108.17M,,108.17M,84.29M,314.81M,393.59M,28.32M,17.78M,,,628.47M,,,,,,,,1.237B,338.04M,60.26M,398.31M,,0.348M,32.66M,1.668B,2.297B,266.13M,4.441M,270.57M,,270.57M,,,94.12M,,94.12M,7.344M,7.344M,,,372.03M,398.74M,,398.74M,32.31M,32.31M,,3.475M,464.92M,836.95M,0.023M,1.037B,530.10M,-107.22M,1.460B
2018-10,320.31M,,320.31M,79.23M,262.33M,336.03M,19.73M,16.55M,,,763.22M,,,,,,,,1.188B,335.12M,62.90M,398.02M,,0.468M,31.99M,1.619B,2.382B,235.98M,12.89M,248.88M,,248.88M,,,0.999M,,0.999M,4.934M,4.934M,,,254.81M,398.64M,,398.64M,23.82M,23.82M,,3.509M,455.22M,710.03M,0.023M,1.253B,534.11M,-115.65M,1.672B
2018-07,274.52M,,274.52M,125.26M,231.79M,366.91M,16.73M,16.66M,,,709.12M,0.0,762.52M,610.96M,280.06M,,1.654B,-490.12M,1.163B,337.24M,64.89M,402.13M,,0.47M,32.56M,1.599B,2.308B,133.72M,0.673M,134.39M,37.57M,171.96M,,,1.151M,,1.151M,66.93M,66.93M,,,277.26M,398.75M,,398.75M,19.73M,19.73M,,3.586M,449.34M,726.60M,0.023M,1.162B,526.86M,-107.93M,1.581B
