,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,278.50M,8.60M,,,8.60M,,,71.00M,71.00M,11.70M,,61.10M,-447.20M,,764.80M,14.30M,,-83.90M,248.00M,,689.30M,2020-09,-40.10M,,,0.00,,0.90M,-39.20M,,-0.40M,-0.60M,-1.00M,,,,,,-99.40M,,-99.40M,0.00,-115.40M,,2020-09,1.087B,8.60M,1.630B,,2020-09,,1.90M,-0.40M,,2020-09,AOR,
2020-06,-43.90M,19.90M,,,19.90M,,,73.10M,73.10M,-9.90M,,93.60M,987.30M,,-1.215B,-17.50M,,8.60M,-236.70M,,-87.10M,2020-06,-27.30M,,,-1.20M,,-4.00M,-32.50M,,-0.10M,-245.30M,-245.40M,,,,,,-99.20M,,-99.20M,0.00,-366.70M,,2020-06,1.556B,17.80M,1.087B,,2020-06,,0.00,-0.10M,,2020-06,AOR,
2020-03,2.60M,23.30M,,,23.30M,,,72.80M,72.80M,-11.20M,,26.70M,1.303B,,-1.626B,-57.50M,,-33.50M,-413.90M,,-277.10M,2020-03,-44.60M,,,-1.30M,,-14.90M,-60.80M,,646.20M,247.80M,894.00M,,,,,,-100.00M,,-100.00M,0.00,744.40M,,2020-03,1.196B,-46.70M,1.556B,,2020-03,,646.20M,,,2020-03,AOR,
2019-12,342.20M,23.90M,,,23.90M,,,65.40M,65.40M,11.20M,,24.00M,-1.008B,,1.600B,2.30M,,42.70M,636.50M,,1.106B,2019-12,-64.70M,,,0.00,,23.70M,-41.00M,,-103.10M,-192.90M,-296.00M,,,,,,-90.90M,,-90.90M,0.10M,-398.00M,,2019-12,524.00M,5.10M,1.196B,,2019-12,,-173.10M,-103.10M,,2019-12,AOR,
2019-09,168.40M,7.70M,,,7.70M,,,69.00M,69.00M,1.50M,,16.00M,190.30M,,-257.10M,32.60M,,-4.80M,-39.00M,,224.60M,2019-09,-53.70M,,,0.00,,10.90M,-42.80M,,-200.10M,40.80M,-159.30M,,,,,,-90.80M,,-90.80M,3.60M,-253.30M,,2019-09,616.90M,-21.40M,524.00M,,2019-09,,173.10M,-200.10M,,2019-09,AOR,Restated
2019-06,172.80M,3.20M,,,3.20M,,,73.00M,73.00M,28.00M,,15.80M,-245.30M,,269.70M,17.30M,,-45.30M,-3.60M,,292.50M,2019-06,-47.30M,,,-0.60M,,0.70M,-47.20M,,-100.10M,-68.70M,-168.80M,,,,,,-90.80M,,-90.80M,0.00,-278.40M,,2019-06,633.30M,16.70M,616.90M,,2019-06,,0.00,-100.10M,,2019-06,AOR,Restated
2019-03,-9.50M,8.60M,,,8.60M,,,71.10M,71.10M,-31.00M,,43.60M,913.20M,,-1.039B,-79.40M,,25.30M,-179.70M,,-93.50M,2019-03,-32.80M,,,0.00,,2.10M,-30.70M,,0.00,201.00M,201.00M,,,,,,-90.60M,,-90.60M,0.60M,86.70M,,2019-03,677.20M,-6.40M,633.30M,,2019-03,,0.00,,,2019-03,AOR,Restated
2018-12,342.50M,11.90M,,,11.90M,,,68.90M,68.90M,37.00M,,21.80M,-953.90M,,1.358B,33.40M,,-24.80M,412.60M,,891.80M,2018-12,-71.40M,,,-2.298B,,-5.70M,-2.375B,,400.10M,-12.90M,387.20M,,0.00,0.00,,,-80.50M,,-80.50M,6.40M,302.60M,,2018-12,1.870B,-12.00M,677.20M,,2018-12,,500.00M,-99.90M,,2018-12,AOR,Restated
2018-09,163.50M,5.80M,,,5.80M,,,44.00M,44.00M,8.10M,,17.50M,136.30M,,-198.20M,24.00M,,26.70M,-11.20M,,231.00M,2018-09,-44.20M,,,-3.50M,,-11.30M,-59.00M,,1.994B,-673.90M,1.320B,,-2.60M,-2.60M,,,-80.40M,,-80.40M,2.10M,1.210B,,2018-09,495.90M,-7.80M,1.870B,,2018-09,,1.994B,-0.20M,,2018-09,AOR,Restated
2018-06,147.80M,19.80M,,,19.80M,,,44.00M,44.00M,-10.20M,,12.40M,-450.20M,,403.60M,-36.30M,0.00,37.30M,-45.60M,,172.20M,2018-06,-38.70M,,,-8.30M,,12.50M,-34.50M,,-4.70M,-49.50M,-54.20M,,-59.60M,-59.60M,,,-80.40M,,-80.40M,0.10M,-217.20M,,2018-06,600.00M,-24.60M,495.90M,,2018-06,,,-4.70M,,2018-06,AOR,Restated
2018-03,-16.10M,24.40M,,,24.40M,,,46.00M,46.00M,-20.80M,,38.20M,454.50M,,-1.159B,-88.30M,,-11.10M,-803.70M,,-729.90M,2018-03,-22.80M,,,-0.20M,,-0.10M,-23.10M,,,718.80M,718.80M,,-54.90M,-54.90M,,,-80.80M,,-80.80M,6.90M,558.20M,,2018-03,797.70M,-2.90M,600.00M,,2018-03,,,,,2018-03,AOR,Restated
2017-12,269.20M,3.20M,,,3.20M,,,32.60M,32.60M,-28.30M,,20.40M,-836.80M,,1.345B,114.00M,,101.90M,723.70M,,1.021B,2017-12,-47.20M,,,-8.00M,,-0.50M,-55.70M,,-301.00M,-426.90M,-727.90M,,-84.10M,-84.10M,,,-69.10M,,-69.10M,1.00M,-891.80M,,2017-12,708.00M,16.40M,797.70M,,2017-12,,0.00,-301.00M,,2017-12,AOR,Restated
2017-09,172.30M,8.70M,,,8.70M,,,42.20M,42.20M,9.30M,,21.10M,104.70M,,-284.30M,20.60M,,-81.40M,-240.40M,,14.10M,2017-09,-39.80M,,,-10.00M,,5.30M,-44.50M,,0.00,276.40M,276.40M,,-101.00M,-101.00M,,,-69.80M,,-69.80M,0.30M,86.30M,,2017-09,659.90M,-7.80M,708.00M,,2017-09,,0.00,0.00,,2017-09,AOR,Restated
2017-06,107.60M,13.10M,,,13.10M,,,41.30M,41.30M,21.50M,,21.20M,4.10M,,26.20M,-15.90M,,-3.10M,11.30M,,218.70M,2017-06,-44.10M,,,-9.30M,,-9.40M,-62.80M,,-23.60M,-71.30M,-94.90M,,-60.00M,-60.00M,,,-70.50M,,-70.50M,3.60M,-263.80M,,2017-06,779.60M,-11.80M,659.90M,,2017-06,,,-23.60M,,2017-06,AOR,Restated
2017-03,21.30M,-0.90M,,,-0.90M,,,41.00M,41.00M,-12.00M,,37.80M,600.10M,,-991.40M,-68.60M,,-5.00M,-464.90M,,-371.80M,2017-03,-24.80M,,,-3.30M,,-5.10M,-33.20M,,,224.80M,224.80M,,-55.00M,-55.00M,,,-70.90M,,-70.90M,8.20M,64.40M,,2017-03,1.100B,20.00M,779.60M,,2017-03,,,,,2017-03,AOR,Restated
2016-12,333.40M,25.30M,,,25.30M,,,42.70M,42.70M,42.00M,,33.70M,-648.00M,,687.80M,21.10M,,-1.40M,59.50M,,539.70M,2016-12,-86.20M,,,-4.10M,,-6.10M,-96.40M,,-0.70M,-22.30M,-23.00M,,-110.00M,-110.00M,,,-58.80M,,-58.80M,0.00,-199.50M,,2016-12,895.50M,-39.10M,1.100B,,2016-12,,,-0.70M,,2016-12,AOR,Restated
2016-09,132.70M,-3.90M,,,-3.90M,,,39.70M,39.70M,6.80M,,21.60M,107.70M,,204.20M,12.70M,,-0.60M,324.00M,,526.90M,2016-09,-51.50M,,,-13.60M,,-0.20M,-65.30M,,-0.10M,-88.90M,-89.00M,,-80.80M,-80.80M,,,-59.50M,,-59.50M,0.40M,-239.90M,,2016-09,675.70M,-1.90M,895.50M,,2016-09,,,-0.10M,,2016-09,AOR,Restated
