,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.987B,1.995B,1.232B,763.10M,,295.80M,295.80M,,,58.20M,55.70M,,,,29.70M,2.60M,-27.10M,,354.00M,409.10M,2.60M,29.70M,-27.10M,155.30M,-27.10M,537.30M,142.50M,394.80M,,-49.50M,,345.30M,257.47M,647.00M,80.00M,567.00M,,0.67,,,0.4912,0.67,,0.67,,,0.4914,0.67,,491.10M,491.70M,0.28,,AOR,
2020-09,1.697B,1.627B,1.199B,428.40M,,328.00M,328.00M,,,,47.50M,,,,15.70M,2.90M,-12.80M,,382.00M,46.40M,2.90M,15.70M,-12.80M,166.00M,-12.80M,199.60M,73.10M,126.50M,,-47.60M,,78.90M,-32.77M,271.40M,56.10M,215.30M,,0.15,,,-0.0774,0.15,,0.15,,,-0.0772,0.15,,491.00M,491.50M,0.27,,AOR,
2020-06,1.156B,1.188B,755.10M,433.00M,,179.30M,179.30M,,,,31.50M,,,,6.80M,2.30M,-4.50M,,179.30M,253.70M,2.30M,6.80M,-4.50M,20.60M,-4.50M,269.80M,16.10M,253.70M,,36.70M,,290.40M,287.67M,298.80M,22.20M,276.60M,,0.58,,,0.5744,0.58,,0.58,,,0.5744,0.58,,490.40M,490.70M,0.27,,AOR,
2020-03,1.305B,1.338B,789.60M,548.70M,,192.60M,192.60M,,,,34.40M,,,,4.20M,3.70M,-0.50M,,192.60M,356.10M,3.70M,4.20M,-0.50M,-252.70M,-0.50M,102.90M,44.10M,58.80M,,20.30M,,79.10M,152.90M,130.50M,23.40M,107.10M,,0.16,,,0.3102,0.16,,0.16,,,0.3101,0.16,,491.50M,491.80M,0.27,,AOR,
2019-12,1.381B,1.389B,833.30M,555.90M,,178.20M,178.20M,,,4.80M,34.50M,,,,6.10M,5.40M,-0.70M,,183.00M,372.90M,5.40M,6.10M,-0.70M,73.40M,-0.70M,445.60M,97.50M,348.10M,,2.40M,,350.50M,326.21M,478.50M,26.80M,451.70M,,0.70,,,0.6509,0.70,,0.70,,,0.6510,0.70,,494.70M,495.30M,0.27,,AOR,Restated
2019-09,1.417B,1.347B,845.70M,501.70M,,186.00M,186.00M,,,,38.80M,,,,4.70M,6.30M,1.60M,,200.70M,301.00M,6.30M,4.70M,1.60M,93.20M,1.60M,395.80M,86.50M,309.30M,,-2.90M,,306.40M,204.50M,426.50M,26.00M,400.50M,,0.61,,,0.4052,0.61,,0.61,,,0.4057,0.61,,497.60M,498.90M,0.26,,AOR,Restated
2019-06,1.440B,1.477B,900.10M,576.60M,,201.70M,201.70M,,,,32.20M,,,,5.60M,7.20M,1.60M,,201.70M,374.90M,7.20M,5.60M,1.60M,37.00M,1.60M,413.50M,158.90M,254.60M,,-8.70M,,245.90M,229.39M,444.70M,25.60M,419.10M,,0.48,,,0.4471,0.48,,0.48,,,0.4471,0.48,,501.60M,502.30M,0.26,,AOR,Restated
2019-03,1.408B,1.434B,859.00M,574.80M,,195.30M,195.30M,,,,31.40M,,,,5.70M,8.50M,2.80M,,195.30M,379.50M,8.50M,5.70M,2.80M,110.20M,2.80M,492.50M,110.90M,381.60M,,-14.10M,,367.50M,322.55M,519.70M,21.50M,498.20M,,0.72,,,0.6309,0.72,,0.72,,,0.6310,0.72,,504.70M,505.10M,0.26,,AOR,Restated
2018-12,1.382B,1.412B,799.50M,612.00M,,200.50M,200.50M,,,,31.20M,,,,6.40M,9.00M,2.60M,,200.50M,411.50M,9.00M,6.40M,2.60M,-68.10M,2.60M,346.00M,86.00M,260.00M,,15.90M,,275.90M,302.49M,372.70M,20.30M,352.40M,,0.54,,,0.5921,0.54,,0.54,,,0.5920,0.54,,510.30M,510.80M,0.26,,AOR,Restated
2018-09,1.492B,1.413B,834.80M,577.80M,,187.70M,187.70M,,,,34.60M,,,,3.40M,11.60M,8.20M,,189.50M,388.30M,11.60M,3.40M,8.20M,86.80M,8.20M,483.30M,7.00M,476.30M,,26.20M,,502.50M,397.25M,504.40M,17.70M,486.70M,,0.96,,,0.7579,0.96,,0.96,,,0.7581,0.96,,520.90M,521.20M,0.23,,AOR,Restated
2018-06,1.523B,1.559B,857.30M,701.30M,,198.20M,198.20M,,,,30.50M,,,,22.10M,15.40M,-6.70M,,198.20M,503.10M,15.40M,22.10M,-6.70M,-49.20M,-6.70M,447.20M,91.80M,355.40M,,46.60M,,402.00M,441.19M,489.70M,20.40M,469.30M,,0.75,,,0.8235,0.75,,0.75,,,0.8235,0.75,,533.00M,533.50M,0.23,,AOR,Restated
2018-03,1.588B,1.618B,877.00M,740.80M,,185.10M,185.10M,,,,34.10M,,,,10.00M,25.70M,15.70M,,185.10M,555.70M,25.70M,10.00M,15.70M,61.70M,15.70M,633.10M,150.20M,482.90M,,-39.70M,,443.20M,407.34M,660.50M,17.40M,643.10M,,0.79,,,0.7242,0.79,,0.78,,,0.7143,0.78,,545.00M,545.50M,0.23,,AOR,Restated
2017-12,1.586B,1.616B,861.20M,754.30M,,173.20M,173.20M,,,,29.40M,,,,10.80M,23.80M,13.00M,,173.20M,581.10M,23.80M,10.80M,13.00M,57.50M,13.00M,651.60M,1.224B,-571.90M,,-11.40M,,-583.30M,-594.46M,683.30M,20.90M,662.40M,,-1.06,,,-1.080,-1.06,,-1.06,,,-1.080,-1.06,,550.70M,550.70M,0.23,,AOR,Restated
2017-09,1.588B,1.617B,871.00M,745.90M,,188.20M,188.20M,,,,33.00M,,,,12.70M,25.00M,12.30M,,188.20M,557.70M,25.00M,12.70M,12.30M,88.40M,12.30M,658.40M,181.90M,476.50M,,-51.30M,,425.20M,383.95M,689.10M,18.00M,671.10M,,0.76,,,0.6855,0.76,,0.76,,,0.6855,0.76,,553.70M,554.00M,0.20,,AOR,Restated
2017-06,1.587B,1.614B,883.90M,730.00M,,165.80M,165.80M,,,,30.20M,0.50M,-0.50M,,12.90M,20.30M,7.40M,,165.80M,564.20M,20.30M,12.90M,7.40M,71.90M,7.40M,643.50M,184.10M,459.40M,,-48.80M,,410.60M,372.04M,678.20M,21.80M,656.40M,,0.73,,,0.6607,0.73,,0.73,,,0.6607,0.73,,556.20M,556.70M,0.20,,AOR,Restated
2017-03,1.577B,1.601B,878.20M,722.40M,,166.90M,166.90M,,,,29.00M,0.00,0.00,,12.60M,16.00M,3.40M,,166.90M,555.50M,16.00M,12.60M,3.40M,68.60M,3.40M,627.50M,192.50M,435.00M,,-14.30M,,420.70M,398.32M,660.70M,20.60M,640.10M,,0.74,,,0.7000,0.74,,0.74,,,0.7001,0.74,,560.30M,560.60M,0.20,,AOR,Restated
2016-12,1.539B,1.561B,831.50M,729.30M,,142.40M,142.40M,,,,29.10M,0.30M,-0.30M,,13.30M,13.60M,0.30M,,142.40M,586.90M,13.60M,13.30M,0.30M,32.50M,0.30M,619.70M,200.90M,418.80M,,21.40M,,440.20M,441.35M,652.90M,19.90M,633.00M,,0.77,,,0.7720,0.77,,0.77,,,0.7720,0.77,,565.10M,565.20M,0.20,,AOR,Restated
2016-09,1.596B,1.612B,853.40M,758.40M,,179.00M,179.00M,,,,37.30M,4.10M,-4.10M,,13.40M,13.50M,0.10M,,179.00M,579.40M,13.50M,13.40M,0.10M,56.80M,0.10M,636.30M,163.30M,473.00M,,-0.90M,,472.10M,465.63M,671.00M,21.30M,649.70M,,0.82,,,0.8087,0.82,,0.82,,,0.8087,0.82,,571.50M,571.50M,0.18,,AOR,Restated
2016-06,1.605B,1.634B,880.30M,754.00M,,158.60M,158.60M,,,,33.10M,2.20M,-2.20M,,12.30M,12.30M,0.00,,158.60M,595.40M,12.30M,12.30M,0.00,53.50M,0.00,648.90M,187.40M,461.50M,,-15.10M,,446.40M,416.47M,680.60M,19.40M,661.20M,,0.77,,,0.7183,0.77,,0.77,,,0.7183,0.77,,578.90M,578.90M,0.18,,AOR,Restated
2016-03,1.594B,1.614B,906.00M,707.90M,,170.60M,170.60M,,,,33.00M,4.40M,-4.40M,,12.20M,7.10M,-5.10M,,170.60M,537.30M,7.10M,12.20M,-5.10M,10.30M,-5.10M,542.50M,181.70M,360.80M,,-0.40M,,360.40M,342.51M,578.50M,23.80M,554.70M,,0.61,,,0.5795,0.61,,0.61,,,0.5795,0.61,,587.00M,587.10M,0.18,,AOR,Restated
2015-12,1.727B,1.758B,931.10M,826.90M,,173.30M,173.30M,,,,30.70M,0.40M,-0.40M,,12.00M,3.60M,-8.40M,,173.30M,653.60M,3.60M,12.00M,-8.40M,26.90M,-8.40M,672.10M,209.70M,462.40M,,-14.60M,,447.80M,446.36M,706.70M,22.60M,684.10M,,0.74,,,0.7376,0.74,,0.74,,,0.7376,0.74,,597.60M,597.70M,0.18,,AOR,Restated
2015-09,1.832B,1.874B,963.10M,910.70M,,192.60M,192.60M,,,,35.60M,4.50M,-4.50M,,12.90M,2.80M,-10.10M,,192.60M,718.10M,2.80M,12.90M,-10.10M,-112.30M,-10.10M,595.70M,214.20M,381.50M,,-23.30M,,358.20M,383.69M,633.40M,24.80M,608.60M,,0.59,,,0.6320,0.59,,0.59,,,0.6320,0.59,,607.30M,607.40M,0.15,,AOR,Restated
2015-06,1.974B,2.001B,1.058B,943.30M,,173.50M,173.50M,,,,30.70M,3.50M,-3.50M,,13.70M,2.60M,-11.10M,,173.50M,769.80M,2.60M,13.70M,-11.10M,-7.30M,-11.10M,751.40M,217.40M,534.00M,,-29.80M,,504.20M,510.39M,788.30M,23.20M,765.10M,,0.82,,,0.8301,0.82,,0.82,,,0.8301,0.82,,614.10M,614.20M,0.15,,AOR,Restated
2015-03,1.994B,2.010B,1.088B,921.80M,,164.10M,164.10M,,,,32.10M,1.00M,-1.00M,,1.70M,3.40M,1.70M,,164.10M,757.70M,3.40M,1.70M,1.70M,99.50M,1.70M,858.90M,236.00M,622.90M,,-16.40M,,606.50M,535.23M,885.10M,24.50M,860.60M,,0.98,,,0.8646,0.98,,0.98,,,0.8646,0.98,,617.60M,617.70M,0.15,,AOR,Restated
2014-12,2.043B,2.064B,1.107B,957.30M,,175.30M,175.30M,,,,34.30M,1.00M,-1.00M,,11.30M,2.00M,-9.30M,,175.30M,782.00M,2.00M,11.30M,-9.30M,49.70M,-9.30M,822.40M,256.10M,566.30M,,0.10M,,566.40M,536.77M,858.60M,24.90M,833.70M,,0.91,,,0.8622,0.91,,0.91,,,0.8622,0.91,,620.10M,620.20M,0.15,,AOR,Restated
