,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,,8.750B,,8.750B,1.002B,,1.002B,,,,9.752B,580.90M,74.20M,,804.70M,,,1.460B,-942.60M,517.20M,1.687B,540.50M,2.228B,4.861B,,,176.50M,7.782B,17.53B,,291.50M,113.30M,74.70M,,479.50M,,479.50M,,,,,,,479.50M,1.098B,,1.098B,170.60M,170.60M,396.60M,315.80M,1.942B,512.00M,4.119B,4.598B,,55.50M,12.85B,,,-284.80M,12.62B,,AOR,Restated
2017-06,,8.786B,,8.786B,978.60M,,978.60M,,,,9.765B,,,,,,,,,508.80M,,,2.228B,4.829B,,,145.90M,7.711B,17.48B,,275.00M,113.70M,,,388.70M,,388.70M,,,,,,,388.70M,1.428B,,1.428B,156.50M,156.50M,359.80M,305.10M,1.831B,607.70M,4.382B,4.771B,,55.80M,12.67B,,,-321.00M,12.40B,,AOR,Restated
2017-03,,8.776B,,8.776B,1.024B,,1.024B,,,,9.800B,,,,,,,,,509.80M,,,2.224B,4.536B,,,140.80M,7.410B,17.21B,,259.30M,114.20M,,,373.50M,,373.50M,,,,,,,373.50M,1.680B,,1.680B,159.80M,159.80M,276.20M,279.60M,1.660B,587.40M,4.363B,4.737B,,56.20M,12.51B,,,-373.20M,12.19B,,AOR,Restated
2016-12,,8.455B,,8.455B,930.00M,,930.00M,,,,9.385B,,,,,,,,,512.50M,,,2.200B,3.969B,,,143.70M,6.826B,16.21B,,214.80M,114.60M,191.70M,,521.10M,,521.10M,,,,,,,521.10M,1.734B,,1.734B,151.70M,151.70M,191.80M,282.20M,841.20M,523.00M,3.442B,3.963B,,56.60M,12.33B,,,-417.80M,11.96B,,AOR,Restated
2016-09,,8.483B,,8.483B,794.30M,,794.30M,,,,9.278B,563.50M,74.10M,,756.40M,,,1.394B,-870.80M,523.20M,1.661B,550.10M,2.211B,3.93B,,,156.70M,6.821B,16.10B,,233.30M,104.60M,,,337.90M,,337.90M,,,,,,,337.90M,2.083B,,2.083B,161.50M,161.50M,357.40M,592.40M,61.10M,569.30M,3.233B,3.571B,,57.00M,12.23B,,,-347.40M,11.94B,,AOR,Restated
2016-06,,8.242B,,8.242B,812.60M,,812.60M,,,,9.055B,,,,,,,,,508.40M,1.661B,552.10M,2.214B,4.071B,,,149.90M,6.943B,16.00B,,193.00M,105.60M,,,298.60M,,298.60M,,,,,,,298.60M,2.164B,,2.164B,140.80M,140.80M,355.00M,589.40M,39.40M,628.40M,3.327B,3.626B,,57.70M,12.08B,,,-352.50M,11.78B,,AOR,Restated
2016-03,,8.041B,,8.041B,798.00M,,798.00M,,,,8.839B,,,,,,,,,504.40M,1.665B,556.70M,2.222B,4.171B,,,155.30M,7.052B,15.89B,,173.80M,107.00M,,,280.80M,,280.80M,,,,,,,280.80M,2.166B,,2.166B,128.10M,128.10M,306.40M,633.30M,36.80M,568.70M,3.206B,3.487B,,58.60M,12.03B,,,-317.80M,11.77B,,AOR,Restated
2015-12,,8.269B,,8.269B,863.70M,,863.70M,,,,9.133B,,,,,,,,,507.10M,,,2.248B,4.028B,,100.40M,139.20M,7.023B,16.16B,,229.20M,108.70M,193.50M,,531.40M,,531.40M,,,,,,,531.40M,2.120B,,2.120B,237.00M,237.00M,209.80M,639.70M,53.20M,582.90M,3.203B,3.735B,,59.50M,12.06B,,,-343.10M,11.78B,,AOR,Restated
2015-09,,8.368B,,8.368B,838.00M,,838.00M,,,,9.206B,557.00M,74.20M,,733.60M,,,1.365B,-854.70M,510.10M,1.661B,595.80M,2.257B,4.109B,,,253.40M,7.130B,16.34B,,232.10M,92.60M,,,324.70M,,324.70M,,,,,,,324.70M,2.155B,,2.155B,241.40M,241.40M,433.20M,654.80M,59.60M,625.70M,3.515B,3.840B,,60.40M,12.09B,,,-314.20M,11.84B,,AOR,Restated
2015-06,,8.426B,,8.426B,899.00M,,899.00M,,,,9.325B,,,,,,,,,510.10M,,,2.286B,4.285B,,106.30M,157.60M,7.345B,16.67B,,225.70M,94.20M,,,319.90M,,319.90M,,,,,,,319.90M,2.204B,,2.204B,261.10M,261.10M,428.80M,628.40M,71.70M,671.40M,3.636B,3.956B,,61.50M,12.28B,,,-255.60M,12.09B,,AOR,Restated
2015-03,,8.122B,,8.122B,919.10M,,919.10M,,,,9.041B,,,,,,,,,516.90M,,,2.288B,4.384B,,95.60M,165.80M,7.450B,16.49B,,220.00M,94.60M,,,314.60M,,314.60M,,,,,,,314.60M,2.478B,,2.478B,258.00M,258.00M,317.80M,608.00M,54.40M,638.80M,3.747B,4.062B,,61.90M,12.05B,,,-289.00M,11.82B,,AOR,Restated
2014-12,,7.885B,,7.885B,926.70M,,926.70M,,,,8.812B,,,,,,,,,523.40M,,,2.308B,4.404B,,77.60M,172.00M,7.485B,16.30B,,194.20M,406.70M,192.60M,,793.50M,,793.50M,,,,,,,793.50M,2.100B,,2.100B,259.70M,259.70M,238.90M,598.70M,74.00M,676.70M,3.349B,4.142B,,62.20M,11.67B,,,-178.40M,11.56B,,AOR,Restated
2014-09,,7.596B,,7.596B,950.00M,,950.00M,,,,8.546B,562.30M,74.30M,,693.50M,,,1.330B,-799.40M,530.70M,1.691B,634.90M,2.326B,4.678B,,98.10M,178.20M,7.811B,16.36B,,237.50M,76.90M,,,314.40M,,314.40M,,,,,,,314.40M,2.149B,,2.149B,259.30M,259.30M,465.10M,628.30M,234.80M,722.10M,3.830B,4.145B,,62.30M,11.64B,,,-117.70M,11.58B,,AOR,Restated
2014-06,,7.698B,,7.698B,999.10M,3.70M,1.003B,,,,8.700B,,,,,,,,,542.10M,,,2.349B,4.802B,,129.20M,169.30M,7.992B,16.69B,,302.60M,,,,302.60M,,302.60M,,,,,,,302.60M,2.190B,,2.190B,265.00M,265.00M,435.80M,625.60M,183.70M,1.394B,4.468B,4.771B,,62.50M,11.21B,,,24.20M,11.30B,,AOR,Restated
2014-03,,6.911B,,6.911B,987.60M,3.80M,991.40M,,,,8.121B,,,,,,,,,553.50M,,,2.347B,4.828B,,118.80M,169.50M,8.017B,16.14B,,261.50M,,,,261.50M,,261.50M,,,,,,,261.50M,2.229B,,2.229B,266.30M,266.30M,331.80M,608.00M,173.20M,1.402B,4.403B,4.664B,,62.80M,10.80B,,,4.40M,10.87B,,AOR,Restated
2013-12,,6.700B,,6.700B,1.050B,9.60M,1.059B,,,,7.948B,,,,,,,,,559.40M,,,2.351B,4.759B,,118.70M,173.50M,7.961B,15.91B,,260.80M,,211.80M,,472.60M,,472.60M,,,,,,,472.60M,2.257B,,2.257B,271.60M,271.60M,250.90M,577.30M,153.80M,1.419B,4.352B,4.825B,,63.10M,10.44B,,,2.90M,10.51B,,AOR,Restated
2013-09,,6.323B,,6.323B,1.039B,229.70M,1.269B,,,,7.592B,565.70M,74.40M,,710.10M,,,1.350B,-786.10M,564.10M,1.702B,657.70M,2.359B,4.584B,,112.40M,179.40M,7.799B,15.39B,,273.70M,,,,273.70M,,273.70M,,,,,,,273.70M,2.295B,,2.295B,272.50M,272.50M,444.50M,612.40M,121.80M,1.297B,4.431B,4.705B,,63.10M,10.00B,,,6.10M,10.07B,,AOR,Restated
2013-06,,6.232B,,6.232B,947.60M,247.30M,1.195B,,,,7.427B,,,,,,,,,563.20M,1.633B,726.10M,2.359B,4.700B,,103.10M,164.90M,7.890B,15.32B,,272.70M,,,,272.70M,,272.70M,,,,,,,272.70M,2.390B,,2.390B,284.60M,284.60M,388.60M,622.50M,120.80M,1.459B,4.642B,4.915B,,63.60M,9.765B,,,-48.40M,9.780B,,AOR,Restated
2013-03,,5.556B,,5.556B,994.60M,238.30M,1.233B,,,,6.789B,,,,,,,,,573.90M,,,2.381B,4.797B,,100.30M,169.00M,8.022B,14.81B,,246.60M,,,,246.60M,,246.60M,,,,,,,246.60M,2.423B,,2.423B,281.20M,281.20M,312.90M,657.90M,80.50M,1.388B,4.486B,4.732B,,21.30M,9.39B,,,8.70M,9.42B,,AOR,Restated
2012-12,,5.243B,,5.243B,908.00M,279.40M,1.187B,,,,6.430B,,,,,,,,,578.00M,,,2.392B,4.692B,,94.70M,167.60M,7.924B,14.35B,,194.10M,,151.00M,,345.10M,,345.10M,,,,,,,345.10M,2.462B,,2.462B,263.00M,263.00M,242.10M,587.00M,66.20M,1.440B,4.474B,4.819B,,21.30M,8.863B,,,63.80M,8.948B,,AOR,Restated
2012-09,341.80M,6.051B,,6.051B,850.20M,254.40M,1.105B,,,,7.156B,560.30M,75.00M,,667.40M,,,1.303B,-720.00M,582.70M,1.541B,601.10M,2.142B,4.614B,,94.90M,161.50M,7.596B,14.75B,,241.60M,,,,241.60M,,241.60M,,0.00,,0.00,0.00,,241.60M,2.777B,,2.777B,276.30M,276.30M,400.50M,559.20M,26.70M,1.269B,4.749B,4.991B,,63.70M,9.076B,,,62.00M,9.201B,,AOR,Restated
2012-06,,4.719B,1.691B,6.410B,,,793.91M,41.02M,96.64M,,7.342B,,,,,,,,,585.17M,1.528B,599.19M,2.127B,2.384B,321.42M,,874.81M,6.293B,13.63B,,278.11M,,39.95M,,318.06M,,318.06M,,0.00,320.84M,320.84M,320.84M,368.12M,1.386B,1.626B,,1.626B,263.25M,263.25M,,587.29M,,1.023B,2.912B,4.298B,,21.26M,8.737B,,,-8.546M,8.749B,,AOR,Restated
2012-03,,4.597B,1.982B,6.579B,,,850.37M,36.27M,102.78M,,7.569B,,,,,,,,,594.80M,1.538B,607.54M,2.145B,2.257B,331.65M,,765.28M,6.094B,13.66B,,341.48M,,46.91M,,388.38M,,388.38M,,25.00M,20.66M,45.66M,45.66M,380.86M,1.117B,1.947B,,1.947B,285.36M,285.36M,,686.47M,,937.29M,3.170B,4.287B,,21.51M,8.592B,,,76.34M,8.690B,,AOR,Restated
2011-12,,4.321B,1.844B,6.165B,,,781.64M,30.52M,106.65M,,7.084B,,,,,,,,,594.67M,1.536B,606.62M,2.142B,2.340B,514.65M,,729.69M,6.321B,13.41B,,206.68M,,205.77M,,412.46M,,412.46M,,25.00M,31.51M,56.51M,56.51M,343.91M,1.041B,2.003B,,2.003B,278.77M,278.77M,,686.26M,,1.123B,3.405B,4.446B,,21.60M,8.239B,,,12.93M,8.274B,,AOR,Restated
2011-09,,5.199B,2.422B,7.621B,773.20M,149.40M,922.60M,,,,8.544B,0.00,75.20M,,647.10M,,552.00M,1.274B,-684.60M,589.70M,1.536B,612.00M,2.148B,1.768B,401.90M,107.90M,216.20M,5.232B,13.78B,,265.90M,,128.80M,,394.70M,,394.70M,,,,,,1.260B,2.055B,2.201B,,2.201B,274.40M,274.40M,,597.80M,,122.80M,2.598B,4.653B,,21.80M,8.462B,,,40.40M,8.525B,,AOR,Restated
2011-06,,4.720B,2.353B,7.073B,,,896.68M,28.64M,108.66M,,8.107B,,,,,,,,,563.92M,1.482B,611.62M,2.094B,1.615B,615.84M,,155.35M,5.044B,13.15B,,247.41M,,105.40M,,352.82M,,352.82M,,30.00M,50.70M,80.69M,80.69M,472.06M,1.281B,2.029B,,2.029B,254.75M,254.75M,,112.10M,,787.70M,3.072B,4.352B,,22.04M,8.433B,,,230.98M,8.686B,,AOR,Restated
2011-03,,4.354B,1.759B,6.113B,,,859.35M,33.13M,98.49M,,7.104B,,,,,,,,,561.96M,1.467B,613.46M,2.081B,1.968B,638.65M,,473.63M,5.723B,12.83B,,265.60M,,42.51M,,308.11M,,308.11M,,30.00M,47.67M,77.67M,77.67M,505.45M,1.171B,2.081B,,2.081B,241.18M,241.18M,,36.44M,,884.12M,3.206B,4.377B,,22.18M,8.186B,,,205.53M,8.414B,,AOR,Restated
2010-12,,4.175B,1.692B,5.867B,,,810.24M,34.91M,96.11M,,6.808B,,,,,,,,,566.67M,1.447B,560.34M,2.007B,2.025B,667.82M,,316.37M,5.583B,12.39B,,291.01M,,209.55M,,500.57M,,500.57M,,27.25M,55.74M,82.98M,82.98M,328.64M,1.108B,2.123B,,2.123B,241.31M,241.31M,,23.80M,,765.70M,3.130B,4.238B,,22.33M,7.921B,,,186.54M,8.130B,,AOR,Restated
2010-09,,3.985B,1.568B,5.553B,,,684.22M,36.12M,89.24M,,6.363B,0.00,72.58M,,617.77M,,502.32M,1.193B,-643.70M,548.96M,1.444B,562.36M,2.007B,1.134B,374.89M,,280.59M,4.345B,10.71B,,546.57M,,99.20M,,645.77M,,645.77M,,30.00M,,30.00M,30.00M,,1.007B,949.90M,,949.90M,237.81M,237.81M,,22.98M,,763.75M,1.951B,2.958B,,22.40M,7.531B,,,173.72M,7.727B,,AOR,Restated
2010-06,,3.859B,1.383B,5.243B,,,680.24M,25.91M,78.72M,,6.028B,,,,,,,,,538.31M,1.438B,561.81M,2.000B,1.191B,380.43M,89.72M,183.35M,4.382B,10.41B,,621.34M,,59.95M,,681.29M,280.26M,961.55M,,0.00,,0.00,0.00,30.77M,992.32M,898.84M,,898.84M,230.76M,230.76M,,3.409M,,857.99M,1.988B,2.980B,,22.54M,7.345B,,,59.26M,7.427B,,AOR,Restated
2010-03,,2.861B,1.529B,4.390B,,,625.87M,31.54M,75.31M,,5.123B,,,,,,,,,534.78M,1.445B,567.56M,2.013B,1.164B,378.91M,101.05M,205.80M,4.398B,9.521B,,433.30M,,41.63M,,474.94M,201.45M,676.38M,,285.97M,,285.97M,285.97M,27.28M,989.64M,,,,228.77M,228.77M,,3.216M,,914.68M,1.143B,2.133B,,22.74M,7.218B,,,143.69M,7.384B,,AOR,Restated
2009-12,,2.753B,1.547B,4.300B,,,632.52M,28.10M,70.54M,,5.032B,,,,,,,,,530.93M,1.440B,567.34M,2.007B,1.031B,375.51M,105.05M,142.65M,4.193B,9.224B,,400.69M,,128.30M,,528.98M,158.82M,687.80M,,256.66M,,256.66M,256.66M,26.85M,971.31M,,,,223.64M,223.64M,,2.026M,,892.10M,1.116B,2.087B,,22.82M,6.987B,,,125.40M,7.135B,,AOR,Restated
2009-09,,2.983B,1.582B,4.564B,,,581.81M,30.45M,67.77M,,5.244B,0.00,72.22M,,552.99M,,486.51M,1.112B,-576.26M,535.46M,1.437B,567.97M,2.005B,1.090B,310.50M,103.99M,179.00M,4.224B,9.468B,,393.88M,,28.36M,,422.24M,210.79M,633.03M,,64.16M,,64.16M,64.16M,28.35M,725.54M,,,,218.84M,218.84M,,67.39M,,824.52M,1.043B,1.769B,,22.93M,7.506B,,,103.35M,7.632B,,AOR,Restated
2009-06,,2.238B,2.090B,4.329B,,,595.44M,24.70M,51.32M,,5.000B,,,,,,,,,535.26M,1.429B,568.61M,1.998B,1.086B,316.05M,134.68M,172.75M,4.243B,9.243B,,485.28M,,24.49M,,509.77M,180.93M,690.70M,,1.435M,,1.435M,1.435M,25.34M,717.47M,84.32M,,84.32M,156.65M,156.65M,,86.73M,,854.22M,1.095B,1.813B,,23.04M,7.299B,0.00,,21.14M,7.344B,,AOR,Restated
2009-03,,2.282B,1.701B,3.983B,531.01M,,578.00M,28.56M,36.14M,,4.626B,,,,,,,,,538.49M,1.419B,566.44M,1.985B,974.48M,369.50M,139.68M,197.44M,4.205B,8.830B,,436.42M,,0.00,,436.42M,139.42M,575.84M,,25.00M,,25.00M,25.00M,24.66M,625.50M,94.72M,,94.72M,147.67M,147.67M,,39.92M,,873.80M,1.116B,1.742B,,23.20M,7.134B,0.00,,-108.83M,7.049B,,AOR,Restated
2008-12,,2.453B,1.484B,3.937B,,,555.88M,,57.42M,,4.550B,,,,,,,,,553.48M,1.424B,571.82M,1.996B,929.04M,380.56M,159.95M,418.20M,4.437B,8.987B,,392.44M,,56.66M,,449.10M,135.36M,584.46M,,36.18M,,36.18M,36.18M,26.54M,647.17M,105.10M,,105.10M,144.59M,144.59M,,55.03M,,997.21M,1.247B,1.894B,,23.29M,7.098B,0.00,,-83.48M,7.038B,,AOR,Restated
2008-09,,2.315B,1.793B,4.108B,,,690.35M,33.94M,17.31M,,4.850B,0.00,72.34M,,547.52M,,478.82M,1.099B,-543.97M,554.71M,1.438B,579.57M,2.018B,916.06M,404.23M,187.81M,246.42M,4.327B,9.177B,,520.01M,,66.03M,,586.04M,307.22M,893.27M,,13.29M,,13.29M,13.29M,29.34M,935.89M,118.43M,,118.43M,146.49M,146.49M,,77.16M,,824.18M,1.089B,2.025B,,23.28M,7.045B,0.00,,6.354M,7.074B,,AOR,Restated
2008-06,,2.881B,1.259B,4.140B,,,746.68M,,93.29M,,4.980B,,,,,,,,,568.06M,1.448B,588.23M,2.037B,466.09M,351.76M,215.21M,727.02M,4.365B,9.345B,,522.58M,,31.50M,,554.08M,277.82M,831.91M,,158.38M,,158.38M,158.38M,28.39M,1.019B,130.42M,,130.42M,209.26M,209.26M,,47.84M,,782.64M,1.122B,2.141B,,23.46M,6.971B,0.00,,161.24M,7.156B,,AOR,Restated
2008-03,,3.664B,1.486B,5.150B,738.47M,279.40M,1.018B,,90.20M,285.00M,6.543B,,,,,,,,,567.54M,1.453B,595.03M,2.048B,,778.13M,225.92M,-217.75M,3.402B,9.945B,,211.67M,,15.68M,,227.35M,,227.35M,,298.99M,420.00M,718.99M,718.99M,1.552B,2.498B,141.08M,,141.08M,201.46M,201.46M,,46.14M,,73.63M,416.17M,2.914B,,23.64M,6.768B,0.00,,192.33M,6.984B,,AOR,Restated
2007-12,,2.882B,1.080B,3.962B,,,781.63M,,86.89M,1.368B,6.198B,,,,,,,,,561.01M,1.457B,599.58M,2.056B,539.09M,799.65M,,-481.53M,3.475B,9.673B,,206.41M,,136.90M,,343.31M,457.78M,801.08M,,,,420.00M,420.00M,27.91M,1.249B,151.62M,,151.62M,186.87M,186.87M,,38.00M,,1.034B,1.373B,2.622B,,23.97M,6.768B,0.00,221.36M,221.36M,7.013B,,AOR,Restated
2007-09,,3.304B,1.205B,4.510B,,,865.13M,,82.08M,,5.457B,0.00,73.47M,,662.50M,,467.93M,1.204B,-644.41M,559.48M,1.456B,601.83M,2.058B,703.61M,582.24M,257.89M,314.08M,4.476B,9.932B,,546.94M,,119.67M,,666.61M,322.96M,989.57M,420.00M,0.00,,420.00M,420.00M,26.08M,1.436B,162.12M,,162.12M,214.51M,214.51M,,41.40M,,746.31M,1.123B,2.559B,,24.55M,7.049B,0.00,,258.31M,7.332B,,AOR,Restated
2007-06,,3.322B,923.40M,4.245B,,,830.09M,,82.48M,,5.158B,,,,,,,,,537.39M,1.438B,616.45M,2.054B,534.27M,419.72M,,751.46M,4.297B,9.455B,,218.23M,,81.87M,,300.10M,556.69M,856.79M,,64.41M,355.59M,420.00M,420.00M,89.54M,1.366B,172.25M,,172.25M,237.31M,237.31M,,68.77M,,598.00M,1.008B,2.374B,,24.59M,6.758B,0.00,,229.62M,7.012B,,AOR,Restated
2007-03,,3.979B,942.71M,4.922B,,,708.50M,,109.78M,578.37M,6.319B,,,,,,,,,525.10M,1.406B,569.36M,1.976B,508.26M,544.18M,,-254.98M,3.298B,9.617B,,182.95M,,81.52M,,264.47M,465.59M,730.06M,,168.07M,73.50M,241.57M,241.57M,704.95M,1.677B,602.64M,,602.64M,194.27M,194.27M,,112.43M,,,796.92M,2.474B,,24.96M,6.824B,0.00,,181.66M,7.031B,,AOR,Restated
2006-12,,4.006B,1.141B,5.147B,,,689.19M,,91.19M,453.28M,6.380B,,,,,,,,,511.66M,1.405B,571.48M,1.976B,500.57M,419.48M,,-124.65M,3.283B,9.663B,,188.94M,,151.50M,,340.44M,401.09M,741.53M,,168.10M,118.60M,286.70M,286.70M,605.42M,1.634B,612.98M,,612.98M,183.52M,183.52M,,106.34M,,9.635M,806.14M,2.440B,,25.36M,6.720B,178.46M,,193.56M,7.117B,,AOR,Restated
