,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-09,5.056B,5.056B,3.291B,1.765B,,,904.00M,,,,72.00M,5.00M,-67.00M,-16.00M,888.00M,877.00M,5.00M,72.00M,-67.00M,,-67.00M,810.00M,260.00M,581.00M,1.00M,,-20.00M,562.00M,561.00M,1.102B,220.00M,882.00M,,1.50,0.00,,,1.50,1.51,,1.49,0.00,,,1.49,1.50,,373.30M,375.90M,0.84,,AOR,Restated
2014-06,4.953B,4.953B,3.253B,1.70B,,,938.00M,,,,72.00M,5.00M,-67.00M,-13.00M,925.00M,775.00M,5.00M,72.00M,-67.00M,,-67.00M,708.00M,225.00M,522.00M,8.00M,,-21.00M,509.00M,501.00M,997.00M,217.00M,780.00M,,1.33,0.02,,,1.33,1.35,,1.32,0.02,,,1.32,1.35,,375.80M,378.40M,0.84,,AOR,Restated
2014-03,4.887B,4.887B,3.222B,1.665B,,,896.00M,,,,71.00M,3.00M,-68.00M,58.00M,954.00M,711.00M,3.00M,71.00M,-68.00M,,-68.00M,643.00M,196.00M,490.00M,56.00M,,-8.00M,538.00M,482.00M,932.00M,218.00M,714.00M,,1.27,0.15,,,1.27,1.42,,1.26,0.15,,,1.26,1.41,,379.00M,382.10M,0.84,,AOR,Restated
2013-12,3.714B,3.714B,2.532B,1.182B,,,670.00M,,,,71.00M,4.00M,-67.00M,-5.00M,665.00M,517.00M,4.00M,71.00M,-67.00M,,-67.00M,450.00M,143.00M,355.00M,,,-19.00M,539.00M,336.00M,743.00M,222.00M,521.00M,,1.41,,,,1.41,1.41,,1.40,,,,1.40,1.40,,381.30M,385.20M,0.81,,AOR,Restated
2013-09,5.262B,5.262B,3.457B,1.805B,,,990.00M,,,,73.00M,6.00M,-67.00M,8.00M,998.00M,807.00M,6.00M,73.00M,-67.00M,,-67.00M,740.00M,224.00M,565.00M,,,-19.00M,546.00M,546.00M,1.021B,208.00M,813.00M,,1.43,,,,1.43,1.43,,1.42,,,,1.42,1.42,,382.80M,385.80M,0.81,,AOR,Restated
2013-06,5.267B,5.267B,3.467B,1.80B,,,1.012B,,,,71.00M,5.00M,-66.00M,-8.00M,1.004B,796.00M,5.00M,71.00M,-66.00M,,-66.00M,730.00M,238.00M,547.00M,,,-21.00M,526.00M,526.00M,1.013B,212.00M,801.00M,,1.37,,,,1.37,1.37,,1.36,,,,1.36,1.36,,384.70M,387.80M,0.81,,AOR,Restated
2013-03,5.318B,5.318B,3.496B,1.822B,,,1.027B,,,,67.00M,5.00M,-62.00M,12.00M,1.039B,783.00M,5.00M,67.00M,-62.00M,,-62.00M,721.00M,223.00M,551.00M,,,-20.00M,531.00M,531.00M,1.009B,221.00M,788.00M,,1.37,,,,1.37,1.37,,1.36,,,,1.36,1.36,,387.30M,390.50M,0.81,,AOR,Restated
2012-12,3.711B,3.711B,2.807B,904.00M,,,754.00M,,,,73.00M,5.00M,-68.00M,10.00M,764.00M,140.00M,5.00M,73.00M,-68.00M,,-68.00M,72.00M,39.00M,85.00M,,,-19.00M,267.00M,66.00M,360.00M,215.00M,145.00M,,0.6858,,,,0.6858,0.6858,,0.68,,,,0.68,0.68,,390.60M,393.10M,0.74,,AOR,Restated
2012-09,5.246B,5.246B,3.48B,1.766B,,,988.00M,,,,70.00M,4.00M,-66.00M,-5.00M,983.00M,783.00M,4.00M,70.00M,-66.00M,,-66.00M,717.00M,223.00M,537.00M,,,-20.00M,517.00M,517.00M,997.00M,210.00M,787.00M,,1.31,,,,1.31,1.31,,1.30,,,,1.30,1.30,,393.90M,396.70M,0.74,,AOR,Restated
2012-06,5.269B,5.269B,3.514B,1.755B,,,1.019B,,,,71.00M,5.00M,-66.00M,-18.00M,1.001B,754.00M,5.00M,71.00M,-66.00M,,-66.00M,688.00M,213.00M,518.00M,,,-20.00M,498.00M,498.00M,973.00M,214.00M,759.00M,,1.27,,,,1.27,1.27,,1.26,,,,1.26,1.26,,393.60M,396.50M,0.74,,AOR,Restated
2012-03,5.241B,5.241B,3.537B,1.704B,,,996.00M,,,,71.00M,4.00M,-67.00M,8.00M,1.004B,700.00M,4.00M,71.00M,-67.00M,,-67.00M,633.00M,185.00M,487.00M,,,-19.00M,468.00M,468.00M,922.00M,218.00M,704.00M,,1.19,,,,1.19,1.19,,1.18,,,,1.18,1.18,,393.80M,397.10M,0.74,,AOR,Restated
