,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,303.00M,303.00M,2.132B,,153.00M,2.235B,657.00M,189.00M,1.202B,,1.903B,,,733.00M,5.174B,0.00,174.00M,2.932B,14.38B,845.00M,18.33B,-10.29B,8.042B,1.895B,832.00M,2.727B,300.00M,,1.28B,12.35B,17.52B,,3.336B,359.00M,332.00M,4.027B,1.797B,5.824B,,486.00M,486.00M,133.00M,619.00M,,6.443B,7.878B,7.878B,723.00M,723.00M,864.00M,243.00M,28.00M,718.00M,10.21B,16.65B,,473.00M,7.567B,657.00M,4.899B,-3.172B,626.00M,,AOR,
2020-09,1.518B,1.518B,2.125B,,,2.125B,617.00M,199.00M,1.116B,,1.787B,,,645.00M,6.075B,0.00,164.00M,2.914B,14.09B,801.00M,17.97B,-10.48B,7.497B,1.418B,,1.418B,333.00M,,1.208B,10.46B,16.53B,,2.995B,360.00M,,3.355B,2.23B,5.585B,,,517.00M,,517.00M,,6.102B,7.851B,7.851B,500.00M,500.00M,873.00M,242.00M,29.00M,599.00M,9.852B,15.95B,,473.00M,7.395B,610.00M,4.661B,-3.482B,335.00M,,AOR,
2020-06,1.448B,1.448B,2.024B,,,2.024B,660.00M,181.00M,1.127B,,1.825B,,,607.00M,5.904B,0.00,162.00M,2.863B,13.89B,826.00M,17.74B,-10.37B,7.366B,1.401B,,1.401B,319.00M,,1.183B,10.27B,16.17B,,3.032B,360.00M,,3.392B,2.252B,5.644B,,,850.00M,,850.00M,,6.494B,7.223B,7.223B,527.00M,527.00M,859.00M,227.00M,29.00M,546.00M,9.184B,15.68B,,473.00M,7.299B,554.00M,4.545B,-3.513B,268.00M,,AOR,
2020-03,979.00M,979.00M,2.519B,,,2.519B,557.00M,177.00M,952.00M,,1.539B,,,609.00M,5.646B,0.00,160.00M,2.786B,13.61B,838.00M,17.39B,-10.17B,7.226B,1.361B,,1.361B,314.00M,,1.13B,10.03B,15.68B,,2.876B,361.00M,,3.237B,2.008B,5.245B,,,1.238B,,1.238B,,6.483B,7.21B,7.21B,512.00M,512.00M,859.00M,213.00M,29.00M,538.00M,9.148B,15.63B,,473.00M,6.978B,559.00M,4.562B,-3.615B,-167.00M,,AOR,
2019-12,442.00M,442.00M,2.131B,,181.00M,2.263B,592.00M,206.00M,1.147B,,1.79B,,,562.00M,5.057B,0.00,165.00M,2.877B,13.95B,851.00M,17.84B,-10.39B,7.45B,1.467B,29.00M,1.496B,268.00M,,1.012B,10.23B,15.28B,,3.055B,352.00M,231.00M,3.638B,1.617B,5.255B,,1.534B,1.534B,130.00M,1.664B,,6.919B,6.213B,6.213B,511.00M,511.00M,897.00M,227.00M,29.00M,520.00M,8.17B,15.09B,,473.00M,6.686B,556.00M,4.454B,-3.294B,-33.00M,,AOR,Restated
2019-09,416.00M,416.00M,2.306B,,,2.306B,577.00M,221.00M,1.149B,,1.779B,,,563.00M,5.064B,0.00,164.00M,2.788B,13.89B,780.00M,17.62B,-10.46B,7.158B,1.438B,,1.438B,294.00M,,1.079B,9.969B,15.03B,,2.942B,354.00M,,3.296B,1.931B,5.227B,,,1.555B,,1.555B,,6.782B,6.198B,6.198B,506.00M,506.00M,881.00M,229.00M,38.00M,540.00M,8.163B,14.94B,,473.00M,6.485B,535.00M,4.222B,-3.412B,-141.00M,,AOR,Restated
2019-06,534.00M,534.00M,2.397B,,,2.397B,604.00M,230.00M,1.203B,,1.856B,,,534.00M,5.321B,0.00,169.00M,2.831B,14.21B,760.00M,17.97B,-10.76B,7.207B,1.478B,,1.478B,249.00M,,1.092B,10.03B,15.35B,,2.993B,355.00M,,3.348B,1.946B,5.294B,,,1.291B,,1.291B,,6.585B,6.701B,6.701B,513.00M,513.00M,889.00M,228.00M,38.00M,571.00M,8.712B,15.30B,,473.00M,6.17B,510.00M,4.062B,-3.269B,-178.00M,,AOR,Restated
2019-03,491.00M,491.00M,2.377B,,,2.377B,622.00M,212.00M,1.219B,,1.857B,,,530.00M,5.255B,0.00,168.00M,2.814B,14.19B,648.00M,17.82B,-10.68B,7.139B,1.476B,,1.476B,246.00M,,1.088B,9.949B,15.20B,,3.027B,354.00M,,3.381B,1.916B,5.297B,,,1.90B,,1.90B,,7.197B,5.99B,5.99B,496.00M,496.00M,922.00M,223.00M,64.00M,617.00M,8.089B,15.29B,,,,,,,-305.00M,,AOR,Restated
2018-12,539.00M,539.00M,2.05B,,167.00M,2.164B,637.00M,214.00M,1.153B,,1.813B,,,525.00M,5.041B,0.00,169.00M,2.787B,14.06B,699.00M,17.71B,-10.56B,7.159B,1.474B,,1.474B,224.00M,,620.00M,9.477B,14.52B,,3.19B,345.00M,260.00M,3.795B,1.533B,5.328B,,,1.208B,,1.208B,,6.536B,6.247B,6.247B,458.00M,458.00M,931.00M,241.00M,64.00M,328.00M,8.028B,14.56B,,473.00M,5.947B,548.00M,3.956B,-3.299B,-287.00M,,AOR,Restated
2018-09,494.00M,494.00M,2.308B,,,2.308B,614.00M,226.00M,1.114B,,1.77B,,,536.00M,5.108B,0.00,169.00M,2.786B,14.04B,503.00M,17.50B,-10.47B,7.03B,1.48B,,1.48B,251.00M,,714.00M,9.475B,14.58B,,2.937B,347.00M,,3.284B,1.735B,5.019B,,,1.786B,,1.786B,,6.805B,5.739B,5.739B,504.00M,504.00M,993.00M,245.00M,61.00M,369.00M,7.666B,14.47B,,,,,,,-133.00M,,AOR,Restated
