,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,218.48M,219.51M,77.42M,142.10M,,12.31M,-11.18M,,37.54M,0.539M,-37.00M,,76.73M,65.36M,0.539M,37.54M,-37.00M,73.85M,-37.00M,102.21M,,102.21M,,,-7.486M,2.011M,94.72M,39.79M,204.18M,64.42M,139.75M,,1.22,,,,0.4962,1.22,,1.22,,,,0.4962,1.22,,75.90M,75.90M,1.06,,AOR,
2020-09,207.41M,208.20M,72.35M,135.84M,,9.308M,-57.22M,,36.23M,0.538M,-35.69M,,74.94M,60.91M,0.538M,36.23M,-35.69M,-58.84M,-35.69M,-33.62M,,-33.62M,,,5.334M,2.01M,-28.29M,28.93M,68.24M,65.63M,2.605M,,-0.41,,,,0.3488,-0.41,,-0.41,,,,0.3488,-0.41,,75.40M,75.40M,1.06,,AOR,
2020-06,175.48M,176.23M,67.02M,109.21M,,9.814M,,,34.07M,0.509M,-33.56M,,72.60M,36.61M,0.509M,34.07M,-33.56M,7.81M,-33.56M,10.86M,,10.86M,,,-0.352M,2.011M,10.51M,1.979M,107.72M,62.78M,44.93M,,0.11,,,,-0.0031,0.11,,0.11,,,,-0.0031,0.11,,75.39M,75.39M,1.05,,AOR,
2020-03,230.80M,231.56M,73.38M,158.18M,,10.25M,,,28.44M,0.308M,-28.14M,,72.44M,85.74M,0.308M,28.44M,-28.14M,-1.164M,-28.14M,56.44M,,56.44M,,,-1.678M,2.01M,54.76M,54.76M,147.07M,62.19M,84.89M,,0.70,,,,0.70,0.70,,0.70,,,,0.70,0.70,,75.36M,75.36M,1.05,,AOR,
2019-12,238.30M,239.15M,76.69M,162.46M,,10.71M,0.00,,27.06M,0.511M,-26.54M,,72.14M,90.32M,0.511M,27.06M,-26.54M,85.19M,-26.54M,148.97M,,148.97M,,,-1.611M,2.011M,147.36M,84.65M,237.45M,61.43M,176.02M,,1.92,,,,1.087,1.92,,1.92,,,,1.087,1.92,,75.31M,75.31M,1.05,,AOR,Restated
2019-09,233.21M,233.95M,83.51M,150.43M,,11.06M,0.00,,27.05M,0.389M,-26.66M,,70.71M,79.72M,0.389M,27.05M,-26.66M,14.04M,-26.66M,67.11M,,67.11M,,,-1.641M,2.01M,65.46M,55.03M,153.81M,59.65M,94.16M,,0.84,,,,0.7006,0.84,,0.84,,,,0.7006,0.84,,74.83M,74.83M,1.05,,AOR,Restated
2019-06,229.73M,230.46M,66.60M,163.86M,,11.42M,,,27.48M,0.189M,-27.29M,,70.48M,93.38M,0.189M,27.48M,-27.29M,16.58M,-27.29M,82.67M,,82.67M,,,-1.765M,2.011M,80.90M,69.08M,169.21M,59.06M,110.15M,,1.05,,,,0.8917,1.05,,1.05,,,,0.8917,1.05,,74.71M,74.71M,1.02,,AOR,Restated
2019-03,231.49M,232.23M,71.95M,160.28M,,9.565M,,,28.03M,0.177M,-27.86M,,69.19M,91.09M,0.177M,28.03M,-27.86M,-1.434M,-27.86M,61.80M,,61.80M,,,-1.659M,2.01M,60.14M,60.14M,149.46M,59.62M,89.84M,,0.78,,,,0.78,0.78,,0.78,,,,0.78,0.78,,74.20M,74.20M,1.02,,AOR,Restated
2018-12,234.51M,235.38M,75.44M,159.93M,,9.62M,,,28.04M,0.285M,-27.75M,,76.60M,83.34M,0.285M,28.04M,-27.75M,0.797M,-27.75M,56.38M,,56.38M,,,-1.875M,2.011M,54.51M,53.41M,151.40M,66.98M,84.42M,,0.6911,0.0204,,,0.6762,0.71,,0.6910,0.0204,,,0.6762,0.71,,73.80M,73.80M,1.02,,AOR,Restated
2018-09,228.96M,229.75M,71.00M,158.76M,,7.638M,,,28.17M,0.319M,-27.85M,,68.42M,90.34M,0.319M,28.17M,-27.85M,1.685M,-27.85M,64.18M,,64.18M,,,-1.622M,2.01M,62.56M,60.28M,153.12M,60.78M,92.35M,,0.82,,,,0.7889,0.82,,0.82,,,,0.7889,0.82,,73.40M,73.41M,1.02,,AOR,Restated
