,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-154.60M,1.20M,-22.20M,-1.00M,96.90M,96.90M,14.00M,202.40M,,14.20M,,-0.10M,-121.50M,-54.60M,8.60M,47.10M,,,11.70M,-108.70M,63.10M,2020-09,-44.20M,,-44.20M,,0.00,,5.60M,-38.60M,2020-09,-610.50M,,-610.50M,0.00,,0.00,-31.10M,-31.10M,,-4.90M,-646.50M,2020-09,1.456B,-622.00M,15.10M,,2020-09,0.00,-1.50M,-609.00M,,,,2020-09,AOR,
2020-06,60.60M,17.40M,-2.10M,15.30M,94.70M,94.70M,5.00M,0.00,,13.50M,,3.00M,295.50M,-75.10M,1.00M,-131.30M,,,8.70M,98.80M,290.90M,2020-06,-26.30M,,-26.30M,,78.10M,,1.30M,53.10M,2020-06,643.40M,,643.40M,0.00,,0.00,-31.00M,-31.00M,,-10.30M,602.10M,2020-06,510.40M,946.10M,-0.20M,,2020-06,0.00,643.40M,0.00,,,,2020-06,AOR,
2020-03,106.40M,,-1.60M,-1.60M,93.10M,93.10M,6.70M,0.00,,16.20M,,-14.70M,-67.60M,36.50M,-33.40M,36.70M,,,-6.50M,-34.30M,171.80M,2020-03,-33.80M,,-33.80M,,-11.30M,,-29.70M,-74.80M,2020-03,102.00M,,102.00M,,,,-30.90M,-30.90M,,-6.40M,64.70M,2020-03,354.30M,161.70M,-5.60M,,2020-03,,102.00M,0.00,,,,2020-03,AOR,
2019-12,-19.00M,0.70M,-3.60M,8.10M,103.00M,103.00M,-54.00M,141.60M,,11.30M,,-12.70M,-128.60M,11.30M,4.70M,17.20M,,,6.60M,-88.80M,89.50M,2019-12,-47.40M,,-47.40M,,0.90M,,-59.80M,-106.30M,2019-12,-0.30M,,-0.30M,0.20M,,0.20M,-28.80M,-28.80M,,-2.60M,-31.50M,2019-12,398.50M,-48.30M,4.10M,,2019-12,0.20M,-0.30M,0.00,,,,2019-12,AOR,
2019-09,92.20M,-72.40M,-2.60M,-74.80M,102.00M,102.00M,0.90M,11.00M,,12.90M,,16.30M,43.20M,0.00,-7.10M,-59.70M,,,3.10M,-20.50M,140.00M,2019-09,-35.60M,,-35.60M,,-566.10M,,-50.10M,-651.80M,2019-09,-113.80M,,-113.80M,0.40M,,0.40M,-28.80M,-28.80M,,-2.70M,-144.90M,2019-09,1.056B,-656.70M,-0.50M,,2019-09,0.40M,203.30M,-317.10M,,,,2019-09,AOR,Restated
2019-06,9.00M,0.00,-5.50M,-5.50M,94.90M,94.90M,5.30M,27.80M,,15.60M,,24.10M,-6.80M,-40.80M,6.10M,-70.50M,,,4.60M,-107.40M,63.80M,2019-06,-33.60M,,-33.60M,,0.00,,-34.50M,-68.10M,2019-06,251.20M,,251.20M,0.30M,,0.30M,-28.90M,-28.90M,,-2.80M,219.80M,2019-06,837.90M,215.50M,2.30M,,2019-06,0.30M,397.50M,-146.30M,,,,2019-06,AOR,Restated
2019-03,63.90M,,-10.40M,-10.40M,96.60M,96.60M,3.90M,4.10M,,12.40M,,20.80M,-48.50M,-37.50M,-3.70M,-20.00M,,,12.90M,-96.80M,94.50M,2019-03,-21.10M,,-21.10M,,0.00,,251.20M,230.10M,2019-03,-12.60M,,-12.60M,,,,-25.90M,-25.90M,,-3.10M,-41.60M,2019-03,551.10M,283.00M,3.80M,,2019-03,,,-12.60M,,,,2019-03,AOR,Restated
2018-12,81.40M,0.00,-122.80M,-122.30M,99.60M,99.60M,-9.50M,0.90M,,11.10M,,-21.60M,0.80M,2.70M,,155.60M,,,-4.40M,154.70M,194.30M,2018-12,-45.80M,,-45.80M,,5.20M,0.00,-5.50M,-46.10M,2018-12,-8.20M,,-8.20M,0.30M,0.00,0.30M,-26.20M,-26.20M,,-0.20M,-34.30M,2018-12,444.20M,113.90M,-7.00M,,2018-12,0.30M,0.00,-8.20M,0.00,,,2018-12,AOR,Restated
2018-09,-67.40M,0.00,-74.90M,-75.40M,106.20M,106.20M,5.80M,221.80M,,4.30M,,16.80M,44.50M,-2.00M,,-112.10M,,,1.50M,-68.10M,144.00M,2018-09,-23.50M,,-23.50M,,-1.30M,0.00,-26.70M,-51.50M,2018-09,-13.20M,,-13.20M,1.00M,-135.00M,-134.00M,-25.90M,-25.90M,,-2.30M,-175.40M,2018-09,526.50M,-82.90M,0.60M,,2018-09,1.00M,0.00,-13.20M,-135.00M,,,2018-09,AOR,Restated
2018-06,36.20M,,-0.60M,-0.60M,108.30M,108.30M,-7.00M,1.70M,,9.60M,,-4.90M,-26.90M,-55.60M,,5.20M,,,16.30M,-61.00M,82.30M,2018-06,-19.90M,,-19.90M,,0.00,-7.50M,0.30M,-27.10M,2018-06,-14.80M,,-14.80M,0.00,-156.90M,-156.90M,-26.10M,-26.10M,,-1.80M,-199.60M,2018-06,687.30M,-144.40M,-16.40M,,2018-06,0.00,0.00,-14.80M,-156.90M,,,2018-06,AOR,Restated
2018-03,80.80M,,9.60M,10.10M,109.50M,109.50M,-7.20M,0.00,,12.70M,,11.50M,2.60M,-43.70M,,18.30M,,,-22.20M,-45.00M,172.40M,2018-03,-13.40M,,-13.40M,,1.30M,,10.00M,-2.10M,2018-03,-19.70M,,-19.70M,,-108.10M,-108.10M,-26.70M,-26.70M,,-8.10M,-162.60M,2018-03,678.70M,7.70M,0.90M,,2018-03,,431.00M,-450.70M,-108.10M,,,2018-03,AOR,Restated
2017-12,73.20M,,0.70M,0.70M,111.70M,111.70M,-32.60M,0.10M,,15.70M,,26.80M,-35.20M,12.30M,,52.50M,,,-8.30M,21.30M,216.90M,2017-12,-33.40M,,-33.40M,,107.50M,0.00,-8.10M,66.00M,2017-12,-360.50M,,-360.50M,0.20M,0.00,0.20M,-22.40M,-22.40M,,-1.00M,-383.70M,2017-12,775.90M,-100.80M,3.60M,,2017-12,0.20M,6.80M,-367.30M,0.00,,,2017-12,AOR,Restated
2017-09,44.40M,,2.60M,2.60M,112.30M,112.30M,-8.20M,7.80M,,13.30M,,-9.30M,-13.40M,-23.70M,,54.10M,,,16.80M,33.80M,196.70M,2017-09,-18.00M,,-18.00M,,9.50M,0.00,-1.40M,-9.90M,2017-09,-14.60M,,-14.60M,0.30M,-133.30M,-133.00M,-22.70M,-22.70M,,-2.20M,-172.50M,2017-09,760.80M,14.30M,0.80M,,2017-09,0.30M,0.00,-14.60M,-133.30M,,,2017-09,AOR,Restated
2017-06,-69.60M,,38.70M,173.90M,111.40M,111.40M,37.90M,27.40M,,8.70M,,-12.80M,1.70M,-5.10M,,-196.30M,,,13.60M,-186.10M,90.80M,2017-06,-15.20M,,-15.20M,,11.90M,0.00,-2.50M,-5.80M,2017-06,-2.332B,,-2.332B,0.20M,-58.20M,-58.00M,-23.00M,-23.00M,,1.60M,-2.411B,2017-06,3.078B,-2.326B,9.30M,,2017-06,0.20M,,-2.332B,-58.20M,,,2017-06,AOR,Restated
