,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.214B,1.214B,785.60M,428.10M,164.60M,116.40M,281.00M,42.60M,202.40M,-223.20M,34.00M,,-34.00M,-3.20M,320.40M,107.70M,,34.00M,-34.00M,-201.40M,-34.00M,-127.70M,26.90M,-154.60M,,3.20M,96.90M,-93.70M,,2020-09,-0.0551,-1.13,,2020-09,-1.13,-1.13,,2020-09,0.225,,2020-09,AOR,
2020-06,1.219B,1.219B,784.40M,434.70M,151.20M,118.80M,270.00M,47.10M,,-1.10M,33.40M,,-33.40M,-0.90M,316.20M,118.50M,,33.40M,-33.40M,-13.30M,-33.40M,71.80M,11.20M,60.60M,,199.90M,94.70M,105.20M,,2020-06,0.4338,0.44,,2020-06,0.44,0.44,,2020-06,0.225,,2020-06,AOR,
2020-03,1.341B,1.341B,857.80M,483.20M,171.90M,122.60M,294.50M,41.90M,,0.00,30.20M,,-30.20M,1.10M,337.50M,145.70M,,30.20M,-30.20M,-0.80M,-30.20M,114.70M,8.30M,106.40M,,238.00M,93.10M,144.90M,,2020-03,0.7691,0.78,,2020-03,0.77,0.77,,2020-03,0.225,,2020-03,AOR,
2019-12,1.323B,1.323B,842.00M,480.80M,169.80M,118.80M,288.60M,59.40M,141.60M,-141.20M,,,-31.30M,-1.50M,346.50M,134.30M,,,-31.30M,-137.20M,-31.30M,-34.20M,-15.20M,-19.00M,,223.00M,103.00M,120.00M,,2019-12,0.5986,-0.14,,2019-12,-0.14,-0.14,,2019-12,0.21,,2019-12,AOR,
2019-09,1.191B,1.191B,778.30M,412.80M,157.50M,131.90M,289.40M,44.00M,10.90M,-16.30M,30.50M,,-30.50M,8.90M,342.30M,70.50M,,30.50M,-30.50M,57.30M,-30.50M,97.30M,5.10M,92.20M,,229.80M,102.00M,127.80M,,2019-09,0.7755,0.68,,2019-09,0.67,0.67,,2019-09,0.21,,2019-09,AOR,Restated
2019-06,1.149B,1.149B,718.20M,430.80M,163.80M,127.20M,291.00M,43.90M,,-40.00M,31.20M,,-31.20M,0.90M,335.80M,95.00M,,31.20M,-31.20M,-36.80M,-31.20M,27.00M,18.00M,9.00M,,153.10M,94.90M,58.20M,,2019-06,0.2552,0.07,,2019-06,0.07,0.07,,2019-06,0.21,,2019-06,AOR,Restated
2019-03,1.174B,1.174B,725.70M,448.80M,171.90M,125.10M,297.00M,40.20M,,-13.40M,28.60M,,-28.60M,-4.10M,333.10M,115.70M,,28.60M,-28.60M,-6.20M,-28.60M,80.90M,17.00M,63.90M,,206.10M,96.60M,109.50M,,2019-03,0.4874,0.47,,2019-03,0.47,0.47,,2019-03,0.19,,2019-03,AOR,Restated
2018-12,1.195B,1.195B,752.20M,443.00M,167.70M,125.90M,293.60M,44.60M,,1.30M,,,-32.80M,-1.40M,336.80M,106.20M,,,-32.80M,130.30M,-32.80M,203.70M,122.30M,81.40M,,205.80M,99.60M,106.20M,,2018-12,-0.0776,0.59,,2018-12,0.59,0.59,,2018-12,0.19,,2018-12,AOR,Restated
2018-09,1.133B,1.133B,708.30M,424.80M,157.20M,105.60M,262.80M,43.70M,,-239.80M,,,-31.70M,0.50M,307.00M,117.80M,,,-31.70M,-165.10M,-31.70M,-79.00M,-11.50M,-67.50M,,224.00M,106.20M,117.80M,,2018-09,0.5361,-0.49,,2018-09,-0.49,-0.49,,2018-09,0.19,,2018-09,AOR,Restated
2018-06,1.186B,1.186B,715.40M,471.00M,179.00M,96.80M,275.80M,91.90M,1.70M,-5.40M,,,-32.10M,3.20M,370.90M,100.10M,,,-32.10M,-12.70M,-32.10M,55.30M,19.10M,36.20M,,208.40M,108.30M,100.10M,,2018-06,0.2828,0.26,,2018-06,0.26,0.26,,2018-06,0.19,,2018-06,AOR,Restated
2018-03,1.217B,1.217B,724.30M,492.70M,186.00M,107.60M,293.60M,38.40M,0.00,-2.00M,,,-31.40M,2.90M,334.90M,157.80M,,,-31.40M,-15.90M,-31.40M,110.50M,29.70M,80.80M,,267.30M,109.50M,157.80M,,2018-03,0.6302,0.57,,2018-03,0.57,0.57,,2018-03,0.19,,2018-03,AOR,Restated
2017-12,1.283B,1.283B,770.30M,512.80M,167.10M,134.20M,301.30M,46.90M,0.10M,-6.40M,,,-35.00M,-0.40M,347.80M,165.00M,,,-35.00M,1.90M,-35.00M,131.90M,58.70M,73.20M,,276.70M,111.70M,165.00M,,2017-12,0.5401,0.51,,2017-12,0.51,0.51,,2017-12,0.16,,2017-12,AOR,Restated
2017-09,1.231B,1.231B,733.50M,497.80M,165.00M,123.30M,288.30M,38.40M,7.80M,-11.60M,,,-34.70M,-2.90M,323.80M,174.00M,,,-34.70M,-10.60M,-34.70M,128.70M,84.20M,44.50M,,286.30M,112.30M,174.00M,,2017-09,0.3703,0.31,,2017-09,0.31,0.31,,2017-09,0.16,,2017-09,AOR,Restated
2017-06,1.238B,1.238B,733.30M,504.60M,177.20M,98.20M,275.40M,42.60M,27.40M,-174.70M,,,-45.10M,-1.70M,316.30M,188.30M,,,-45.10M,-219.50M,-45.10M,-76.30M,-6.70M,-69.60M,,299.70M,111.40M,188.30M,,2017-06,0.8696,-0.49,,2017-06,-0.49,-0.49,,2017-06,0.16,,2017-06,AOR,Restated
