,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,849.40M,,849.40M,1.098B,,1.098B,280.50M,201.30M,618.90M,,1.101B,350.50M,,,,3.398B,,,,,1.051B,1.051B,,1.051B,3.839B,2.910B,6.750B,,,7.30M,11.58B,,2020-09,536.40M,20.90M,557.30M,762.50M,1.320B,,,,16.50M,,16.50M,,,,1.336B,3.544B,,3.544B,313.50M,562.20M,4.419B,5.756B,,2020-09,,,,203.70M,5.820B,,2020-09,AOR,
2020-06,1.456B,,1.456B,1.001B,,1.001B,268.20M,196.70M,569.80M,,1.035B,311.30M,,,,3.804B,,,,,1.029B,1.029B,,1.029B,4.004B,2.922B,6.926B,,,7.20M,12.13B,,2020-06,489.10M,24.00M,513.10M,740.10M,1.253B,,,,606.50M,,606.50M,,,,1.860B,3.536B,,3.536B,291.60M,530.10M,4.358B,6.217B,,2020-06,,,,120.70M,5.910B,,2020-06,AOR,
2020-03,510.40M,,510.40M,1.297B,,1.297B,256.20M,188.80M,485.80M,,930.80M,308.30M,,,,3.046B,,,,,1.013B,1.013B,,1.013B,4.09B,2.934B,7.024B,,,6.20M,11.40B,,2020-03,555.80M,26.80M,582.60M,764.60M,1.347B,,,,287.80M,,287.80M,,,,1.635B,3.183B,,3.183B,286.30M,509.60M,3.979B,5.614B,,2020-03,,,,35.90M,5.786B,,2020-03,AOR,
2019-12,354.30M,,354.30M,1.243B,,1.243B,250.10M,186.90M,530.30M,,967.30M,192.10M,,,,2.757B,0.00,50.40M,578.70M,1.196B,129.90M,1.955B,-922.10M,1.033B,4.117B,2.99B,7.107B,,,5.40M,11.30B,,2019-12,520.20M,32.20M,552.40M,780.00M,1.332B,,,,3.40M,,3.40M,,,,1.336B,3.366B,,3.366B,280.60M,515.10M,4.162B,5.497B,,2019-12,,,,139.40M,5.804B,,2019-12,AOR,
2019-09,398.50M,,398.50M,1.102B,,1.102B,259.10M,195.10M,536.30M,,990.50M,248.60M,,,,2.740B,,,,,1.030B,1.030B,,1.030B,4.223B,2.946B,7.169B,,,2.70M,11.31B,,2019-09,524.90M,77.50M,602.40M,687.00M,1.289B,,,3.10M,3.10M,32.20M,35.30M,,,,1.325B,3.340B,124.30M,3.465B,314.30M,447.90M,4.227B,5.552B,,2019-09,,,,56.60M,5.759B,,2019-09,AOR,Restated
2019-06,1.056B,,1.056B,1.117B,,1.117B,246.50M,192.80M,501.20M,,940.50M,322.10M,,,,3.435B,,,,,976.80M,976.80M,,976.80M,3.935B,2.708B,6.643B,,,6.80M,11.43B,,2019-06,513.70M,104.10M,617.80M,741.30M,1.359B,,,398.80M,398.80M,32.90M,431.70M,,,,1.791B,3.073B,119.20M,3.192B,280.20M,439.50M,3.912B,5.702B,,2019-06,,,,99.50M,5.726B,,2019-06,AOR,Restated
2019-03,837.90M,,837.90M,1.119B,,1.119B,239.60M,199.30M,474.00M,,912.90M,139.80M,,,,3.009B,,,,,977.80M,977.80M,,977.80M,3.966B,2.791B,6.757B,,,2.70M,11.12B,,2019-03,549.20M,85.90M,635.10M,694.10M,1.329B,,,466.00M,466.00M,36.70M,502.70M,,,,1.832B,2.745B,121.10M,2.866B,282.40M,438.10M,3.587B,5.419B,,2019-03,,,,69.00M,5.701B,,2019-03,AOR,Restated
2018-12,551.10M,,551.10M,1.073B,,1.073B,235.60M,197.50M,444.90M,,878.00M,400.00M,,,,2.902B,0.00,49.00M,552.30M,1.079B,,1.681B,-851.50M,829.10M,4.089B,2.799B,6.888B,,,1.20M,10.98B,,2018-12,474.90M,96.50M,571.40M,775.80M,1.347B,,,,190.20M,,190.20M,,,,1.537B,3.052B,,3.052B,282.30M,443.40M,3.778B,5.315B,,2018-12,,,,84.60M,5.668B,,2018-12,AOR,Restated
2018-09,444.20M,,444.20M,1.080B,,1.080B,231.30M,180.30M,473.70M,,885.30M,359.50M,,,,2.769B,,,,,,,,820.20M,3.994B,3.007B,7.001B,,,0.80M,10.94B,,2018-09,503.60M,56.00M,559.60M,739.70M,1.299B,,,,194.20M,,194.20M,,,,1.494B,3.071B,,3.071B,294.70M,423.70M,3.789B,5.283B,,2018-09,,,,143.20M,5.660B,,2018-09,AOR,Restated
2018-06,526.50M,,526.50M,1.130B,,1.130B,222.50M,175.60M,485.70M,,883.80M,238.40M,,,,2.778B,,,,,,,,811.90M,4.138B,3.156B,7.293B,,,1.00M,11.23B,,2018-06,533.40M,57.90M,591.30M,748.60M,1.340B,,,,197.70M,,197.70M,,,,1.538B,3.085B,,3.085B,290.80M,414.60M,3.791B,5.328B,,2018-06,,,,155.00M,5.897B,,2018-06,AOR,Restated
