,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,370.00M,4.559B,4.929B,15.71B,1.683B,15.71B,20.87B,1.076B,2.544B,,2.544B,7.194B,82.74B,,97.07B,122.75B,,,,,,,,,6.635B,6.635B,905.00M,905.00M,,16.03B,,,23.57B,95.49B,1.979B,50.34B,3.453B,31.34B,1.97B,-1.00M,153.00M,-64.00M,2.745B,2.833B,27.26B
2020-06,547.00M,5.344B,5.891B,15.66B,,15.66B,21.55B,1.10B,2.544B,,2.544B,4.774B,80.94B,,92.95B,121.27B,,,,,,,,,6.634B,6.634B,842.00M,842.00M,,15.45B,,,22.92B,94.28B,1.979B,49.38B,3.541B,30.54B,1.97B,-1.00M,115.00M,-89.00M,2.603B,2.628B,26.99B
2020-03,338.00M,5.671B,6.009B,15.62B,,15.62B,21.62B,1.123B,2.544B,,2.544B,4.759B,76.32B,,88.62B,116.11B,,,,,,,,,6.633B,6.633B,331.00M,331.00M,,15.00B,,,21.96B,91.93B,1.979B,48.33B,3.519B,30.21B,1.97B,0.00,126.00M,-98.00M,530.00M,558.00M,24.17B
2019-12,338.00M,4.256B,4.594B,15.68B,,15.68B,20.28B,1.145B,2.545B,481.00M,3.026B,4.817B,79.54B,,91.58B,119.95B,,,,,,,,,6.631B,6.631B,1.154B,1.154B,,15.34B,,,23.13B,93.95B,2.257B,48.07B,3.463B,29.75B,2.248B,70.00M,122.00M,-59.00M,1.817B,1.95B,26.00B
2019-09,587.00M,5.254B,5.841B,15.92B,,15.92B,21.76B,1.092B,2.545B,,2.545B,4.694B,80.71B,,92.42B,121.07B,,,,,,,,,6.63B,6.63B,1.079B,1.079B,,15.34B,,,23.05B,94.93B,3.061B,46.53B,3.511B,29.06B,3.052B,82.00M,134.00M,-50.00M,1.941B,2.107B,26.14B
2019-06,599.00M,3.74B,4.339B,15.67B,,15.67B,20.01B,1.058B,2.547B,,2.547B,4.687B,77.95B,,89.89B,118.37B,,,,,,,,,6.628B,6.628B,997.00M,997.00M,,14.75B,,,22.38B,93.90B,1.939B,45.80B,3.477B,28.50B,1.93B,83.00M,146.00M,-40.00M,1.571B,1.76B,24.48B
2019-03,551.00M,4.157B,4.708B,15.58B,,15.58B,20.28B,1.047B,2.547B,,2.547B,4.681B,75.65B,,87.59B,115.83B,,,,,,,,,6.453B,6.453B,817.00M,817.00M,,14.32B,,,21.59B,92.42B,1.939B,45.15B,3.291B,28.04B,1.93B,73.00M,157.00M,-44.00M,899.00M,1.085B,23.42B
2018-12,499.00M,3.027B,3.526B,15.72B,,15.72B,19.24B,1.045B,2.53B,713.00M,3.243B,4.67B,72.74B,,83.99B,112.25B,,,,,,,,,6.451B,6.451B,425.00M,425.00M,,14.51B,,,21.39B,90.94B,1.939B,44.03B,3.31B,28.08B,1.93B,75.00M,169.00M,-49.00M,-77.00M,118.00M,21.31B
2018-09,460.00M,3.071B,3.531B,15.19B,,15.19B,18.72B,1.032B,2.189B,,2.189B,4.592B,75.30B,,86.18B,114.49B,,,,,,,,,6.45B,6.45B,660.00M,660.00M,,14.41B,,,21.52B,90.86B,2.312B,46.18B,3.441B,27.01B,2.303B,86.00M,-1.234B,-34.00M,-102.00M,-1.284B,23.63B
2018-06,489.00M,3.123B,3.612B,14.86B,,14.86B,18.48B,1.04B,2.189B,,2.189B,4.535B,74.58B,,85.50B,113.37B,,,,,,,,,6.448B,6.448B,723.00M,723.00M,,13.82B,,,21.00B,90.25B,2.312B,45.51B,3.391B,26.82B,2.303B,83.00M,-1.302B,-20.00M,-29.00M,-1.268B,23.12B
