,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,11.50B,11.50B,1.309B,1.309B,31.00M,-199.00M,78.00M,-78.00M,,1.141B,78.00M,-78.00M,272.00M,-78.00M,1.442B,289.00M,1.153B,,,27.00M,1.153B,1.312B,182.00M,1.52B,3.62,,,4.131,3.62,3.58,,,4.087,3.58,311.20M,314.10M,0.54
2020-06,11.20B,11.20B,1.524B,1.524B,29.00M,-13.00M,79.00M,-79.00M,738.00M,2.278B,79.00M,-79.00M,257.00M,-79.00M,1.546B,296.00M,1.25B,,,26.00M,1.25B,1.261B,163.00M,1.625B,3.9,,,3.9339999999999997,3.9,3.86,,,3.8930000000000002,3.86,313.70M,317.00M,0.54
2020-03,10.08B,10.08B,1.717B,1.717B,28.00M,-4.00M,81.00M,-81.00M,210.00M,1.951B,81.00M,-81.00M,265.00M,-81.00M,661.00M,112.00M,549.00M,,,36.00M,549.00M,552.32M,155.00M,742.00M,1.62,,,1.63,1.62,1.59,,,1.6,1.59,317.40M,322.40M,0.54
2019-12,11.47B,11.47B,1.265B,1.265B,30.00M,-62.00M,82.00M,-82.00M,,1.233B,82.00M,-82.00M,260.00M,-82.00M,2.231B,458.00M,1.773B,,,66.00M,1.773B,1.822B,171.00M,2.313B,5.32,,,5.474,5.32,5.23,,,5.381,5.23,320.40M,326.90M,0.5
2019-09,11.07B,11.07B,1.639B,1.639B,32.00M,0.00,80.00M,-80.00M,,1.671B,80.00M,-80.00M,273.00M,-80.00M,1.16B,229.00M,931.00M,,,42.00M,931.00M,931.00M,159.00M,1.24B,2.71,,,2.71,2.71,2.67,,,2.67,2.67,327.70M,333.00M,0.5
2019-06,11.14B,11.14B,1.505B,1.505B,32.00M,-62.00M,82.00M,-82.00M,,1.475B,82.00M,-82.00M,271.00M,-82.00M,1.078B,227.00M,851.00M,,,30.00M,851.00M,899.94M,160.00M,1.16B,2.47,,,2.617,2.47,2.44,,,2.585,2.44,332.00M,336.90M,0.5
2019-03,10.99B,10.99B,1.395B,1.395B,32.00M,-17.00M,83.00M,-83.00M,,1.41B,83.00M,-83.00M,250.00M,-83.00M,1.62B,328.00M,1.292B,,,31.00M,1.292B,1.306B,157.00M,1.703B,3.79,,,3.8310000000000004,3.79,3.74,,,3.78,3.74,332.60M,337.50M,0.5
2018-12,9.481B,9.481B,2.008B,2.008B,36.00M,-10.00M,81.00M,-81.00M,,2.034B,81.00M,-81.00M,257.00M,-81.00M,-710.00M,-168.00M,-542.00M,,,43.00M,-542.00M,-534.37M,135.00M,-629.00M,-0.91,,,-0.8877,-0.91,-0.91,,,-0.888,-0.91,342.10M,346.60M,0.46
2018-09,10.46B,10.46B,1.386B,1.386B,24.00M,-12.00M,82.00M,-82.00M,,1.398B,82.00M,-82.00M,238.00M,-82.00M,1.178B,199.00M,979.00M,,,37.00M,979.00M,988.97M,128.00M,1.26B,2.72,,,2.7489999999999997,2.72,2.68,,,2.708,2.68,346.00M,351.70M,0.46
2018-06,10.10B,10.10B,1.351B,1.351B,23.00M,-21.00M,86.00M,-86.00M,,1.353B,86.00M,-86.00M,228.00M,-86.00M,897.00M,180.00M,717.00M,,,39.00M,717.00M,733.79M,126.00M,983.00M,1.94,,,1.9880000000000002,1.94,1.91,,,1.9569999999999999,1.91,349.20M,354.60M,0.46
2018-03,9.77B,9.77B,1.317B,1.317B,22.00M,-18.00M,83.00M,-83.00M,,1.321B,83.00M,-83.00M,216.00M,-83.00M,1.263B,257.00M,1.006B,,,29.00M,1.006B,1.020B,122.00M,1.346B,2.76,,,2.8,2.76,2.71,,,2.75,2.71,354.10M,359.90M,0.46
2017-12,10.06B,10.06B,914.00M,914.00M,,-139.00M,84.00M,-84.00M,,775.00M,84.00M,-84.00M,219.00M,-84.00M,1.715B,101.00M,1.614B,,,29.00M,1.614B,1.745B,125.00M,1.799B,3.41,,,3.7760000000000002,3.41,3.35,,,3.7089999999999996,3.35,357.50M,363.90M,0.37
2017-09,9.888B,9.888B,1.446B,1.446B,,-13.00M,83.00M,-83.00M,,1.433B,83.00M,-83.00M,228.00M,-83.00M,971.00M,305.00M,666.00M,,,29.00M,666.00M,674.92M,120.00M,1.054B,1.76,,,1.785,1.76,1.74,,,1.764,1.74,361.30M,367.10M,0.37
2017-06,9.813B,9.813B,1.312B,1.312B,,-41.00M,83.00M,-83.00M,,1.271B,83.00M,-83.00M,226.00M,-83.00M,851.00M,272.00M,579.00M,,,29.00M,579.00M,606.90M,119.00M,934.00M,1.51,,,1.587,1.51,1.49,,,1.5659999999999998,1.49,363.60M,369.00M,0.37
2017-03,9.644B,9.644B,1.307B,1.307B,,-8.00M,85.00M,-85.00M,,1.299B,85.00M,-85.00M,210.00M,-85.00M,1.012B,317.00M,695.00M,,,29.00M,695.00M,700.49M,119.00M,1.097B,1.82,,,1.835,1.82,1.79,,,1.805,1.79,365.70M,371.30M,0.37
2016-12,10.14B,10.14B,1.896B,1.896B,,-8.00M,77.00M,-77.00M,,1.888B,77.00M,-77.00M,,-77.00M,1.258B,418.00M,840.00M,,,29.00M,840.00M,845.34M,97.00M,1.335B,2.2,,,2.215,2.2,2.18,,,2.194,2.18,368.00M,372.50M,0.33
2016-09,9.221B,9.221B,1.021B,1.021B,,-4.00M,73.00M,-73.00M,,1.017B,73.00M,-73.00M,,-73.00M,765.00M,245.00M,520.00M,,,29.00M,520.00M,522.72M,97.00M,838.00M,1.32,,,1.327,1.32,1.31,,,1.317,1.31,371.50M,375.90M,0.33
2016-06,9.164B,9.164B,1.04B,1.04B,,-10.00M,72.00M,-72.00M,,1.03B,72.00M,-72.00M,,-72.00M,376.00M,105.00M,271.00M,,,29.00M,271.00M,278.21M,97.00M,448.00M,0.65,,,0.6693,0.65,0.64,,,0.6591,0.64,373.60M,378.10M,0.33
2016-03,8.871B,8.871B,982.00M,982.00M,,-3.00M,73.00M,-73.00M,,979.00M,73.00M,-73.00M,,-73.00M,355.00M,109.00M,246.00M,,,29.00M,246.00M,248.08M,91.00M,428.00M,0.57,,,0.5755,0.57,0.57,,,0.5754,0.57,378.10M,382.90M,0.33
2015-12,8.691B,8.691B,938.00M,938.00M,,-6.00M,73.00M,-73.00M,,932.00M,73.00M,-73.00M,,-73.00M,720.00M,231.00M,489.00M,,,29.00M,489.00M,493.08M,96.00M,793.00M,1.19,,,1.2009999999999998,1.19,1.18,,,1.19,1.18,384.90M,390.00M,0.3
2015-09,9.028B,9.028B,992.00M,992.00M,,-7.00M,73.00M,-73.00M,,985.00M,73.00M,-73.00M,,-73.00M,955.00M,305.00M,650.00M,,,29.00M,650.00M,654.76M,96.00M,1.028B,1.56,,,1.5719999999999998,1.56,1.54,,,1.5519999999999998,1.54,397.00M,402.10M,0.3
2015-06,8.982B,8.982B,1.061B,1.061B,,-18.00M,73.00M,-73.00M,,1.043B,73.00M,-73.00M,,-73.00M,526.00M,171.00M,355.00M,,,29.00M,355.00M,367.15M,92.00M,599.00M,0.8,,,0.8298,0.8,0.79,,,0.8194,0.79,407.00M,412.60M,0.3
2015-03,8.952B,8.952B,1.09B,1.09B,,-5.00M,73.00M,-73.00M,,1.085B,73.00M,-73.00M,,-73.00M,1.081B,404.00M,677.00M,,,29.00M,677.00M,680.13M,87.00M,1.154B,1.56,,,1.568,1.56,1.53,,,1.537,1.53,415.80M,422.60M,0.3
2014-12,8.759B,8.759B,1.156B,1.156B,,-2.00M,73.00M,-73.00M,,1.154B,73.00M,-73.00M,,-73.00M,1.242B,418.00M,824.00M,,,29.00M,824.00M,825.33M,89.00M,1.315B,1.89,,,1.893,1.89,1.86,,,1.8630000000000002,1.86,420.60M,428.00M,0.28
2014-09,8.936B,8.936B,1.068B,1.068B,,-30.00M,78.00M,-78.00M,,1.038B,78.00M,-78.00M,,-78.00M,1.19B,409.00M,781.00M,,,31.00M,781.00M,800.69M,88.00M,1.268B,1.77,,,1.8159999999999998,1.77,1.74,,,1.786,1.74,424.50M,431.20M,0.28
2014-06,8.86B,8.86B,1.023B,1.023B,,4.00M,84.00M,-84.00M,,1.027B,84.00M,-84.00M,,-84.00M,955.00M,310.00M,645.00M,,,31.00M,645.00M,642.30M,91.00M,1.039B,1.41,,,1.4040000000000001,1.41,1.39,,,1.3840000000000001,1.39,434.30M,440.70M,0.28
2014-03,8.684B,8.684B,1.094B,1.094B,,-65.00M,87.00M,-87.00M,,1.029B,87.00M,-87.00M,,-87.00M,849.00M,249.00M,600.00M,,,13.00M,600.00M,645.94M,98.00M,936.00M,1.31,,,1.413,1.31,1.3,,,1.401,1.3,446.40M,452.80M,0.28
2013-12,8.792B,8.792B,1.258B,1.258B,,-57.00M,87.00M,-87.00M,,1.201B,87.00M,-87.00M,,-87.00M,1.243B,422.00M,821.00M,,,11.00M,821.00M,858.65M,122.00M,1.33B,1.77,,,1.8530000000000002,1.77,1.74,,,1.8219999999999998,1.74,453.00M,459.80M,0.25
2013-09,8.465B,8.465B,937.00M,937.00M,,-668.00M,83.00M,-83.00M,,269.00M,83.00M,-83.00M,,-83.00M,509.00M,193.00M,316.00M,,,6.00M,316.00M,730.71M,66.00M,592.00M,0.67,,,1.569,0.67,0.66,,,1.548,0.66,461.10M,467.10M,0.25
2013-06,8.787B,8.787B,1.09B,1.09B,,-500.00M,99.00M,-99.00M,,590.00M,99.00M,-99.00M,,-99.00M,614.00M,180.00M,434.00M,,,,434.00M,787.42M,93.00M,713.00M,0.93,,,1.685,0.93,0.92,,,1.666,0.92,468.30M,473.80M,0.25
2013-03,8.463B,8.463B,1.102B,1.102B,,-24.00M,98.00M,-98.00M,,1.078B,98.00M,-98.00M,,-98.00M,1.03B,321.00M,709.00M,,,,709.00M,725.52M,87.00M,1.128B,1.49,,,1.525,1.49,1.47,,,1.504,1.47,475.40M,480.80M,0.25
2012-12,8.547B,8.547B,1.095B,1.095B,,-6.00M,92.00M,-92.00M,,1.089B,92.00M,-92.00M,,-92.00M,544.00M,150.00M,394.00M,,,,394.00M,398.35M,95.00M,636.00M,0.82,,,0.829,0.82,0.81,,,0.8189,0.81,483.10M,487.90M,0.22
2012-09,8.128B,8.128B,1.01B,1.01B,,0.00,93.00M,-93.00M,,1.01B,93.00M,-93.00M,,-93.00M,1.048B,325.00M,723.00M,,,,723.00M,723.00M,92.00M,1.141B,1.49,,,1.49,1.49,1.48,,,1.48,1.48,485.90M,489.90M,0.22
2012-06,8.278B,8.278B,996.00M,996.00M,,-7.00M,93.00M,-93.00M,,989.00M,93.00M,-93.00M,,-93.00M,602.00M,179.00M,423.00M,,,,423.00M,427.92M,105.00M,695.00M,0.86,,,0.87,0.86,0.86,,,0.87,0.86,490.60M,493.80M,0.22
2012-03,8.362B,8.362B,1.017B,1.017B,,-3.00M,95.00M,-95.00M,,1.014B,95.00M,-95.00M,,-95.00M,1.112B,346.00M,766.00M,,,,766.00M,768.07M,96.00M,1.207B,1.54,,,1.544,1.54,1.53,,,1.534,1.53,498.70M,501.50M,0.22
2011-12,8.236B,8.236B,,1.083B,,-23.00M,92.00M,-92.00M,,1.06B,92.00M,-92.00M,,-92.00M,1.034B,322.00M,712.00M,,,,712.00M,727.84M,103.00M,1.126B,1.37,,,1.4,1.37,1.36,,,1.39,1.36,521.60M,523.70M,0.21
2011-09,8.242B,8.242B,,888.00M,,-8.00M,92.00M,-92.00M,6.175B,7.055B,92.00M,-92.00M,,-92.00M,219.00M,44.00M,175.00M,,,,175.00M,181.39M,60.00M,311.00M,0.34,0.0,,0.3525,0.34,0.34,0.0,,0.3524,0.34,512.00M,514.20M,0.21
2011-06,8.081B,8.081B,,868.00M,,-11.00M,91.00M,-91.00M,-7.00M,850.00M,91.00M,-91.00M,,-91.00M,-1.036B,-412.00M,-624.00M,,,,-624.00M,-617.37M,58.00M,-945.00M,-1.19,0.0,,-1.177,-1.19,-1.19,0.0,,-1.177,-1.19,523.10M,523.10M,0.21
2011-03,8.095B,8.095B,,900.00M,,-9.00M,92.00M,-92.00M,20.00M,911.00M,92.00M,-92.00M,,-92.00M,742.00M,218.00M,524.00M,,,,524.00M,530.36M,31.00M,834.00M,0.99,0.0,,1.002,0.99,0.98,0.0,,0.9919,0.98,531.00M,533.60M,0.21
2010-12,8.087B,8.087B,,1.096B,,22.00M,92.00M,-92.00M,,1.118B,92.00M,-92.00M,,-92.00M,337.00M,58.00M,279.00M,,,,279.00M,260.79M,39.00M,429.00M,0.52,,,0.4862,0.52,0.52,,,0.4864,0.52,539.40M,541.90M,0.2
2010-09,7.908B,7.908B,,828.00M,,-9.00M,91.00M,-91.00M,5.60B,6.419B,91.00M,-91.00M,,-91.00M,490.00M,123.00M,367.00M,,,,367.00M,373.74M,29.00M,581.00M,0.68,0.0,,0.6925,0.68,0.68,0.0,,0.6924,0.68,540.90M,543.00M,0.2
2010-06,7.656B,7.656B,,789.00M,,-13.00M,92.00M,-92.00M,-2.00M,774.00M,92.00M,-92.00M,,-92.00M,166.00M,21.00M,145.00M,,,,145.00M,156.36M,10.00M,258.00M,0.27,0.0,,0.291,0.27,0.27,0.0,,0.2909,0.27,540.70M,543.00M,0.2
2010-03,7.749B,7.749B,,829.00M,,-11.00M,92.00M,-92.00M,-1.00M,817.00M,92.00M,-92.00M,,-92.00M,107.00M,-13.00M,120.00M,,,,120.00M,127.15M,16.00M,199.00M,0.22,0.0,,0.2332,0.22,0.22,0.0,,0.2332,0.22,540.50M,541.80M,0.2
2009-12,8.058B,8.058B,,,,-18.00M,101.00M,-101.00M,6.315B,6.297B,101.00M,-101.00M,,-101.00M,693.00M,175.00M,518.00M,,,,518.00M,531.45M,-4.00M,794.00M,0.96,0.0,,0.9849,0.96,0.96,0.0,,0.9848,0.96,539.90M,542.10M,0.2
2009-09,7.582B,7.582B,,,,-35.00M,106.00M,-106.00M,6.338B,6.303B,106.00M,-106.00M,,-106.00M,225.00M,4.00M,221.00M,,,,221.00M,255.38M,-1.00M,331.00M,0.41,0.0,,0.4737,0.41,0.41,0.0,,0.4735,0.41,539.90M,541.50M,0.2
