,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,5.344B,1.324B,6.668B,18.59B,368.00M,18.96B,25.63B,4.203B,44.68B,35.49B,80.18B,,1.324B,,92.56B,160.04B,,17.87B,,17.87B,7.153B,25.02B,4.874B,1.555B,20.00M,6.449B,6.449B,31.47B,29.54B,29.54B,9.142B,9.142B,9.435B,828.00M,7.00M,59.00M,49.00B,112.00B,,4.00M,24.44B,28.78B,4.648B,,,,,-541.00M,48.03B,,AOR,
2020-06,7.185B,1.19B,8.375B,17.88B,386.00M,18.27B,26.64B,4.255B,44.59B,35.79B,80.38B,,1.19B,,92.38B,159.63B,,17.27B,,17.27B,7.991B,25.26B,4.723B,5.00M,22.00M,4.75B,4.75B,30.01B,31.77B,31.77B,9.17B,9.17B,9.109B,930.00M,5.00M,34.00M,51.02B,112.26B,,4.00M,23.05B,28.70B,3.601B,,,,,-788.00M,47.37B,,AOR,
2020-03,4.452B,973.00M,5.425B,16.78B,,16.78B,22.21B,4.317B,44.58B,36.16B,80.75B,,973.00M,,92.85B,154.71B,,16.38B,,16.38B,7.585B,23.97B,3.545B,770.00M,25.00M,4.34B,4.34B,28.31B,32.15B,32.15B,9.066B,9.066B,,,7.00M,35.00M,41.25B,109.62B,,4.00M,21.30B,28.55B,3.25B,,,,,-1.527B,45.08B,,AOR,
2019-12,4.619B,937.00M,5.556B,15.82B,,15.82B,21.37B,4.417B,44.60B,36.56B,81.16B,,937.00M,,92.86B,155.77B,,15.54B,,15.54B,7.347B,22.89B,4.543B,944.00M,27.00M,5.514B,5.514B,28.40B,31.89B,31.89B,9.387B,9.387B,,,6.00M,35.00M,41.32B,110.43B,,4.00M,20.16B,28.31B,2.193B,,,,,-941.00M,45.34B,,AOR,
2019-09,4.577B,1.371B,5.948B,16.55B,442.00M,16.99B,22.94B,4.448B,44.46B,37.08B,81.55B,,1.371B,,93.24B,154.85B,,15.36B,,15.36B,7.196B,22.56B,3.549B,1.14B,23.00M,4.712B,4.712B,27.27B,34.04B,34.04B,9.284B,9.284B,8.918B,755.00M,3.00M,34.00M,53.03B,110.15B,,4.00M,19.18B,28.12B,1.75B,,,,,-858.00M,44.70B,,AOR,Restated
2019-06,3.61B,1.665B,5.275B,16.61B,416.00M,17.02B,22.30B,4.538B,44.45B,37.72B,82.17B,,1.665B,,94.42B,154.40B,,15.91B,,15.91B,6.713B,22.63B,1.298B,990.00M,22.00M,2.31B,2.31B,24.94B,36.88B,36.88B,9.407B,9.407B,8.674B,776.00M,3.00M,31.00M,55.77B,110.58B,,4.00M,17.83B,27.89B,949.00M,,,,,-965.00M,43.82B,,AOR,Restated
2019-03,4.976B,1.662B,6.638B,15.96B,363.00M,16.33B,22.96B,4.523B,44.54B,38.34B,82.88B,,1.662B,,94.89B,154.35B,,15.63B,,15.63B,7.361B,22.99B,2.336B,558.00M,21.00M,2.915B,2.915B,25.91B,37.57B,37.57B,9.403B,9.403B,8.686B,779.00M,5.00M,38.00M,56.48B,111.94B,,4.00M,16.43B,27.86B,595.00M,,,,,-1.282B,42.41B,,AOR,Restated
2018-12,3.855B,2.045B,5.90B,15.70B,276.00M,15.98B,21.88B,4.562B,44.50B,39.00B,83.51B,,2.045B,,95.80B,153.23B,,15.07B,,15.07B,7.071B,22.14B,1.338B,1.50B,117.00M,2.955B,2.955B,25.09B,39.52B,39.52B,9.453B,9.453B,8.321B,727.00M,7.00M,37.00M,58.06B,112.19B,,4.00M,15.09B,27.75B,104.00M,,,,,-1.711B,41.03B,,AOR,Restated
2018-09,24.03B,102.00M,24.13B,9.389B,,9.389B,33.52B,1.559B,6.129B,,6.129B,3.288B,23.95B,132.00M,37.15B,82.96B,,10.50B,,10.50B,,10.50B,,0.00,9.00M,9.00M,9.00M,10.50B,25.04B,25.04B,,,5.259B,683.00M,,30.00M,31.01B,67.40B,,74.00M,18.47B,2.985B,4.121B,,,,,-1.857B,15.56B,,AOR,Restated
2018-06,3.634B,220.00M,3.854B,9.289B,,9.289B,13.14B,1.554B,6.147B,,6.147B,3.288B,24.37B,140.00M,37.77B,63.10B,,10.41B,,10.41B,,10.41B,,100.00M,9.00M,109.00M,109.00M,10.52B,5.195B,5.195B,,,5.246B,1.244B,,39.00M,11.72B,48.36B,,74.00M,17.72B,2.974B,4.184B,,,,,-1.843B,14.74B,,AOR,Restated
2018-03,2.771B,245.00M,3.016B,9.40B,,9.40B,12.42B,1.552B,6.17B,,6.17B,3.205B,24.99B,96.00M,38.64B,63.14B,,10.75B,,10.75B,,10.75B,,,110.00M,110.00M,110.00M,10.86B,5.191B,5.191B,,,5.215B,1.291B,,49.00M,11.75B,48.95B,,74.00M,16.93B,2.963B,4.228B,,,,,-1.547B,14.20B,,AOR,Restated
2017-12,2.972B,2.136B,5.108B,8.667B,251.00M,8.918B,14.03B,1.563B,6.164B,345.00M,6.509B,,2.136B,39.00M,12.69B,61.76B,,489.00M,,489.00M,3.963B,4.452B,131.00M,100.00M,9.00M,240.00M,240.00M,4.692B,5.199B,5.199B,,,7.887B,724.00M,0.00,49.00M,13.86B,48.05B,,74.00M,15.80B,2.94B,4.021B,,,,,-1.082B,13.71B,,AOR,Restated
2017-09,3.656B,175.00M,3.831B,9.469B,,9.469B,13.30B,1.526B,6.001B,,6.001B,3.077B,23.76B,172.00M,36.73B,61.94B,,9.585B,,9.585B,,9.585B,,,141.00M,141.00M,141.00M,9.726B,5.207B,5.207B,,,5.077B,1.194B,0.00,52.00M,11.53B,47.79B,,74.00M,15.59B,2.929B,3.324B,,,,,-1.124B,14.14B,,AOR,Restated
2017-06,3.611B,138.00M,3.749B,9.721B,,9.721B,13.47B,1.509B,6.00B,,6.00B,3.183B,23.29B,199.00M,36.26B,61.74B,,9.449B,,9.449B,,9.449B,,,141.00M,141.00M,141.00M,9.59B,4.622B,4.622B,,,5.039B,1.181B,1.00M,58.00M,10.90B,47.19B,,74.00M,15.10B,2.922B,2.406B,,,,,-1.146B,14.55B,,AOR,Restated
2017-03,4.155B,303.00M,4.458B,9.54B,,9.54B,14.00B,1.519B,5.982B,,5.982B,3.183B,22.61B,263.00M,35.54B,61.15B,,9.437B,,9.437B,,9.437B,,,142.00M,142.00M,142.00M,9.579B,4.621B,4.621B,,,5.006B,1.204B,3.00M,56.00M,10.89B,46.92B,,74.00M,14.36B,2.912B,1.864B,,,,,-1.252B,14.23B,,AOR,Restated
2016-12,3.185B,691.00M,3.876B,9.555B,,9.555B,13.43B,1.536B,5.98B,424.00M,6.404B,3.118B,22.24B,304.00M,35.10B,59.36B,,8.946B,,8.946B,,8.946B,,0.00,276.00M,276.00M,276.00M,9.222B,4.756B,4.756B,,,4.917B,634.00M,4.00M,58.00M,10.36B,45.63B,,74.00M,13.86B,2.892B,1.716B,,,,,-1.382B,13.72B,,AOR,Restated
2016-09,3.224B,997.00M,4.221B,10.12B,,10.12B,14.34B,1.561B,6.007B,,6.007B,3.264B,22.43B,110.00M,35.87B,60.76B,,8.924B,,8.924B,,8.924B,,0.00,271.00M,271.00M,271.00M,9.195B,4.78B,4.78B,,,4.889B,1.179B,8.00M,68.00M,10.92B,46.78B,,74.00M,13.49B,2.884B,1.756B,,,,,-715.00M,13.97B,,AOR,Restated
