,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,1.398B,,-32.00M,,-32.00M,702.00M,702.00M,-81.00M,81.00M,-1.185B,,-233.00M,55.00M,,,-1.173B,895.00M,,-252.00M,,-252.00M,-135.00M,-513.00M,0.00,-938.00M,,-2.099B,1.545B,-554.00M,10.00M,-1.028B,-1.018B,,,-110.00M,-1.682B,,7.921B,-1.725B,8.00M,6.204B,,10.00M,0.00,-2.099B,-1.028B,1.218B,369.00M,,AOR,
2020-06,1.76B,,-38.00M,,-38.00M,694.00M,694.00M,-98.00M,257.00M,-827.00M,,1.569B,-146.00M,,,699.00M,3.274B,,-256.00M,,-256.00M,0.00,27.00M,0.00,-237.00M,,784.00M,-773.00M,11.00M,76.00M,-368.00M,-292.00M,,,-31.00M,-312.00M,,5.174B,2.725B,22.00M,7.921B,,76.00M,1.393B,-609.00M,-368.00M,109.00M,348.00M,,AOR,
2020-03,1.189B,,88.00M,,88.00M,693.00M,693.00M,-161.00M,329.00M,-1.266B,,716.00M,96.00M,,,-251.00M,1.887B,,-267.00M,,-267.00M,0.00,-44.00M,37.00M,-269.00M,,-931.00M,-180.00M,-1.111B,153.00M,-956.00M,-803.00M,,,96.00M,-1.818B,,5.411B,-200.00M,-37.00M,5.174B,,153.00M,3.47B,-4.401B,-956.00M,81.00M,395.00M,,AOR,
2019-12,984.00M,,-93.00M,,-93.00M,927.00M,927.00M,87.00M,304.00M,273.00M,,918.00M,-512.00M,,,584.00M,2.793B,,-310.00M,,-310.00M,-147.00M,251.00M,-4.00M,-271.00M,,-1.154B,-202.00M,-1.356B,123.00M,-447.00M,-324.00M,,,-27.00M,-1.707B,,4.577B,815.00M,19.00M,5.411B,,123.00M,0.00,-1.154B,-447.00M,169.00M,388.00M,,AOR,
2019-09,1.354B,,-51.00M,,-51.00M,913.00M,913.00M,-159.00M,68.00M,79.00M,,-110.00M,137.00M,,,336.00M,2.461B,,-243.00M,,-243.00M,0.00,-28.00M,-1.00M,-304.00M,,-600.00M,142.00M,-458.00M,31.00M,-674.00M,-643.00M,,,-72.00M,-1.173B,,3.61B,984.00M,-17.00M,4.577B,,31.00M,0.00,-600.00M,-674.00M,417.00M,392.00M,,AOR,Restated
2019-06,1.41B,,-23.00M,,-23.00M,914.00M,914.00M,-79.00M,106.00M,-1.07B,,-192.00M,84.00M,,,-1.289B,1.039B,,-303.00M,,-303.00M,0.00,-316.00M,-6.00M,-634.00M,,-1.74B,427.00M,-1.313B,17.00M,-404.00M,-387.00M,,,-73.00M,-1.773B,,4.976B,-1.368B,2.00M,3.61B,,17.00M,0.00,-1.74B,-404.00M,1.161B,488.00M,,AOR,Restated
2019-03,1.372B,,-10.00M,,-10.00M,897.00M,897.00M,-162.00M,83.00M,-272.00M,,535.00M,440.00M,,,1.012B,3.192B,,-194.00M,,-194.00M,-6.00M,681.00M,,475.00M,,-1.00B,-1.048B,-2.048B,53.00M,-462.00M,-409.00M,,,-77.00M,-2.534B,,3.855B,1.133B,-12.00M,4.976B,,53.00M,0.00,-1.00B,-462.00M,29.00M,377.00M,,AOR,Restated
2018-12,147.00M,,45.00M,,45.00M,257.00M,257.00M,-118.00M,213.00M,359.00M,,-696.00M,-191.00M,,,-418.00M,126.00M,,-182.00M,,-182.00M,-24.46B,-77.00M,0.00,-24.70B,,2.972B,1.596B,4.568B,27.00M,-32.00M,-5.00M,,,-163.00M,4.40B,,24.03B,-20.18B,1.00M,3.855B,,27.00M,2.972B,0.00,-32.00M,252.00M,100.00M,,AOR,Restated
2018-09,774.00M,,0.00,,0.00,162.00M,162.00M,11.00M,21.00M,-72.00M,,362.00M,-31.00M,,,-344.00M,624.00M,,-126.00M,,-126.00M,0.00,264.00M,-12.00M,125.00M,,19.88B,-104.00M,19.78B,14.00M,0.00,14.00M,,,-137.00M,19.66B,,3.634B,20.41B,-8.00M,24.03B,,14.00M,19.88B,5.00M,0.00,248.00M,40.00M,,AOR,Restated
2018-06,808.00M,,3.00M,,3.00M,136.00M,136.00M,-3.00M,46.00M,186.00M,,-245.00M,21.00M,,,5.00M,995.00M,,-117.00M,,-117.00M,0.00,84.00M,,-99.00M,,0.00,-2.00M,-2.00M,7.00M,0.00,7.00M,,,-17.00M,-12.00M,,2.771B,884.00M,-21.00M,3.634B,,7.00M,,-2.00M,0.00,488.00M,81.00M,,AOR,Restated
