,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,62.04M,,-2.728M,,-2.728M,,,127.83M,127.83M,,,,4.382M,1.305M,,,,,,61.44M,254.27M,,-96.33M,,,-1.725M,,,-95.32M,,-44.15M,,-44.15M,,,,,,,-114.36M,-0.922M,-115.29M,,-7.525M,-166.96M,,35.59M,-8.005M,27.59M,,,492.59M,-536.74M,,2.414M,24.90M,,AOR,
2020-06,77.73M,,-11.70M,,-11.70M,,,127.45M,127.45M,,,,2.862M,1.133M,,,,,,31.54M,229.01M,,-107.24M,,,-0.825M,,,-107.85M,,-81.74M,70.00M,-11.74M,,,,,,,-114.35M,-0.922M,-115.27M,,-7.607M,-134.62M,,49.05M,-13.45M,35.59M,,,70.00M,-81.74M,,0.086M,58.89M,,AOR,
2020-03,37.95M,,28.04M,,28.04M,,,126.66M,126.66M,,,,5.288M,1.157M,,,,,,-38.50M,160.60M,,-84.61M,,,-0.90M,,,-89.99M,,98.26M,-70.00M,28.26M,,,,,,,-114.27M,-0.922M,-115.19M,,-5.175M,-92.11M,,70.54M,-21.49M,49.05M,,,130.00M,-101.74M,,0.034M,25.73M,,AOR,
2019-12,155.06M,,-63.20M,,-63.20M,,,125.58M,125.58M,,,,2.104M,1.072M,,,,,,-60.74M,159.88M,,-83.43M,,,-0.891M,,,-7.592M,,-19.70M,,-19.70M,,,,,,,-109.50M,-0.922M,-110.43M,,5.693M,-124.43M,,42.68M,27.86M,70.54M,,,169.29M,-188.98M,,-2.509M,-108.25M,,AOR,
2019-09,81.46M,,-16.52M,,-16.52M,,,124.94M,124.94M,,,,3.313M,1.238M,,,,,,58.64M,253.07M,,-86.32M,,,-1.80M,,,-89.86M,,-62.40M,,-62.40M,,,,,,,-109.48M,-0.922M,-110.40M,,-5.42M,-178.22M,,57.68M,-15.00M,42.68M,,,122.57M,-184.96M,,0.057M,23.28M,,AOR,Restated
2019-06,64.14M,,-4.891M,,-4.891M,,,124.18M,124.18M,,,,3.452M,1.721M,,,,,,25.18M,213.79M,,-80.14M,,,-2.70M,,,-87.94M,,-9.825M,,-9.825M,,,,,,,-109.43M,-0.922M,-110.36M,,-7.369M,-127.55M,,59.39M,-1.703M,57.68M,,,767.00M,-776.82M,,2.393M,66.65M,,AOR,Restated
2019-03,65.96M,,-8.426M,,-8.426M,,,123.08M,123.08M,,,,4.785M,1.747M,,,,,,-32.47M,154.68M,,-53.21M,,,0.00,,,-52.88M,,23.59M,0.00,23.59M,,,,,,,-109.32M,-0.922M,-110.25M,,-7.422M,-94.08M,,51.67M,7.714M,59.39M,,,635.44M,-611.85M,,0.059M,18.32M,,AOR,Restated
2018-12,63.52M,,-0.644M,,-0.644M,,,121.77M,121.77M,,,,2.567M,-0.672M,,,,,,-53.30M,133.24M,,-62.20M,,,-1.405M,,,-78.59M,,29.65M,,29.65M,,,,,,,-105.02M,-0.922M,-105.94M,,-6.081M,-82.37M,,79.40M,-27.73M,51.67M,,,1.232B,-1.202B,,-2.746M,-111.44M,,AOR,Restated
2018-09,54.70M,,-0.936M,,-0.936M,,,124.70M,124.70M,,,,2.89M,-1.349M,,,,,,57.04M,237.05M,,-66.19M,,,-0.75M,,,-66.40M,,-42.62M,,-42.62M,,,,,,,-104.99M,-0.922M,-105.91M,,-3.528M,-152.06M,,60.80M,18.60M,79.40M,,,425.00M,-467.62M,,0.076M,23.57M,,AOR,Restated
2018-06,61.98M,,-2.763M,,-2.763M,,,123.16M,123.16M,,,,2.963M,-1.40M,,,,,,27.36M,211.30M,,-74.56M,,,0.00,,,-174.70M,,55.03M,,55.03M,,,,,,,-104.97M,-0.922M,-105.89M,,-7.054M,-57.91M,,82.11M,-21.31M,60.80M,,,602.61M,-547.58M,,0.148M,62.98M,,AOR,Restated
