,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,423.66M,423.66M,289.60M,134.06M,24.91M,24.91M,,,,,40.95M,,-40.95M,,24.91M,109.15M,,40.95M,-40.95M,18.55M,-40.95M,86.75M,0.795M,86.30M,,,-2.957M,0.922M,83.34M,83.30M,127.70M,,127.70M,,0.72,,,,0.7196,0.72,,0.72,,,,0.7196,0.72,,114.22M,114.54M,1.00,,AOR,
2020-09,423.20M,423.20M,297.49M,125.71M,24.05M,24.05M,,,,,41.01M,,-41.01M,,24.05M,101.66M,,41.01M,-41.01M,1.628M,-41.01M,62.27M,0.665M,62.04M,,,-2.126M,0.922M,59.91M,58.54M,231.12M,127.83M,103.28M,,0.52,,,,0.5080,0.52,,0.52,,,,0.5080,0.52,,114.22M,114.47M,1.00,,AOR,
2020-06,413.03M,413.03M,284.66M,128.36M,22.29M,22.29M,,,,,42.12M,,-42.12M,,22.29M,106.08M,,42.12M,-42.12M,14.65M,-42.12M,78.61M,1.20M,77.73M,,,-2.666M,0.922M,75.06M,75.06M,248.18M,127.45M,120.73M,,0.65,,,,0.6499,0.65,,0.65,,,,0.6499,0.65,,114.20M,114.44M,1.00,,AOR,
2020-03,418.10M,418.10M,279.56M,138.54M,27.91M,27.91M,,,,,43.48M,,-43.48M,,27.91M,110.63M,,43.48M,-43.48M,-28.94M,-43.48M,38.21M,0.667M,37.95M,,,-1.304M,0.922M,36.65M,37.05M,208.35M,126.66M,81.69M,,0.31,,,,0.3135,0.31,,0.31,,,,0.3135,0.31,,114.11M,114.49M,1.00,,AOR,
2019-12,416.82M,416.82M,275.21M,141.60M,26.98M,26.98M,,,,,43.70M,,-43.70M,,26.98M,114.63M,,43.70M,-43.70M,84.57M,-43.70M,155.50M,0.882M,155.06M,,,-5.471M,0.922M,149.59M,67.27M,324.78M,125.58M,199.20M,,1.30,,,,0.5777,1.30,,1.30,,,,0.5798,1.30,,113.97M,114.30M,0.96,,AOR,
2019-09,415.63M,415.63M,284.22M,131.41M,24.12M,24.12M,,,,,44.51M,,-44.51M,,24.12M,107.28M,,44.51M,-44.51M,19.80M,-44.51M,82.57M,1.491M,81.46M,,,-2.814M,0.922M,78.64M,77.66M,252.03M,124.94M,127.08M,,0.68,,,,0.6714,0.68,,0.68,,,,0.6714,0.68,,113.88M,114.14M,0.96,,AOR,Restated
2019-06,407.39M,407.39M,278.09M,129.30M,23.85M,23.85M,,,,,45.94M,,-45.94M,,23.85M,105.45M,,45.94M,-45.94M,4.872M,-45.94M,64.39M,0.682M,64.14M,,,-2.224M,0.922M,61.92M,61.62M,234.51M,124.18M,110.32M,,0.53,,,,0.5274,0.53,,0.53,,,,0.5274,0.53,,113.84M,114.09M,0.96,,AOR,Restated
2019-03,401.18M,401.18M,272.17M,129.01M,26.18M,26.18M,,,,,45.70M,,-45.70M,,26.18M,102.83M,,45.70M,-45.70M,9.069M,-45.70M,66.20M,0.641M,65.96M,,,-2.298M,0.922M,63.66M,54.80M,234.98M,123.08M,111.90M,,0.55,,,,0.4721,0.55,,0.55,,,,0.4722,0.55,,113.73M,113.93M,0.96,,AOR,Restated
2018-12,398.15M,398.15M,268.26M,129.89M,21.12M,21.12M,,,-0.609M,,44.45M,,-44.45M,,21.12M,108.78M,,44.45M,-44.45M,-0.596M,-44.45M,63.73M,0.785M,63.52M,,,-2.235M,0.922M,61.28M,61.25M,229.95M,121.77M,108.18M,,0.53,,,,0.5297,0.53,,0.53,,,,0.5297,0.53,,113.69M,113.88M,0.9225,,AOR,Restated
2018-09,397.11M,397.11M,279.29M,117.82M,17.68M,17.68M,,,-1.878M,,44.65M,,-44.65M,,17.68M,100.14M,,44.65M,-44.65M,-0.568M,-44.65M,54.92M,0.616M,54.70M,,,-1.913M,0.922M,52.79M,53.72M,224.27M,124.70M,99.57M,,0.46,,,,0.4682,0.46,,0.46,,,,0.4682,0.46,,113.67M,113.91M,0.9225,,AOR,Restated
2018-06,390.07M,390.07M,271.66M,118.42M,20.61M,20.61M,,,-2.826M,,43.58M,,-43.58M,,20.61M,97.81M,,43.58M,-43.58M,7.969M,-43.58M,62.20M,0.57M,61.98M,,,-2.174M,0.922M,59.81M,59.87M,228.94M,123.16M,105.78M,,0.52,,,,0.5205,0.52,,0.52,,,,0.5205,0.52,,113.65M,113.85M,0.9225,,AOR,Restated
2018-03,386.02M,386.02M,265.15M,120.87M,23.01M,23.01M,,,-3.799M,,40.90M,,-40.90M,,23.01M,97.86M,,40.90M,-40.90M,-5.99M,-40.90M,50.96M,0.64M,50.82M,,,-1.801M,0.922M,49.02M,52.62M,213.23M,121.36M,91.87M,,0.42,,,,0.4517,0.42,,0.42,,,,0.4517,0.42,,113.51M,113.51M,0.9225,,AOR,Restated
2017-12,382.74M,382.74M,259.73M,123.00M,21.04M,21.04M,,,-5.492M,,39.75M,,-39.75M,,21.04M,101.96M,,39.75M,-39.75M,66.15M,-39.75M,128.37M,0.709M,128.01M,,,-4.557M,0.922M,123.45M,60.97M,287.71M,119.59M,168.11M,,1.08,,,,0.5293,1.08,,1.08,,,,0.5308,1.08,,113.45M,113.76M,0.87,,AOR,Restated
2017-09,384.55M,384.55M,267.11M,117.44M,18.64M,18.64M,,,-4.13M,,39.94M,,-39.94M,,18.64M,98.80M,,39.94M,-39.94M,60.40M,-39.94M,119.26M,0.641M,118.96M,,,-4.249M,0.922M,114.71M,60.30M,277.28M,118.08M,159.20M,,1.00,,,,0.5203,1.00,,1.00,,,,0.5212,1.00,,113.43M,113.65M,0.87,,AOR,Restated
