,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.996B,2.996B,,253.30M,253.30M,,0.00,49.40M,-49.40M,232.30M,485.60M,49.40M,-49.40M,60.60M,-49.40M,299.60M,68.50M,231.10M,,,231.10M,231.10M,29.80M,349.00M,1.13,,,1.13,1.13,1.13,,,1.13,1.13,203.76M,203.88M,0.285
2020-06,3.023B,3.023B,,233.20M,233.20M,,,47.50M,-47.50M,258.30M,491.50M,47.50M,-47.50M,49.70M,-47.50M,337.60M,72.10M,265.50M,,,265.50M,265.50M,27.30M,385.10M,1.3,,,1.3,1.3,1.3,,,1.3,1.3,203.62M,203.67M,0.285
2020-03,2.874B,2.874B,,239.50M,239.50M,,,45.70M,-45.70M,238.20M,477.70M,45.70M,-45.70M,58.80M,-45.70M,202.10M,41.10M,161.00M,,,161.00M,161.00M,28.50M,247.80M,0.79,,,0.79,0.79,0.79,,,0.79,0.79,203.31M,203.36M,0.285
2019-12,3.035B,3.035B,,221.40M,221.40M,,-2.10M,46.60M,-46.60M,248.10M,467.40M,46.60M,-46.60M,52.10M,-46.60M,377.40M,81.20M,296.20M,,,296.20M,297.85M,27.50M,424.00M,1.44,,,1.4480000000000002,1.44,1.44,,,1.4480000000000002,1.44,205.52M,205.83M,0.285
2019-09,2.96B,2.96B,,226.50M,226.50M,,-25.20M,46.10M,-46.10M,227.70M,429.00M,46.10M,-46.10M,56.20M,-46.10M,299.40M,57.40M,242.00M,,,242.00M,262.36M,27.70M,345.50M,1.16,,,1.258,1.16,1.16,,,1.258,1.16,208.10M,208.12M,0.285
2019-06,3.017B,3.017B,,223.90M,223.90M,,,42.60M,-42.60M,229.90M,453.80M,42.60M,-42.60M,59.00M,-42.60M,352.00M,70.80M,281.20M,,,281.20M,281.20M,27.50M,394.60M,1.33,,,1.33,1.33,1.33,,,1.33,1.33,211.07M,211.11M,0.26
2019-03,2.988B,2.988B,,226.50M,226.50M,,,42.10M,-42.10M,237.90M,464.40M,42.10M,-42.10M,53.90M,-42.10M,353.30M,72.40M,280.90M,,,280.90M,280.90M,27.40M,395.40M,1.31,,,1.31,1.31,1.31,,,1.31,1.31,214.30M,214.43M,0.26
2018-12,2.881B,2.881B,,219.80M,219.80M,,0.00,42.00M,-42.00M,233.30M,453.10M,42.00M,-42.00M,50.30M,-42.00M,309.70M,60.60M,249.10M,,,249.10M,249.10M,26.50M,351.70M,1.15,,,1.15,1.15,1.15,,,1.15,1.15,217.00M,217.40M,0.26
2018-09,2.928B,2.928B,,224.20M,224.20M,,0.00,42.70M,-42.70M,212.90M,437.10M,42.70M,-42.70M,50.10M,-42.70M,-377.80M,-93.10M,-284.70M,,,-284.70M,-284.70M,25.40M,-335.10M,-1.3,,,-1.3,-1.3,-1.3,,,-1.3,-1.3,218.89M,218.89M,0.26
2018-06,2.890B,2.890B,,220.20M,220.20M,,,42.40M,-42.40M,220.80M,441.00M,42.40M,-42.40M,48.30M,-42.40M,354.80M,69.30M,285.50M,,,285.50M,285.50M,24.90M,397.20M,1.29,,,1.29,1.29,1.29,,,1.29,1.29,220.78M,221.06M,0.23
2018-03,2.900B,2.900B,,221.70M,221.70M,,,40.20M,-40.20M,224.20M,445.90M,40.20M,-40.20M,49.50M,-40.20M,341.10M,67.60M,273.50M,,,273.50M,273.50M,24.60M,381.30M,1.23,,,1.23,1.23,1.23,,,1.23,1.23,221.89M,222.58M,0.23
2017-12,2.839B,2.839B,,201.70M,201.70M,,,40.10M,-40.10M,230.40M,432.10M,40.10M,-40.10M,49.60M,-40.10M,345.30M,78.40M,266.90M,,,266.90M,266.90M,25.00M,385.40M,1.19,,,1.19,1.19,1.19,,,1.19,1.19,223.84M,224.80M,0.23
2017-09,2.819B,2.819B,,223.80M,223.80M,,,40.10M,-40.10M,191.50M,415.30M,40.10M,-40.10M,46.70M,-40.10M,366.80M,114.50M,252.30M,,,252.30M,252.30M,25.00M,406.90M,1.12,,,1.12,1.12,1.12,,,1.12,1.12,225.29M,226.03M,0.23
2017-06,2.822B,2.822B,,217.80M,217.80M,,,39.90M,-39.90M,204.30M,422.10M,39.90M,-39.90M,51.20M,-39.90M,361.60M,116.50M,245.10M,,,245.10M,245.10M,26.90M,401.50M,1.08,,,1.08,1.08,1.07,,,1.07,1.07,227.45M,228.18M,0.2
2017-03,2.806B,2.806B,,209.00M,209.00M,,,39.80M,-39.80M,228.80M,437.80M,39.80M,-39.80M,50.20M,-39.80M,330.30M,100.40M,229.90M,,,229.90M,229.90M,26.50M,370.10M,1.0,,,1.0,1.0,1.0,,,1.0,1.0,229.43M,230.38M,0.2
2016-12,2.796B,2.796B,,218.50M,218.50M,,,39.80M,-39.80M,205.70M,424.20M,39.80M,-39.80M,51.00M,-39.80M,371.20M,123.20M,248.00M,,,248.00M,248.00M,25.80M,411.00M,1.07,,,1.07,1.07,1.07,,,1.07,1.07,231.55M,232.49M,0.2
2016-09,2.763B,2.763B,,210.10M,210.10M,,,45.20M,-45.20M,205.50M,415.60M,45.20M,-45.20M,51.50M,-45.20M,332.10M,96.10M,236.00M,,,236.00M,236.00M,25.30M,377.30M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,233.75M,234.21M,0.2
