,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,231.10M,47.30M,47.30M,29.80M,,29.80M,29.80M,16.10M,71.30M,130.60M,,,,102.10M,426.40M,-22.00M,-22.00M,,22.60M,,0.60M,-15.00M,-400.00M,-415.00M,1.00M,0.00,1.00M,,,-58.00M,-58.00M,-16.80M,-488.80M,165.60M,-61.80M,,103.80M,1.00M,0.00,-415.00M,0.00
2020-06,265.50M,-104.30M,-104.30M,27.30M,,27.30M,27.30M,50.00M,100.60M,126.30M,,,,394.00M,632.50M,-38.40M,-38.40M,,-1.175B,,-1.213B,479.10M,,479.10M,1.00M,0.00,1.00M,,,-58.00M,-58.00M,-12.90M,409.20M,337.20M,-171.60M,,165.60M,1.00M,494.10M,-15.00M,0.00
2020-03,161.00M,51.50M,51.50M,28.50M,,28.50M,28.50M,2.30M,-8.70M,-96.40M,,,,-23.40M,219.90M,-39.10M,-39.10M,,161.70M,,122.60M,-15.00M,,-15.00M,1.30M,0.00,1.30M,,,-57.80M,-57.80M,-17.90M,-89.40M,84.10M,253.10M,,337.20M,1.30M,,-15.00M,0.00
2019-12,296.20M,-68.20M,-68.20M,27.50M,,27.50M,27.50M,23.90M,30.40M,114.10M,,,,205.40M,484.80M,-43.40M,-43.40M,,-144.20M,0.00,-187.60M,-111.60M,0.00,-111.60M,1.40M,-103.10M,-101.70M,,,-58.90M,-58.90M,-17.90M,-290.10M,77.00M,7.10M,,84.10M,1.40M,0.00,-111.60M,-103.10M
2019-09,242.00M,78.70M,78.70M,27.70M,,27.70M,27.70M,37.40M,-50.10M,-66.30M,,,,-71.70M,314.10M,-42.60M,-42.60M,,-156.40M,0.30M,-198.70M,94.50M,0.00,94.50M,1.20M,-97.00M,-95.80M,,,-59.40M,-59.40M,-38.50M,-99.20M,60.80M,16.20M,,77.00M,1.20M,446.00M,-351.50M,-97.00M
2019-06,281.20M,-128.50M,-128.50M,27.50M,,27.50M,27.50M,9.20M,67.90M,34.40M,,,,236.50M,425.90M,-36.80M,-36.80M,,-605.20M,,-642.00M,380.90M,,380.90M,2.10M,-100.20M,-98.10M,,,-55.20M,-55.20M,-12.80M,214.80M,62.10M,-1.30M,,60.80M,2.10M,395.90M,-15.00M,-100.20M
2019-03,280.90M,-96.70M,-96.70M,27.40M,,27.40M,27.40M,11.00M,-10.70M,217.30M,,,,294.20M,516.80M,-28.10M,-28.10M,,-337.10M,,-365.20M,-15.00M,,-15.00M,1.40M,-100.00M,-98.60M,,,-55.70M,-55.70M,-14.20M,-183.50M,94.00M,-31.90M,,62.10M,1.40M,,-15.00M,-100.00M
2018-12,249.10M,-48.80M,-48.80M,26.50M,,26.50M,26.50M,45.40M,85.90M,32.70M,,,,180.80M,453.00M,-48.50M,-48.50M,,-148.80M,,-342.70M,-15.00M,0.00,-15.00M,1.00M,-150.40M,-149.40M,,,-55.40M,-55.40M,-10.70M,-230.50M,214.20M,-120.20M,,94.00M,1.00M,0.00,-15.00M,-150.40M
2018-09,-284.70M,57.90M,57.90M,25.40M,,25.40M,25.40M,-7.30M,-142.90M,-41.50M,,,,596.00M,387.30M,-36.00M,-36.00M,,50.20M,,14.20M,-15.00M,-200.00M,-215.00M,1.00M,0.00,1.00M,,,-56.90M,-56.90M,-15.90M,-286.80M,99.50M,114.70M,,214.20M,1.00M,0.00,-215.00M,0.00
2018-06,285.50M,-87.70M,-87.70M,24.90M,,24.90M,24.90M,-3.70M,81.70M,13.60M,,,,177.30M,396.30M,-30.50M,-30.50M,,-690.40M,,-720.90M,275.70M,,275.70M,1.30M,-100.10M,-98.80M,,,-50.90M,-50.90M,-10.80M,115.20M,308.90M,-209.40M,,99.50M,1.30M,290.70M,-15.00M,-100.10M
