,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,103.80M,2.087B,2.190B,6.474B,,6.474B,8.664B,508.80M,350.60M,,350.60M,6.076B,51.36B,,59.14B,69.62B,395.10M,64.50M,459.60M,459.60M,0.00,,0.00,0.00,459.60M,3.379B,3.379B,210.50M,210.50M,,404.30M,,,3.993B,58.72B,30.70M,11.19B,2.371B,3.180B,,,,,477.60M,10.89B
2020-06,165.60M,2.602B,2.768B,6.412B,,6.412B,9.179B,518.10M,348.90M,,348.90M,6.118B,50.84B,,58.68B,69.31B,357.90M,211.00M,568.90M,568.90M,399.90M,,399.90M,399.90M,968.80M,3.393B,3.393B,155.60M,155.60M,,440.80M,,,3.990B,58.74B,30.60M,11.02B,2.364B,3.180B,,,,,327.20M,10.56B
2020-03,337.20M,1.384B,1.722B,6.306B,,6.306B,8.027B,540.70M,348.80M,,348.80M,6.196B,46.68B,47.30M,54.65B,65.34B,268.90M,511.40M,780.30M,780.30M,399.80M,,399.80M,399.80M,1.180B,2.914B,2.914B,93.70M,93.70M,,414.10M,,,3.422B,55.53B,30.60M,10.81B,2.357B,3.180B,,,,,-217.10M,9.803B
2019-12,84.10M,1.294B,1.379B,6.384B,,6.384B,7.762B,534.10M,351.70M,88.70M,440.40M,6.176B,48.74B,0.00,56.68B,67.01B,256.70M,,256.70M,256.70M,399.70M,,399.70M,399.70M,656.40M,2.927B,2.927B,95.40M,95.40M,,363.90M,,,3.386B,57.05B,30.60M,10.73B,2.348B,3.180B,,,,,37.30M,9.965B
2019-09,77.00M,1.313B,1.390B,6.483B,,6.483B,7.873B,568.30M,348.60M,,348.60M,6.085B,48.75B,0.00,56.64B,66.96B,224.00M,,224.00M,224.00M,399.70M,,399.70M,399.70M,623.70M,3.038B,3.038B,64.10M,64.10M,,408.20M,,,3.510B,57.32B,30.60M,10.49B,2.342B,3.080B,,,,,-153.20M,9.632B
2019-06,60.80M,1.367B,1.428B,6.469B,,6.469B,7.897B,556.10M,350.10M,,350.10M,5.852B,47.81B,0.00,55.47B,65.84B,250.20M,,250.20M,250.20M,,,,,250.20M,3.341B,3.341B,37.00M,37.00M,,448.30M,,,3.826B,56.39B,30.60M,10.31B,2.336B,2.980B,,,,,-242.50M,9.453B
2019-03,62.10M,1.194B,1.256B,6.430B,,6.430B,7.686B,548.20M,351.00M,,351.00M,5.880B,45.98B,30.20M,53.66B,63.92B,268.30M,,268.30M,268.30M,,,,,268.30M,2.959B,2.959B,,,,417.70M,,,3.376B,54.86B,30.50M,10.08B,2.328B,2.879B,,,,,-502.30M,9.060B
2018-12,94.00M,968.10M,1.062B,6.278B,,6.278B,7.34B,546.90M,350.30M,96.70M,447.00M,6.025B,43.98B,109.90M,51.69B,61.88B,24.00M,,24.00M,24.00M,0.00,,0.00,0.00,24.00M,2.971B,2.971B,,,,363.30M,,,3.335B,53.25B,30.50M,9.863B,2.322B,2.779B,,,,,-814.20M,8.622B
2018-09,214.20M,1.238B,1.452B,6.377B,,6.396B,7.848B,521.00M,346.00M,,346.00M,5.942B,44.31B,157.40M,51.83B,62.25B,0.00,238.20M,238.20M,238.20M,0.00,,0.00,0.00,238.20M,2.984B,2.984B,,,,428.00M,,,3.412B,53.73B,30.50M,9.671B,2.314B,2.629B,,,,,-868.50M,8.518B
2018-06,99.50M,1.434B,1.533B,6.444B,,6.447B,7.980B,510.80M,346.50M,,346.50M,5.736B,44.79B,,52.09B,62.37B,,307.70M,307.70M,307.70M,200.00M,,200.00M,200.00M,507.70M,2.998B,2.998B,85.50M,85.50M,,460.70M,,,3.544B,52.92B,30.50M,10.01B,2.309B,2.629B,,,,,-276.20M,9.446B
