,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,956.80M,956.80M,497.90M,458.90M,62.30M,126.20M,2.80M,0.00,,,,191.30M,267.60M,,,-1.50M,,266.10M,19.20M,246.90M,,246.90M,246.90M,358.30M,90.70M,2020-09,1.48,,,1.48,2020-09,1.46,,,1.46,2020-09,166.70M,168.70M,2020-09,AOR,
2020-06,736.80M,736.80M,402.70M,334.10M,55.00M,117.00M,2.80M,-11.80M,,,,174.80M,159.30M,,,-15.30M,,144.00M,14.30M,129.70M,,129.70M,140.33M,249.90M,90.60M,2020-06,0.78,,,0.8437,2020-06,0.77,,,0.8332,2020-06,167.00M,168.30M,2020-06,AOR,
2020-03,766.10M,766.10M,390.50M,375.60M,58.60M,113.20M,3.10M,-1.20M,,,,174.90M,200.70M,,,2.30M,,203.00M,21.90M,181.10M,,181.10M,182.17M,292.50M,91.80M,2020-03,1.07,,,1.076,2020-03,1.06,,,1.066,2020-03,170.00M,171.10M,2020-03,AOR,
2019-12,896.10M,896.10M,451.80M,444.30M,55.40M,107.70M,3.10M,-0.80M,,,,166.20M,278.10M,,,0.60M,,278.70M,21.60M,257.10M,,257.10M,257.84M,369.30M,91.20M,2019-12,1.51,,,1.514,2019-12,1.50,,,1.504,2019-12,170.20M,171.60M,2019-12,AOR,
2019-09,827.40M,827.40M,421.40M,406.00M,55.80M,106.80M,4.00M,-5.50M,,,,166.60M,239.40M,,,-5.40M,,234.00M,23.40M,210.60M,,210.60M,215.55M,332.30M,92.90M,2019-09,1.23,,,1.259,2019-09,1.22,,,1.249,2019-09,171.10M,172.40M,2019-09,AOR,Restated
2019-06,767.00M,767.00M,454.50M,312.50M,46.80M,100.60M,5.50M,0.00,,,,152.90M,159.60M,,,2.30M,,161.90M,17.80M,144.10M,,144.10M,144.10M,253.30M,93.70M,2019-06,0.83,,,0.83,2019-06,0.83,,,0.83,2019-06,172.60M,173.40M,2019-06,AOR,Restated
2019-03,810.40M,810.40M,410.20M,400.20M,47.90M,107.50M,5.70M,-1.50M,,,,161.10M,239.10M,,,2.20M,,241.30M,27.30M,214.00M,,214.00M,215.33M,331.10M,92.00M,2019-03,1.23,,,1.238,2019-03,1.23,,,1.238,2019-03,173.80M,174.60M,2019-03,AOR,Restated
2018-12,972.00M,972.00M,486.90M,485.10M,47.80M,109.20M,7.40M,0.20M,,,,164.40M,320.70M,,,3.10M,,323.80M,38.90M,284.90M,,284.90M,284.72M,413.70M,93.00M,2018-12,1.61,,,1.609,2018-12,1.60,,,1.599,2018-12,176.60M,177.70M,2018-12,AOR,Restated
2018-09,1.008B,1.008B,504.80M,503.60M,54.40M,103.00M,6.30M,0.20M,,,,163.70M,339.90M,,,3.50M,,343.40M,57.90M,285.50M,,285.50M,285.33M,423.70M,83.80M,2018-09,1.60,,,1.599,2018-09,1.58,,,1.579,2018-09,178.30M,180.20M,2018-09,AOR,Restated
2018-06,894.30M,894.30M,442.70M,451.60M,44.60M,96.80M,3.90M,0.00,,,,145.30M,306.30M,,,4.50M,,310.80M,24.30M,286.50M,,286.50M,286.50M,381.00M,74.70M,2018-06,1.58,,,1.58,2018-06,1.57,,,1.57,2018-06,181.20M,182.80M,2018-06,AOR,Restated
2018-03,913.40M,913.40M,454.70M,458.70M,57.50M,106.70M,4.10M,-1.00M,,,,168.30M,290.40M,,,1.90M,,292.30M,16.30M,276.00M,,276.00M,276.94M,362.00M,71.60M,2018-03,1.51,,,1.515,2018-03,1.50,,,1.505,2018-03,182.50M,184.30M,2018-03,AOR,Restated
2017-12,1.052B,1.052B,515.10M,536.80M,51.30M,98.00M,4.00M,0.00,,,,153.30M,383.50M,,,2.10M,,385.60M,315.20M,70.40M,,70.40M,70.40M,452.60M,69.10M,2017-12,0.38,,,0.38,2017-12,0.38,,,0.38,2017-12,183.10M,185.50M,2017-12,AOR,Restated
2017-09,984.60M,984.60M,485.70M,498.90M,56.40M,91.80M,5.00M,0.20M,,,,153.20M,345.70M,,,2.00M,,347.70M,66.40M,281.30M,,281.30M,281.14M,411.10M,65.40M,2017-09,1.53,,,1.529,2017-09,1.51,,,1.509,2017-09,183.40M,185.80M,2017-09,AOR,Restated
2017-06,900.80M,900.80M,447.20M,453.60M,49.50M,92.00M,7.10M,-0.20M,,,,148.60M,305.00M,,,1.80M,,306.80M,60.60M,246.20M,,246.20M,246.36M,367.70M,62.70M,2017-06,1.34,,,1.341,2017-06,1.32,,,1.321,2017-06,184.20M,186.60M,2017-06,AOR,Restated
2017-03,851.70M,851.70M,426.30M,425.40M,47.80M,89.40M,7.00M,0.00,,,,144.20M,281.20M,,,0.20M,,281.40M,56.50M,224.90M,,224.90M,224.90M,344.10M,62.90M,2017-03,1.22,,,1.22,2017-03,1.20,,,1.20,2017-03,184.80M,187.10M,2017-03,AOR,Restated
