,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2020-09,745.00M,,,0.00,0.00,134.00M,134.00M,23.00M,53.00M,-31.00M,-59.00M,-38.00M,121.00M,,,14.00M,38.00M,962.00M,-90.00M,,,0.00,-61.00M,,-151.00M,-287.00M,-287.00M,,-350.00M,-350.00M,-378.00M,-378.00M,287.00M,-99.00M,-827.00M,997.00M,-16.00M,8.00M,989.00M,,880.00M,-1.167B,-350.00M,257.00M
2020-06,675.00M,,,0.00,0.00,133.00M,133.00M,-48.00M,16.00M,-5.00M,332.00M,-205.00M,127.00M,,,1.00M,255.00M,1.026B,-77.00M,,,-1.00M,20.00M,,-58.00M,-470.00M,-470.00M,,-8.00M,-8.00M,-411.00M,-411.00M,56.00M,,-833.00M,854.00M,135.00M,8.00M,997.00M,,432.00M,-902.00M,-8.00M,221.00M
2020-03,748.00M,,,0.00,0.00,133.00M,133.00M,-99.00M,16.00M,-30.00M,-211.00M,29.00M,220.00M,,,-38.00M,0.00,768.00M,-82.00M,,,-351.00M,-26.00M,,-459.00M,-12.00M,-12.00M,,-220.00M,-220.00M,-373.00M,-373.00M,297.00M,,-308.00M,883.00M,1.00M,-30.00M,854.00M,,1.188B,-1.20B,-220.00M,128.00M
2019-12,682.00M,,,0.00,0.00,133.00M,133.00M,-62.00M,17.00M,7.00M,84.00M,-8.00M,88.00M,,,29.00M,193.00M,970.00M,-109.00M,,,0.00,85.00M,,-24.00M,-376.00M,-376.00M,,-178.00M,-178.00M,-474.00M,-474.00M,8.00M,,-1.02B,948.00M,-74.00M,9.00M,883.00M,,2.051B,-2.427B,-178.00M,134.00M
2019-09,627.00M,,,-11.00M,-11.00M,130.00M,130.00M,26.00M,49.00M,-10.00M,113.00M,-6.00M,-38.00M,,,34.00M,103.00M,914.00M,-80.00M,,,-1.711B,-72.00M,,-1.863B,1.561B,1.561B,,-360.00M,-360.00M,-370.00M,-370.00M,223.00M,,1.054B,863.00M,105.00M,-20.00M,948.00M,,2.64B,-1.079B,-360.00M,206.00M
2019-06,618.00M,,,0.00,0.00,128.00M,128.00M,0.00,17.00M,16.00M,-33.00M,-31.00M,-58.00M,,,-13.00M,-135.00M,644.00M,-75.00M,,,0.00,-39.00M,,-114.00M,-39.00M,-39.00M,,-265.00M,-265.00M,-404.00M,-404.00M,196.00M,,-512.00M,843.00M,18.00M,2.00M,863.00M,,1.292B,-1.331B,-265.00M,314.00M
2019-03,600.00M,,,-102.00M,-102.00M,128.00M,128.00M,53.00M,17.00M,5.00M,-145.00M,-32.00M,44.00M,,,37.00M,-96.00M,605.00M,-71.00M,,,0.00,-27.00M,,-98.00M,302.00M,302.00M,,-399.00M,-399.00M,-366.00M,-366.00M,71.00M,,-392.00M,726.00M,115.00M,2.00M,843.00M,,2.076B,-1.774B,-399.00M,149.00M
2018-12,643.00M,,,0.00,0.00,126.00M,126.00M,-51.00M,12.00M,13.00M,117.00M,-22.00M,5.00M,,,19.00M,119.00M,862.00M,-115.00M,,,0.00,118.00M,0.00,4.00M,-237.00M,-237.00M,,-282.00M,-282.00M,-469.00M,-469.00M,10.00M,,-978.00M,841.00M,-112.00M,-3.00M,726.00M,,1.64B,-1.877B,-282.00M,192.00M
2018-09,562.00M,,,-67.00M,-67.00M,127.00M,127.00M,156.00M,50.00M,-6.00M,4.00M,-6.00M,109.00M,,,-32.00M,75.00M,897.00M,-105.00M,,,-1.00M,-54.00M,-1.00M,-161.00M,-255.00M,-255.00M,,-260.00M,-260.00M,-366.00M,-366.00M,159.00M,,-722.00M,833.00M,14.00M,-6.00M,841.00M,,1.27B,-1.525B,-260.00M,187.00M
2018-06,675.00M,,,0.00,0.00,129.00M,129.00M,-11.00M,19.00M,11.00M,11.00M,3.00M,-129.00M,,,-27.00M,-142.00M,681.00M,-98.00M,,,0.00,-39.00M,5.00M,-132.00M,166.00M,166.00M,,-345.00M,-345.00M,-404.00M,-404.00M,41.00M,,-542.00M,851.00M,7.00M,-25.00M,833.00M,,2.04B,-1.874B,-345.00M,305.00M
