,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,989.00M,,989.00M,1.292B,1.292B,,,,1.578B,508.00M,4.367B,,,,,8.38B,-4.874B,3.506B,3.711B,2.838B,6.549B,208.00M,836.00M,11.10B,15.47B,1.225B,423.00M,1.648B,2.568B,4.216B,,,265.00M,,265.00M,,4.481B,6.971B,,6.971B,406.00M,406.00M,,,420.00M,2.535B,9.912B,14.39B,1.466B,23.05B,2.837B,22.28B,,,,-4.421B,653.00M
2020-06,997.00M,,997.00M,1.231B,1.231B,,,,1.524B,460.00M,4.212B,,,,,8.197B,-4.714B,3.483B,3.628B,2.787B,6.415B,224.00M,807.00M,10.93B,15.14B,1.189B,500.00M,1.689B,2.383B,4.072B,,,508.00M,,508.00M,,4.58B,6.884B,,6.884B,400.00M,400.00M,,,464.00M,2.545B,9.829B,14.41B,1.466B,22.73B,2.666B,22.08B,,,,-4.519B,268.00M
2020-03,854.00M,,854.00M,1.551B,1.551B,,,,1.301B,542.00M,4.248B,,,,,8.167B,-4.68B,3.487B,3.559B,2.822B,6.381B,179.00M,775.00M,10.82B,15.07B,1.216B,485.00M,1.701B,2.232B,3.933B,,,510.00M,,510.00M,,4.443B,7.336B,,7.336B,415.00M,415.00M,,,454.00M,2.535B,10.29B,14.73B,1.466B,22.48B,2.623B,22.10B,,,,-4.578B,-113.00M
2019-12,883.00M,,883.00M,1.44B,1.44B,,,,1.40B,456.00M,4.179B,0.0,153.00M,1.60B,6.827B,8.58B,-4.83B,3.75B,3.508B,2.667B,6.175B,177.00M,753.00M,10.86B,15.03B,1.237B,474.00M,1.711B,1.598B,3.309B,,514.00M,514.00M,145.00M,659.00M,16.00M,4.038B,7.333B,491.00M,7.824B,507.00M,507.00M,15.00M,1.728B,441.00M,364.00M,10.44B,14.48B,1.466B,22.50B,2.488B,22.06B,,,,-4.273B,117.00M
2019-09,948.00M,,948.00M,1.495B,1.495B,277.00M,44.00M,1.05B,1.371B,535.00M,4.349B,,,,,8.389B,-4.70B,3.689B,3.532B,2.535B,6.067B,165.00M,756.00M,10.68B,15.03B,1.188B,246.00M,1.434B,2.292B,3.726B,,,505.00M,,505.00M,,4.231B,7.646B,,7.646B,587.00M,587.00M,,,498.00M,2.388B,10.62B,14.85B,1.466B,21.86B,2.466B,21.90B,,,,-4.215B,-324.00M
2019-06,863.00M,,863.00M,1.59B,1.59B,258.00M,42.00M,1.022B,1.322B,480.00M,4.255B,,,,,8.476B,-4.683B,3.793B,2.536B,1.609B,4.145B,167.00M,791.00M,8.896B,13.15B,1.209B,293.00M,1.502B,2.275B,3.777B,,,5.00M,,5.00M,,3.782B,6.64B,,6.64B,303.00M,303.00M,,,337.00M,2.436B,9.379B,13.16B,1.466B,21.65B,2.338B,21.68B,,,,-4.119B,-347.00M
2019-03,843.00M,,843.00M,1.547B,1.547B,242.00M,43.00M,993.00M,1.278B,465.00M,4.133B,,,,,8.398B,-4.577B,3.821B,2.517B,1.612B,4.129B,164.00M,636.00M,8.75B,12.88B,1.215B,400.00M,1.615B,2.244B,3.859B,,,6.00M,,6.00M,,3.865B,6.655B,,6.655B,306.00M,306.00M,,,342.00M,2.267B,9.228B,13.09B,1.466B,21.44B,2.241B,21.53B,,,,-4.16B,-552.00M
2018-12,726.00M,,726.00M,1.40B,1.40B,253.00M,37.00M,960.00M,1.25B,417.00M,3.793B,0.0,152.00M,1.604B,6.58B,8.336B,-4.455B,3.881B,2.53B,1.637B,4.167B,152.00M,168.00M,8.368B,12.16B,1.222B,538.00M,1.76B,1.476B,3.236B,,12.00M,12.00M,,12.00M,9.00M,3.341B,6.354B,,6.354B,235.00M,235.00M,54.00M,1.60B,299.00M,380.00M,8.623B,11.96B,1.466B,21.62B,2.204B,21.20B,,,,-4.188B,-102.00M
2018-09,841.00M,,841.00M,1.532B,1.532B,248.00M,40.00M,957.00M,1.245B,523.00M,4.141B,,,,,8.451B,-4.58B,3.871B,2.539B,1.66B,4.199B,165.00M,195.00M,8.43B,12.57B,1.158B,360.00M,1.518B,2.144B,3.662B,,,85.00M,,85.00M,,3.747B,6.519B,,6.519B,325.00M,325.00M,,,362.00M,2.048B,8.892B,12.64B,1.466B,21.01B,2.183B,20.92B,,,,-4.172B,-430.00M
2018-06,833.00M,,833.00M,1.545B,1.545B,251.00M,45.00M,958.00M,1.254B,540.00M,4.172B,,,,,8.408B,-4.50B,3.908B,2.483B,1.735B,4.218B,156.00M,196.00M,8.478B,12.65B,1.121B,382.00M,1.503B,2.093B,3.596B,,,346.00M,,346.00M,,3.942B,6.519B,,6.519B,206.00M,206.00M,,,334.00M,2.172B,8.897B,12.84B,1.466B,20.85B,2.081B,20.76B,,,,-4.164B,-523.00M
