,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.153B,4.153B,1.613B,2.54B,1.518B,,,-36.00M,4.00M,1.522B,1.018B,,-36.00M,-15.00M,-36.00M,967.00M,222.00M,745.00M,,,-47.00M,,698.00M,698.00M,1.152B,134.00M,1.018B,0.81,,,0.81,0.81,0.81,,,0.81,0.81,859.00M,861.80M,0.44
2020-06,3.897B,3.897B,1.528B,2.369B,1.395B,,,-35.00M,28.00M,1.423B,946.00M,,-35.00M,-20.00M,-35.00M,891.00M,216.00M,675.00M,,,-40.00M,,635.00M,635.00M,1.079B,133.00M,946.00M,0.74,,,0.74,0.74,0.74,,,0.74,0.74,857.40M,858.90M,0.44
2020-03,4.097B,4.097B,1.632B,2.465B,1.473B,,,-36.00M,40.00M,1.513B,952.00M,,-36.00M,-21.00M,-36.00M,895.00M,147.00M,748.00M,,,-33.00M,,715.00M,715.00M,1.085B,133.00M,952.00M,0.83,,,0.83,0.83,0.83,,,0.83,0.83,856.90M,858.40M,0.43
2019-12,4.015B,4.015B,1.601B,2.414B,1.412B,,,-32.00M,-24.00M,1.42B,994.00M,,-32.00M,-92.00M,-32.00M,870.00M,188.00M,682.00M,,,-39.00M,,643.00M,643.00M,1.003B,133.00M,870.00M,0.75,,,0.75,0.75,0.75,,,0.75,0.75,856.10M,857.20M,0.43
2019-09,3.928B,3.928B,1.612B,2.316B,1.429B,,,-35.00M,31.00M,1.46B,856.00M,,-35.00M,-27.00M,-35.00M,794.00M,167.00M,627.00M,,,-49.00M,,578.00M,578.00M,986.00M,130.00M,856.00M,0.67,,,0.67,0.67,0.67,,,0.67,0.67,858.70M,861.20M,0.43
2019-06,3.866B,3.866B,1.558B,2.308B,1.369B,,,-38.00M,51.00M,1.42B,888.00M,,-38.00M,-27.00M,-38.00M,823.00M,205.00M,618.00M,,,-32.00M,,586.00M,586.00M,1.016B,128.00M,888.00M,0.68,,,0.68,0.68,0.68,,,0.68,0.68,859.40M,861.90M,0.43
2019-03,3.884B,3.884B,1.597B,2.287B,1.365B,,,-40.00M,43.00M,1.408B,879.00M,,-40.00M,-25.00M,-40.00M,814.00M,214.00M,600.00M,,,-40.00M,,560.00M,560.00M,1.007B,128.00M,879.00M,0.65,,,0.65,0.65,0.65,,,0.65,0.65,862.00M,863.20M,0.42
2018-12,3.811B,3.811B,1.558B,2.253B,1.328B,,,-37.00M,-16.00M,1.371B,882.00M,,-37.00M,-13.00M,-37.00M,832.00M,189.00M,643.00M,,,-37.00M,,606.00M,606.00M,980.00M,126.00M,854.00M,0.7,,,0.7,0.7,0.7,,,0.7,0.7,866.70M,867.00M,0.42
2018-09,3.845B,3.845B,1.576B,2.269B,1.369B,,,-36.00M,26.00M,1.395B,874.00M,,-36.00M,-18.00M,-36.00M,820.00M,258.00M,562.00M,,,-39.00M,,523.00M,523.00M,1.001B,127.00M,874.00M,0.6,,,0.6,0.6,0.6,,,0.6,0.6,868.80M,871.10M,0.42
2018-06,3.886B,3.886B,1.585B,2.301B,1.30B,,,-35.00M,55.00M,1.355B,946.00M,,-35.00M,-23.00M,-35.00M,888.00M,213.00M,675.00M,,,-38.00M,,637.00M,637.00M,1.075B,129.00M,946.00M,0.73,,,0.73,0.73,0.73,,,0.73,0.73,871.70M,874.00M,0.42
