,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,OtherProperties,GrossPP&E,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,1.411B,,1.411B,781.43M,,,781.43M,79.29M,2.453B,374.80M,374.80M,374.80M,25.75M,25.75M,3.508B,385.09M,510.96M,15.11B,17.56B,430.45M,0.00,,,430.45M,430.45M,,430.45M,7.457B,425.65M,7.883B,,45.47M,144.02M,416.84M,693.75M,1.526B,10.25B,10.68B,898.78M,-2.464B,8.124B,891.16M,,-89.83M,6.469B
2020-06,,1.768B,,1.768B,811.20M,,,811.20M,94.88M,3.101B,376.96M,376.96M,376.96M,27.66M,27.66M,3.666B,348.47M,307.62M,14.94B,18.04B,385.96M,0.00,,,385.96M,385.96M,,385.96M,7.956B,426.06M,8.382B,,49.39M,143.47M,432.49M,718.92M,1.483B,10.73B,11.11B,898.79M,-2.416B,8.096B,891.16M,,-82.65M,6.496B
2020-03,,1.587B,,1.587B,847.60M,,,847.60M,80.57M,2.908B,378.26M,378.26M,378.26M,29.12M,29.12M,4.016B,353.47M,405.91M,15.30B,18.21B,407.60M,0.00,,,407.60M,407.60M,,407.60M,7.961B,497.53M,8.458B,,54.99M,145.88M,456.18M,623.80M,1.281B,10.51B,10.92B,898.84M,-2.092B,8.113B,891.21M,,-82.72M,6.837B
2019-12,,1.515B,,1.515B,837.94M,,,837.94M,92.12M,2.854B,379.55M,379.55M,379.55M,30.96M,30.96M,4.255B,353.99M,355.35M,15.43B,18.29B,440.05M,398.29M,,,838.34M,838.34M,,838.34M,7.407B,498.25M,7.905B,,59.43M,163.20M,578.95M,888.92M,1.181B,10.14B,10.98B,898.83M,-1.954B,7.828B,891.21M,,-40.23M,6.732B
2019-09,,1.132B,,1.132B,843.14M,,,843.14M,113.06M,2.377B,370.60M,370.60M,370.60M,30.77M,30.77M,4.366B,360.61M,446.52M,15.84B,18.22B,,,,,,453.33M,,453.33M,7.487B,490.98M,7.978B,,62.58M,162.26M,635.18M,854.33M,1.058B,10.05B,10.51B,898.87M,-1.649B,7.873B,891.26M,,-47.36M,7.075B
2019-06,,922.60M,,922.60M,834.35M,,,834.35M,154.31M,2.240B,380.21M,380.21M,380.21M,32.48M,32.48M,4.373B,357.51M,382.21M,15.67B,17.91B,,,,,,392.58M,,392.58M,7.528B,483.01M,8.011B,,66.84M,166.71M,635.59M,862.06M,985.74M,10.03B,10.42B,898.87M,-1.846B,7.846B,891.26M,,-38.07M,6.861B
2019-03,,307.05M,,307.05M,840.04M,,,840.04M,593.76M,4.997B,457.66M,457.66M,457.66M,34.16M,34.16M,1.093B,345.24M,497.22M,12.64B,17.64B,,,,,,442.50M,1.097B,1.540B,8.640B,484.17M,9.124B,,71.33M,173.25M,646.90M,867.08M,843.18M,11.01B,12.55B,898.87M,-4.120B,7.677B,891.26M,,-11.38M,4.444B
2018-12,,570.92M,,570.92M,1.008B,,,1.008B,145.99M,1.825B,,0.00,0.00,136.78M,136.78M,1.329B,400.31M,431.94M,15.36B,17.18B,430.98M,0.00,,,430.98M,430.98M,,430.98M,9.837B,0.00,9.837B,,167.73M,264.25M,642.65M,783.56M,757.50M,11.64B,12.07B,898.89M,-4.167B,7.726B,891.29M,,7.664M,4.465B
2018-09,,772.52M,,772.52M,1.007B,,,1.007B,147.29M,2.234B,,,,139.99M,139.99M,1.437B,443.35M,456.28M,14.44B,16.68B,,,,,,415.53M,,415.53M,9.793B,,9.793B,,176.21M,278.49M,659.59M,924.58M,229.04M,11.22B,11.64B,898.88M,-4.136B,7.580B,891.29M,,34.17M,4.378B
2018-06,,1.091B,,1.091B,1.002B,,,1.002B,121.17M,2.214B,,,,146.37M,146.37M,1.498B,443.86M,550.60M,14.65B,16.87B,,,,,,394.08M,,394.08M,9.782B,,9.782B,,187.93M,288.30M,661.71M,938.04M,520.33M,11.53B,11.92B,898.91M,-4.206B,7.556B,891.32M,,33.35M,4.282B
2018-03,216.83M,1.327B,,1.327B,998.92M,,,998.92M,90.68M,2.417B,,,,152.83M,152.83M,1.520B,405.21M,406.55M,14.45B,16.86B,,,,,,431.09M,,431.09M,9.774B,,9.774B,,200.65M,310.17M,664.79M,857.03M,465.66M,11.41B,11.84B,898.91M,-4.198B,7.629B,891.32M,,30.26M,4.360B
2017-12,,1.818B,,1.818B,985.41M,,,985.41M,97.16M,2.900B,,,,159.26M,159.26M,1.594B,403.49M,469.56M,14.50B,17.40B,,,,,,415.79M,,415.79M,9.729B,,9.729B,,227.07M,336.25M,670.05M,1.440B,468.26M,11.97B,12.39B,899.56M,-4.183B,7.493B,891.99M,,128.68M,4.338B
2017-09,,1.282B,,1.282B,972.60M,,,972.60M,103.55M,2.358B,,,,166.20M,166.20M,1.610B,354.57M,575.55M,14.48B,16.84B,,,,,,412.10M,,412.10M,9.352B,,9.352B,,240.38M,346.62M,716.49M,970.70M,469.92M,11.14B,11.55B,1.046B,-4.098B,7.502B,1.038B,,121.80M,4.571B
2017-06,,1.471B,,1.471B,1.146B,,,1.146B,86.39M,2.704B,,,,176.51M,176.51M,1.997B,449.71M,649.30M,18.19B,20.89B,,,,,,427.40M,,427.40M,10.84B,,10.84B,,264.04M,368.60M,727.80M,1.177B,431.98M,12.82B,13.25B,1.046B,-1.525B,7.280B,1.038B,,115.84M,6.916B
2017-03,,1.485B,,1.485B,1.136B,,,1.136B,98.19M,2.719B,,,,184.01M,184.01M,2.059B,452.19M,455.18M,18.01B,20.73B,,,,,,451.16M,,451.16M,10.62B,,10.62B,,274.48M,399.41M,721.62M,1.266B,433.37M,12.72B,13.17B,1.046B,-1.506B,7.183B,1.038B,,119.02M,6.842B
2016-12,193.92M,1.501B,,1.501B,946.24M,,,946.24M,95.03M,2.542B,,,,189.67M,189.67M,2.044B,355.00M,4.077B,18.27B,20.81B,,,,,,397.13M,,397.13M,9.447B,,9.447B,,276.28M,397.46M,719.98M,1.278B,417.20M,12.80B,13.20B,1.046B,-1.419B,7.153B,1.038B,,118.97M,6.899B
2016-09,,1.353B,,1.353B,1.121B,,,1.121B,111.94M,2.586B,,,,201.45M,201.45M,2.215B,462.18M,557.52M,18.27B,20.86B,,,,,,461.23M,,461.23M,11.20B,,11.20B,,301.02M,419.38M,753.16M,1.248B,457.93M,13.33B,13.79B,1.046B,-1.951B,7.139B,1.038B,,82.37M,6.316B
2016-06,,1.644B,,1.644B,1.088B,,,1.088B,94.63M,2.826B,,,,210.01M,210.01M,2.218B,462.65M,621.67M,18.25B,21.07B,,,,,,480.09M,,480.09M,11.08B,,11.08B,,314.37M,433.66M,753.47M,1.245B,480.03M,13.25B,13.73B,1.284B,-1.899B,7.136B,1.277B,,72.56M,6.594B
2016-03,,1.674B,,1.674B,1.071B,,,1.071B,109.15M,2.854B,,,,218.39M,218.39M,2.282B,485.28M,448.33M,18.02B,20.87B,,,,,,447.70M,,447.70M,11.06B,,11.06B,,325.01M,441.84M,774.63M,1.178B,433.86M,13.13B,13.57B,1.284B,-2.000B,7.187B,1.277B,,53.40M,6.525B
2015-12,539.73M,1.836B,,1.836B,1.029B,,,1.029B,107.80M,2.973B,,,,227.90M,227.90M,2.276B,480.42M,514.11M,18.17B,21.14B,,,,,,443.96M,,443.96M,11.09B,,11.09B,,346.12M,463.59M,778.48M,1.229B,426.96M,13.22B,13.67B,1.284B,-1.767B,7.133B,1.277B,,46.92M,6.698B
2015-09,,788.14M,,788.14M,993.45M,,,993.45M,107.96M,1.890B,,,,241.81M,241.81M,2.169B,572.97M,619.29M,18.08B,19.97B,,,,,,465.04M,,465.04M,10.01B,,10.01B,,377.95M,494.99M,762.35M,1.114B,434.98M,12.06B,12.53B,1.285B,-1.879B,7.233B,1.277B,,43.59M,6.682B
2015-06,,516.34M,,516.34M,966.94M,,,966.94M,127.86M,1.611B,,,,245.85M,245.85M,2.203B,528.18M,671.02M,17.97B,19.59B,,,,,,437.81M,,437.81M,9.810B,,9.810B,,390.64M,509.57M,767.57M,1.093B,417.94M,11.84B,12.28B,1.285B,-1.959B,7.161B,1.277B,,50.61M,6.538B
2015-03,,1.068B,,1.068B,927.14M,,,927.14M,198.67M,2.193B,,,,229.58M,229.58M,2.148B,478.51M,379.69M,17.07B,19.26B,,,,,,432.97M,,432.97M,9.564B,,9.564B,,346.03M,467.56M,757.75M,1.305B,436.61M,11.78B,12.22B,1.285B,-2.006B,6.935B,1.277B,,72.61M,6.286B
2014-12,449.06M,1.198B,,1.198B,897.27M,,,897.27M,176.20M,2.272B,,,,225.16M,225.16M,1.961B,382.43M,2.657B,18.89B,21.16B,,,,,,447.74M,,447.74M,9.530B,,9.530B,,358.61M,475.90M,743.96M,1.338B,375.83M,13.22B,13.67B,1.285B,-1.505B,6.873B,1.277B,,93.27M,6.745B
2014-09,,1.683B,,1.683B,992.54M,17.08M,,1.010B,160.85M,2.854B,,,,280.21M,280.21M,1.948B,483.90M,492.36M,18.15B,21.00B,,,,,,498.56M,,498.56M,11.15B,,11.15B,,489.25M,602.80M,708.41M,1.140B,380.84M,13.28B,13.78B,1.285B,-1.878B,7.041B,1.277B,,69.58M,6.517B
2014-06,,1.371B,,1.371B,968.50M,17.42M,,985.91M,160.35M,2.517B,,,,289.48M,289.48M,2.050B,467.46M,686.45M,18.22B,20.74B,,,,,,452.64M,,452.64M,10.87B,,10.87B,,501.38M,613.24M,744.21M,1.221B,382.79M,13.09B,13.54B,1.285B,-1.872B,6.950B,1.277B,,92.22M,6.454B
2014-03,,1.157B,,1.157B,953.87M,42.75M,,996.62M,210.18M,2.364B,,,,299.76M,299.76M,2.132B,437.06M,498.12M,18.01B,20.37B,,,,,,457.86M,,457.86M,10.34B,,10.34B,1.272M,514.60M,637.85M,839.00M,1.141B,378.55M,12.50B,12.96B,1.285B,-1.810B,7.018B,1.277B,,77.63M,6.570B
2013-12,288.29M,583.29M,,583.29M,911.12M,,,911.12M,262.44M,1.757B,,,,307.44M,307.44M,2.109B,404.91M,1.397B,18.34B,20.10B,,,,,,422.28M,,422.28M,9.979B,,9.979B,1.28M,529.00M,646.80M,829.51M,1.004B,436.36M,12.08B,12.50B,1.285B,-1.735B,7.144B,1.277B,,71.54M,6.765B
2013-09,,872.32M,,872.32M,936.00M,176.39M,,1.112B,320.98M,2.306B,,,,275.25M,275.25M,2.395B,400.97M,468.50M,17.97B,20.28B,,,,,,442.62M,,442.62M,10.00B,,10.00B,15.42M,472.80M,599.98M,803.62M,951.10M,452.46M,12.00B,12.45B,1.285B,-1.528B,7.184B,1.277B,,83.33M,7.024B
2013-06,,781.66M,,781.66M,931.30M,175.70M,,1.107B,312.07M,2.201B,,,,289.11M,289.11M,2.474B,412.70M,566.08M,18.13B,20.33B,,,,,,393.36M,,393.36M,10.02B,,10.02B,15.37M,486.90M,613.36M,784.74M,940.99M,436.88M,12.02B,12.41B,1.285B,-1.472B,7.190B,1.277B,,132.89M,7.136B
2013-03,,585.82M,,585.82M,921.81M,225.22M,,1.147B,168.38M,1.901B,,,,393.77M,393.77M,2.627B,411.13M,581.90M,19.22B,21.13B,,,,,,426.62M,,426.62M,10.42B,,10.42B,15.45M,586.24M,711.17M,925.83M,995.08M,447.85M,12.68B,13.11B,1.285B,-1.479B,7.168B,1.278B,,120.95M,7.095B
2012-12,417.32M,960.32M,,960.32M,953.91M,225.36M,,1.179B,183.26M,2.323B,,,,415.33M,415.33M,2.703B,405.00M,1.053B,19.74B,22.07B,,,,,,484.75M,,484.75M,11.13B,,11.13B,15.30M,596.07M,716.57M,1.053B,944.15M,400.93M,13.68B,14.16B,1.248B,-1.573B,7.195B,1.240B,,-18.95M,6.851B
2012-09,,465.88M,,465.88M,937.11M,131.58M,,1.069B,391.79M,1.926B,,,,252.68M,252.68M,2.837B,389.16M,1.039B,18.47B,20.40B,442.64M,,,,442.64M,442.64M,,442.64M,9.811B,,9.811B,15.43M,465.93M,584.36M,786.88M,995.50M,396.90M,12.27B,12.71B,1.245B,-1.319B,7.136B,1.238B,,-160.11M,6.902B
2012-06,,471.36M,,471.36M,936.70M,132.37M,,1.069B,112.73M,1.653B,,,,266.39M,266.39M,2.786B,382.21M,825.00M,18.35B,20.00B,431.35M,,,,431.35M,431.35M,,431.35M,10.22B,,10.22B,15.58M,481.30M,598.04M,767.88M,1.237B,175.06M,12.30B,12.73B,1.029B,-1.420B,7.060B,1.022B,,-162.78M,6.506B
2012-03,,614.36M,,614.36M,941.20M,133.14M,,1.074B,117.42M,1.806B,,,,304.38M,304.38M,2.962B,387.48M,337.98M,18.46B,20.27B,,,,,,453.58M,,453.58M,10.30B,,10.30B,13.38M,500.27M,613.46M,667.87M,1.251B,139.66M,12.31B,12.76B,1.029B,-1.313B,7.058B,1.022B,,67.17M,6.842B
2011-12,606.55M,606.55M,,606.55M,874.16M,133.95M,,1.021B,98.07M,1.726B,,,,287.84M,287.84M,2.828B,364.75M,1.430B,18.72B,20.45B,,,,,,423.51M,,423.51M,10.08B,,10.08B,13.32M,515.82M,624.59M,680.13M,1.161B,145.70M,12.51B,12.94B,1.029B,-1.402B,7.127B,1.022B,,73.73M,6.828B
2011-09,,585.18M,,585.18M,870.34M,156.36M,,1.040B,124.98M,1.750B,,,,334.88M,334.88M,2.596B,360.06M,670.75M,18.44B,20.19B,,,,,,469.02M,,469.02M,10.41B,,10.41B,13.81M,,640.66M,611.18M,1.161B,139.35M,12.36B,12.83B,1.029B,-1.330B,7.112B,1.022B,,-59.02M,6.752B
2011-06,,591.52M,,591.52M,908.41M,155.61M,,1.077B,155.32M,1.824B,,,,317.26M,317.26M,2.767B,366.42M,497.40M,18.71B,20.54B,,,,,,436.23M,,436.23M,10.54B,,10.54B,13.26M,,669.34M,607.28M,1.421B,104.26M,12.74B,13.17B,1.005B,-1.244B,6.885B,997.45M,,114.48M,6.760B
2011-03,,618.36M,,618.36M,900.00M,140.57M,,1.054B,234.27M,1.906B,,,,333.27M,333.27M,2.725B,359.68M,345.57M,18.59B,20.49B,,,,,,469.44M,,469.44M,10.63B,,10.63B,13.28M,,689.86M,597.22M,1.367B,90.34M,12.78B,13.25B,790.27M,-1.209B,6.936B,782.93M,,130.61M,6.648B
2010-12,,690.79M,,690.79M,852.63M,202.41M,,1.068B,200.82M,1.960B,,,,346.16M,346.16M,2.286B,354.86M,898.41M,18.56B,20.52B,,,,,,438.48M,,438.48M,10.89B,,10.89B,13.28M,,680.66M,514.70M,1.328B,82.86M,13.25B,13.69B,790.40M,-1.481B,6.933B,783.09M,,73.45M,6.316B
2010-09,,846.25M,,846.25M,919.14M,144.47M,,1.077B,148.25M,2.071B,,,,385.34M,385.34M,1.828B,353.85M,724.22M,18.56B,20.63B,,,,,,507.76M,,507.76M,11.11B,,11.11B,17.65M,,738.63M,446.68M,1.417B,372.70M,13.64B,14.15B,790.80M,-1.605B,6.810B,783.53M,,45.27M,6.041B
2010-06,,652.12M,0.00,652.12M,876.53M,136.86M,,1.027B,139.56M,1.818B,,,,,,1.635B,330.79M,770.75M,18.07B,19.89B,,,,,,458.63M,,458.63M,10.67B,,10.67B,17.70M,,753.94M,407.29M,1.271B,98.26M,12.79B,13.25B,830.80M,-1.581B,6.944B,823.53M,,37.60M,6.232B
2010-03,,788.94M,15.00M,803.94M,861.54M,126.78M,,1.001B,307.85M,2.113B,,,,,,1.771B,326.74M,818.49M,18.31B,20.42B,,,,,,491.46M,,491.46M,11.09B,,11.09B,17.79M,,773.18M,406.79M,1.340B,100.06M,13.30B,13.80B,830.80M,-1.521B,6.878B,823.55M,,29.95M,6.218B
2009-12,,535.48M,40.00M,575.48M,827.55M,203.29M,,1.044B,293.95M,1.913B,,,,439.55M,439.55M,1.590B,310.88M,798.79M,18.27B,20.19B,,,,,,475.24M,,475.24M,10.69B,,10.69B,16.50M,,752.22M,406.64M,1.252B,88.50M,13.06B,13.54B,830.90M,-1.578B,6.961B,823.69M,,28.45M,6.243B
2009-09,,2.560B,,2.560B,822.17M,269.98M,,1.105B,287.58M,3.953B,,,,,,1.548B,301.34M,876.71M,18.40B,22.35B,,,,,,548.41M,,548.41M,12.73B,,12.73B,17.86M,,796.27M,406.15M,1.213B,97.01M,14.83B,15.38B,830.87M,-1.279B,6.993B,823.72M,,16.49M,6.562B
2009-06,,2.068B,,2.068B,801.75M,291.27M,,1.106B,307.98M,3.483B,,,,,,1.492B,306.19M,755.13M,18.35B,21.83B,,,,,,485.71M,,485.71M,12.39B,,12.39B,19.88M,,814.46M,405.13M,936.10M,87.66M,14.22B,14.71B,830.83M,-1.289B,7.211B,823.72M,,-35.85M,6.717B
2009-03,,1.625B,,1.625B,795.35M,471.98M,,1.280B,400.15M,3.306B,,,,,,1.479B,304.38M,807.64M,18.34B,21.65B,,,,,,497.93M,,497.93M,12.73B,,12.73B,19.88M,,824.87M,412.45M,907.31M,126.21M,14.59B,15.09B,830.02M,-1.070B,6.435B,823.72M,,-46.80M,6.148B
2008-12,,1.527B,0.00,1.527B,794.00M,472.54M,,1.280B,375.89M,3.182B,,,,,,1.418B,304.12M,861.61M,18.24B,21.42B,,,,,,515.61M,,515.61M,12.44B,,12.44B,19.90M,,854.61M,412.91M,1.178B,143.53M,14.69B,15.20B,830.00M,-1.047B,6.026B,823.81M,,-6.899M,5.802B
2008-09,,1.529B,,1.529B,835.14M,468.53M,,1.317B,390.35M,3.236B,,,,,,1.643B,300.96M,877.10M,18.21B,21.44B,,,,,,599.00M,,599.00M,12.19B,,12.19B,19.83M,,861.04M,,1.370B,139.71M,14.56B,15.16B,830.02M,57.39M,5.404B,823.78M,,-8.675M,6.283B
2008-06,,1.712B,,1.712B,714.98M,466.67M,,1.195B,384.02M,3.291B,,,,,,1.698B,303.13M,843.60M,18.21B,21.50B,,,,,,515.86M,,515.86M,12.22B,,12.22B,19.70M,,881.75M,,1.383B,151.77M,14.64B,15.15B,830.23M,164.65M,5.382B,824.01M,,-28.33M,6.349B
2008-03,,1.541B,,1.541B,704.83M,491.87M,,1.210B,378.25M,3.129B,,,,,,1.876B,288.18M,918.75M,18.36B,21.49B,501.20M,,,71.26M,572.46M,572.46M,,572.46M,12.17B,,12.17B,19.74M,,844.39M,,1.395B,122.38M,14.53B,15.10B,830.23M,177.71M,5.365B,824.07M,,9.521M,6.382B
2007-12,,1.155B,,1.155B,681.32M,492.34M,,1.187B,378.73M,2.720B,,,,,,1.828B,273.96M,2.430B,19.76B,22.48B,,,,,,480.12M,,480.12M,11.90B,,11.90B,241.90M,,1.158B,,2.075B,118.98M,16.58B,17.06B,831.24M,-721.62M,5.279B,825.10M,,29.77M,5.418B
