,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,215.00M,,0.00,-6.00M,-6.00M,26.00M,26.00M,15.00M,8.00M,,6.00M,,39.00M,-7.00M,,21.00M,,-53.00M,-39.00M,,208.00M,,-28.00M,-28.00M,,-2.00M,9.00M,28.00M,,0.00,-10.00M,-10.00M,2.00M,0.00,2.00M,0.00,,0.00,-375.00M,,-101.00M,,4.39B,,11.14B,4.626B,15.77B,,2.00M,0.00,0.00,0.00,8.00M,17.00M,,AOR,
2020-09,211.00M,,0.00,-6.00M,-6.00M,27.00M,27.00M,-9.00M,6.00M,,6.00M,,-14.00M,-11.00M,,14.00M,,-266.00M,-263.00M,,-24.00M,,-22.00M,-22.00M,,-2.376B,68.00M,-1.286B,,-750.00M,-742.00M,-1.492B,-3.00M,0.00,-3.00M,-1.00M,,-1.00M,191.00M,,-91.00M,,-860.00M,,13.31B,-2.17B,11.14B,,-4.00M,0.00,-750.00M,0.00,56.00M,34.00M,,AOR,
2020-06,113.00M,,-1.00M,-8.00M,-9.00M,29.00M,29.00M,-22.00M,0.00,,4.00M,,4.00M,35.00M,,-52.00M,,-191.00M,-208.00M,,45.00M,,-14.00M,-14.00M,,246.00M,13.00M,190.00M,,-925.00M,-1.511B,-2.436B,2.00M,0.00,2.00M,395.00M,,395.00M,-96.00M,,-96.00M,,8.221B,,4.855B,8.456B,13.31B,,397.00M,0.00,-925.00M,0.00,74.00M,50.00M,,AOR,
2020-03,-65.00M,,1.00M,-5.00M,-4.00M,26.00M,26.00M,-73.00M,1.00M,,8.00M,,9.00M,8.00M,,-12.00M,,399.00M,395.00M,,699.00M,,-15.00M,-15.00M,,-322.00M,-23.00M,-3.534B,,0.00,2.192B,2.192B,3.00M,-199.00M,-196.00M,,,,-95.00M,,-95.00M,,1.872B,,5.818B,-963.00M,4.855B,,3.00M,0.00,,-199.00M,3.00M,102.00M,,AOR,
2019-12,269.00M,,-1.00M,-6.00M,-7.00M,30.00M,30.00M,8.00M,0.00,,2.00M,,3.00M,16.00M,,12.00M,,-118.00M,-90.00M,,221.00M,,-24.00M,-24.00M,,22.00M,3.00M,1.096B,,0.00,20.00M,20.00M,6.00M,-152.00M,-146.00M,0.00,,0.00,-402.00M,,-99.00M,3.00M,384.00M,,4.117B,1.701B,5.818B,,6.00M,0.00,0.00,-152.00M,45.00M,115.00M,,AOR,Restated
2019-09,292.00M,,0.00,-9.00M,-9.00M,27.00M,27.00M,8.00M,1.00M,,5.00M,,6.00M,13.00M,,47.00M,,25.00M,85.00M,,444.00M,,-33.00M,-33.00M,,-54.00M,52.00M,231.00M,,700.00M,-1.682B,-982.00M,1.00M,-370.00M,-369.00M,0.00,,0.00,203.00M,,-100.00M,-2.00M,-139.00M,,3.581B,536.00M,4.117B,,1.00M,700.00M,0.00,-370.00M,60.00M,127.00M,,AOR,Restated
2019-06,298.00M,,0.00,-7.00M,-7.00M,28.00M,28.00M,0.00,1.00M,,8.00M,,9.00M,8.00M,,-59.00M,,64.00M,13.00M,,385.00M,,-13.00M,-13.00M,,-7.00M,-28.00M,-1.582B,,-350.00M,798.00M,448.00M,5.00M,-429.00M,-424.00M,0.00,,0.00,-104.00M,,-104.00M,,1.297B,,3.481B,100.00M,3.581B,,5.00M,0.00,-350.00M,-429.00M,149.00M,122.00M,,AOR,Restated
2019-03,339.00M,,8.00M,-7.00M,1.00M,29.00M,29.00M,-4.00M,0.00,,24.00M,,24.00M,-20.00M,,-27.00M,,-289.00M,-336.00M,,40.00M,,-16.00M,-16.00M,,-58.00M,-14.00M,-239.00M,,350.00M,891.00M,1.241B,6.00M,-443.00M,-437.00M,,,,-99.00M,,-99.00M,,-881.00M,,4.561B,-1.08B,3.481B,,6.00M,350.00M,,-443.00M,12.00M,98.00M,,AOR,Restated
2018-12,310.00M,,0.00,-4.00M,-4.00M,30.00M,30.00M,-13.00M,0.00,,7.00M,,51.00M,-9.00M,,30.00M,,282.00M,303.00M,,649.00M,,-25.00M,-25.00M,,1.00M,6.00M,-1.183B,,0.00,-40.00M,-40.00M,2.00M,-501.00M,-499.00M,,,,-102.00M,,-102.00M,1.00M,-744.00M,,5.839B,-1.278B,4.561B,,2.00M,0.00,0.00,-501.00M,75.00M,89.00M,,AOR,Restated
2018-09,318.00M,,20.00M,-4.00M,16.00M,30.00M,30.00M,23.00M,1.00M,,7.00M,,0.00,2.00M,,70.00M,,-113.00M,-41.00M,,353.00M,,-24.00M,-24.00M,,-5.00M,1.00M,743.00M,,850.00M,26.00M,876.00M,4.00M,-500.00M,-496.00M,,,,-57.00M,,-57.00M,1.00M,-917.00M,,5.66B,179.00M,5.839B,,4.00M,850.00M,0.00,-500.00M,31.00M,73.00M,,AOR,Restated
