,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,734.00M,734.00M,11.00M,384.00M,395.00M,,395.00M,10.00M,469.00M,278.00M,63.00M,215.00M,,5.00M,215.00M,215.00M,26.00M,298.00M,,1.50,,1.50,1.50,,1.49,,1.49,1.49,,139.00M,140.00M,0.68,,AOR,
2020-09,710.00M,710.00M,9.00M,362.00M,371.00M,,371.00M,1.00M,458.00M,259.00M,48.00M,211.00M,,8.00M,211.00M,211.00M,27.00M,285.00M,,1.45,,1.45,1.45,,1.44,,1.44,1.44,,139.00M,140.00M,0.68,,AOR,
2020-06,718.00M,718.00M,8.00M,358.00M,366.00M,,366.00M,11.00M,471.00M,140.00M,27.00M,113.00M,,,113.00M,113.00M,29.00M,180.00M,,0.81,,0.81,0.81,,0.80,,0.80,0.80,,139.00M,139.00M,0.68,,AOR,
2020-03,750.00M,750.00M,7.00M,344.00M,351.00M,,351.00M,8.00M,513.00M,-86.00M,-21.00M,-65.00M,,,-65.00M,-65.00M,26.00M,10.00M,,-0.46,,-0.46,-0.46,,-0.46,,-0.46,-0.46,,141.00M,141.00M,0.68,,AOR,
2019-12,804.00M,804.00M,10.00M,363.00M,373.00M,,373.00M,15.00M,544.00M,351.00M,82.00M,269.00M,,,269.00M,269.00M,30.00M,466.00M,,1.87,,1.87,1.87,,1.85,,1.85,1.85,,144.00M,144.00M,0.67,,AOR,Restated
2019-09,842.00M,842.00M,10.00M,355.00M,365.00M,,365.00M,9.00M,586.00M,372.00M,80.00M,292.00M,,,292.00M,292.00M,27.00M,497.00M,,1.98,,1.98,1.98,,1.96,,1.96,1.96,,147.00M,148.00M,0.67,,AOR,Restated
2019-06,853.00M,853.00M,9.00M,344.00M,353.00M,,353.00M,8.00M,603.00M,385.00M,87.00M,298.00M,,,298.00M,298.00M,28.00M,509.00M,,1.95,,1.95,1.95,,1.94,,1.94,1.94,,152.00M,153.00M,0.67,,AOR,Restated
2019-03,844.00M,844.00M,5.00M,362.00M,367.00M,,367.00M,-1.00M,606.00M,424.00M,85.00M,339.00M,,,339.00M,339.00M,29.00M,528.00M,,2.14,,2.14,2.14,,2.11,,2.11,2.11,,158.00M,160.00M,0.67,,AOR,Restated
2018-12,864.00M,864.00M,8.00M,351.00M,359.00M,-14.00M,345.00M,9.00M,614.00M,400.00M,90.00M,310.00M,,,310.00M,320.85M,30.00M,490.00M,,1.91,,1.977,1.91,,1.88,,1.946,1.88,,162.00M,165.00M,0.60,,AOR,Restated
2018-09,833.00M,833.00M,8.00M,362.00M,370.00M,-12.00M,358.00M,-10.00M,599.00M,381.00M,63.00M,318.00M,,,318.00M,328.02M,30.00M,457.00M,,1.89,,1.950,1.89,,1.86,,1.919,1.86,,167.00M,170.00M,0.60,,AOR,Restated
2018-06,838.00M,838.00M,8.00M,358.00M,366.00M,-11.00M,355.00M,7.00M,590.00M,419.00M,93.00M,326.00M,,,326.00M,334.56M,29.00M,479.00M,,1.90,,1.950,1.90,,1.87,,1.919,1.87,,171.00M,174.00M,0.34,,AOR,Restated
2018-03,793.00M,793.00M,6.00M,360.00M,366.00M,-16.00M,350.00M,5.00M,549.00M,335.00M,54.00M,281.00M,,,281.00M,294.42M,31.00M,376.00M,,1.62,,1.698,1.62,,1.59,,1.667,1.59,,172.00M,175.00M,0.30,,AOR,Restated
2017-12,830.00M,830.00M,9.00M,391.00M,400.00M,-15.00M,385.00M,7.00M,545.00M,330.00M,218.00M,112.00M,,,112.00M,121.00M,30.00M,363.00M,,0.65,,0.7026,0.65,,0.63,,0.6814,0.63,,171.00M,175.00M,0.30,,AOR,Restated
2017-09,821.00M,821.00M,8.00M,377.00M,385.00M,-7.00M,378.00M,7.00M,546.00M,334.00M,108.00M,226.00M,,,226.00M,230.74M,31.00M,367.00M,,1.29,,1.317,1.29,,1.26,,1.287,1.26,,174.00M,177.00M,0.30,,AOR,Restated
2017-06,776.00M,776.00M,7.00M,362.00M,369.00M,-14.00M,355.00M,12.00M,500.00M,302.00M,99.00M,203.00M,,,203.00M,212.41M,29.00M,331.00M,,1.15,,1.204,1.15,,1.13,,1.183,1.13,,175.00M,179.00M,0.26,,AOR,Restated
2017-03,741.00M,741.00M,4.00M,374.00M,378.00M,-9.00M,369.00M,6.00M,470.00M,268.00M,66.00M,202.00M,,,202.00M,208.78M,31.00M,294.00M,,1.15,,1.189,1.15,,1.11,,1.148,1.11,,175.00M,180.00M,0.23,,AOR,Restated
2016-12,722.00M,722.00M,6.00M,380.00M,386.00M,-20.00M,366.00M,17.00M,455.00M,226.00M,62.00M,164.00M,,,164.00M,178.51M,30.00M,255.00M,,0.95,,1.036,0.95,,0.92,,1.001,0.92,,169.00M,180.00M,0.23,,AOR,Restated
2016-09,722.00M,722.00M,5.00M,378.00M,383.00M,-20.00M,363.00M,9.00M,450.00M,213.00M,64.00M,149.00M,,,149.00M,162.99M,32.00M,243.00M,,0.87,,0.9518,0.87,,0.84,,0.9195,0.84,,171.00M,176.00M,0.23,,AOR,Restated
