,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,369.00M,,,,293.00M,,293.00M,293.00M,57.00M,,,,5.00M,2.00M,48.00M,-42.00M,49.00M,-57.00M,-85.00M,-4.00M,-91.00M,,635.00M,-661.00M,,-5.00M,,,-2.00M,-3.00M,-666.00M,0.00,152.00M,152.00M,10.00M,,10.00M,,,-123.00M,-123.00M,,-3.00M,36.00M,163.00M,5.00M,168.00M,10.00M,0.00,0.00,,,
2020-06,244.00M,,,,291.00M,,291.00M,291.00M,45.00M,,,,5.00M,-15.00M,-156.00M,-42.00M,89.00M,-6.00M,27.00M,-78.00M,-166.00M,,404.00M,-613.00M,,-21.00M,,,-17.00M,-1.00M,-631.00M,798.00M,-495.00M,303.00M,14.00M,,14.00M,,,-122.00M,-122.00M,,-8.00M,187.00M,203.00M,-40.00M,163.00M,14.00M,798.00M,0.00,,,
2020-03,148.00M,,,,286.00M,,286.00M,286.00M,23.00M,,,,6.00M,18.00M,-5.00M,23.00M,-174.00M,-3.00M,-18.00M,-14.00M,-191.00M,,290.00M,-671.00M,,-35.00M,,,-15.00M,2.00M,-684.00M,380.00M,175.00M,555.00M,13.00M,,13.00M,,,-122.00M,-122.00M,,-25.00M,421.00M,176.00M,27.00M,203.00M,13.00M,465.00M,-85.00M,,,
2019-12,95.00M,,,,280.00M,,280.00M,280.00M,23.00M,,,,5.00M,-6.00M,69.00M,-6.00M,76.00M,-3.00M,-44.00M,13.00M,105.00M,,502.00M,-655.00M,,-5.00M,,,12.00M,6.00M,-637.00M,376.00M,-104.00M,272.00M,14.00M,,14.00M,,,-122.00M,-122.00M,,-8.00M,156.00M,155.00M,21.00M,176.00M,14.00M,627.00M,-251.00M,,,
2019-09,366.00M,,,,274.00M,,274.00M,274.00M,90.00M,,,,5.00M,-8.00M,56.00M,-54.00M,35.00M,-45.00M,-52.00M,122.00M,62.00M,,789.00M,-637.00M,,-1.00M,,,-7.00M,0.00,-644.00M,450.00M,-454.00M,-4.00M,17.00M,,17.00M,,,-117.00M,-117.00M,,-8.00M,-112.00M,122.00M,33.00M,155.00M,17.00M,450.00M,0.00,,,
2019-06,180.00M,,,,259.00M,,259.00M,259.00M,22.00M,,,,4.00M,0.00,-50.00M,-31.00M,63.00M,3.00M,74.00M,-32.00M,27.00M,,492.00M,-585.00M,,-4.00M,,,2.00M,-4.00M,-587.00M,0.00,199.00M,199.00M,18.00M,,18.00M,,,-117.00M,-117.00M,,-1.00M,99.00M,118.00M,4.00M,122.00M,18.00M,0.00,0.00,,,
2019-03,193.00M,,,,268.00M,,268.00M,268.00M,32.00M,,,,6.00M,-9.00M,4.00M,81.00M,-185.00M,-14.00M,-11.00M,22.00M,-103.00M,,387.00M,-565.00M,,-21.00M,,,-3.00M,1.00M,-567.00M,121.00M,202.00M,323.00M,19.00M,,19.00M,,,-116.00M,-116.00M,,-35.00M,191.00M,107.00M,11.00M,118.00M,19.00M,450.00M,-329.00M,,,
2018-12,69.00M,,,,263.00M,,263.00M,263.00M,12.00M,,,,5.00M,16.00M,105.00M,43.00M,74.00M,4.00M,-72.00M,-35.00M,119.00M,,484.00M,-619.00M,,-22.00M,,,-3.00M,5.00M,-617.00M,180.00M,76.00M,256.00M,18.00M,,18.00M,,,-117.00M,-117.00M,,-9.00M,148.00M,92.00M,15.00M,107.00M,18.00M,499.00M,-319.00M,,,
2018-09,359.00M,,,,259.00M,,259.00M,259.00M,131.00M,,,,5.00M,4.00M,41.00M,-50.00M,-2.00M,-10.00M,5.00M,124.00M,108.00M,,866.00M,-591.00M,,-14.00M,,,-6.00M,7.00M,-590.00M,-199.00M,15.00M,-184.00M,16.00M,,16.00M,,,-111.00M,-111.00M,,-1.00M,-280.00M,96.00M,-4.00M,92.00M,16.00M,0.00,-199.00M,,,
2018-06,240.00M,,,,257.00M,,257.00M,257.00M,55.00M,,,,4.00M,6.00M,-144.00M,-22.00M,96.00M,7.00M,7.00M,56.00M,0.00,,562.00M,-537.00M,,-4.00M,,,-3.00M,8.00M,-532.00M,530.00M,-454.00M,76.00M,23.00M,,23.00M,,,-112.00M,-112.00M,,-10.00M,-23.00M,89.00M,7.00M,96.00M,23.00M,853.00M,-323.00M,,,
