,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.628B,1.628B,733.00M,895.00M,12.00M,128.00M,110.00M,7.00M,-103.00M,,401.00M,494.00M,7.00M,110.00M,-103.00M,41.00M,-103.00M,432.00M,63.00M,369.00M,,,-2.00M,367.00M,356.80M,835.00M,293.00M,542.00M,1.48,,,1.439,1.48,1.47,,,1.429,1.47,247.10M,249.20M,0.495
2020-06,1.398B,1.398B,654.00M,744.00M,8.00M,119.00M,108.00M,7.00M,-101.00M,,390.00M,354.00M,7.00M,108.00M,-101.00M,41.00M,-101.00M,294.00M,50.00M,244.00M,,,-1.00M,243.00M,236.36M,693.00M,291.00M,402.00M,0.99,,,0.9631,0.99,0.98,,,0.9532,0.98,246.90M,247.90M,0.495
2020-03,1.44B,1.44B,819.00M,621.00M,-9.00M,125.00M,93.00M,7.00M,-86.00M,,380.00M,241.00M,7.00M,93.00M,-86.00M,14.00M,-86.00M,169.00M,21.00M,148.00M,,,-2.00M,146.00M,153.88M,548.00M,286.00M,262.00M,0.59,,,0.622,0.59,0.59,,,0.6218,0.59,246.40M,248.10M,0.495
2019-12,1.316B,1.316B,781.00M,535.00M,4.00M,106.00M,91.00M,8.00M,-83.00M,,356.00M,179.00M,8.00M,91.00M,-83.00M,23.00M,-83.00M,119.00M,24.00M,95.00M,,,-1.00M,94.00M,90.81M,490.00M,280.00M,210.00M,0.38,,,0.367,0.38,0.38,,,0.3671,0.38,245.90M,247.40M,0.495
2019-09,1.659B,1.659B,760.00M,899.00M,6.00M,131.00M,96.00M,8.00M,-88.00M,,379.00M,520.00M,8.00M,96.00M,-88.00M,26.00M,-88.00M,458.00M,92.00M,366.00M,,,-2.00M,364.00M,359.20M,828.00M,274.00M,554.00M,1.48,,,1.46,1.48,1.47,,,1.4509999999999998,1.47,245.90M,247.50M,0.475
2019-06,1.379B,1.379B,732.00M,647.00M,7.00M,118.00M,97.00M,9.00M,-88.00M,,367.00M,280.00M,9.00M,97.00M,-88.00M,27.00M,-88.00M,219.00M,39.00M,180.00M,,,-1.00M,179.00M,173.25M,575.00M,259.00M,316.00M,0.73,,,0.7066,0.73,0.72,,,0.6967,0.72,245.60M,247.20M,0.475
2019-03,1.556B,1.556B,894.00M,662.00M,0.00,126.00M,97.00M,8.00M,-89.00M,,374.00M,288.00M,8.00M,97.00M,-89.00M,21.00M,-89.00M,220.00M,27.00M,193.00M,,,-2.00M,191.00M,191.00M,585.00M,268.00M,317.00M,0.78,,,0.78,0.78,0.78,,,0.78,0.78,244.90M,246.40M,0.475
2018-12,1.419B,1.419B,902.00M,517.00M,-7.00M,109.00M,99.00M,8.00M,-91.00M,,351.00M,166.00M,8.00M,99.00M,-91.00M,10.00M,-91.00M,85.00M,16.00M,69.00M,,,-1.00M,68.00M,73.68M,447.00M,263.00M,184.00M,0.28,,,0.3032,0.28,0.28,,,0.303,0.28,244.40M,246.70M,0.475
2018-09,1.724B,1.724B,823.00M,901.00M,7.00M,127.00M,101.00M,8.00M,-93.00M,,368.00M,533.00M,8.00M,101.00M,-93.00M,24.00M,-93.00M,464.00M,105.00M,359.00M,,,-2.00M,357.00M,351.58M,824.00M,259.00M,565.00M,1.46,,,1.4380000000000002,1.46,1.45,,,1.4280000000000002,1.45,244.10M,246.30M,0.4575
2018-06,1.563B,1.563B,818.00M,745.00M,3.00M,122.00M,100.00M,9.00M,-91.00M,,360.00M,385.00M,9.00M,100.00M,-91.00M,20.00M,-91.00M,314.00M,74.00M,240.00M,,,-1.00M,239.00M,236.71M,671.00M,257.00M,414.00M,0.98,,,0.9706,0.98,0.97,,,0.9607,0.97,243.70M,245.80M,0.4575
2018-03,1.585B,1.585B,953.00M,632.00M,0.00,125.00M,101.00M,8.00M,-93.00M,,359.00M,273.00M,8.00M,101.00M,-93.00M,15.00M,-93.00M,195.00M,42.00M,153.00M,,,-2.00M,151.00M,151.00M,550.00M,254.00M,296.00M,0.62,,,0.62,0.62,0.62,,,0.62,0.62,242.90M,244.40M,0.4575
2017-12,1.399B,1.399B,846.00M,553.00M,7.00M,113.00M,96.00M,9.00M,-87.00M,,341.00M,212.00M,9.00M,96.00M,-87.00M,16.00M,-87.00M,141.00M,200.00M,-59.00M,,,-1.00M,-60.00M,-64.20M,465.00M,228.00M,237.00M,-0.24,,,-0.2573,-0.24,-0.24,,,-0.2572,-0.24,242.60M,244.80M,0.4575
2017-09,1.723B,1.723B,800.00M,923.00M,6.00M,129.00M,97.00M,7.00M,-90.00M,,354.00M,569.00M,7.00M,97.00M,-90.00M,16.00M,-90.00M,495.00M,205.00M,290.00M,,,-2.00M,288.00M,284.40M,835.00M,243.00M,592.00M,1.19,,,1.175,1.19,1.18,,,1.165,1.18,242.60M,244.70M,0.44
2017-06,1.537B,1.537B,811.00M,726.00M,2.00M,117.00M,99.00M,9.00M,-90.00M,,339.00M,387.00M,9.00M,99.00M,-90.00M,11.00M,-90.00M,308.00M,114.00M,194.00M,,,-1.00M,193.00M,191.74M,647.00M,240.00M,407.00M,0.79,,,0.7848,0.79,0.79,,,0.7848,0.79,242.60M,243.50M,0.44
2017-03,1.515B,1.515B,934.00M,581.00M,1.00M,118.00M,99.00M,9.00M,-90.00M,,339.00M,242.00M,9.00M,99.00M,-90.00M,9.00M,-90.00M,161.00M,57.00M,104.00M,,,-2.00M,102.00M,101.35M,501.00M,241.00M,260.00M,0.42,,,0.4173,0.42,0.42,,,0.4173,0.42,242.60M,242.60M,0.44
2016-12,1.356B,1.356B,944.00M,412.00M,-1.00M,109.00M,95.00M,9.00M,-86.00M,,326.00M,86.00M,9.00M,95.00M,-86.00M,59.00M,-86.00M,59.00M,26.00M,33.00M,,,-1.00M,32.00M,32.60M,389.00M,235.00M,154.00M,0.13,0.0,,0.1325,0.13,0.13,0.0,,0.1325,0.13,242.60M,244.60M,0.44
2016-09,1.859B,1.859B,828.00M,1.031B,6.00M,129.00M,97.00M,10.00M,-87.00M,,340.00M,691.00M,10.00M,97.00M,-87.00M,,-87.00M,604.00M,233.00M,371.00M,,,-2.00M,369.00M,365.34M,932.00M,231.00M,701.00M,1.52,,,1.505,1.52,1.52,,,1.505,1.52,242.60M,242.90M,0.425
2016-06,1.427B,1.427B,777.00M,650.00M,3.00M,115.00M,95.00M,10.00M,-85.00M,,325.00M,325.00M,10.00M,95.00M,-85.00M,,-85.00M,240.00M,92.00M,148.00M,,,-1.00M,147.00M,145.14M,558.00M,223.00M,335.00M,0.61,,,0.6023,0.61,0.61,,,0.6023,0.61,242.60M,242.60M,0.425
2016-03,1.434B,1.434B,893.00M,541.00M,3.00M,114.00M,95.00M,11.00M,-84.00M,,321.00M,220.00M,11.00M,95.00M,-84.00M,2.00M,-84.00M,138.00M,31.00M,107.00M,,,-2.00M,105.00M,102.66M,467.00M,234.00M,233.00M,0.43,,,0.4204,0.43,0.43,,,0.4204,0.43,242.60M,242.60M,0.425
