,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,6.00M,,6.00M,525.00M,,71.00M,817.00M,,557.00M,,210.00M,1.59B,,,,,25.54B,411.00M,,411.00M,904.00M,993.00M,28.93B,30.52B,640.00M,199.00M,839.00M,,839.00M,272.00M,357.00M,629.00M,629.00M,109.00M,109.00M,,528.00M,2.105B,675.00M,10.17B,10.17B,3.151B,3.589B,373.00M,142.00M,,,19.78B,21.89B,2.00M,2.769B,5.733B,,-15.00M,8.489B
2020-06,8.00M,,8.00M,486.00M,,76.00M,885.00M,,514.00M,,213.00M,1.62B,,,,,25.08B,411.00M,,411.00M,854.00M,917.00M,28.40B,30.02B,616.00M,142.00M,758.00M,118.00M,876.00M,120.00M,357.00M,477.00M,477.00M,126.00M,126.00M,,521.00M,2.00B,639.00M,10.17B,10.17B,3.034B,3.49B,414.00M,142.00M,,,19.65B,21.65B,2.00M,2.525B,5.716B,,-16.00M,8.227B
2020-03,42.00M,,42.00M,456.00M,,65.00M,733.00M,,471.00M,,218.00M,1.464B,,,,,24.68B,411.00M,,411.00M,742.00M,885.00M,27.81B,29.27B,544.00M,,544.00M,,544.00M,615.00M,357.00M,972.00M,972.00M,,,,851.00M,2.367B,631.00M,9.378B,9.378B,2.948B,3.43B,397.00M,142.00M,,,18.68B,21.04B,2.00M,2.404B,5.695B,,-16.00M,8.085B
2019-12,16.00M,,16.00M,393.00M,,63.00M,734.00M,,494.00M,,187.00M,1.431B,2.402B,730.00M,37.38B,-13.01B,24.38B,411.00M,,411.00M,847.00M,876.00M,27.50B,28.93B,874.00M,,874.00M,,874.00M,440.00M,442.00M,882.00M,882.00M,,,,749.00M,2.505B,638.00M,8.915B,8.915B,2.919B,3.386B,401.00M,142.00M,,,18.23B,20.73B,2.00M,2.38B,5.694B,,-17.00M,8.059B
2019-09,20.00M,,20.00M,478.00M,,56.00M,807.00M,,488.00M,,180.00M,1.495B,,,,,23.89B,411.00M,,411.00M,798.00M,780.00M,27.05B,28.55B,598.00M,164.00M,762.00M,,762.00M,544.00M,336.00M,880.00M,880.00M,,,,643.00M,2.285B,671.00M,8.651B,8.651B,2.902B,3.368B,522.00M,142.00M,,,18.06B,20.34B,2.00M,2.408B,5.673B,,-21.00M,8.062B
2019-06,6.00M,,6.00M,461.00M,,91.00M,878.00M,,433.00M,,197.00M,1.514B,,,,,23.48B,411.00M,,411.00M,783.00M,741.00M,26.59B,28.10B,593.00M,,593.00M,,593.00M,999.00M,336.00M,1.335B,1.335B,,,,824.00M,2.752B,667.00M,8.222B,8.222B,2.758B,3.222B,539.00M,142.00M,,,17.42B,20.17B,2.00M,2.161B,5.649B,,-21.00M,7.791B
2019-03,8.00M,,8.00M,517.00M,,74.00M,829.00M,,402.00M,,183.00M,1.422B,,,,,23.04B,411.00M,,411.00M,754.00M,744.00M,26.09B,27.51B,522.00M,81.00M,603.00M,81.00M,684.00M,799.00M,336.00M,1.135B,1.135B,111.00M,111.00M,,462.00M,2.392B,630.00M,8.221B,8.221B,2.708B,3.13B,558.00M,142.00M,,,17.27B,19.66B,2.00M,2.099B,5.625B,,-21.00M,7.705B
2018-12,16.00M,,16.00M,463.00M,,79.00M,837.00M,,483.00M,,197.00M,1.533B,2.101B,1.081B,35.08B,-12.27B,22.81B,411.00M,,411.00M,684.00M,650.00M,25.68B,27.22B,817.00M,,817.00M,,817.00M,597.00M,580.00M,1.177B,1.177B,,,,693.00M,2.687B,627.00M,7.859B,7.859B,2.666B,3.074B,558.00M,142.00M,,,16.76B,19.44B,2.00M,2.024B,5.627B,,-22.00M,7.631B
2018-09,11.00M,,11.00M,605.00M,,84.00M,949.00M,,525.00M,,155.00M,1.64B,,,,,22.38B,411.00M,,411.00M,752.00M,647.00M,25.32B,26.96B,591.00M,154.00M,745.00M,108.00M,853.00M,521.00M,649.00M,1.17B,1.17B,126.00M,126.00M,,431.00M,2.58B,640.00M,7.614B,7.614B,2.737B,3.146B,529.00M,142.00M,,,16.58B,19.16B,2.00M,2.073B,5.598B,,-17.00M,7.656B
2018-06,29.00M,,29.00M,560.00M,,74.00M,1.005B,,475.00M,,176.00M,1.685B,,,,,22.00B,411.00M,,411.00M,714.00M,626.00M,24.95B,26.64B,565.00M,139.00M,704.00M,109.00M,813.00M,506.00M,847.00M,1.353B,1.353B,114.00M,114.00M,,431.00M,2.711B,641.00M,7.613B,7.613B,2.63B,3.061B,545.00M,142.00M,,,16.40B,19.11B,2.00M,1.827B,5.576B,,-19.00M,7.386B
