,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.846B,1.846B,519.00M,1.327B,339.00M,20.00M,32.00M,-271.00M,35.00M,-35.00M,,391.00M,936.00M,35.00M,-35.00M,-265.00M,-35.00M,636.00M,138.00M,498.00M,,,-43.00M,455.00M,669.54M,671.00M,,2020-09,1.89,,2.782,1.89,,2020-09,1.88,,2.768,1.88,240.60M,241.60M,0.67,,2020-09,AOR,
2020-06,1.943B,1.943B,493.00M,1.45B,295.00M,19.00M,32.00M,1.00M,40.00M,-40.00M,,346.00M,1.104B,40.00M,-40.00M,11.00M,-40.00M,1.075B,233.00M,842.00M,,,-50.00M,792.00M,787.30M,1.115B,,2020-06,3.29,,3.270,3.29,,2020-06,3.28,,3.261,3.28,240.90M,241.90M,0.67,,2020-06,AOR,
2020-03,1.786B,1.786B,521.00M,1.265B,311.00M,20.00M,29.00M,7.00M,34.00M,-34.00M,,360.00M,905.00M,34.00M,-34.00M,6.00M,-34.00M,877.00M,188.00M,689.00M,,,-50.00M,639.00M,641.36M,911.00M,,2020-03,2.64,,2.650,2.64,,2020-03,2.62,,2.630,2.62,242.10M,243.30M,0.67,,2020-03,AOR,
2019-12,1.735B,1.735B,341.00M,1.394B,525.00M,21.00M,30.00M,0.00,93.00M,-93.00M,,576.00M,818.00M,93.00M,-93.00M,6.00M,-93.00M,731.00M,145.00M,586.00M,,,-45.00M,541.00M,543.40M,824.00M,,2019-12,2.22,,2.230,2.22,,2019-12,2.20,,2.210,2.20,243.90M,245.40M,0.57,,2019-12,AOR,
2019-09,1.689B,1.689B,480.00M,1.209B,318.00M,20.00M,29.00M,49.00M,32.00M,-32.00M,,367.00M,842.00M,32.00M,-32.00M,41.00M,-32.00M,851.00M,189.00M,662.00M,,,-45.00M,617.00M,591.33M,883.00M,,2019-09,2.52,,2.415,2.52,,2019-09,2.50,,2.396,2.50,245.00M,246.50M,0.57,,2019-09,AOR,Restated
2019-06,1.704B,1.704B,471.00M,1.233B,368.00M,21.00M,31.00M,0.00,37.00M,-37.00M,,420.00M,813.00M,37.00M,-37.00M,6.00M,-37.00M,782.00M,180.00M,602.00M,,,-47.00M,555.00M,555.77M,819.00M,,2019-06,2.25,,2.253,2.25,,2019-06,2.24,,2.243,2.24,246.10M,247.40M,0.57,,2019-06,AOR,Restated
2019-03,1.571B,1.571B,473.00M,1.098B,341.00M,20.00M,32.00M,0.00,36.00M,-36.00M,,393.00M,705.00M,36.00M,-36.00M,-103.00M,-36.00M,566.00M,113.00M,453.00M,,,-43.00M,410.00M,410.00M,602.00M,,2019-03,1.66,,1.66,1.66,,2019-03,1.65,,1.65,1.65,246.70M,248.30M,0.57,,2019-03,AOR,Restated
2018-12,1.537B,1.537B,411.00M,1.126B,367.00M,24.00M,31.00M,0.00,36.00M,-36.00M,,422.00M,704.00M,36.00M,-36.00M,3.00M,-36.00M,671.00M,120.00M,551.00M,,,-40.00M,511.00M,513.46M,707.00M,,2018-12,2.06,,2.070,2.06,,2018-12,2.03,,2.040,2.03,248.80M,251.70M,0.50,,2018-12,AOR,Restated
2018-09,1.546B,1.546B,410.00M,1.136B,379.00M,20.00M,33.00M,0.00,38.00M,-38.00M,,432.00M,704.00M,38.00M,-38.00M,6.00M,-38.00M,672.00M,137.00M,535.00M,,,-40.00M,495.00M,496.59M,710.00M,,2018-09,1.97,,1.976,1.97,,2018-09,1.95,,1.956,1.95,251.30M,253.50M,0.50,,2018-09,AOR,Restated
2018-06,1.609B,1.609B,441.00M,1.168B,444.00M,19.00M,33.00M,,26.00M,-26.00M,,496.00M,672.00M,26.00M,-26.00M,11.00M,-26.00M,657.00M,156.00M,501.00M,,,-40.00M,461.00M,458.71M,683.00M,,2018-06,1.83,,1.821,1.83,,2018-06,1.82,,1.811,1.82,251.10M,253.30M,0.50,,2018-06,AOR,Restated
