,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2009-09,342.26M,,,,0.00,26.03M,138.24M,164.27M,164.27M,2.287M,,-4.75M,0.074M,7.738M,-124.89M,52.62M,7.982M,136.12M,,-42.12M,67.82M,609.40M,,2009-09,-22.84M,0.028M,-15.68M,-7.13M,0.00,85.05M,-67.53M,,2009-09,,-89.60M,-89.60M,,0.00,0.00,-72.99M,-72.99M,5.674M,-156.85M,,2009-09,556.13M,16.12M,957.26M,,2009-09,,,,0.00,,2009-09,AOR,Restated
2009-06,167.89M,,,,13.85M,28.78M,82.58M,111.36M,111.36M,-2.291M,,9.403M,,9.822M,-213.16M,-0.11M,5.641M,58.34M,3.99M,3.303M,58.96M,227.00M,,2009-06,27.89M,0.029M,-8.844M,-5.96M,9.731M,-85.05M,-47.40M,,2009-06,,-70.30M,-70.30M,,0.00,0.00,-146.82M,-75.97M,7.108M,-139.16M,,2009-06,496.80M,18.90M,556.13M,,2009-06,,,-89.90M,0.00,,2009-06,AOR,Restated
2009-03,65.98M,,,,,29.41M,41.50M,70.91M,70.91M,-2.174M,,7.83M,,8.924M,211.77M,-20.80M,-19.86M,-265.58M,-3.99M,12.51M,1.608M,67.13M,,2009-03,-52.46M,0.031M,-7.994M,-1.711M,,0.00,-52.43M,,2009-03,,89.90M,89.90M,,,,,-70.85M,0.00,19.05M,,2009-03,471.67M,-8.624M,496.80M,,2009-03,,,89.90M,,,2009-03,AOR,Restated
2008-12,115.92M,,,,-7.812M,31.96M,69.17M,101.13M,101.13M,4.774M,,-1.934M,,13.52M,233.81M,47.64M,-24.32M,49.12M,,-92.61M,10.86M,454.81M,,2008-12,-300.42M,0.159M,-20.80M,-25.35M,-8.80M,,-111.80M,,2008-12,,70.00M,-237.10M,-41.20M,-13.12M,-54.32M,,-69.30M,41.42M,-319.43M,,2008-12,485.23M,-37.14M,471.67M,,2008-12,,-41.20M,70.00M,-13.12M,,2008-12,AOR,
2008-09,390.17M,,,,1.679M,29.95M,138.20M,168.15M,168.15M,16.84M,,,,-34.80M,-61.36M,68.97M,12.89M,33.15M,,69.23M,11.62M,676.54M,,2008-09,-26.12M,0.116M,-26.00M,,-4.795M,,-96.16M,,2008-09,,,-219.10M,10.47M,-158.56M,-148.09M,,-69.04M,,-433.45M,,2008-09,355.30M,-17.00M,485.23M,,2008-09,,10.47M,,-158.56M,,2008-09,,
2008-06,212.29M,,,,6.133M,30.41M,79.19M,109.60M,109.60M,-8.007M,,-21.04M,,46.23M,-308.13M,-54.76M,28.04M,73.14M,,77.31M,-11.15M,149.67M,,2008-06,37.32M,0.139M,-35.19M,6.006M,-22.79M,,-117.24M,,2008-06,,-396.20M,130.00M,30.73M,-141.54M,-110.80M,,-71.10M,-20.92M,-72.81M,,2008-06,396.71M,-1.025M,355.30M,,2008-06,,30.73M,-396.20M,-141.54M,,2008-06,,
2008-03,81.11M,,,,,27.53M,42.38M,69.91M,69.91M,-13.62M,,21.04M,,5.982M,230.74M,-88.33M,-14.91M,-397.74M,,-2.464M,-3.972M,-112.26M,,2008-03,-96.21M,0.026M,-23.55M,-6.006M,-11.88M,,-108.06M,,2008-03,,396.20M,396.20M,,-134.01M,-134.01M,,-71.02M,20.92M,213.40M,,2008-03,396.10M,7.528M,396.71M,,2008-03,,,396.20M,-134.01M,,2008-03,,Restated
2007-12,140.62M,,,,5.369M,28.68M,58.38M,87.06M,87.06M,21.64M,,,,37.27M,313.67M,30.32M,12.98M,100.20M,,-67.42M,-41.67M,640.05M,,2007-12,-89.33M,1.797M,-87.53M,,-2.456M,,-179.43M,,2007-12,,,-142.14M,15.16M,-322.73M,-307.57M,,-66.77M,,-515.08M,,2007-12,452.53M,-1.979M,396.10M,,2007-12,,15.16M,,-322.73M,,2007-12,,
2007-09,452.02M,,,,0.344M,26.20M,122.19M,148.39M,148.39M,-7.555M,,,,30.01M,-192.52M,57.03M,14.28M,122.08M,,42.58M,21.72M,688.37M,,2007-09,-65.70M,5.26M,-60.44M,,-44.18M,,-181.51M,,2007-09,,,336.79M,17.61M,-711.64M,-694.02M,,-68.65M,,-423.46M,,2007-09,358.08M,11.05M,452.53M,,2007-09,,17.61M,,-711.64M,,2007-09,,
2007-06,277.08M,,,,-0.886M,28.80M,68.31M,97.11M,97.11M,-21.69M,,,,36.26M,-311.85M,-37.00M,9.75M,136.31M,,65.27M,9.457M,259.80M,,2007-06,-66.21M,0.124M,-66.08M,,-40.07M,,-181.39M,,2007-06,,,387.04M,74.17M,-567.23M,-493.06M,,-69.57M,,-156.60M,,2007-06,429.63M,6.633M,358.08M,,2007-06,,74.17M,,-567.23M,,2007-06,,
2007-03,143.84M,,,,-13.62M,28.90M,39.71M,68.61M,68.61M,-39.01M,,,,36.14M,262.15M,-61.94M,-12.66M,-323.76M,,56.22M,12.75M,128.73M,,2007-03,-25.03M,55.08M,30.05M,,,,-27.36M,,2007-03,,,604.78M,39.92M,-611.06M,-571.14M,,-72.76M,,-26.09M,,2007-03,353.50M,0.863M,429.63M,,2007-03,,39.92M,,-611.06M,,2007-03,,
2006-12,204.78M,,,,0.347M,30.45M,61.74M,92.20M,92.20M,-38.09M,,,,33.90M,82.38M,25.48M,11.09M,154.29M,,4.397M,-12.23M,558.53M,,2006-12,-369.58M,0.095M,-369.49M,,-3.696M,,-168.39M,,2006-12,,,-232.72M,74.78M,-153.36M,-78.58M,,-64.30M,,-354.06M,,2006-12,309.71M,7.711M,353.50M,,2006-12,,74.78M,,-153.36M,,2006-12,,
2006-09,382.27M,,,,4.635M,26.87M,115.46M,142.32M,142.32M,-11.97M,,,,35.71M,-198.66M,49.58M,13.59M,162.01M,,64.27M,13.75M,657.51M,,2006-09,-24.62M,0.00,-24.62M,,-8.891M,,-102.53M,,2006-09,,,-446.19M,73.27M,-27.45M,45.82M,,-64.16M,,-454.21M,,2006-09,211.05M,-2.121M,309.71M,,2006-09,,73.27M,,-27.45M,,2006-09,,
2006-06,220.96M,,,,-58.76M,28.32M,65.15M,93.46M,93.46M,-14.83M,,,,89.04M,-242.28M,-18.29M,11.91M,99.42M,,111.72M,21.18M,313.53M,,2006-06,-20.53M,0.029M,-20.50M,,-0.893M,,-92.65M,,2006-06,,,678.37M,30.35M,-833.61M,-803.26M,,-65.53M,,-186.42M,,2006-06,179.74M,-3.152M,211.05M,,2006-06,,30.35M,,-833.61M,,2006-06,,
2006-03,74.22M,,,,53.78M,27.56M,34.45M,62.01M,62.01M,-21.72M,,,,,226.88M,-35.15M,-25.99M,-371.39M,,12.87M,4.223M,-20.26M,,2006-03,-11.65M,12.26M,0.609M,,,,-63.91M,,2006-03,,,-0.075M,84.46M,-525.72M,-441.26M,,-66.33M,,-485.26M,,2006-03,748.79M,0.393M,179.74M,,2006-03,,84.46M,,-525.72M,,2006-03,,
2005-12,189.31M,,,,-1.603M,29.61M,65.99M,95.61M,95.61M,6.05M,,,,,238.44M,32.47M,9.767M,145.14M,,-94.10M,41.54M,662.62M,,2005-12,-47.55M,3.003M,-44.54M,,-6.625M,,-137.00M,,2005-12,,,-1.142M,60.47M,-233.37M,-172.90M,,-61.85M,,-235.91M,,2005-12,466.64M,-7.562M,748.79M,,2005-12,,60.47M,,-233.37M,,2005-12,,
2005-09,381.29M,,,,13.17M,26.30M,111.70M,138.00M,138.00M,-0.185M,,,,,-266.53M,64.82M,22.11M,164.91M,,110.50M,40.10M,668.18M,,2005-09,-28.86M,110.30M,81.44M,,-5.252M,,3.632M,,2005-09,,,-382.54M,52.01M,-60.36M,-8.352M,,-61.42M,,-452.36M,,2005-09,245.90M,1.29M,466.64M,,2005-09,,52.01M,,-60.36M,,2005-09,,
2005-06,194.97M,,,,7.516M,26.13M,67.19M,93.32M,93.32M,-5.893M,,,,0.183M,-271.45M,-28.36M,19.52M,61.29M,,112.20M,29.96M,213.24M,,2005-06,-26.34M,0.008M,-26.34M,,-436.64M,,-528.60M,,2005-06,,,372.74M,35.57M,-134.67M,-99.10M,,-59.94M,,213.66M,,2005-06,361.10M,-13.49M,245.90M,,2005-06,,35.57M,,-134.67M,,2005-06,,
2005-03,78.74M,,,,5.595M,24.70M,33.63M,58.34M,58.34M,0.028M,,,,-0.183M,164.57M,-78.40M,6.524M,-277.46M,,68.13M,-10.02M,15.85M,,2005-03,-17.48M,18.02M,0.544M,,-13.33M,,-63.02M,,2005-03,,,-1.732M,44.71M,-249.26M,-204.54M,,-62.84M,,-269.17M,,2005-03,680.62M,-3.182M,361.10M,,2005-03,,44.71M,,-249.26M,,2005-03,,
2004-12,190.04M,,,,-8.217M,24.80M,59.47M,84.27M,84.27M,16.57M,,,,9.338M,163.91M,43.01M,-37.89M,-15.22M,,51.00M,13.46M,510.27M,,2004-12,-48.49M,1.225M,-47.27M,,-7.336M,,-132.36M,,2004-12,,,-1.02M,64.09M,-140.26M,-76.17M,,-57.03M,,-134.28M,,2004-12,423.76M,13.23M,680.62M,,2004-12,,64.09M,,-140.26M,,2004-12,,
2004-09,324.48M,,,,3.753M,22.19M,122.19M,144.38M,144.38M,-6.176M,,,,,-280.02M,46.35M,-0.081M,129.61M,,145.29M,17.41M,524.99M,,2004-09,-51.48M,0.001M,-51.48M,,-294.14M,,-404.72M,,2004-09,,,-0.005M,22.53M,-46.06M,-23.54M,,-56.84M,,-80.45M,,2004-09,383.58M,0.362M,423.76M,,2004-09,,22.53M,,-46.06M,,2004-09,,
2004-06,165.63M,,,,5.63M,22.99M,79.20M,102.19M,102.19M,-4.634M,,,,-2.865M,-228.89M,-41.68M,20.83M,83.40M,,73.68M,7.826M,181.11M,,2004-06,-21.60M,0.039M,-21.56M,,-4.753M,,-97.70M,,2004-06,,,-0.636M,61.74M,-105.14M,-43.40M,,-56.91M,,-101.03M,,2004-06,403.95M,-2.754M,383.58M,,2004-06,,61.74M,,-105.14M,,2004-06,,
2004-03,75.68M,,,,6.63M,22.28M,39.59M,61.88M,61.88M,-5.764M,,,,2.865M,218.01M,-47.68M,-63.69M,-251.92M,,-137.23M,-11.68M,-152.90M,,2004-03,-17.43M,45.64M,28.21M,,,,-11.93M,,2004-03,,,-21.06M,70.43M,-117.88M,-47.45M,,-57.39M,,-125.99M,,2004-03,695.59M,-0.823M,403.95M,,2004-03,,70.43M,,-117.88M,,2004-03,,
2003-12,159.92M,,,,56.93M,22.26M,62.56M,84.83M,84.83M,-53.47M,,,,-12.47M,245.23M,-8.17M,40.68M,66.64M,,-19.60M,1.913M,562.44M,,2003-12,-32.98M,382.09M,349.11M,,-1.80M,,241.42M,,2003-12,,,-189.37M,40.36M,-113.28M,-72.92M,,-51.62M,,-314.02M,,2003-12,199.11M,6.638M,695.59M,,2003-12,,40.36M,,-113.28M,,2003-12,,
2003-09,290.30M,,,,9.043M,19.70M,138.31M,158.01M,158.01M,-0.151M,,,,,-217.13M,72.28M,-0.907M,94.54M,,116.90M,21.35M,544.23M,,2003-09,-41.49M,0.058M,-41.43M,,0.00,,-79.33M,,2003-09,,,-318.19M,9.51M,0.00,9.51M,,-51.64M,,-360.42M,,2003-09,94.82M,-0.193M,199.11M,,2003-09,,9.51M,,0.00,,2003-09,,
2003-06,142.04M,,,,1.944M,20.83M,78.03M,98.86M,98.86M,0.194M,,,,4.926M,-206.98M,-46.36M,15.54M,109.41M,,38.64M,9.345M,167.55M,,2003-06,-27.36M,-1.364M,-28.72M,,-1.878M,,-86.62M,,2003-06,,,-58.65M,21.62M,0.00,21.62M,,-51.58M,,-88.72M,,2003-06,96.05M,6.557M,94.82M,,2003-06,,21.62M,,0.00,,2003-06,,
2003-03,95.40M,,,,-76.86M,21.16M,40.32M,61.48M,61.48M,3.408M,,,,-4.926M,255.93M,-17.74M,-36.39M,-237.89M,,85.44M,-19.73M,108.13M,,2003-03,-13.15M,121.88M,108.73M,,,,62.34M,,2003-03,,,13.50M,7.679M,-103.07M,-95.40M,,-51.69M,,-133.71M,,2003-03,58.19M,1.113M,96.05M,,2003-03,,7.679M,,-103.07M,,2003-03,,
2002-12,134.87M,,,,12.98M,22.46M,56.57M,79.04M,79.04M,68.80M,,,,,203.54M,-6.425M,3.144M,68.41M,,-164.47M,25.54M,415.80M,,2002-12,12.78M,0.234M,13.02M,,-0.90M,,-110.07M,,2002-12,,,-212.60M,17.69M,-118.18M,-100.49M,,-48.98M,,-362.25M,,2002-12,108.14M,6.569M,58.19M,,2002-12,,17.69M,,-118.18M,,2002-12,,
2002-09,276.22M,,,,22.94M,20.09M,138.07M,158.16M,158.16M,-3.102M,,,,,-155.65M,59.06M,12.33M,90.33M,,88.69M,5.886M,554.85M,,2002-09,-55.94M,17.29M,-38.65M,,-14.68M,,-87.25M,,2002-09,,,-372.93M,14.11M,-1.142M,12.97M,,-49.40M,,-409.56M,,2002-09,50.52M,-0.417M,108.14M,,2002-09,,14.11M,,-1.142M,,2002-09,,
2002-06,136.47M,,,,8.002M,23.36M,81.54M,104.89M,104.89M,0.163M,,,,,-186.18M,-10.56M,26.63M,35.55M,,17.85M,13.47M,146.28M,,2002-06,-17.48M,3.169M,-14.31M,,-3.73M,,-106.68M,,2002-06,,,77.94M,15.04M,-58.13M,-43.10M,,-49.49M,,-14.76M,,2002-06,20.78M,4.885M,50.52M,,2002-06,,15.04M,,-58.13M,,2002-06,,
2002-03,29.20M,,,,3.645M,23.68M,43.00M,66.69M,66.69M,-1.365M,,,,,199.91M,-42.07M,-34.91M,-189.92M,,20.25M,-25.97M,25.46M,,2002-03,-9.386M,3.613M,-5.773M,,,,-62.52M,,2002-03,,,29.10M,30.63M,-5.653M,24.98M,,-49.14M,,4.828M,,2002-03,53.54M,-0.519M,20.78M,,2002-03,,30.63M,,-5.653M,,2002-03,,
2001-12,-2.845M,,,,182.42M,23.13M,67.23M,90.37M,90.37M,7.01M,,,,,270.34M,37.72M,13.37M,98.84M,,-192.21M,18.83M,515.50M,,2001-12,-46.97M,-0.028M,-47.00M,,-0.277M,,-182.24M,,2001-12,,,-182.67M,11.11M,-61.82M,-50.70M,,-47.22M,,-280.68M,,2001-12,1.773M,-0.807M,53.54M,,2001-12,,11.11M,,-61.82M,,2001-12,,
2001-09,239.49M,,,,11.64M,20.29M,130.20M,150.49M,150.49M,-0.022M,,,,,-227.58M,47.05M,24.69M,71.09M,,97.81M,0.442M,415.10M,,2001-09,-28.84M,0.58M,-28.26M,,-186.69M,,-287.76M,,2001-09,,,-57.16M,5.588M,-39.20M,-33.61M,,-47.37M,,-138.25M,,2001-09,11.43M,1.258M,1.773M,,2001-09,,5.588M,,-39.20M,,2001-09,,
2001-06,120.00M,,,,12.31M,45.38M,134.37M,105.39M,105.39M,-0.34M,,,,,-241.50M,-38.79M,-11.04M,48.37M,30.39M,20.24M,-4.407M,40.62M,,2001-06,-21.22M,6.737M,-14.48M,,-38.47M,,-131.37M,,2001-06,,,175.53M,22.17M,-70.00M,-47.83M,,-47.68M,,79.96M,,2001-06,22.72M,-0.503M,11.43M,,2001-06,,22.17M,,-70.00M,,2001-06,,
2001-03,20.39M,,,,0.919M,,,74.35M,74.35M,0.709M,,,,,222.05M,-45.98M,,-176.10M,-30.39M,74.08M,-11.67M,128.36M,,2001-03,-19.86M,10.59M,-9.275M,,-107.79M,,-154.26M,,2001-03,,,75.69M,25.04M,-5.451M,19.59M,,-47.56M,,47.62M,,2001-03,3.171M,-2.169M,22.72M,,2001-03,,25.04M,,-5.451M,,2001-03,,
2000-12,20.57M,,,,87.48M,86.99M,275.33M,81.76M,81.76M,34.68M,,,,,185.40M,76.91M,,90.35M,-19.01M,-95.49M,-1.473M,432.30M,,2000-12,-44.58M,0.068M,-44.51M,,-26.73M,,-172.98M,,2000-12,,,-172.69M,8.081M,-81.98M,-73.90M,,-45.58M,,-294.30M,,2000-12,36.76M,1.391M,3.171M,,2000-12,,8.081M,,-81.98M,,2000-12,,
2000-09,301.12M,,,,-56.84M,-43.74M,-101.59M,135.24M,135.24M,-0.463M,,,,,-254.96M,34.69M,,57.99M,33.12M,37.37M,-6.349M,280.91M,,2000-09,-18.52M,3.20M,-15.32M,,-676.99M,,-751.30M,,2000-09,,,523.25M,24.83M,-1.385M,23.45M,,-45.66M,,500.92M,,2000-09,8.726M,-2.502M,36.76M,,2000-09,,24.83M,,-1.385M,,2000-09,,
2000-06,38.71M,,,,73.01M,43.74M,101.59M,86.14M,86.14M,-0.195M,,,,,-196.79M,-56.51M,,37.67M,20.21M,18.35M,3.199M,23.80M,,2000-06,-18.25M,0.00,-18.25M,,,,-86.87M,,2000-06,,,107.26M,10.29M,-5.639M,4.649M,,-45.57M,,66.24M,,2000-06,6.812M,-1.252M,8.726M,,2000-06,,10.29M,,-5.639M,,2000-06,,
2000-03,43.40M,,,,-4.525M,,,59.20M,59.20M,0.658M,,,,,149.31M,-55.10M,,-205.72M,-34.32M,41.26M,-10.42M,-16.26M,,2000-03,-16.38M,139.15M,122.77M,,,,86.93M,,2000-03,,,53.41M,2.115M,-78.61M,-76.50M,,-45.65M,,-69.62M,,2000-03,6.489M,-0.726M,6.812M,,2000-03,,2.115M,,-78.61M,,2000-03,,
1999-12,120.60M,,,,-8.80M,,,72.80M,72.80M,-8.30M,,,,0.10M,206.80M,16.00M,,103.00M,-11.80M,-81.20M,-3.70M,405.50M,,1999-12,-101.87M,65.00M,-36.87M,,45.92M,,-79.80M,,1999-12,,,-247.20M,6.80M,-49.80M,-43.00M,,-42.10M,,-333.70M,,1999-12,15.40M,-0.80M,6.50M,,1999-12,,6.80M,,-49.80M,,1999-12,,
1999-09,190.50M,,,,15.60M,,,113.50M,113.50M,,,,,0.10M,-362.10M,24.70M,,80.10M,-0.50M,108.80M,-20.60M,150.10M,,1999-09,21.87M,0.10M,21.97M,,-45.92M,,-86.50M,,1999-09,,,53.40M,1.70M,-84.60M,-82.90M,,-42.10M,,-71.90M,,1999-09,0.00,0.80M,15.40M,,1999-09,,1.70M,,-84.60M,,1999-09,,
1999-06,90.10M,,,,15.10M,,,69.20M,69.20M,0.20M,,,,0.50M,-167.30M,-35.20M,,72.10M,32.90M,49.90M,,127.50M,,1999-06,-89.90M,1.90M,-88.00M,,,,-155.90M,,1999-06,,,91.60M,6.70M,-39.40M,-32.70M,,-42.50M,,16.40M,,1999-06,0.00,-1.20M,0.00,,1999-06,,6.70M,,-39.40M,,1999-06,,
1999-03,24.40M,,,,8.50M,,,52.90M,52.90M,-0.20M,,,,-0.60M,166.20M,-16.00M,,-200.30M,-21.50M,11.60M,,25.00M,,1999-03,-51.50M,0.20M,-51.30M,,,,-78.30M,,1999-03,,,114.10M,7.60M,,7.60M,,-42.30M,,79.40M,,1999-03,10.50M,-0.50M,0.00,,1999-03,,7.60M,,,,1999-03,,
1998-12,71.90M,,,,37.10M,,,64.40M,64.40M,,,,,10.20M,108.70M,44.30M,,91.20M,-10.90M,-82.20M,,334.70M,,1998-12,-78.00M,0.10M,-77.90M,,,,-159.10M,,1998-12,,,-172.90M,6.50M,0.00,6.50M,,-38.30M,,-221.00M,,1998-12,55.90M,0.00,10.50M,,1998-12,,6.50M,,0.00,,1998-12,,
1998-09,169.40M,,,,14.90M,,,115.40M,115.40M,,,,,-2.20M,-198.00M,36.10M,,74.60M,1.40M,41.10M,,252.70M,,1998-09,-65.30M,35.70M,-29.60M,,,,-74.30M,,1998-09,,,-34.60M,1.40M,-82.90M,-81.50M,,-36.60M,,-153.40M,,1998-09,0.00,-1.70M,55.90M,,1998-09,,1.40M,,-82.90M,,1998-09,,
1998-06,77.90M,,,,9.50M,,,67.80M,67.80M,-2.50M,,,,6.50M,-137.60M,-40.40M,,60.00M,13.80M,43.20M,,98.20M,,1998-06,-47.90M,30.70M,-17.20M,,,26.30M,-60.00M,,1998-06,,,53.20M,5.30M,-22.70M,-17.40M,,-40.90M,,-8.30M,,1998-06,0.00,0.90M,0.00,,1998-06,,5.30M,,-22.70M,,1998-06,,
