,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.562B,3.562B,825.00M,2.737B,2.026B,-6.00M,45.00M,14.00M,-31.00M,,2.026B,711.00M,14.00M,45.00M,-31.00M,-9.00M,-31.00M,671.00M,146.00M,525.00M,,,-2.00M,,523.00M,156.00M,716.00M,,2020-09,1.44,1.453,1.44,,2020-09,1.42,1.433,1.42,,367.20M,0.48,,2020-09,AOR,
2020-06,2.43B,2.43B,767.00M,1.663B,1.884B,-322.00M,49.00M,7.00M,-42.00M,,1.884B,-221.00M,7.00M,49.00M,-42.00M,-342.00M,-42.00M,-605.00M,-146.00M,-459.00M,,,-3.00M,,-462.00M,164.00M,-556.00M,,2020-06,-1.28,-0.6025,-1.28,,2020-06,-1.28,-0.6131,-1.28,,366.30M,0.00,,2020-06,AOR,
2020-03,3.345B,3.345B,836.00M,2.509B,2.03B,-370.00M,42.00M,14.00M,-28.00M,,2.03B,479.00M,14.00M,42.00M,-28.00M,-371.00M,-28.00M,80.00M,84.00M,-4.00M,,,-2.00M,,-6.00M,160.00M,122.00M,,2020-03,-0.02,0.7299,-0.02,,2020-03,-0.02,0.7299,-0.02,,360.20M,0.48,,2020-03,AOR,
2019-12,4.624B,4.624B,1.041B,3.583B,2.538B,-784.00M,38.00M,13.00M,-25.00M,,2.538B,1.045B,13.00M,38.00M,-25.00M,-209.00M,-25.00M,811.00M,250.00M,561.00M,,,-4.00M,,557.00M,144.00M,849.00M,,2019-12,1.55,3.056,1.55,,2019-12,1.52,2.999,1.52,,366.70M,0.48,,2019-12,AOR,
2019-09,3.895B,3.895B,908.00M,2.987B,2.185B,-23.00M,32.00M,14.00M,-18.00M,,2.185B,802.00M,14.00M,32.00M,-18.00M,-24.00M,-18.00M,760.00M,162.00M,598.00M,,,-3.00M,,595.00M,143.00M,792.00M,,2019-09,1.65,1.700,1.65,,2019-09,1.61,1.659,1.61,,368.60M,0.43,,2019-09,AOR,Restated
2019-06,3.59B,3.59B,835.00M,2.755B,2.422B,-117.00M,32.00M,16.00M,-16.00M,,2.422B,333.00M,16.00M,32.00M,-16.00M,-118.00M,-16.00M,199.00M,41.00M,158.00M,,,-1.00M,,157.00M,153.00M,231.00M,,2019-06,0.43,0.6866,0.43,,2019-06,0.43,0.6818,0.43,,368.90M,0.43,,2019-06,AOR,Restated
2019-03,3.744B,3.744B,819.00M,2.925B,2.17B,-81.00M,32.00M,15.00M,-17.00M,,2.17B,755.00M,15.00M,32.00M,-17.00M,-11.00M,-17.00M,727.00M,170.00M,557.00M,,,-2.00M,,555.00M,135.00M,759.00M,,2019-03,1.53,1.701,1.53,,2019-03,1.51,1.678,1.51,,368.30M,0.43,,2019-03,AOR,Restated
2018-12,4.005B,4.005B,910.00M,3.095B,2.257B,-67.00M,35.00M,12.00M,-23.00M,,2.257B,838.00M,12.00M,35.00M,-23.00M,-67.00M,-23.00M,748.00M,171.00M,577.00M,,,-4.00M,,573.00M,137.00M,783.00M,,2018-12,1.58,1.722,1.58,,2018-12,1.55,1.690,1.55,,369.90M,0.43,,2018-12,AOR,Restated
2018-09,3.524B,3.524B,823.00M,2.701B,2.008B,-41.00M,34.00M,15.00M,-19.00M,,2.008B,693.00M,15.00M,34.00M,-19.00M,-41.00M,-19.00M,633.00M,131.00M,502.00M,,,-2.00M,,500.00M,132.00M,667.00M,,2018-09,1.36,1.449,1.36,,2018-09,1.34,1.427,1.34,,374.40M,0.38,,2018-09,AOR,Restated
2018-06,3.295B,3.295B,697.00M,2.598B,2.287B,-33.00M,32.00M,16.00M,-16.00M,,2.287B,311.00M,16.00M,32.00M,-16.00M,-34.00M,-16.00M,261.00M,73.00M,188.00M,,,-2.00M,,186.00M,142.00M,293.00M,,2018-06,0.51,0.5748,0.51,,2018-06,0.49,0.5533,0.49,,375.70M,0.38,,2018-06,AOR,Restated
