,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.055B,1.055B,806.50M,248.40M,169.00M,,,12.10M,1.00M,-11.10M,,169.00M,79.40M,1.00M,12.10M,-11.10M,1.00M,-11.10M,69.40M,13.10M,56.30M,,56.30M,56.30M,156.60M,75.10M,81.50M,,0.49,,0.49,0.49,,0.48,,0.48,0.48,,115.70M,117.80M,0.575,,AOR,
2020-09,1.017B,1.017B,787.10M,230.30M,151.70M,,,15.00M,0.60M,-14.40M,,151.70M,78.60M,0.60M,15.00M,-14.40M,9.50M,-14.40M,73.60M,7.80M,65.80M,,65.80M,65.80M,162.60M,74.00M,88.60M,,0.57,,0.57,0.57,,0.56,,0.56,0.56,,115.30M,117.40M,0.575,,AOR,
2020-06,1.362B,1.362B,884.20M,477.70M,178.90M,,,16.20M,0.50M,-15.70M,,178.90M,298.80M,0.50M,16.20M,-15.70M,11.60M,-15.70M,294.70M,65.00M,229.70M,,229.70M,229.70M,386.80M,75.90M,310.90M,,2.00,,2.00,2.00,,1.97,,1.97,1.97,,115.00M,116.70M,0.54,,AOR,
2020-03,1.250B,1.250B,872.50M,377.40M,151.10M,,,16.70M,0.50M,-16.20M,,151.10M,226.30M,0.50M,16.70M,-16.20M,0.40M,-16.20M,210.50M,43.60M,166.90M,,166.80M,166.80M,301.10M,73.90M,227.20M,,1.46,,1.46,1.46,,1.43,,1.43,1.43,,114.60M,117.00M,0.54,,AOR,
2019-12,968.70M,968.70M,780.90M,187.80M,161.00M,,,15.50M,1.60M,-13.90M,,161.00M,26.80M,1.60M,15.50M,-13.90M,-2.40M,-13.90M,10.50M,0.40M,10.10M,,10.10M,10.10M,104.10M,78.10M,26.00M,,0.09,,0.09,0.09,,0.09,,0.09,0.09,,114.70M,117.20M,0.54,,AOR,Restated
2019-09,948.60M,948.60M,727.50M,221.10M,148.00M,,,14.20M,1.00M,-13.20M,,148.00M,73.10M,1.00M,14.20M,-13.20M,3.80M,-13.20M,63.80M,7.90M,55.90M,,55.90M,55.90M,149.40M,71.40M,78.00M,,0.49,,0.49,0.49,,0.48,,0.48,0.48,,114.40M,117.10M,0.54,,AOR,Restated
2019-06,1.211B,1.211B,811.60M,399.60M,158.80M,,,12.60M,1.30M,-11.30M,,158.80M,240.80M,1.30M,12.60M,-11.30M,0.60M,-11.30M,230.10M,46.80M,183.30M,,183.30M,183.30M,307.90M,65.20M,242.70M,,1.59,,1.59,1.59,,1.55,,1.55,1.55,,115.30M,117.90M,0.485,,AOR,Restated
2019-03,1.225B,1.225B,847.30M,377.50M,143.90M,,,11.70M,1.70M,-10.00M,,143.90M,233.60M,1.70M,11.70M,-10.00M,,-10.00M,223.60M,51.40M,172.20M,,172.20M,172.20M,299.80M,64.50M,235.30M,,1.49,,1.49,1.49,,1.45,,1.45,1.45,,115.70M,118.50M,0.485,,AOR,Restated
2018-12,953.40M,953.40M,734.00M,219.40M,141.20M,,,11.30M,0.60M,-10.70M,,141.20M,78.20M,0.60M,11.30M,-10.70M,-3.20M,-10.70M,64.30M,14.40M,49.90M,,49.90M,49.90M,141.20M,65.60M,75.60M,,0.43,,0.43,0.43,,0.42,,0.42,0.42,,116.30M,119.10M,0.485,,AOR,Restated
2018-09,972.80M,972.80M,739.00M,233.80M,133.70M,,,10.20M,0.60M,-9.60M,,133.70M,100.10M,0.60M,10.20M,-9.60M,-1.20M,-9.60M,89.30M,12.60M,76.70M,,76.70M,76.70M,164.20M,64.70M,99.50M,,0.66,,0.66,0.66,,0.64,,0.64,0.64,,116.40M,119.70M,0.485,,AOR,Restated
2018-06,1.320B,1.320B,869.60M,450.80M,184.70M,,,11.10M,1.10M,-10.00M,,184.70M,266.10M,1.10M,11.10M,-10.00M,1.80M,-10.00M,258.00M,51.20M,206.80M,,206.80M,206.80M,325.50M,56.40M,269.10M,,1.76,,1.76,1.76,,1.72,,1.72,1.72,,117.10M,120.70M,0.365,,AOR,Restated
2018-03,1.072B,1.072B,802.50M,269.40M,138.60M,,,10.50M,1.50M,-9.00M,,138.60M,130.80M,1.50M,10.50M,-9.00M,3.40M,-9.00M,125.20M,16.20M,109.00M,,109.10M,110.23M,189.20M,53.50M,135.70M,,0.93,,0.9397,0.93,,0.90,,0.9094,0.90,,116.90M,120.90M,0.365,,AOR,Restated
2017-12,1.013B,1.013B,769.30M,243.50M,127.70M,,,10.80M,0.60M,-10.20M,,127.70M,115.80M,0.60M,10.80M,-10.20M,-2.30M,-10.20M,103.50M,41.40M,62.10M,,62.10M,63.00M,166.50M,52.20M,114.30M,,0.53,,0.5377,0.53,,0.52,,0.5275,0.52,,116.60M,120.30M,0.365,,AOR,Restated
2017-09,924.80M,924.80M,726.00M,198.80M,113.50M,,,10.00M,0.60M,-9.40M,,113.50M,85.30M,0.60M,10.00M,-9.40M,-1.50M,-9.40M,74.30M,24.40M,49.90M,,49.90M,50.37M,134.20M,49.90M,84.30M,,0.43,,0.4340,0.43,,0.42,,0.4239,0.42,,116.50M,119.80M,0.365,,AOR,Restated
2017-06,1.346B,1.346B,908.40M,437.40M,137.90M,,,11.30M,0.50M,-10.80M,,137.90M,299.50M,0.50M,11.30M,-10.80M,-3.90M,-10.80M,284.60M,97.60M,187.00M,,187.10M,187.10M,344.50M,48.60M,295.90M,,1.60,,1.60,1.60,,1.57,,1.57,1.57,,117.10M,119.30M,0.33,,AOR,Restated
2017-03,1.009B,1.009B,773.70M,235.20M,125.50M,,,11.70M,0.90M,-10.80M,,125.50M,109.70M,0.90M,11.70M,-10.80M,7.40M,-10.80M,106.30M,30.40M,75.90M,,75.90M,76.19M,164.40M,46.40M,118.00M,,0.64,,0.6424,0.64,,0.63,,0.6324,0.63,,117.80M,120.70M,0.33,,AOR,Restated
2016-12,892.60M,892.60M,707.80M,184.80M,126.00M,,,11.00M,0.30M,-10.70M,,126.00M,58.80M,0.30M,11.00M,-10.70M,-2.50M,-10.70M,45.70M,15.60M,30.10M,,30.10M,30.50M,104.10M,47.40M,56.70M,,0.25,,0.2533,0.25,,0.25,,0.2533,0.25,,118.70M,121.50M,0.33,,AOR,Restated
2016-09,895.30M,895.30M,717.90M,177.40M,111.30M,,,10.70M,0.40M,-10.30M,,111.30M,66.10M,0.40M,10.70M,-10.30M,-4.20M,-10.30M,51.50M,17.90M,33.60M,,33.70M,35.20M,102.00M,39.80M,62.20M,,0.28,,0.2927,0.28,,0.28,,0.2923,0.28,,118.50M,121.60M,0.33,,AOR,Restated
2016-06,974.50M,974.50M,586.30M,388.20M,117.90M,,,7.30M,0.70M,-6.60M,,117.90M,270.30M,0.70M,7.30M,-6.60M,-1.20M,-6.60M,262.50M,92.50M,170.00M,,170.10M,170.88M,308.10M,38.30M,269.80M,,1.44,,1.447,1.44,,1.40,,1.406,1.40,,118.30M,121.00M,0.30,,AOR,Restated
2016-03,688.80M,688.80M,486.50M,202.30M,101.70M,,,7.40M,0.90M,-6.50M,,101.70M,100.60M,0.90M,7.40M,-6.50M,-0.70M,-6.50M,93.40M,29.70M,63.70M,,63.70M,63.22M,129.00M,28.20M,100.80M,,0.54,,0.5360,0.54,,0.52,,0.5161,0.52,,118.20M,121.70M,0.30,,AOR,Restated
2015-12,638.90M,638.90M,464.50M,174.40M,104.20M,,,7.00M,0.50M,-6.50M,,104.20M,70.20M,0.50M,7.00M,-6.50M,-2.40M,-6.50M,61.30M,21.10M,40.20M,,40.20M,40.40M,95.80M,27.50M,68.30M,,0.34,,0.3417,0.34,,0.33,,0.3316,0.33,,118.50M,122.00M,0.30,,AOR,Restated
2015-09,594.70M,594.70M,438.60M,156.10M,97.10M,,,6.80M,0.50M,-6.30M,,97.10M,59.00M,0.50M,6.80M,-6.30M,-1.20M,-6.30M,51.70M,18.10M,33.60M,,33.50M,33.24M,85.50M,27.00M,58.50M,,0.28,,0.2778,0.28,,0.28,,0.2779,0.28,,118.30M,121.70M,0.30,,AOR,Restated
2015-06,929.60M,929.60M,555.10M,374.50M,112.80M,,,6.60M,0.60M,-6.00M,,112.80M,261.70M,0.60M,6.60M,-6.00M,-0.30M,-6.00M,255.40M,89.50M,165.90M,,165.90M,165.90M,288.90M,26.90M,262.00M,,1.38,,1.38,1.38,,1.35,,1.35,1.35,,119.00M,122.80M,0.27,,AOR,Restated
2015-03,634.20M,634.20M,452.60M,181.60M,92.60M,,,6.40M,0.80M,-5.60M,,92.60M,89.00M,0.80M,6.40M,-5.60M,-1.50M,-5.60M,81.90M,27.90M,54.00M,,54.00M,53.87M,114.90M,26.60M,88.30M,,0.45,,0.4489,0.45,,0.43,,0.4289,0.43,,120.60M,125.00M,0.27,,AOR,Restated
2014-12,574.60M,574.60M,414.00M,160.60M,101.50M,,,6.20M,0.80M,-5.40M,,101.50M,59.10M,0.80M,6.20M,-5.40M,-2.10M,-5.40M,51.60M,16.90M,34.70M,,34.70M,34.83M,83.30M,25.50M,57.80M,,0.29,,0.2911,0.29,,0.28,,0.2811,0.28,,120.20M,124.40M,0.27,,AOR,Restated
2014-09,555.80M,555.80M,406.50M,149.30M,92.20M,,,6.20M,0.60M,-5.60M,,92.20M,57.10M,0.60M,6.20M,-5.60M,-1.50M,-5.60M,50.00M,17.50M,32.50M,,32.50M,32.50M,81.50M,25.30M,56.20M,,0.27,,0.27,0.27,,0.26,,0.26,0.26,,119.80M,123.90M,0.27,,AOR,Restated
2014-06,885.90M,885.90M,551.20M,334.70M,123.30M,,,6.70M,0.40M,-6.30M,,123.30M,211.40M,0.40M,6.70M,-6.30M,1.50M,-6.30M,206.60M,66.40M,140.20M,,140.20M,140.74M,238.90M,25.60M,213.30M,,1.17,,1.175,1.17,,1.13,,1.134,1.13,,120.50M,124.40M,0.21,,AOR,Restated
2014-03,606.30M,606.30M,427.60M,178.70M,95.60M,,,6.20M,0.70M,-5.50M,,95.60M,83.10M,0.70M,6.20M,-5.50M,-0.70M,-5.50M,76.90M,26.10M,50.80M,,50.80M,50.87M,108.50M,25.40M,83.10M,,0.42,,0.4206,0.42,,0.41,,0.4105,0.41,,119.70M,124.80M,0.21,,AOR,Restated
