,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,365.60M,365.60M,,365.60M,625.00M,,625.00M,157.90M,1.148B,,,,423.00M,,423.00M,,423.00M,1.706B,543.00M,2.249B,173.40M,,86.30M,696.60M,81.80M,3.710B,4.858B,,131.60M,49.30M,22.30M,57.20M,260.40M,123.90M,384.30M,,,40.20M,40.20M,182.00M,182.00M,,837.90M,1.771B,257.90M,2.028B,140.70M,176.00M,316.70M,155.80M,46.40M,2.586B,3.424B,,1.60M,2.292B,1.220B,2.022B,,,,-57.10M,1.434B,,AOR,
2020-09,356.60M,356.60M,,356.60M,619.10M,,619.10M,144.30M,1.12B,,,,426.20M,,426.20M,,426.20M,1.701B,560.50M,2.262B,159.40M,,85.80M,623.90M,72.40M,3.630B,4.750B,,120.00M,66.40M,22.50M,68.30M,277.20M,121.20M,398.40M,,,40.70M,40.70M,148.30M,148.30M,,744.00M,1.776B,268.70M,2.045B,134.80M,172.50M,307.30M,150.70M,50.80M,2.592B,3.336B,,1.60M,2.302B,1.198B,2.026B,,,,-62.90M,1.414B,,AOR,
2020-06,476.60M,476.60M,,476.60M,711.30M,,711.30M,140.10M,1.328B,2.60M,,466.00M,292.60M,,761.20M,-307.00M,454.20M,1.674B,583.60M,2.258B,141.60M,,81.90M,562.70M,63.00M,3.562B,4.890B,,151.80M,62.20M,38.50M,68.60M,321.10M,168.90M,490.00M,399.90M,399.90M,35.30M,435.20M,155.70M,155.70M,,1.341B,1.388B,288.30M,1.676B,126.80M,175.40M,302.20M,144.30M,42.10M,2.202B,3.543B,,1.60M,2.303B,1.178B,2.036B,,,,-100.40M,1.347B,,AOR,
2020-03,402.00M,402.00M,,402.00M,814.70M,,814.70M,144.30M,1.361B,,,,451.50M,,451.50M,,451.50M,1.704B,611.40M,2.316B,134.30M,,77.50M,503.70M,69.70M,3.553B,4.914B,,146.50M,61.80M,28.30M,69.90M,306.50M,127.90M,434.40M,399.80M,399.80M,32.30M,432.10M,175.40M,175.40M,,1.255B,1.680B,294.60M,1.974B,112.80M,159.70M,272.50M,140.20M,30.60M,2.456B,3.711B,,1.60M,2.135B,1.169B,2.036B,-11.90M,-55.40M,0.10M,-67.20M,1.203B,,AOR,
2019-12,234.00M,234.00M,,234.00M,616.00M,,616.00M,160.60M,1.011B,,,,373.30M,,373.30M,,373.30M,1.661B,611.20M,2.272B,136.70M,,67.50M,459.30M,65.20M,3.374B,4.385B,,92.70M,62.00M,22.10M,80.80M,257.60M,112.40M,370.00M,399.50M,399.50M,29.90M,429.40M,151.80M,151.80M,,1.125B,1.449B,222.90M,1.672B,98.90M,150.30M,249.20M,140.00M,31.90M,2.134B,3.259B,,1.60M,2.030B,1.150B,1.989B,-12.20M,-55.50M,,-67.70M,1.125B,,AOR,Restated
2019-09,358.30M,358.30M,,358.30M,600.70M,,600.70M,136.10M,1.095B,,,,414.30M,,414.30M,,414.30M,1.495B,546.80M,2.042B,133.20M,,60.50M,412.20M,62.80M,3.125B,4.220B,,89.60M,38.10M,22.30M,61.10M,211.10M,110.50M,321.60M,399.40M,399.40M,29.90M,429.30M,148.70M,148.70M,,1.041B,1.369B,214.90M,1.584B,96.00M,154.70M,250.70M,136.00M,24.70M,2.036B,3.076B,,1.60M,2.082B,1.131B,1.992B,-12.60M,-66.90M,,-79.50M,1.144B,,AOR,Restated
2019-06,273.20M,273.20M,,273.20M,664.00M,,664.00M,105.10M,1.042B,2.60M,,610.20M,,,612.80M,-423.90M,188.90M,1.50B,556.20M,2.056B,100.40M,,47.50M,379.20M,65.90M,2.838B,3.881B,,133.70M,55.40M,68.90M,46.60M,304.60M,140.10M,444.70M,,,0.00,0.00,125.70M,125.70M,,802.60M,1.470B,0.00,1.470B,86.70M,160.70M,247.40M,130.80M,61.40M,1.950B,2.753B,,1.60M,2.088B,1.109B,2.000B,,,,-71.20M,1.128B,,AOR,Restated
2019-03,292.10M,292.10M,,292.10M,792.80M,,792.80M,110.50M,1.195B,,,,183.40M,,183.40M,,183.40M,1.257B,427.10M,1.684B,93.70M,,37.50M,340.80M,67.60M,2.407B,3.602B,,151.90M,56.10M,23.80M,58.40M,290.20M,79.10M,369.30M,,,,,146.10M,146.10M,,705.20M,1.174B,,1.174B,100.90M,158.60M,259.50M,,197.20M,1.631B,2.336B,,1.60M,1.960B,1.108B,1.739B,,,,-64.10M,1.266B,,AOR,Restated
2018-12,249.70M,249.70M,,249.70M,607.40M,,607.40M,109.30M,966.40M,,,,187.90M,,187.90M,,187.90M,1.254B,445.40M,1.700B,85.00M,,35.90M,316.40M,66.30M,2.391B,3.358B,,137.50M,56.10M,18.30M,55.40M,267.30M,50.50M,317.80M,,,,,130.90M,130.90M,,597.90M,1.194B,,1.194B,74.00M,169.20M,243.20M,,199.80M,1.637B,2.235B,,1.60M,1.844B,1.088B,1.741B,,,,-69.20M,1.123B,,AOR,Restated
2018-09,204.60M,204.60M,,204.60M,650.10M,,650.10M,113.20M,967.90M,,,,192.50M,,192.50M,,192.50M,1.258B,470.80M,1.729B,88.60M,,37.40M,303.00M,63.50M,2.414B,3.382B,,128.40M,56.50M,16.60M,53.70M,255.20M,53.80M,309.00M,,,,,137.80M,137.80M,,573.20M,1.144B,,1.144B,84.20M,138.60M,222.80M,,208.00M,1.574B,2.148B,,1.60M,1.85B,1.069B,1.623B,,,,-63.50M,1.234B,,AOR,Restated
