,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,56.30M,,,15.90M,59.20M,75.10M,75.10M,6.20M,,1.90M,18.30M,,-12.90M,-0.80M,80.40M,-13.50M,,-83.50M,-17.40M,,127.50M,,-26.80M,-11.00M,0.00,,-8.40M,-35.20M,,-7.80M,,-7.80M,,0.00,0.00,-66.30M,-66.30M,6.50M,-16.30M,-83.90M,,356.60M,8.30M,0.70M,365.60M,,,130.00M,-137.80M,0.00,14.20M,21.30M,,AOR,
2020-09,65.80M,,,15.40M,58.60M,74.00M,74.00M,4.70M,,31.70M,10.40M,,-16.10M,101.10M,-220.60M,-22.20M,,-73.00M,-214.70M,,-44.20M,,-24.00M,-9.70M,0.00,,15.30M,-8.70M,,-20.00M,,-20.00M,,-0.80M,-0.80M,-62.20M,-62.20M,21.10M,-10.80M,-72.70M,,476.60M,-125.50M,5.50M,356.60M,,,530.00M,-550.00M,-0.80M,45.80M,9.90M,,AOR,
2020-06,229.70M,,,17.30M,58.60M,75.90M,75.90M,19.30M,,-1.70M,13.20M,,-10.90M,109.20M,81.30M,3.80M,,-77.20M,117.10M,,442.60M,,-25.20M,-11.00M,0.00,,11.40M,-13.80M,,-285.60M,,-285.60M,,-18.80M,-18.80M,-61.80M,-61.80M,15.40M,0.40M,-350.40M,,402.10M,78.40M,-3.90M,476.60M,,,46.60M,-332.20M,-18.80M,27.80M,20.70M,,AOR,
2020-03,166.80M,,,15.10M,58.80M,73.90M,73.90M,10.50M,,0.30M,17.30M,,-3.20M,-195.90M,132.30M,16.80M,,-74.70M,-121.50M,,144.10M,,-30.50M,-13.60M,-69.50M,,3.30M,-96.70M,,230.40M,,230.40M,,-50.50M,-50.50M,-62.00M,-62.00M,4.80M,-1.60M,121.10M,,234.00M,168.50M,-0.40M,402.10M,,,349.20M,-118.80M,-50.50M,12.50M,10.30M,,AOR,
2019-12,10.10M,,,20.90M,57.20M,78.10M,78.10M,-8.30M,,31.80M,18.50M,,-1.80M,-10.60M,35.50M,-5.10M,,-50.30M,-30.50M,,97.90M,,-22.70M,-5.20M,-221.50M,,-0.70M,-244.90M,,86.80M,,86.80M,,0.00,0.00,-61.80M,-61.80M,3.10M,-5.70M,22.40M,,358.30M,-124.50M,0.20M,234.00M,,,888.60M,-801.80M,0.00,19.10M,13.90M,,AOR,Restated
2019-09,55.90M,,,20.50M,50.90M,71.40M,71.40M,7.50M,,0.00,11.80M,,-11.00M,63.80M,-190.50M,-33.40M,,-61.90M,-222.00M,,-86.40M,,-20.30M,-6.20M,-48.10M,,-17.90M,-86.30M,,297.50M,,297.50M,,0.00,0.00,-55.40M,-55.40M,18.50M,-2.50M,258.10M,,273.20M,85.30M,-0.20M,358.30M,,,337.50M,-40.00M,0.00,41.50M,13.60M,,AOR,Restated
2019-06,183.30M,,,21.50M,43.70M,65.20M,65.20M,-20.90M,,0.00,11.60M,,-10.40M,139.10M,44.20M,6.00M,,-19.00M,170.30M,,399.10M,,-26.20M,-6.50M,-354.70M,,-3.50M,-384.40M,,295.70M,,295.70M,,-277.50M,-277.50M,-56.10M,-56.10M,7.50M,-3.90M,-34.30M,,292.10M,-19.70M,0.80M,273.20M,,,433.10M,-137.40M,-277.50M,36.90M,12.20M,,AOR,Restated
2019-03,172.20M,,,21.20M,43.30M,64.50M,64.50M,27.40M,,0.00,17.40M,,-13.60M,-185.00M,103.30M,-1.20M,,-49.20M,-132.10M,,135.80M,,-16.10M,-6.20M,0.00,,-1.00M,-17.10M,,-20.00M,,-20.00M,,0.00,0.00,-56.10M,-56.10M,4.50M,-5.30M,-76.90M,,249.80M,41.90M,0.40M,292.10M,,,160.00M,-180.00M,0.00,21.00M,10.60M,,AOR,Restated
2018-12,49.90M,,,21.30M,44.30M,65.60M,65.60M,-8.60M,,0.00,18.70M,,-8.20M,12.00M,40.90M,-7.50M,,14.80M,60.20M,,177.60M,,-14.80M,-2.50M,0.00,,-0.90M,-15.70M,,50.00M,,50.00M,,-119.20M,-119.20M,-56.50M,-56.50M,11.50M,-1.90M,-116.10M,,204.70M,45.80M,-0.70M,249.80M,,,90.00M,-40.00M,-119.20M,31.40M,11.10M,,AOR,Restated
2018-09,76.70M,,,21.20M,43.50M,64.70M,64.70M,-1.40M,,,10.70M,,-5.30M,-1.00M,-199.30M,-4.60M,,-36.00M,-240.90M,,-95.50M,,-15.50M,-6.80M,0.00,,-0.80M,-16.30M,,90.00M,,90.00M,,-1.10M,-1.10M,-42.50M,-42.50M,7.60M,0.20M,54.20M,,263.90M,-57.60M,-1.60M,204.70M,,,120.00M,-30.00M,-1.10M,30.20M,9.50M,,AOR,Restated
2018-06,206.80M,,,21.40M,35.00M,56.40M,56.40M,12.20M,,,15.90M,,-6.00M,102.70M,86.80M,25.70M,,-81.70M,133.50M,,418.80M,,-27.20M,-5.30M,-45.30M,,0.80M,-71.70M,,-150.00M,,-150.00M,,-247.30M,-247.30M,-42.80M,-42.80M,13.90M,-3.50M,-429.70M,,352.10M,-82.50M,-5.70M,263.90M,,,80.00M,-230.00M,-247.30M,25.30M,10.90M,,AOR,Restated
2018-03,109.10M,,,20.70M,32.80M,53.50M,53.50M,-10.30M,,,14.50M,,-13.40M,-139.30M,70.30M,-27.10M,,75.60M,-20.50M,-141.80M,-8.90M,,-58.20M,-45.50M,-32.80M,,-1.20M,-92.20M,,-20.00M,,-20.00M,,-26.80M,-26.80M,-42.60M,-42.60M,33.70M,0.10M,-55.60M,,366.50M,-14.90M,0.50M,352.10M,,,70.00M,-90.00M,-26.80M,27.40M,9.70M,,AOR,Restated
2017-12,62.10M,,,20.60M,31.60M,52.20M,52.20M,-6.10M,,,16.20M,,0.40M,50.10M,18.00M,11.80M,,30.50M,110.40M,141.80M,377.00M,,-16.50M,-4.10M,-26.50M,,-1.20M,-44.20M,,-70.00M,,-70.00M,,-0.70M,-0.70M,-42.50M,-42.50M,2.60M,-0.10M,-110.70M,,288.80M,80.10M,-2.40M,366.50M,,,0.00,-70.00M,-0.70M,46.50M,10.60M,,AOR,Restated
2017-09,49.90M,,,19.40M,30.50M,49.90M,49.90M,-5.10M,,,8.50M,,-2.10M,-32.10M,-165.50M,-18.00M,,21.20M,-194.40M,,-93.30M,,-36.00M,-6.30M,-3.70M,,-1.50M,-41.20M,,190.00M,,190.00M,,-2.30M,-2.30M,-37.90M,-37.90M,1.80M,-5.50M,146.10M,,271.10M,11.70M,6.00M,288.80M,,,190.00M,0.00,-2.30M,78.40M,9.30M,,AOR,Restated
2017-06,187.10M,,,17.40M,31.20M,48.60M,48.60M,1.40M,,,11.40M,-11.60M,-1.50M,70.20M,116.70M,65.60M,,-134.20M,118.30M,,353.70M,,-44.20M,-10.50M,3.90M,,-6.00M,-46.30M,,-163.20M,,-163.20M,,-130.20M,-130.20M,-38.60M,-38.60M,15.50M,9.70M,-306.80M,,269.50M,0.80M,0.80M,271.10M,,,145.00M,-308.20M,-130.20M,25.70M,13.60M,,AOR,Restated
2017-03,75.90M,,,16.70M,29.70M,46.40M,46.40M,-7.20M,,,11.90M,-7.00M,-7.90M,-143.90M,120.80M,-37.20M,,115.80M,55.50M,,167.60M,,-37.50M,-5.70M,-21.20M,,-0.90M,-59.60M,,58.20M,,58.20M,,-111.40M,-111.40M,-39.60M,-39.60M,11.40M,6.30M,-75.10M,,235.70M,32.90M,0.90M,269.50M,,,125.00M,-66.80M,-111.40M,12.80M,8.70M,,AOR,Restated
2016-12,30.10M,,,17.00M,30.40M,47.40M,47.40M,-1.10M,,,14.00M,-1.10M,12.90M,-15.10M,24.30M,4.70M,,-22.10M,-8.20M,,81.90M,,-17.20M,-4.50M,-27.80M,,,-45.00M,,80.00M,,80.00M,,-61.20M,-61.20M,-38.50M,-38.50M,-7.40M,1.20M,-25.90M,,227.40M,10.90M,-2.60M,235.70M,,,120.00M,-40.00M,-61.20M,19.90M,12.80M,,AOR,Restated
2016-09,33.70M,,,17.50M,22.30M,39.80M,39.80M,-7.80M,,,8.80M,-20.90M,-12.10M,44.40M,-126.40M,-27.50M,,-31.50M,-141.00M,,-87.40M,,-104.80M,-97.60M,-403.60M,,,-508.40M,,110.00M,,110.00M,,-40.00M,-40.00M,-35.50M,-35.50M,41.40M,20.20M,96.10M,,727.70M,-499.60M,-0.70M,227.40M,,,110.00M,,-40.00M,55.00M,8.00M,,AOR,Restated
2016-06,170.10M,,,13.40M,24.90M,38.30M,38.30M,14.70M,,,8.60M,-10.20M,-16.20M,50.70M,82.90M,39.40M,,-101.70M,71.30M,,276.60M,,-19.40M,-4.80M,-34.30M,,-5.00M,-58.70M,,202.90M,,202.90M,,-22.80M,-22.80M,-35.20M,-35.20M,3.80M,-1.20M,147.50M,,354.40M,365.30M,8.00M,727.70M,,,597.90M,-395.00M,-22.80M,33.20M,4.60M,,AOR,Restated
2016-03,63.60M,,,13.40M,14.80M,28.20M,28.20M,-6.80M,,,12.30M,-5.60M,-2.60M,-92.70M,75.00M,-31.40M,,78.50M,29.40M,,118.50M,,-19.20M,-4.80M,-3.60M,,-3.40M,-26.20M,,65.00M,,65.00M,,-86.40M,-86.40M,-35.60M,-35.60M,10.00M,5.60M,-41.40M,,305.10M,50.80M,-1.50M,354.40M,,,105.00M,-40.00M,-86.40M,10.60M,9.10M,,AOR,Restated
2015-12,40.30M,,,13.40M,14.10M,27.50M,27.50M,-5.00M,,,13.20M,-4.10M,5.30M,0.00,17.40M,-14.60M,,-12.80M,-10.00M,,67.20M,,-19.10M,-5.30M,-14.80M,,,-33.90M,,20.00M,,20.00M,,-7.60M,-7.60M,-35.40M,-35.40M,7.90M,3.90M,-11.20M,,286.30M,22.20M,-3.40M,305.10M,,,40.00M,-20.00M,-7.60M,48.60M,4.50M,,AOR,Restated
