,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,82.60M,82.60M,362.10M,55.60M,417.70M,213.00M,65.70M,123.00M,401.70M,58.30M,,3.20M,963.50M,0.00,34.70M,190.70M,640.70M,78.00M,54.20M,998.30M,-629.20M,369.10M,2.330B,323.30M,2.653B,,,49.40M,68.60M,3.14B,2020-09,276.60M,31.70M,22.80M,331.10M,197.30M,528.40M,,20.20M,20.20M,21.70M,21.70M,141.60M,818.90M,805.20M,62.40M,867.60M,112.00M,,131.80M,94.50M,27.80M,1.235B,2.054B,,2020-09,1.70M,,,,,-212.30M,2.050B,,2020-09,AOR,
2020-06,90.60M,90.60M,401.80M,49.50M,451.30M,209.60M,66.00M,120.90M,396.50M,59.50M,,3.80M,1.002B,0.00,33.90M,186.60M,627.90M,81.10M,50.30M,979.80M,-614.00M,365.80M,2.302B,325.40M,2.628B,,7.00M,47.50M,66.60M,3.114B,2020-06,256.00M,31.50M,32.00M,319.50M,159.90M,479.40M,,20.20M,20.20M,21.00M,21.00M,152.10M,750.60M,1.013B,64.80M,1.078B,112.10M,,130.40M,95.10M,0.00,1.416B,2.166B,,2020-06,1.70M,,,,,-214.80M,1.950B,,2020-06,AOR,
2020-03,169.30M,169.30M,665.00M,45.50M,710.50M,201.00M,66.30M,125.10M,392.40M,63.60M,,3.80M,1.340B,0.00,32.70M,184.30M,611.00M,81.10M,53.40M,962.50M,-600.70M,361.80M,2.257B,326.50M,2.583B,,32.80M,44.20M,65.00M,3.087B,2020-03,268.20M,31.50M,4.30M,304.00M,127.20M,431.20M,,18.80M,18.80M,19.50M,19.50M,145.30M,682.80M,1.450B,64.20M,1.515B,114.50M,,130.20M,95.70M,0.00,1.851B,2.534B,,2020-03,1.70M,,,,,-225.20M,1.892B,,2020-03,AOR,
2019-12,82.50M,82.50M,502.90M,41.00M,543.90M,196.20M,65.20M,116.00M,377.40M,53.50M,,4.60M,1.062B,0.00,33.70M,188.10M,610.70M,77.20M,48.10M,957.80M,-597.40M,360.40M,2.258B,339.20M,2.598B,,,50.90M,68.80M,3.078B,2019-12,325.10M,32.00M,11.10M,368.20M,131.80M,500.00M,,19.00M,19.00M,22.50M,22.50M,136.50M,749.00M,1.029B,61.10M,1.090B,104.40M,21.30M,125.70M,96.40M,11.60M,1.437B,2.186B,,2019-12,1.70M,,,,,-226.50M,1.954B,,2019-12,AOR,
2019-09,113.20M,113.20M,404.00M,37.30M,441.30M,198.00M,63.40M,128.90M,390.30M,52.10M,,5.70M,1.003B,0.00,33.10M,186.40M,608.70M,80.00M,40.10M,948.30M,-590.40M,357.90M,2.261B,341.40M,2.602B,,,46.30M,71.20M,3.078B,2019-09,253.40M,30.30M,12.00M,295.70M,152.70M,448.40M,,19.80M,19.80M,21.50M,21.50M,133.80M,694.20M,1.119B,63.00M,1.182B,111.40M,,131.40M,88.10M,1.90M,1.517B,2.212B,,2019-09,1.70M,,,,,-234.10M,1.869B,,2019-09,AOR,Restated
2019-06,80.50M,80.50M,459.60M,43.50M,503.10M,206.90M,66.30M,123.50M,396.70M,53.20M,,8.00M,1.042B,0.00,33.70M,182.40M,608.90M,78.70M,44.60M,948.30M,-589.30M,359.00M,2.288B,354.20M,2.642B,,,46.70M,81.10M,3.128B,2019-06,261.70M,30.20M,24.20M,316.10M,111.80M,427.90M,,19.80M,19.80M,19.90M,19.90M,173.90M,710.20M,1.215B,62.10M,1.277B,119.80M,,140.20M,89.20M,30.80M,1.653B,2.363B,,2019-06,1.70M,,,,,-230.20M,1.807B,,2019-06,AOR,Restated
2019-03,78.90M,78.90M,645.70M,38.40M,684.10M,208.50M,68.30M,145.00M,421.80M,58.00M,,8.80M,1.252B,0.00,33.60M,179.60M,604.10M,74.70M,39.60M,931.60M,-577.80M,353.80M,2.283B,361.50M,2.644B,,,47.50M,84.80M,3.131B,2019-03,265.30M,30.90M,9.90M,306.10M,100.50M,406.60M,,19.90M,19.90M,19.70M,19.70M,164.90M,705.30M,1.371B,57.70M,1.428B,124.60M,,145.80M,89.80M,23.90M,1.806B,2.512B,,2019-03,1.70M,,,,,-225.90M,1.870B,,2019-03,AOR,Restated
2018-12,74.30M,74.30M,488.20M,36.50M,524.70M,191.30M,64.00M,132.20M,387.50M,45.20M,,7.70M,1.039B,0.00,33.50M,178.90M,593.80M,,35.70M,841.90M,-569.30M,272.60M,2.073B,276.30M,2.349B,,,47.10M,98.40M,2.767B,2018-12,378.60M,30.80M,10.40M,419.80M,137.90M,557.70M,,0.00,0.00,21.30M,21.30M,128.00M,818.70M,787.60M,0.00,787.60M,105.90M,20.90M,126.80M,90.00M,30.60M,1.152B,1.970B,,2018-12,1.70M,,,,,-228.60M,1.836B,,2018-12,AOR,Restated
2018-09,64.70M,64.70M,402.40M,44.80M,447.20M,205.90M,66.20M,115.20M,387.30M,71.90M,,18.50M,989.60M,0.00,34.00M,179.00M,614.20M,,34.80M,862.00M,-587.80M,274.20M,2.097B,289.40M,2.386B,,,57.10M,102.20M,2.820B,2018-09,261.30M,30.40M,24.30M,316.00M,134.50M,450.50M,,,,15.90M,15.90M,156.00M,707.40M,798.80M,,798.80M,106.30M,,133.80M,109.80M,45.50M,1.222B,1.929B,,2018-09,1.80M,,,,,-221.00M,1.880B,,2018-09,AOR,Restated
2018-06,78.70M,78.70M,422.10M,49.30M,471.40M,198.30M,62.90M,105.40M,366.60M,70.30M,,9.60M,996.60M,0.00,33.90M,175.40M,607.00M,,30.40M,846.70M,-576.10M,270.60M,2.089B,296.50M,2.385B,,,54.80M,98.70M,2.809B,2018-06,275.10M,30.70M,10.70M,316.50M,138.30M,454.80M,,,,19.10M,19.10M,158.00M,709.40M,779.90M,,779.90M,118.40M,,143.30M,107.90M,39.80M,1.208B,1.917B,,2018-06,1.80M,,,,,-217.90M,1.889B,,2018-06,AOR,Restated
2018-03,907.50M,907.50M,985.20M,118.00M,1.103B,255.70M,86.30M,251.50M,593.50M,104.90M,,9.90M,2.719B,0.00,73.60M,361.40M,1.027B,,38.00M,1.500B,-953.10M,546.50M,4.380B,1.536B,5.917B,,,97.90M,88.10M,6.649B,2018-03,404.00M,62.40M,23.90M,490.30M,151.20M,641.50M,0.20M,,0.20M,30.20M,30.20M,212.90M,1.028B,2.673B,,2.673B,369.10M,43.60M,412.70M,291.90M,62.20M,3.621B,4.648B,,2018-03,1.80M,,,,,-244.80M,4.720B,,2018-03,AOR,Restated
2017-12,86.30M,86.30M,483.10M,51.50M,534.60M,190.80M,57.90M,108.20M,356.90M,59.20M,,3.80M,1.749B,0.00,33.50M,184.30M,609.60M,,23.70M,851.10M,-571.30M,279.80M,2.113B,321.80M,2.435B,,,52.20M,4.066B,6.885B,2017-12,321.50M,63.10M,39.70M,424.30M,122.40M,546.70M,,,,20.10M,20.10M,516.80M,1.199B,1.441B,,1.441B,108.60M,,131.80M,96.40M,47.20M,2.396B,3.596B,,2017-12,1.80M,,,,,-243.40M,5.038B,,2017-12,AOR,Restated
2017-09,108.50M,108.50M,768.20M,128.50M,896.70M,252.40M,80.70M,246.10M,579.20M,114.20M,,7.20M,1.706B,0.00,70.60M,352.50M,1.002B,,36.60M,1.462B,-914.60M,547.10M,4.344B,1.607B,5.951B,,,85.60M,87.20M,6.923B,2017-09,383.40M,62.70M,41.80M,487.90M,166.30M,654.20M,,,,30.40M,30.40M,227.50M,1.073B,1.503B,,1.503B,549.50M,,597.60M,275.10M,41.40M,2.548B,3.620B,,2017-09,1.80M,,,,,-235.80M,5.009B,,2017-09,AOR,Restated
2017-06,177.80M,177.80M,764.50M,113.60M,878.10M,240.00M,76.90M,248.50M,565.40M,125.50M,,8.00M,1.755B,0.00,69.60M,348.10M,984.20M,,44.30M,1.446B,-895.30M,550.90M,4.314B,1.624B,5.938B,,,83.60M,89.10M,6.914B,2017-06,407.80M,62.60M,,470.40M,164.90M,635.30M,0.30M,,0.30M,35.30M,35.30M,233.70M,1.048B,1.699B,,1.699B,546.50M,,592.80M,268.40M,,2.717B,3.766B,,2017-06,1.80M,,,,,-267.30M,4.904B,,2017-06,AOR,Restated
