,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,58.40M,5.30M,-0.60M,,4.70M,12.60M,9.30M,21.90M,21.90M,-9.90M,0.00,6.00M,,6.00M,-146.20M,-8.40M,,-59.70M,5.60M,-39.60M,-26.80M,26.40M,-167.60M,,2018-03,-11.50M,0.00,0.00,-14.70M,,-31.20M,,2018-03,417.50M,,417.50M,,-150.00M,-150.00M,-63.30M,-63.30M,0.90M,997.80M,,2018-03,86.30M,-4.80M,70.80M,,2018-03,,417.50M,,,2018-03,AOR,Restated
2017-12,55.90M,0.40M,-0.40M,,24.90M,12.40M,9.20M,21.60M,21.60M,-15.00M,,7.40M,,-40.50M,-80.30M,-4.50M,,76.60M,-0.10M,-0.30M,37.50M,127.40M,258.40M,,2017-12,-13.70M,0.50M,0.50M,-4.60M,,-24.20M,,2017-12,-70.80M,0.80M,-70.00M,,-100.00M,-100.00M,-62.80M,-62.80M,2.90M,-230.70M,,2017-12,81.30M,1.30M,86.30M,,2017-12,,0.00,-70.00M,,2017-12,AOR,Restated
2017-09,48.90M,3.80M,-0.30M,,3.50M,13.10M,9.20M,22.30M,22.30M,5.10M,,6.20M,,6.20M,17.10M,-12.50M,,-20.80M,-13.30M,-13.40M,19.60M,143.80M,206.50M,,2017-09,-6.70M,3.20M,3.20M,-1.60M,,-11.20M,,2017-09,-216.80M,-0.30M,-217.10M,,0.00,0.00,-62.80M,-62.80M,4.80M,-275.10M,,2017-09,141.70M,10.50M,81.30M,,2017-09,,,-217.10M,,2017-09,AOR,Restated
2017-06,-71.40M,,-0.40M,,101.00M,3.90M,-6.00M,-2.10M,-2.10M,-3.40M,,9.60M,,9.60M,180.40M,5.10M,,15.70M,18.40M,-56.70M,-23.00M,87.70M,261.30M,,2017-06,4.90M,,,2.776B,,2.750B,,2017-06,-2.864B,-0.40M,-2.864B,,-100.00M,-100.00M,-63.30M,-63.30M,26.70M,-3.096B,,2017-06,238.10M,24.40M,141.70M,,2017-06,,-229.10M,-2.635B,,2017-06,AOR,Restated
2017-03,80.70M,0.00,-0.20M,,-0.20M,21.40M,24.00M,45.40M,45.40M,-4.70M,,16.40M,,16.40M,-130.60M,-8.60M,,-55.90M,-18.00M,15.80M,-29.00M,-17.30M,-106.00M,,2017-03,-23.60M,,,-56.70M,,-84.00M,,2017-03,229.10M,-0.10M,229.00M,,,,-62.80M,-62.80M,2.80M,169.00M,,2017-03,238.50M,20.60M,238.10M,,2017-03,,229.10M,-0.10M,,2017-03,AOR,Restated
2016-12,-163.80M,3.90M,-1.60M,,2.30M,-11.30M,-37.20M,-48.50M,-48.50M,5.00M,,5.50M,0.80M,6.30M,-75.20M,19.90M,,79.70M,64.60M,76.70M,-46.80M,384.40M,304.60M,,2016-12,51.20M,-5.30M,-5.30M,-30.10M,,-43.30M,,2016-12,-94.20M,,-94.20M,,0.00,0.00,-62.00M,-62.00M,0.60M,-155.60M,,2016-12,170.90M,-38.10M,216.90M,,2016-12,,,-94.20M,,2016-12,AOR,Restated
2016-09,117.50M,0.00,-1.20M,,-0.50M,20.80M,24.10M,44.90M,44.90M,22.50M,,6.40M,-5.60M,0.80M,13.70M,5.10M,,-25.40M,5.50M,-37.10M,-8.20M,48.50M,187.30M,,2016-09,-30.50M,16.50M,16.50M,0.00,,-10.40M,,2016-09,-151.30M,0.00,-151.30M,,0.00,0.00,-61.90M,-61.90M,11.80M,-195.80M,,2016-09,173.30M,16.50M,170.90M,,2016-09,,,-151.30M,,2016-09,AOR,Restated
2016-06,132.70M,,-1.10M,,0.50M,22.60M,24.30M,46.90M,46.90M,-12.70M,,6.20M,-2.70M,3.50M,175.60M,18.30M,,-30.20M,-25.40M,29.40M,0.00,45.90M,384.50M,,2016-06,-31.20M,2.20M,2.20M,0.10M,,-36.10M,,2016-06,-278.20M,-0.70M,-278.90M,,0.00,0.00,-59.60M,-59.60M,9.90M,-325.90M,,2016-06,158.10M,-7.30M,173.30M,,2016-06,,-139.10M,-139.80M,,2016-06,AOR,Restated
2016-03,91.80M,,-0.40M,,-2.70M,20.90M,24.20M,45.10M,45.10M,-13.60M,,16.10M,-0.50M,15.60M,-97.50M,-9.40M,,-1.30M,-42.60M,21.30M,-24.40M,2.70M,-15.00M,,2016-03,-32.80M,5.40M,5.40M,-0.10M,,-32.00M,,2016-03,137.70M,0.70M,138.40M,,,,-60.10M,-60.10M,-1.60M,77.20M,,2016-03,126.30M,1.60M,158.10M,,2016-03,,139.10M,-0.70M,,2016-03,AOR,Restated
2015-12,104.00M,,-0.20M,,20.10M,21.40M,24.30M,45.70M,45.70M,-1.40M,,5.50M,0.00,-12.70M,-53.30M,87.40M,,56.20M,9.00M,-42.40M,25.10M,100.20M,343.40M,,2015-12,-25.00M,1.00M,1.00M,-3.90M,,-34.90M,,2015-12,-265.00M,-0.30M,-265.30M,,0.00,0.00,-58.40M,-58.40M,-2.50M,-326.20M,,2015-12,144.90M,-0.90M,126.30M,,2015-12,,87.00M,-352.30M,,2015-12,AOR,Restated
