,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,798.50M,798.50M,521.10M,277.40M,130.00M,19.30M,0.00,5.40M,-5.40M,,149.30M,128.10M,5.40M,-5.40M,2.50M,-5.40M,125.20M,14.40M,110.80M,0.00,,,,110.80M,110.80M,130.60M,,2020-09,0.67,0.00,0.67,,2020-09,0.66,0.00,0.66,,2020-09,0.19,,2020-09,AOR,
2020-06,713.30M,713.30M,468.20M,245.10M,116.70M,17.30M,-0.10M,7.70M,-7.70M,,134.00M,111.10M,7.70M,-7.70M,0.20M,-7.70M,103.60M,29.80M,73.80M,-1.70M,,,,72.10M,73.87M,111.30M,,2020-06,0.44,-0.01,0.43,,2020-06,0.44,-0.01,0.43,,2020-06,0.19,,2020-06,AOR,
2020-03,710.00M,710.00M,458.40M,251.60M,131.90M,19.00M,0.00,6.90M,-6.90M,,150.90M,100.70M,6.90M,-6.90M,-1.20M,-6.90M,92.60M,19.90M,72.70M,0.00,,,,72.70M,72.70M,99.50M,,2020-03,0.43,0.00,0.43,,2020-03,0.43,0.00,0.43,,2020-03,0.19,,2020-03,AOR,
2019-12,755.20M,755.20M,481.00M,274.20M,134.20M,17.70M,-1.10M,6.50M,-6.50M,,151.90M,122.30M,6.50M,-6.50M,-9.90M,-6.50M,105.90M,3.00M,102.90M,-5.10M,,,,97.80M,103.97M,112.40M,,2019-12,0.61,-0.03,0.58,,2019-12,0.61,-0.03,0.58,,2019-12,0.18,,2019-12,AOR,
2019-09,713.60M,713.60M,458.60M,255.00M,126.40M,19.80M,-0.10M,6.90M,-6.90M,,146.20M,108.80M,6.90M,-6.90M,-0.70M,-6.90M,101.20M,9.90M,91.30M,1.00M,,,,92.30M,91.39M,108.10M,,2019-09,0.54,0.01,0.55,,2019-09,0.54,0.01,0.55,,2019-09,0.18,,2019-09,AOR,Restated
2019-06,799.50M,799.50M,512.80M,286.70M,132.20M,20.70M,-0.10M,9.40M,-9.40M,,152.90M,133.80M,9.40M,-9.40M,12.80M,-9.40M,137.20M,22.10M,115.10M,-0.80M,,,,114.30M,115.18M,146.60M,,2019-06,0.68,-0.01,0.67,,2019-06,0.68,-0.01,0.67,,2019-06,0.18,,2019-06,AOR,Restated
2019-03,688.90M,688.90M,453.30M,235.60M,147.30M,20.70M,3.50M,7.30M,-7.30M,,168.00M,67.60M,7.30M,-7.30M,2.90M,-7.30M,63.20M,10.80M,52.40M,-1.10M,,,,51.30M,49.50M,70.50M,,2019-03,0.31,-0.01,0.30,,2019-03,0.30,-0.01,0.30,,2019-03,0.18,,2019-03,AOR,Restated
2018-12,740.50M,740.50M,472.50M,268.00M,135.30M,19.70M,-0.90M,4.70M,-4.70M,,155.00M,113.00M,4.70M,-4.70M,-2.50M,-4.70M,105.80M,11.60M,94.20M,-1.30M,,,,92.90M,95.00M,110.50M,,2018-12,0.55,-0.01,0.54,,2018-12,0.54,-0.01,0.53,,2018-12,0.175,,2018-12,AOR,Restated
2018-09,711.40M,711.40M,467.60M,243.80M,116.30M,19.10M,-0.20M,4.30M,-4.30M,,135.40M,108.40M,4.30M,-4.30M,-2.30M,-4.30M,101.80M,10.60M,91.20M,18.90M,,,,110.10M,91.38M,106.10M,,2018-09,0.52,0.11,0.63,,2018-09,0.52,0.11,0.63,,2018-09,0.175,,2018-09,AOR,Restated
2018-06,780.60M,780.60M,498.00M,282.60M,140.90M,19.10M,-18.00M,10.10M,-10.10M,,160.00M,122.60M,10.10M,-10.10M,-13.80M,-10.10M,98.70M,20.80M,77.90M,-36.40M,,,,41.50M,92.10M,108.80M,,2018-06,0.44,-0.21,0.23,,2018-06,0.44,-0.21,0.23,,2018-06,0.35,,2018-06,AOR,Restated
2018-03,732.60M,732.60M,479.30M,253.30M,141.80M,18.80M,-5.30M,13.50M,-13.50M,,160.60M,92.70M,13.50M,-13.50M,-5.70M,-13.50M,73.50M,15.10M,58.40M,44.50M,,,,102.90M,62.61M,87.00M,,2018-03,0.33,0.24,0.57,,2018-03,0.32,0.24,0.57,,2018-03,0.35,,2018-03,AOR,Restated
2017-12,720.80M,720.80M,467.10M,253.70M,149.80M,18.50M,-0.40M,13.10M,-13.10M,,168.30M,85.40M,13.10M,-13.10M,-9.80M,-13.10M,62.50M,6.60M,55.90M,133.70M,,,,189.60M,56.26M,75.60M,,2017-12,1.12,-0.07,1.05,,2017-12,1.11,-0.07,1.04,,2017-12,0.345,,2017-12,AOR,Restated
2017-09,687.60M,687.60M,451.10M,236.50M,116.80M,17.90M,-3.80M,13.90M,-13.90M,,134.70M,101.80M,13.90M,-13.90M,-4.90M,-13.90M,83.00M,34.10M,48.90M,76.50M,,,,125.40M,51.18M,96.90M,,2017-09,0.27,0.42,0.69,,2017-09,0.27,0.41,0.68,,2017-09,0.345,,2017-09,AOR,Restated
2017-06,754.00M,754.00M,480.40M,273.60M,126.70M,17.70M,-101.40M,25.30M,-25.30M,,144.40M,129.20M,25.30M,-25.30M,-102.30M,-25.30M,1.60M,5.00M,-3.40M,267.10M,,,,263.70M,57.44M,26.90M,,2017-06,-0.02,1.47,1.45,,2017-06,-0.02,1.45,1.43,,2017-06,0.345,,2017-06,AOR,Restated
2017-03,1.184B,1.184B,761.20M,422.30M,251.70M,30.00M,,35.00M,-35.00M,,281.70M,140.60M,35.00M,-35.00M,-2.00M,-35.00M,103.60M,22.90M,80.70M,7.10M,,,,87.80M,80.70M,138.60M,,2017-03,0.44,0.04,0.48,,2017-03,0.44,0.04,0.48,,2017-03,0.345,,2017-03,AOR,Restated
2016-12,-921.30M,-921.30M,-526.40M,-394.90M,-196.80M,-13.60M,-3.90M,34.20M,-34.20M,,-210.40M,-184.50M,34.20M,-34.20M,3.90M,-34.20M,-214.80M,-51.00M,-163.80M,294.80M,,,,131.00M,-160.83M,-180.60M,,2016-12,0.60,0.12,0.72,,2016-12,0.60,0.11,0.71,,2016-12,0.34,,2016-12,AOR,Restated
2016-09,1.211B,1.211B,769.80M,440.90M,228.40M,29.70M,0.00,34.30M,-34.30M,,258.10M,182.80M,34.30M,-34.30M,1.20M,-34.30M,149.70M,32.20M,117.50M,23.50M,,,,141.00M,117.50M,184.00M,,2016-09,0.65,0.13,0.78,,2016-09,0.64,0.13,0.77,,2016-09,0.34,,2016-09,AOR,Restated
2016-06,1.301B,1.301B,819.40M,481.80M,249.70M,28.70M,0.00,35.40M,-35.40M,,278.40M,203.40M,35.40M,-35.40M,1.10M,-35.40M,169.10M,36.40M,132.70M,10.10M,,,,142.80M,132.70M,204.50M,,2016-06,0.73,0.06,0.79,,2016-06,0.73,0.05,0.78,,2016-06,0.33,,2016-06,AOR,Restated
2016-03,1.19B,1.19B,758.70M,431.30M,250.10M,28.50M,,36.20M,-36.20M,,278.60M,152.70M,36.20M,-36.20M,0.40M,-36.20M,116.90M,25.10M,91.80M,15.60M,,,,107.40M,91.80M,153.10M,,2016-03,0.50,0.09,0.59,,2016-03,0.50,0.09,0.59,,2016-03,0.33,,2016-03,AOR,Restated
2015-12,1.289B,1.289B,856.50M,432.50M,234.40M,26.40M,,39.10M,-34.40M,,260.80M,171.70M,39.10M,-34.40M,-3.00M,-34.40M,134.30M,30.30M,104.00M,-557.30M,,,,-453.30M,104.00M,173.40M,,2015-12,0.52,-0.01,0.51,,2015-12,0.51,-0.01,0.50,,2015-12,0.32,,2015-12,AOR,Restated
2015-09,1.113B,1.113B,718.10M,394.70M,217.00M,24.80M,,30.90M,-30.90M,,241.80M,152.90M,30.90M,-30.90M,0.20M,-30.90M,122.20M,27.50M,94.70M,20.50M,,,,115.20M,94.70M,153.10M,,2015-09,0.53,0.11,0.64,,2015-09,0.52,0.11,0.63,,2015-09,0.32,,2015-09,AOR,Restated
2015-06,1.661B,1.661B,1.095B,566.20M,319.30M,29.00M,,18.60M,-18.60M,,348.30M,217.90M,18.60M,-18.60M,0.60M,-18.60M,199.90M,46.00M,153.90M,-6.10M,,,,147.80M,153.90M,218.50M,,2015-06,0.85,-0.03,0.82,,2015-06,0.84,-0.03,0.81,,2015-06,0.32,,2015-06,AOR,Restated
2015-03,1.475B,1.475B,964.80M,510.20M,309.20M,29.80M,,18.20M,-18.20M,,339.00M,171.20M,18.20M,-18.20M,0.50M,-18.20M,153.50M,35.30M,118.20M,-4.30M,,,,113.90M,118.20M,171.70M,,2015-03,0.66,-0.03,0.63,,2015-03,0.65,-0.03,0.62,,2015-03,0.32,,2015-03,AOR,Restated
2014-12,-569.70M,-569.70M,-355.10M,-214.60M,-85.40M,8.20M,0.00,19.80M,-17.50M,,-77.20M,-137.40M,19.80M,-17.50M,0.30M,-17.50M,-154.60M,-34.00M,-120.60M,241.40M,,,,120.80M,-120.60M,-134.80M,,2014-12,0.75,-0.05,0.70,,2014-12,0.74,-0.05,0.69,,2014-12,0.30,,2014-12,AOR,Restated
2014-09,1.758B,1.758B,1.134B,624.70M,328.80M,28.50M,0.00,17.10M,-17.10M,,357.30M,267.40M,17.10M,-17.10M,0.30M,-17.10M,250.60M,58.10M,192.50M,-378.50M,,,,-186.00M,192.50M,267.70M,,2014-09,1.01,-1.99,-0.98,,2014-09,1.01,-1.99,-0.98,,2014-09,0.30,,2014-09,AOR,Restated
2014-06,1.834B,1.834B,1.188B,646.30M,389.70M,30.20M,-0.20M,17.90M,-17.90M,,419.90M,226.40M,17.90M,-17.90M,0.10M,-17.90M,208.60M,49.40M,159.20M,2.30M,,,,161.50M,159.35M,226.50M,,2014-06,0.82,0.02,0.84,,2014-06,0.81,0.01,0.82,,2014-06,0.25,,2014-06,AOR,Restated
2014-03,1.644B,1.644B,1.080B,564.10M,352.50M,29.50M,,16.10M,-16.10M,,382.00M,182.10M,16.10M,-16.10M,0.30M,-16.10M,166.30M,40.80M,125.50M,-6.90M,,,,118.60M,125.50M,182.40M,,2014-03,0.64,-0.04,0.60,,2014-03,0.63,-0.04,0.59,,2014-03,0.25,,2014-03,AOR,Restated
2013-12,1.831B,1.831B,1.200B,630.50M,350.20M,28.00M,-7.00M,21.50M,-17.10M,,378.20M,252.30M,21.50M,-17.10M,-6.70M,-17.10M,228.50M,64.10M,164.40M,-4.70M,,-1.50M,,158.20M,167.94M,250.00M,,2013-12,0.80,-0.01,0.80,,2013-12,0.78,-0.02,0.78,,2013-12,0.25,,2013-12,AOR,Restated
2013-09,1.713B,1.713B,1.099B,614.70M,353.40M,31.30M,0.10M,17.50M,-17.50M,,384.70M,230.00M,17.50M,-17.50M,0.60M,-17.50M,213.10M,46.70M,166.40M,7.80M,,-1.40M,,172.80M,164.92M,230.60M,,2013-09,0.83,0.04,0.87,,2013-09,0.81,0.04,0.85,,2013-09,0.25,,2013-09,AOR,Restated
2013-06,1.964B,1.964B,1.296B,667.40M,409.40M,32.10M,0.00,18.40M,-18.40M,,441.50M,225.90M,18.40M,-18.40M,0.90M,-18.40M,208.40M,53.00M,155.40M,,,-1.30M,,154.10M,154.10M,226.80M,,2013-06,0.76,,0.76,,2013-06,0.75,,0.75,,2013-06,0.23,,2013-06,AOR,Restated
2013-03,1.774B,1.774B,1.251B,523.80M,416.00M,33.50M,16.70M,17.00M,-17.00M,,449.50M,74.30M,17.00M,-17.00M,16.90M,-17.00M,74.20M,20.90M,53.30M,,,-1.60M,,51.70M,39.71M,91.20M,,2013-03,0.25,,0.25,,2013-03,0.25,,0.25,,2013-03,0.23,,2013-03,AOR,Restated
2012-12,1.642B,1.642B,1.247B,395.00M,569.20M,30.90M,-136.10M,20.70M,-18.70M,,600.10M,-205.10M,20.70M,-18.70M,-136.10M,-18.70M,-359.90M,-110.90M,-249.00M,,,1.60M,,-273.10M,-153.24M,-339.20M,,2012-12,-1.31,,-1.31,,2012-12,-1.31,,-1.31,,2012-12,0.22,,2012-12,AOR,Restated
2012-09,865.50M,865.50M,587.40M,278.10M,203.10M,19.80M,0.00,18.60M,-18.60M,,222.90M,55.20M,18.60M,-18.60M,0.60M,-18.60M,37.20M,4.60M,32.60M,,,-1.20M,,31.40M,31.40M,55.80M,,2012-09,0.31,,0.31,,2012-09,0.31,,0.31,,2012-09,0.22,,2012-09,AOR,Restated
2012-06,941.50M,941.50M,629.40M,312.10M,172.00M,20.80M,0.00,16.10M,-16.10M,,192.80M,119.30M,16.10M,-16.10M,0.60M,-16.10M,103.80M,29.40M,74.40M,,,-1.70M,,72.70M,72.70M,119.90M,,2012-06,0.73,,0.73,,2012-06,0.72,,0.72,,2012-06,0.22,,2012-06,AOR,Restated
