,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.878B,2.878B,1.883B,995.53M,683.60M,-68.97M,8.086M,-8.086M,742.09M,253.44M,8.086M,-8.086M,-68.97M,-8.086M,176.38M,40.49M,135.89M,,135.89M,189.00M,242.96M,58.49M,184.47M,,1.17,,,1.626,1.17,,1.15,,,1.601,1.15,,116.49M,117.76M,0.40,,AOR,
2020-09,2.607B,2.607B,1.659B,947.96M,641.13M,,7.208M,-7.208M,695.78M,252.18M,7.208M,-7.208M,,-7.208M,244.97M,54.36M,190.61M,,190.61M,190.61M,306.83M,54.65M,252.18M,,1.64,,,1.64,1.64,,1.62,,,1.62,1.62,,116.34M,117.74M,0.40,,AOR,
2020-06,3.176B,3.176B,2.020B,1.157B,656.52M,,8.438M,-8.438M,709.07M,447.75M,8.438M,-8.438M,,-8.438M,439.31M,100.63M,338.68M,,338.68M,338.68M,500.29M,52.55M,447.75M,,2.92,,,2.92,2.92,,2.90,,,2.90,2.90,,115.91M,116.81M,0.35,,AOR,
2020-03,1.959B,1.959B,1.298B,661.25M,497.28M,,5.049M,-5.049M,548.71M,112.54M,5.049M,-5.049M,,-5.049M,107.49M,23.71M,83.78M,,83.78M,83.78M,163.97M,51.44M,112.54M,,0.72,,,0.72,0.72,,0.71,,,0.71,0.71,,116.74M,117.43M,0.35,,AOR,
2019-12,2.192B,2.192B,1.450B,741.80M,499.97M,,4.837M,-4.837M,551.36M,190.44M,4.837M,-4.837M,,-4.837M,185.60M,41.42M,144.18M,,144.18M,144.18M,241.83M,51.39M,190.44M,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,118.37M,119.26M,0.35,,AOR,
2019-09,1.984B,1.984B,1.290B,694.24M,482.60M,,4.90M,-4.90M,532.42M,161.82M,4.90M,-4.90M,,-4.90M,156.92M,34.78M,122.13M,,122.13M,122.13M,211.64M,49.82M,161.82M,,1.03,,,1.03,1.03,,1.02,,,1.02,1.02,,118.96M,120.06M,0.35,,AOR,Restated
2019-06,2.354B,2.354B,1.533B,820.74M,484.19M,,5.176M,-5.176M,533.19M,287.56M,5.176M,-5.176M,,-5.176M,282.38M,63.17M,219.21M,,219.21M,219.21M,336.56M,49.00M,287.56M,,1.82,,,1.82,1.82,,1.80,,,1.80,1.80,,120.37M,121.51M,0.35,,AOR,Restated
2019-03,1.822B,1.822B,1.207B,614.98M,465.81M,,4.93M,-4.93M,511.58M,103.41M,4.93M,-4.93M,,-4.93M,98.48M,21.65M,76.83M,,76.83M,76.83M,149.18M,45.77M,103.41M,,0.63,,,0.63,0.63,,0.63,,,0.63,0.63,,121.21M,122.15M,0.31,,AOR,Restated
2018-12,2.133B,2.133B,1.417B,716.33M,489.98M,,4.446M,-4.446M,535.95M,180.38M,4.446M,-4.446M,,-4.446M,175.94M,39.08M,136.85M,,136.85M,136.85M,226.35M,45.97M,180.38M,,1.12,,,1.12,1.12,,1.11,,,1.11,1.11,,122.15M,123.17M,0.31,,AOR,Restated
2018-09,1.882B,1.882B,1.228B,653.13M,455.00M,,4.46M,-4.46M,499.98M,153.15M,4.46M,-4.46M,,-4.46M,148.69M,31.90M,116.78M,,116.78M,116.78M,198.13M,44.99M,153.15M,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,121.88M,122.76M,0.31,,AOR,Restated
