,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.342B,,1.342B,,,1.783B,133.66M,,,,3.259B,,,,,3.673B,,3.673B,,3.673B,,,55.52M,31.59M,30.48M,3.790B,7.049B,,976.10M,19.94M,996.03M,324.81M,1.321B,,,,303.25M,303.25M,,,,1.744B,984.32M,2.254B,3.238B,0.00,,0.00,143.15M,3.381B,5.125B,,1.401M,4.187B,1.096B,3.357B,,-3.243M,1.924B,,AOR,
2020-09,1.112B,,1.112B,,7.838M,1.915B,136.10M,,,,3.171B,,,,,3.533B,,3.533B,,3.533B,,,124.49M,3.581M,28.94M,3.690B,6.861B,,1.057B,1.914M,1.059B,274.24M,1.333B,,380.00M,380.00M,299.23M,679.23M,,,,2.133B,529.26M,2.205B,2.734B,0.00,,0.00,118.28M,2.852B,4.985B,,1.398M,4.098B,1.060B,3.277B,,-5.867M,1.876B,,AOR,
2020-06,1.206B,,1.206B,,0.00,1.689B,135.24M,,,,3.030B,,,,,3.417B,,3.417B,,3.417B,,,124.49M,12.87M,26.76M,3.581B,6.611B,,1.004B,133.83M,1.138B,270.46M,1.408B,,380.00M,380.00M,291.64M,671.64M,,,,2.157B,536.05M,2.120B,2.656B,0.00,,0.00,102.21M,2.758B,4.915B,,1.396M,3.954B,1.024B,3.277B,,-6.335M,1.696B,,AOR,
2020-03,461.47M,,461.47M,,0.00,1.906B,112.85M,,,,2.480B,,,,,3.372B,,3.372B,,3.372B,,,124.49M,,25.89M,3.522B,6.002B,,887.94M,24.79M,912.73M,234.46M,1.147B,,30.00M,30.00M,285.79M,315.79M,,,,1.494B,989.07M,2.083B,3.072B,1.796M,,1.796M,80.64M,3.155B,4.649B,,1.391M,3.656B,978.84M,3.277B,,-5.051M,1.354B,,AOR,
2019-12,84.24M,,84.24M,,0.00,1.603B,100.86M,,,,1.788B,0.00,100.34M,1.243B,1.169B,2.189B,39.11M,4.740B,-1.388B,3.353B,93.20M,31.29M,124.49M,0.00,24.13M,3.501B,5.289B,,643.04M,5.984M,649.02M,247.69M,896.71M,,30.00M,30.00M,281.14M,311.14M,,,,1.248B,366.48M,2.032B,2.398B,0.153M,,0.153M,76.36M,2.475B,3.722B,,1.389M,3.613B,966.70M,3.014B,,0.199M,1.567B,,AOR,
2019-09,82.64M,,82.64M,,5.60M,1.813B,104.49M,,,,2.005B,,,,,3.276B,,3.276B,,3.276B,,,124.49M,0.00,23.00M,3.424B,5.429B,,679.79M,0.00,679.79M,218.77M,898.56M,,30.00M,30.00M,273.92M,303.92M,,,,1.252B,613.88M,1.996B,2.609B,1.888M,,1.888M,74.44M,2.686B,3.937B,,1.388M,3.510B,950.91M,2.971B,,0.073M,1.492B,,AOR,Restated
2019-06,104.02M,,104.02M,,5.589M,1.733B,95.05M,,,,1.938B,,,,,3.227B,,3.227B,,3.227B,,,124.49M,0.00,23.67M,3.375B,5.313B,,681.53M,49.08M,730.61M,222.92M,953.53M,,22.50M,22.50M,268.42M,290.92M,,,,1.271B,466.29M,1.956B,2.422B,3.592M,,3.592M,70.75M,2.496B,3.768B,,1.386M,3.429B,928.09M,2.815B,,0.882M,1.545B,,AOR,Restated
2019-03,102.22M,,102.22M,,4.846M,1.881B,90.69M,,,,2.079B,,,,,3.208B,,3.208B,,3.208B,,,124.49M,0.00,25.80M,3.358B,5.437B,,785.07M,7.991M,793.06M,204.80M,997.86M,,21.25M,21.25M,264.12M,285.37M,,,,1.312B,605.70M,1.958B,2.564B,6.878M,,6.878M,69.26M,2.640B,3.952B,,1.38M,3.252B,864.74M,2.636B,,3.067M,1.486B,,AOR,Restated
2018-12,86.30M,,86.30M,,4.111M,1.590B,114.45M,,,,1.794B,0.00,100.77M,1.111B,995.20M,,130.81M,2.338B,-1.203B,1.134B,93.20M,31.29M,124.49M,6.607M,25.30M,1.291B,3.085B,,619.98M,1.768M,621.75M,232.42M,854.16M,,26.25M,26.25M,3.646M,29.90M,,,,938.11M,381.10M,29.27M,410.37M,0.00,,107.04M,67.93M,585.34M,1.523B,,1.375M,3.214B,823.41M,2.481B,,3.814M,1.562B,,AOR,Restated
2018-09,71.30M,,71.30M,,23.66M,1.737B,109.48M,,,,1.942B,0.00,100.25M,1.096B,967.48M,,117.45M,2.281B,-1.169B,1.112B,,,124.49M,13.48M,29.20M,1.279B,3.221B,,683.67M,0.00,683.67M,209.20M,892.87M,,26.25M,26.25M,3.747M,30.00M,,,,974.54M,547.50M,29.69M,577.20M,,,108.49M,65.41M,751.10M,1.726B,,1.372M,3.115B,793.09M,2.420B,,5.969M,1.495B,,AOR,Restated
