,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,135.89M,-0.383M,-0.383M,58.49M,58.49M,-28.00M,10.30M,,84.35M,,131.77M,2.439M,-14.74M,,,19.72M,139.20M,389.54M,,-132.71M,0.662M,0.662M,,,-132.05M,,88.93M,88.93M,25.59M,-79.80M,-54.22M,-46.62M,-46.62M,-15.81M,-27.72M,,1.112B,229.77M,1.342B,,25.59M,850.00M,-761.07M,-79.80M,43.58M,6.236M,,AOR,
2020-09,190.61M,-0.432M,-0.432M,54.65M,54.65M,9.285M,12.53M,,12.53M,,-226.53M,-0.86M,48.58M,,,-76.00M,-254.80M,11.84M,,-74.67M,0.484M,0.484M,,,-74.18M,,-8.563M,-8.563M,23.41M,-0.341M,23.07M,-46.54M,-46.54M,0.00,-32.03M,,1.206B,-94.38M,1.112B,,23.41M,0.00,-8.563M,-0.341M,184.92M,7.717M,,AOR,
2020-06,338.68M,-0.027M,-0.027M,52.55M,52.55M,-14.66M,7.504M,,7.504M,,217.40M,-22.38M,153.02M,,,177.13M,525.17M,909.21M,,-56.98M,0.326M,0.326M,,,-56.65M,,-103.54M,-103.54M,39.74M,-1.984M,37.75M,-40.64M,-40.64M,-1.237M,-107.66M,,461.47M,744.89M,1.206B,,39.74M,350.00M,-453.54M,-1.984M,5.467M,4.806M,,AOR,
2020-03,83.78M,-0.315M,-0.315M,51.44M,51.44M,1.643M,6.945M,,6.945M,,-303.13M,-11.99M,232.55M,,,23.02M,-59.55M,83.93M,,-29.65M,0.32M,0.32M,,,-29.33M,,621.50M,621.50M,10.60M,-268.63M,-258.02M,-40.85M,-40.85M,,322.63M,,84.24M,377.23M,461.47M,,10.60M,809.00M,-187.50M,-268.63M,1.358M,5.781M,,AOR,
2019-12,144.18M,-0.035M,-0.035M,51.39M,51.39M,-1.735M,5.381M,,5.381M,,209.99M,3.621M,-4.782M,,,-10.62M,198.20M,397.39M,,-73.11M,0.172M,0.172M,,,-72.94M,,-248.47M,-248.47M,10.44M,-43.37M,-32.93M,-41.45M,-41.45M,,-322.85M,,82.64M,1.601M,84.24M,,10.44M,55.00M,-303.47M,-43.37M,31.68M,3.957M,,AOR,
2019-09,122.13M,0.047M,0.047M,49.82M,49.82M,-1.704M,7.355M,,7.355M,,-79.62M,-9.435M,-1.504M,,,-21.64M,-112.20M,65.45M,,-60.80M,1.706M,1.706M,,,-59.10M,,154.06M,154.06M,16.11M,-156.39M,-140.28M,-41.52M,-41.52M,,-27.74M,,104.02M,-21.38M,82.64M,,16.11M,380.00M,-225.94M,-156.39M,85.50M,5.183M,,AOR,Restated
2019-06,219.21M,-0.085M,-0.085M,49.00M,49.00M,-3.286M,8.776M,,8.776M,,148.18M,-4.359M,-94.24M,,,38.70M,88.28M,361.90M,,-54.76M,0.253M,0.253M,,,-54.50M,,-139.16M,-139.16M,54.70M,-179.03M,-124.33M,-42.10M,-42.10M,,-305.59M,,102.22M,1.803M,104.02M,,54.70M,182.00M,-321.16M,-179.03M,25.12M,3.869M,,AOR,Restated
2019-03,76.83M,-0.224M,-0.224M,45.77M,45.77M,13.48M,9.624M,,9.624M,,-291.79M,23.76M,133.93M,,,-24.40M,-158.51M,-13.02M,,-28.78M,0.358M,0.358M,,,-28.43M,,218.60M,218.60M,34.73M,-158.34M,-123.61M,-37.62M,-37.62M,,57.37M,,86.30M,15.92M,102.22M,,34.73M,385.00M,-166.40M,-158.34M,2.08M,6.137M,,AOR,Restated
2018-12,136.85M,-0.282M,-0.282M,45.97M,45.97M,6.878M,6.134M,,6.134M,,147.73M,-4.969M,-27.95M,,,30.62M,145.43M,340.98M,,-84.84M,0.187M,0.187M,,,-84.65M,,-167.02M,-167.02M,24.94M,-61.32M,-36.38M,-37.93M,-37.93M,0.00,-241.33M,,71.30M,15.00M,86.30M,,24.94M,225.00M,-392.02M,-61.32M,9.877M,2.624M,,AOR,Restated
2018-09,116.78M,-0.908M,-0.908M,44.99M,44.99M,7.256M,6.378M,,6.378M,,-104.99M,-6.099M,38.56M,,,-22.56M,-95.09M,79.40M,,-77.00M,1.741M,1.741M,,,-75.26M,,31.33M,31.33M,40.36M,-36.71M,3.648M,-37.78M,-37.78M,0.00,-2.80M,,69.95M,1.348M,71.30M,,40.36M,295.50M,-264.17M,-36.71M,78.09M,9.108M,,AOR,Restated
2018-06,207.29M,0.529M,0.529M,43.61M,43.61M,-2.156M,7.842M,,7.842M,,127.78M,-16.56M,-81.52M,,,9.059M,38.76M,295.88M,,-71.55M,0.275M,0.275M,,,-71.28M,,-164.16M,-164.16M,9.982M,-95.08M,-85.10M,-37.79M,-37.79M,0.00,-287.04M,,132.40M,-62.44M,69.95M,,9.982M,298.00M,-462.16M,-95.08M,58.16M,3.803M,,AOR,Restated
2018-03,71.43M,0.094M,0.094M,42.79M,42.79M,-0.091M,8.567M,,8.567M,,-306.86M,1.437M,150.73M,,,10.04M,-144.65M,-21.86M,,-45.14M,0.013M,0.013M,,,-45.13M,,277.85M,277.85M,4.363M,-158.03M,-153.67M,-33.59M,-33.59M,-0.346M,90.24M,,109.15M,23.25M,132.40M,,4.363M,375.00M,-97.15M,-158.03M,0.789M,2.534M,,AOR,Restated
2017-12,109.74M,-0.049M,-0.049M,43.13M,43.13M,22.10M,6.271M,,6.271M,,138.35M,-12.63M,-10.39M,,,-6.027M,109.29M,290.49M,,-98.36M,0.34M,0.34M,,,-96.80M,,-84.64M,-84.64M,6.711M,-42.80M,-36.09M,-33.86M,-33.86M,0.00,-154.59M,,70.05M,39.10M,109.15M,,6.711M,170.00M,-254.64M,-42.80M,53.05M,2.471M,,AOR,Restated
2017-09,91.90M,0.311M,0.311M,41.93M,41.93M,12.37M,7.852M,,7.852M,,-123.30M,14.79M,99.70M,,,-32.09M,-40.90M,113.45M,,-55.43M,0.099M,0.099M,,,-55.33M,,55.36M,55.36M,1.784M,-78.62M,-76.83M,-34.12M,-34.12M,-0.286M,-55.87M,,67.79M,2.253M,70.05M,,1.784M,432.00M,-376.64M,-78.62M,98.28M,2.792M,,AOR,Restated
2017-06,160.65M,0.019M,0.019M,41.05M,41.05M,-6.131M,7.522M,,7.522M,,189.51M,-3.95M,-58.46M,,,38.96M,166.06M,369.17M,,-61.73M,10.75M,10.75M,,,-50.97M,,-157.84M,-157.84M,3.242M,-133.60M,-130.36M,-34.59M,-34.59M,-0.313M,-323.10M,,72.70M,-4.908M,67.79M,,3.242M,103.00M,-260.84M,-133.60M,55.01M,3.093M,,AOR,Restated
2017-03,60.31M,0.179M,0.179M,39.73M,39.73M,-1.611M,7.557M,,7.557M,,-288.10M,4.098M,15.86M,,,20.33M,-247.82M,-141.66M,,-34.88M,0.028M,0.028M,,,-34.86M,,337.17M,337.17M,4.593M,-115.20M,-110.61M,-31.26M,-31.26M,,195.30M,,53.92M,18.78M,72.70M,,4.593M,475.00M,-137.83M,-115.20M,12.74M,2.125M,,AOR,Restated
2016-12,123.58M,0.36M,0.36M,39.66M,39.66M,7.974M,6.228M,,6.228M,,137.91M,-17.75M,43.45M,,,23.65M,187.27M,365.08M,,-58.86M,-0.004M,-0.004M,,,-202.47M,,-20.33M,-20.33M,3.589M,-116.02M,-112.43M,-31.44M,-31.44M,0.00,-164.20M,,55.51M,-1.591M,53.92M,,3.589M,250.00M,-270.33M,-116.02M,47.44M,2.679M,,AOR,Restated
2016-09,89.44M,-0.014M,-0.014M,35.66M,35.66M,5.62M,6.114M,,6.114M,,-123.44M,-0.367M,66.22M,,,-71.80M,-129.39M,7.437M,,-66.20M,0.326M,0.326M,,,-65.88M,,97.19M,97.19M,6.478M,-108.79M,-102.31M,-32.04M,-32.04M,0.00,-37.16M,,151.11M,-95.60M,55.51M,,6.478M,100.00M,-2.81M,-108.79M,111.61M,1.292M,,AOR,Restated
2016-06,156.42M,0.153M,0.153M,34.06M,34.06M,-3.014M,5.943M,,5.943M,,104.19M,13.24M,-146.44M,,,48.00M,18.99M,212.55M,,-64.22M,0.02M,0.02M,,,-64.20M,,-52.77M,-52.77M,20.90M,-7.803M,13.10M,-32.07M,-32.07M,0.00,-71.74M,,74.50M,76.61M,151.11M,,20.90M,120.00M,-172.77M,-7.803M,64.56M,1.362M,,AOR,Restated
2016-03,67.67M,0.08M,0.08M,33.58M,33.58M,-0.604M,5.269M,,5.269M,,-186.32M,6.652M,139.62M,,,-0.299M,-40.35M,65.64M,,-36.73M,0.02M,0.02M,,,-36.71M,,99.75M,99.75M,10.04M,-99.94M,-89.90M,-26.71M,-26.71M,-1.38M,-18.24M,,63.81M,10.69M,74.50M,,10.04M,475.00M,-375.25M,-99.94M,8.642M,0.791M,,AOR,Restated
2015-12,111.71M,0.20M,0.20M,32.82M,32.82M,17.35M,4.583M,16.99M,21.58M,,130.19M,-22.69M,-89.52M,,,11.12M,29.10M,212.76M,,-73.03M,0.213M,0.213M,,,-72.82M,,-40.19M,-40.19M,5.335M,-48.75M,-43.41M,-26.89M,-26.89M,-16.99M,-127.48M,,51.35M,12.46M,63.81M,,5.335M,155.00M,-195.19M,-48.75M,51.48M,0.589M,,AOR,Restated
2015-09,87.31M,0.13M,0.13M,30.15M,30.15M,-11.56M,5.002M,-4.094M,0.908M,,-121.42M,-2.783M,79.89M,,,-52.59M,-96.90M,10.04M,,-66.45M,0.07M,0.07M,,,-66.38M,,189.88M,189.88M,5.888M,-121.32M,-115.43M,-27.16M,-27.16M,4.094M,51.38M,,56.32M,-4.965M,51.35M,,5.888M,345.00M,-155.12M,-121.32M,118.12M,1.00M,,AOR,Restated
2015-06,153.33M,0.032M,0.032M,30.31M,30.31M,-11.60M,4.836M,-4.719M,0.117M,,77.82M,2.928M,-129.34M,,,73.50M,24.90M,197.10M,,-48.25M,0.036M,0.036M,,,-48.21M,,-60.11M,-60.11M,9.518M,-76.61M,-67.09M,-27.22M,-27.22M,4.719M,-149.71M,,57.13M,-0.816M,56.32M,,9.518M,70.00M,-130.11M,-76.61M,48.39M,0.23M,,AOR,Restated
2015-03,58.04M,-0.047M,-0.047M,30.28M,30.28M,0.359M,4.999M,-8.181M,-3.182M,,-255.52M,1.477M,206.65M,,,-1.755M,-49.14M,36.31M,,-48.77M,0.265M,0.265M,,,-48.50M,,59.91M,59.91M,20.95M,-49.02M,-28.08M,-21.83M,-21.83M,8.181M,18.19M,,51.13M,5.999M,57.13M,,20.95M,110.00M,-50.09M,-49.02M,8.979M,0.464M,,AOR,Restated
2014-12,112.06M,0.14M,0.14M,30.11M,30.11M,8.502M,4.059M,-11.52M,-7.458M,,180.37M,-16.51M,-108.40M,,,42.79M,98.25M,241.61M,,-35.19M,0.022M,0.022M,,,-35.17M,,-150.06M,-150.06M,11.62M,-54.12M,-42.49M,-21.79M,-21.79M,11.52M,-202.82M,,47.51M,3.624M,51.13M,,11.62M,95.00M,-245.06M,-54.12M,51.56M,0.36M,,AOR,Restated
2014-09,76.60M,0.317M,0.317M,29.39M,29.39M,-15.34M,3.996M,-3.162M,0.834M,,-141.24M,-1.816M,52.24M,,,0.073M,-90.74M,1.06M,,-43.31M,0.143M,0.143M,,,-43.17M,,149.97M,149.97M,3.461M,-100.94M,-97.48M,-22.00M,-22.00M,3.162M,33.65M,,55.96M,-8.455M,47.51M,,3.461M,150.00M,-0.03M,-100.94M,110.77M,0.186M,,AOR,Restated
2014-06,133.41M,-0.011M,-0.011M,27.91M,27.91M,-15.60M,4.177M,-2.481M,1.696M,,70.65M,-0.966M,-27.89M,,,15.38M,57.17M,204.58M,,-40.25M,0.084M,0.084M,,,-40.17M,,-80.02M,-80.02M,6.028M,-62.54M,-56.51M,-22.19M,-22.19M,2.481M,-156.24M,,47.79M,8.176M,55.96M,,6.028M,30.00M,-110.02M,-62.54M,39.31M,0.188M,,AOR,Restated
