,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-09,536.70M,73.50M,610.20M,212.46M,,212.46M,,,195.41M,,,,39.18M,1.057B,,,,,,,5.291B,-482.40M,4.808B,,1.068B,1.068B,,,590.03M,6.466B,7.523B,100.77M,100.77M,,100.77M,,,,,,,392.00M,492.76M,,3.375B,,3.375B,,,,,167.86M,,146.15M,3.521B,4.014B,871.57M,-772.01M,3.284B,869.42M,,,-41.70M,3.342B
2001-06,659.03M,37.50M,696.53M,198.75M,2.66M,201.41M,,,160.15M,29.15M,,,,1.087B,,,,,,,5.110B,-415.74M,4.695B,,1.080B,1.080B,,,610.06M,6.385B,7.472B,93.93M,93.93M,47.06M,140.98M,,,,,267.61M,267.61M,,408.59M,,3.355B,,3.355B,,,,,169.25M,860.25M,120.57M,4.336B,4.744B,2.145M,-642.68M,3.272B,,,,-73.27M,2.558B
2001-03,716.94M,37.50M,754.44M,,,198.41M,,,112.81M,25.59M,,,,1.091B,,,,4.451B,,,4.451B,,4.451B,,1.096B,1.096B,,,231.14M,5.777B,6.869B,83.19M,83.19M,25.18M,108.37M,,,,,289.65M,289.65M,,398.02M,,2.701B,,2.701B,,,,,151.78M,851.35M,99.46M,3.652B,4.050B,2.137M,-537.68M,3.258B,,,,-56.08M,2.667B
2000-12,453.83M,38.00M,491.83M,173.13M,,173.13M,,,40.68M,,,,28.54M,734.18M,0.0,141.79M,4.467B,,,,4.609B,-305.52M,4.303B,,1.113B,1.113B,,,251.79M,5.668B,6.402B,100.77M,100.77M,,100.77M,,,,,,,186.15M,286.92M,,2.603B,,2.603B,,,,,155.34M,842.72M,93.35M,3.539B,3.826B,1.989M,-450.12M,2.894B,,,,-25.10M,2.421B
2000-09,816.94M,,816.94M,,,134.13M,,,53.96M,,,,20.15M,1.025B,,,,,,,4.330B,-248.81M,4.081B,,1.092B,1.092B,,,109.28M,5.282B,6.307B,82.12M,82.12M,,82.12M,,,,,,,161.26M,243.38M,,2.565B,,2.565B,,,,,125.47M,,82.97M,2.648B,2.891B,836.31M,-371.19M,2.855B,834.34M,-30.04M,,-30.04M,3.290B
2000-06,332.05M,,332.05M,,,93.34M,,,32.56M,,,,15.80M,473.75M,,,,,,,3.898B,-200.12M,3.698B,,596.81M,596.81M,,,102.87M,4.398B,4.872B,76.73M,76.73M,,76.73M,,,,,,,108.90M,185.63M,,2.414B,,2.414B,,,,,120.78M,,77.21M,2.491B,2.677B,439.55M,-301.87M,1.952B,437.89M,-16.14M,,-16.14M,2.074B
2000-03,509.50M,,509.50M,,,88.04M,,,24.95M,,,,12.90M,635.39M,,,,,,,3.007B,-155.56M,2.852B,,595.17M,595.17M,,,130.10M,3.577B,4.213B,43.64M,43.64M,,43.64M,,,,,,,99.82M,143.46M,,1.893B,,1.893B,,,,,74.53M,,75.25M,1.968B,2.111B,431.89M,-230.92M,1.831B,430.29M,-5.393M,,-5.393M,2.027B
1999-12,549.30M,,549.30M,,,78.60M,,,19.20M,,,,14.90M,662.00M,,,,,,,2.588B,-119.50M,2.468B,,596.10M,596.10M,,,110.50M,3.175B,3.837B,46.00M,46.00M,,46.00M,,,,,,,85.30M,131.30M,,1.542B,,1.542B,,,,,55.30M,,67.20M,1.610B,1.741B,424.50M,-185.90M,1.805B,422.90M,-3.00M,,-3.00M,2.041B
1999-09,492.20M,,492.20M,,,56.10M,,,15.30M,,,,11.20M,574.80M,,,,,,,2.435B,-88.40M,2.347B,,608.10M,608.10M,,,51.70M,3.007B,3.582B,31.80M,31.80M,,31.80M,,,,,,,73.30M,105.10M,,1.479B,,1.479B,,,,,54.50M,,64.60M,1.543B,1.648B,222.50M,-143.90M,1.800B,220.90M,0.10M,,0.10M,1.879B
1999-06,705.90M,,705.90M,,,41.10M,,,12.60M,,,,7.90M,767.50M,,,,,,,1.638B,-22.80M,1.616B,,608.80M,608.80M,,,37.20M,2.262B,3.029B,22.70M,22.70M,,22.70M,,,,,,,63.10M,85.80M,,1.195B,,1.195B,,,,,52.10M,,46.00M,1.241B,1.326B,214.10M,-110.00M,,214.10M,,,,1.650B
1999-03,101.80M,,101.80M,,,37.10M,,,8.60M,,,,7.30M,154.80M,,,,,,,1.268B,-34.70M,1.233B,,617.80M,617.80M,,,117.90M,1.969B,2.124B,27.40M,27.40M,,27.40M,,,,,,,50.90M,78.30M,,771.20M,,771.20M,,,,,53.10M,,46.90M,818.10M,896.40M,207.50M,-82.50M,,207.50M,,,,1.174B
1998-12,296.50M,,296.50M,,,36.40M,,,6.60M,,,,2.60M,342.10M,,,,,,,615.40M,-22.80M,592.60M,,569.70M,569.70M,,,18.80M,1.181B,1.523B,46.00M,46.00M,,46.00M,,,,,,,46.90M,92.90M,,429.70M,,429.70M,,,,,39.20M,,22.70M,452.40M,545.30M,201.10M,-60.20M,,201.10M,,,,938.70M
1998-09,201.30M,,201.30M,,,34.50M,,,5.20M,,,,2.90M,243.90M,,,,,,,557.70M,-13.20M,544.50M,,563.70M,563.70M,,,17.80M,1.126B,1.370B,30.30M,30.30M,,30.30M,,,,,,,47.00M,77.30M,,494.30M,,494.30M,,,,,38.50M,,4.70M,499.00M,576.30M,,-51.90M,,,,,,755.10M
1998-06,51.30M,,51.30M,,,11.60M,,,1.20M,,,,1.30M,65.40M,,,,,,,139.40M,-7.90M,131.50M,,148.30M,148.30M,,,73.60M,353.40M,418.80M,6.30M,6.30M,,6.30M,,,,,,,3.20M,9.50M,,216.90M,,216.90M,,,,,,,0.80M,217.70M,227.20M,164.90M,-34.20M,,164.90M,,,,191.60M
