,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-06,242.09M,,242.09M,,,49.05M,,,,68.35M,204.31M,83.29M,25.13M,672.22M,,,,,,,7.997B,-3.210B,4.787B,1.985B,2.352B,4.336B,,,557.35M,9.680B,10.35B,26.07M,26.07M,344.69M,370.77M,,20.78M,,20.78M,180.92M,180.92M,,572.47M,,6.368B,,6.368B,76.58M,,327.97M,151.96M,-0.201M,316.12M,133.87M,7.298B,7.871B,2.903M,-2.856B,5.566B,,,,-230.84M,2.482B
2010-03,397.50M,,397.50M,,,41.26M,,,,65.79M,174.72M,110.53M,24.27M,814.07M,,,,,,,7.984B,-3.142B,4.842B,1.985B,2.386B,4.371B,,,533.29M,9.746B,10.56B,24.77M,24.77M,411.34M,436.11M,,19.55M,,19.55M,171.71M,171.71M,,627.38M,,6.369B,,6.369B,107.14M,,351.94M,73.16M,-0.13M,315.89M,136.26M,7.246B,7.873B,2.912M,-2.753B,5.592B,,,,-155.11M,2.687B
2009-12,766.15M,,766.15M,44.43M,,44.43M,,,,68.55M,213.51M,76.09M,,1.196B,0.0,639.07M,36.16M,7.175B,,86.48M,7.937B,-3.041B,4.896B,1.985B,103.17M,2.088B,,474.36M,2.302B,9.761B,10.96B,33.05M,33.05M,324.21M,357.26M,,217.20M,,217.20M,179.65M,179.65M,,754.10M,,6.362B,,6.362B,74.12M,,588.81M,,-0.156M,315.65M,,7.266B,8.021B,2.927M,-2.628B,5.686B,,,,-124.22M,2.936B
2009-09,268.83M,,268.83M,,,33.38M,,,,71.57M,182.72M,99.15M,19.64M,675.29M,0.0,618.34M,36.02M,7.143B,,75.46M,7.873B,-2.946B,4.927B,1.984B,2.443B,4.427B,,216.69M,237.32M,9.808B,10.48B,24.42M,24.42M,337.11M,361.54M,,113.11M,,113.11M,170.06M,170.06M,,644.70M,,6.022B,,6.022B,95.25M,,323.74M,187.39M,-0.719M,315.42M,138.00M,6.987B,7.632B,2.912M,-2.641B,5.652B,,,,-161.33M,2.852B
2009-06,334.99M,,334.99M,,,58.17M,,,,76.54M,190.89M,72.88M,7.771M,741.23M,0.0,605.94M,35.78M,7.076B,,78.42M,7.796B,-2.832B,4.964B,1.984B,2.479B,4.463B,,379.14M,5.00M,9.811B,10.55B,27.32M,27.32M,288.92M,316.24M,,248.72M,,248.72M,167.53M,167.53M,,732.49M,,6.025B,,6.025B,72.75M,,290.68M,119.78M,-1.046M,315.19M,146.00M,6.896B,7.629B,2.908M,-2.604B,5.638B,,,,-111.98M,2.925B
2009-03,609.34M,,609.34M,,,63.00M,,,,68.89M,159.02M,29.44M,7.095M,936.78M,0.0,599.14M,35.51M,6.974B,,84.79M,7.694B,-2.702B,4.992B,1.984B,2.514B,4.498B,,318.04M,5.00M,9.813B,10.75B,26.14M,26.14M,148.48M,174.61M,,225.52M,,225.52M,158.97M,158.97M,,559.10M,,6.277B,,6.277B,33.22M,,240.72M,442.04M,-0.539M,314.96M,140.61M,7.415B,7.974B,2.905M,-2.488B,5.624B,,,,-363.28M,2.776B
2008-12,155.22M,,155.22M,37.62M,29.65M,67.27M,,,,74.30M,147.85M,28.33M,12.20M,485.17M,0.0,596.10M,35.04M,6.940B,,103.62M,7.675B,-2.614B,5.060B,1.984B,110.08M,2.094B,,131.67M,2.591B,9.877B,10.36B,33.81M,33.81M,160.12M,193.93M,,466.22M,,466.22M,174.21M,174.21M,,834.36M,,5.636B,,5.636B,40.45M,,239.84M,488.63M,0.00,314.73M,132.32M,6.811B,7.646B,2.885M,-2.493B,5.615B,,,,-408.33M,2.716B
2008-09,73.10M,,73.10M,29.15M,28.94M,58.09M,,,,82.17M,169.98M,113.54M,10.40M,507.27M,0.0,565.88M,34.78M,6.928B,,85.88M,7.615B,-2.555B,5.060B,1.982B,2.594B,4.575B,,,307.24M,9.943B,10.45B,37.59M,37.59M,92.39M,129.98M,,166.50M,,166.50M,154.04M,154.04M,,450.52M,,5.922B,,5.922B,184.15M,,184.15M,,,314.49M,424.11M,6.845B,7.295B,2.886M,-2.424B,5.607B,,,,-30.59M,3.155B
2008-06,98.75M,,98.75M,30.16M,28.46M,58.62M,,,,81.59M,180.64M,110.14M,9.532M,539.27M,0.0,507.36M,33.85M,6.958B,,75.61M,7.575B,-2.513B,5.062B,1.971B,2.610B,4.580B,,,296.43M,9.939B,10.48B,33.15M,33.15M,90.42M,123.57M,,156.50M,,156.50M,155.30M,155.30M,,435.37M,,5.986B,,5.986B,196.52M,,196.52M,,,314.26M,370.98M,6.868B,7.303B,2.827M,-2.387B,5.536B,,,,22.54M,3.174B
2008-03,97.23M,,97.23M,35.33M,24.83M,60.16M,,,,92.35M,175.88M,109.14M,8.592M,543.36M,0.0,439.76M,32.96M,6.878B,,79.50M,7.430B,-2.408B,5.022B,1.971B,2.640B,4.610B,,,295.02M,9.927B,10.47B,32.38M,32.38M,106.46M,138.84M,,156.50M,,156.50M,137.23M,137.23M,,432.57M,,5.987B,,5.987B,238.38M,,238.38M,,,314.03M,452.44M,6.992B,7.424B,2.823M,-2.442B,5.525B,,,,-40.44M,3.046B
2007-12,75.24M,,75.24M,33.84M,22.26M,56.10M,,,,72.52M,165.56M,113.49M,14.34M,497.26M,0.0,414.87M,32.68M,6.834B,,74.65M,7.356B,-2.305B,5.051B,1.971B,2.676B,4.647B,,,293.03M,9.991B,10.49B,37.37M,37.37M,108.36M,145.73M,,81.50M,,81.50M,144.76M,144.76M,,371.99M,,5.988B,,5.988B,281.26M,,281.26M,,,313.80M,366.48M,6.949B,7.321B,2.825M,-2.424B,5.561B,,,,26.17M,3.167B
2007-09,119.80M,,119.80M,29.66M,24.36M,54.01M,,,,94.70M,152.90M,,,421.42M,0.0,384.56M,32.17M,6.790B,,52.75M,7.259B,-2.212B,5.047B,1.991B,2.699B,4.690B,,,347.50M,10.08B,10.51B,25.64M,25.64M,96.32M,121.95M,,6.50M,,6.50M,126.88M,126.88M,,255.33M,,5.990B,,5.990B,234.32M,,234.32M,,,313.57M,303.49M,6.841B,7.097B,2.851M,-2.338B,5.676B,,,,69.30M,3.410B
2007-06,92.43M,,92.43M,20.73M,24.80M,45.53M,,,,89.81M,146.60M,,,374.37M,0.0,340.74M,30.34M,6.762B,,95.07M,7.228B,-2.105B,5.123B,1.957B,2.744B,4.700B,,,422.84M,10.25B,10.62B,23.52M,23.52M,87.48M,111.00M,,6.50M,,6.50M,120.91M,120.91M,,238.41M,,5.991B,,5.991B,267.28M,,267.28M,,0.324M,313.34M,298.54M,6.870B,7.108B,2.846M,-2.266B,5.661B,,,,114.46M,3.512B
2007-03,124.54M,,124.54M,18.48M,21.64M,40.12M,,,,86.23M,159.58M,,,410.47M,0.0,303.20M,17.72M,6.730B,,87.39M,7.138B,-1.997B,5.141B,1.954B,2.777B,4.731B,,,346.14M,10.22B,10.63B,27.51M,27.51M,95.43M,122.95M,,6.50M,,6.50M,130.35M,130.35M,,259.79M,,5.990B,,5.990B,256.67M,,256.67M,,27.50M,313.10M,291.11M,6.851B,7.110B,2.841M,-2.228B,5.657B,,,,58.64M,3.490B
2006-12,592.72M,,592.72M,23.02M,21.18M,44.20M,,,,41.26M,115.50M,1.98M,5.658M,801.32M,0.0,145.64M,17.66M,4.885B,,83.37M,5.131B,-1.885B,3.246B,391.45M,235.38M,626.83M,,,332.87M,4.206B,5.007B,18.54M,18.54M,79.55M,98.09M,,,,,102.70M,102.70M,,200.80M,,3.514B,,3.514B,1.296M,,1.296M,,29.05M,312.87M,193.28M,4.021B,4.222B,2.021M,-2.185B,2.874B,,56.78M,8.22M,65.00M,756.28M
2006-09,66.08M,,66.08M,16.26M,17.89M,34.15M,,,,42.40M,88.67M,,,231.31M,,,,,,,5.070B,-1.810B,3.260B,390.36M,229.52M,619.88M,,,408.36M,4.288B,4.520B,16.67M,16.67M,8.627M,25.29M,,10.00M,,10.00M,152.24M,152.24M,,187.54M,,2.954B,,2.954B,,,,,27.88M,312.64M,190.06M,3.457B,3.644B,2.019M,-2.173B,2.869B,,,,149.50M,847.57M
2006-06,522.60M,,522.60M,16.56M,17.26M,33.82M,,,,42.38M,102.66M,,,701.45M,,,,,,,4.954B,-1.747B,3.207B,340.41M,,340.41M,,,313.23M,3.861B,4.562B,16.69M,16.69M,9.781M,26.47M,,10.00M,,10.00M,141.31M,141.31M,,177.78M,,2.966B,,2.966B,,,,,26.16M,312.41M,183.02M,3.461B,3.639B,2.068M,-2.068B,2.877B,,,,86.53M,897.17M
2006-03,97.43M,,97.43M,12.16M,14.20M,26.37M,,,,42.79M,93.59M,,,260.18M,,,,,,,4.918B,-1.677B,3.242B,340.41M,,340.41M,,,288.46M,3.871B,4.131B,12.95M,12.95M,7.464M,20.42M,,295.00M,,295.00M,132.96M,132.96M,,448.38M,,1.976B,,1.976B,,,,,25.27M,312.18M,178.36M,2.466B,2.914B,2.16M,-2.050B,3.181B,,,,58.16M,1.191B
2005-12,65.41M,,65.41M,13.05M,13.08M,26.14M,,,,37.81M,91.94M,,,221.30M,0.0,,127.14M,4.778B,,,4.906B,-1.611B,3.294B,340.41M,,340.41M,,,275.28M,3.910B,4.131B,12.23M,12.23M,8.281M,20.51M,,295.00M,,295.00M,148.70M,148.70M,,464.21M,,1.976B,,1.976B,,,,,26.79M,311.94M,174.31M,2.462B,2.926B,2.142M,-2.038B,3.174B,,,,40.44M,1.178B
2005-09,71.35M,,71.35M,10.38M,10.21M,20.60M,,,3.732M,34.30M,,,77.54M,207.52M,,,,,,,4.894B,-1.567B,3.327B,,341.94M,341.94M,,,286.71M,3.955B,4.163B,11.06M,11.06M,18.88M,29.94M,,145.00M,,145.00M,109.97M,109.97M,,284.91M,,1.976B,,1.976B,,,,,27.52M,509.04M,166.56M,2.651B,2.936B,2.137M,-2.013B,3.162B,,,,48.27M,1.199B
2005-06,258.96M,,258.96M,8.941M,4.118M,13.06M,,,4.318M,28.00M,,,86.65M,390.99M,,,,,,,4.740B,-1.497B,3.243B,,333.72M,333.72M,,,230.27M,3.807B,4.198B,10.40M,10.40M,17.16M,27.56M,,52.93M,,52.93M,117.13M,117.13M,,197.61M,,1.976B,,1.976B,,,,,28.19M,508.71M,163.61M,2.648B,2.846B,2.173M,-1.975B,3.263B,,,,34.51M,1.324B
2005-03,383.08M,,383.08M,8.293M,9.578M,17.87M,,,4.933M,27.46M,,,3.048M,436.38M,,,,,,,4.734B,-1.430B,3.305B,,333.72M,333.72M,,,228.68M,3.867B,4.303B,6.765M,6.765M,37.22M,43.98M,,182.56M,,182.56M,113.62M,113.62M,0.64M,340.81M,,1.552B,,1.552B,,,,,29.40M,508.37M,162.36M,2.223B,2.564B,2.255M,-1.738B,3.412B,,,,33.86M,1.710B
2004-12,566.71M,,566.71M,16.37M,18.39M,34.76M,,,,33.55M,,,3.693M,638.71M,0.0,,116.77M,4.612B,,,4.728B,-1.353B,3.375B,332.49M,,332.49M,,,228.34M,3.936B,4.575B,12.17M,12.17M,58.75M,70.92M,,97.25M,,97.25M,116.33M,116.33M,0.568M,285.06M,,1.753B,,1.753B,,,,,32.02M,508.04M,146.80M,2.408B,2.693B,2.241M,-1.587B,3.387B,,,,47.53M,1.849B
2004-09,908.50M,,908.50M,29.98M,10.48M,40.46M,,,8.368M,31.92M,,,,989.24M,,,,,,,4.673B,-1.090B,3.583B,,267.07M,267.07M,,,133.10M,3.983B,4.973B,8.963M,8.963M,42.55M,51.51M,,,,,121.30M,121.30M,,172.81M,,1.899B,,1.899B,,,,,211.18M,507.71M,54.04M,2.461B,2.633B,2.236M,-1.273B,3.363B,,,,35.33M,2.128B
2004-06,232.50M,,232.50M,34.12M,1.536M,35.65M,,,9.308M,30.71M,,,2.021B,2.329B,,,,,,,4.651B,-1.029B,3.622B,,267.07M,267.07M,,,151.98M,4.041B,6.370B,9.06M,9.06M,54.10M,63.16M,,1.275B,,1.275B,97.04M,97.04M,355.07M,1.791B,,1.899B,,1.899B,,,,,207.70M,507.37M,52.80M,2.459B,4.250B,2.253M,-1.724B,3.380B,,,,254.59M,1.913B
