,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.486B,1.486B,487.00M,999.00M,,154.00M,,,-100.00M,162.00M,0.00,-168.00M,,560.00M,439.00M,0.00,162.00M,-168.00M,-103.00M,-168.00M,168.00M,5.00M,163.00M,,,,,163.00M,260.02M,736.00M,406.00M,330.00M,0.38,,,,0.6072,0.38,0.38,,,,0.6062,0.38,427.00M,429.00M,1.2
2020-06,1.44B,1.44B,486.00M,954.00M,,164.00M,,,-5.00M,172.00M,1.00M,-177.00M,,566.00M,388.00M,1.00M,172.00M,-177.00M,-5.00M,-177.00M,206.00M,6.00M,200.00M,,,,28.00M,200.00M,204.85M,780.00M,402.00M,378.00M,0.41,,,,0.4216,0.41,0.41,,,,0.4216,0.41,417.00M,419.00M,1.2
2020-03,1.421B,1.421B,474.00M,947.00M,,175.00M,,,-9.00M,174.00M,1.00M,-174.00M,,574.00M,373.00M,1.00M,174.00M,-174.00M,-9.00M,-174.00M,190.00M,5.00M,185.00M,,,,28.00M,185.00M,193.76M,763.00M,399.00M,364.00M,0.38,,,,0.4011,0.38,0.38,,,,0.401,0.38,416.00M,418.00M,1.2
2019-12,1.426B,1.426B,484.00M,942.00M,,157.00M,,,-9.00M,167.00M,1.00M,-172.00M,,554.00M,388.00M,1.00M,167.00M,-172.00M,-2.00M,-172.00M,214.00M,6.00M,208.00M,,,,28.00M,208.00M,216.75M,778.00M,397.00M,381.00M,0.43,,,,0.451,0.43,0.43,,,,0.4509,0.43,416.00M,418.00M,1.2
2019-09,1.482B,1.482B,515.00M,967.00M,,150.00M,,,-6.00M,168.00M,2.00M,-171.00M,,538.00M,429.00M,2.00M,168.00M,-171.00M,-11.00M,-171.00M,247.00M,5.00M,242.00M,,,,28.00M,242.00M,247.88M,803.00M,388.00M,415.00M,0.51,,,,0.5241,0.51,0.51,,,,0.5241,0.51,416.00M,418.00M,1.125
2019-06,1.447B,1.447B,502.00M,945.00M,,155.00M,,,-9.00M,164.00M,1.00M,-168.00M,,548.00M,397.00M,1.00M,164.00M,-168.00M,-9.00M,-168.00M,220.00M,4.00M,216.00M,,,,28.00M,216.00M,224.84M,777.00M,393.00M,384.00M,0.45,,,,0.4712,0.45,0.45,,,,0.4711,0.45,416.00M,418.00M,1.125
2019-03,1.408B,1.408B,485.00M,923.00M,,152.00M,,,-11.00M,167.00M,2.00M,-166.00M,,546.00M,377.00M,2.00M,167.00M,-166.00M,-12.00M,-166.00M,199.00M,6.00M,193.00M,,,,28.00M,193.00M,203.67M,760.00M,394.00M,366.00M,0.4,,,,0.4257,0.4,0.4,,,,0.4256,0.4,415.00M,417.00M,1.125
2018-12,1.366B,1.366B,483.00M,883.00M,,145.00M,,,-17.00M,147.00M,1.00M,-163.00M,,534.00M,349.00M,1.00M,147.00M,-163.00M,-16.00M,-163.00M,170.00M,6.00M,164.00M,,,,28.00M,164.00M,180.40M,706.00M,389.00M,317.00M,0.45,,,,0.4897,0.45,0.44,,,,0.4792,0.44,413.00M,418.00M,1.125
2018-09,1.375B,1.375B,474.00M,901.00M,145.00M,145.00M,,,-44.00M,158.00M,1.00M,-159.00M,,530.00M,371.00M,1.00M,158.00M,-159.00M,-43.00M,-159.00M,169.00M,5.00M,164.00M,,,,28.00M,164.00M,206.70M,712.00M,385.00M,327.00M,0.33,,,,0.4329,0.33,0.33,,,,0.4326,0.33,415.00M,416.00M,1.05
2018-06,1.33B,1.33B,454.00M,876.00M,138.00M,138.00M,,,-17.00M,157.00M,1.00M,-157.00M,,517.00M,359.00M,1.00M,157.00M,-157.00M,-17.00M,-157.00M,185.00M,5.00M,180.00M,,,,28.00M,180.00M,196.54M,721.00M,379.00M,342.00M,0.37,,,,0.4099,0.37,0.36,,,,0.3998,0.36,415.00M,416.00M,1.05
