,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,161.77M,,,,10.62M,14.12M,24.74M,24.74M,-2.42M,4.43M,,4.43M,-22.00M,14.66M,42.58M,1.317M,,36.56M,225.08M,-20.34M,1.021M,-19.32M,0.00,-0.14M,-19.46M,9.196M,,9.196M,,-200.00M,-200.00M,8.444M,0.00,-182.36M,127.28M,23.26M,3.148M,153.69M,,72.26M,-63.07M,-200.00M
2020-06,126.56M,,,,10.19M,13.89M,24.08M,24.08M,-0.852M,4.423M,,4.423M,31.18M,-5.407M,9.092M,-5.839M,,29.02M,183.24M,-18.25M,2.025M,-16.23M,-0.632M,0.727M,-16.13M,-372.98M,,-372.98M,,0.00,0.00,10.62M,0.00,-362.36M,323.58M,-195.26M,-1.05M,127.28M,,243.83M,-616.81M,0.00
2020-03,98.12M,,,,10.13M,14.00M,24.13M,24.13M,-3.718M,4.395M,,4.395M,39.91M,-20.67M,-72.43M,-4.211M,,-57.41M,65.52M,-18.84M,,-18.84M,-5.61M,-10.01M,-34.45M,280.95M,,280.95M,,-200.00M,-200.00M,7.135M,-0.80M,87.28M,207.78M,118.35M,-2.546M,323.58M,,832.27M,-551.32M,-200.00M
2019-12,192.75M,,,,9.643M,12.81M,22.46M,22.46M,13.33M,5.002M,,-13.15M,-54.50M,12.89M,2.271M,7.378M,,-31.96M,201.71M,-25.71M,0.174M,-25.54M,0.00,2.939M,-22.60M,111.38M,,111.38M,,-216.25M,-216.25M,9.665M,0.00,-95.20M,120.53M,83.90M,3.347M,207.78M,,627.37M,-515.99M,-216.25M
2019-09,129.40M,,,,9.958M,12.33M,22.29M,22.29M,-3.082M,4.463M,,4.463M,-13.58M,-0.646M,35.00M,2.035M,,22.81M,175.88M,-26.93M,0.032M,-26.90M,-1.50M,-2.873M,-31.27M,40.82M,,40.82M,,-186.25M,-186.25M,0.159M,0.00,-145.28M,124.44M,-0.668M,-3.237M,120.53M,,168.88M,-128.07M,-186.25M
2019-06,127.16M,,,,9.623M,12.33M,21.95M,21.95M,0.058M,4.338M,,4.338M,-8.736M,-3.756M,-10.87M,-3.07M,,-26.44M,127.07M,-22.37M,1.216M,-21.15M,-0.504M,-6.028M,-27.68M,75.04M,,75.04M,,-186.25M,-186.25M,8.767M,1.753M,-100.69M,126.48M,-1.303M,-0.738M,124.44M,,336.12M,-261.08M,-186.25M
2019-03,111.80M,,,,9.767M,12.22M,21.99M,21.99M,-14.94M,4.482M,,4.482M,45.41M,-13.09M,-50.18M,-6.678M,,-24.54M,98.80M,-22.33M,,-22.33M,0.00,4.802M,-17.53M,31.06M,,31.06M,,-186.25M,-186.25M,28.99M,-10.00M,-136.20M,178.11M,-54.93M,3.304M,126.48M,,302.71M,-271.65M,-186.25M
2018-12,181.19M,,,,9.278M,11.96M,21.24M,21.24M,17.80M,5.074M,,-18.53M,-45.56M,5.029M,32.57M,-0.241M,,-8.202M,198.57M,-46.06M,0.381M,-45.68M,-0.565M,1.899M,-44.35M,-4.279M,,-4.279M,,-118.75M,-118.75M,9.823M,-0.25M,-113.46M,137.45M,40.77M,-0.108M,178.11M,,168.34M,-172.62M,-118.75M
2018-09,126.65M,,,,9.283M,11.86M,21.14M,21.14M,-1.792M,4.269M,,-1.506M,-8.492M,-6.265M,15.65M,0.019M,,0.911M,149.67M,-35.08M,3.279M,-31.80M,-4.462M,-7.822M,-44.08M,-32.09M,,-32.09M,,-118.75M,-118.75M,4.817M,-0.029M,-146.05M,183.19M,-40.46M,-5.284M,137.45M,,169.09M,-201.18M,-118.75M
2018-06,111.47M,,,,9.449M,11.97M,21.42M,21.42M,-3.693M,3.882M,,0.069M,-19.79M,-4.252M,32.67M,-1.575M,,7.05M,140.20M,-31.81M,0.023M,-31.79M,0.00,3.738M,-28.05M,95.26M,,95.26M,,-118.75M,-118.75M,4.291M,-1.635M,-20.84M,98.95M,91.31M,-7.068M,183.19M,,266.67M,-171.41M,-118.75M
2018-03,93.30M,,,,9.157M,11.74M,20.89M,20.89M,-6.416M,4.354M,,-1.269M,54.30M,-15.71M,-75.32M,2.419M,,-34.30M,76.56M,-29.77M,4.507M,-25.27M,-0.50M,3.304M,-22.46M,5.398M,,5.398M,,-118.75M,-118.75M,5.669M,,-107.68M,148.69M,-53.58M,3.844M,98.95M,,336.51M,-331.11M,-118.75M
2017-12,76.98M,3.394M,,3.394M,9.037M,11.66M,20.70M,20.70M,76.99M,4.759M,,-3.378M,-40.88M,9.916M,20.34M,-3.725M,,-14.35M,165.09M,-41.60M,1.536M,-40.06M,0.00,2.838M,-37.23M,-92.61M,,-92.61M,,-65.00M,-65.00M,5.334M,0.00,-152.28M,169.09M,-24.41M,4.012M,148.69M,,258.50M,-351.11M,-65.00M
2017-09,104.95M,0.00,,0.00,8.502M,10.72M,19.22M,19.22M,-3.914M,4.03M,,-0.003M,-21.65M,-2.432M,47.95M,-2.291M,,21.58M,145.86M,-37.30M,0.228M,-37.07M,-107.75M,4.749M,-140.07M,93.87M,,93.87M,,-85.05M,-85.05M,6.38M,0.00,15.20M,146.33M,21.00M,1.757M,169.09M,,312.77M,-218.90M,-85.05M
2017-06,101.58M,0.00,,0.00,7.953M,10.25M,18.20M,18.20M,-2.37M,3.971M,,0.24M,0.252M,-5.369M,19.46M,1.81M,,16.16M,137.78M,-27.51M,0.206M,-27.31M,-0.697M,-1.345M,-29.35M,-5.092M,,-5.092M,,-124.95M,-124.95M,8.734M,-7.205M,-128.52M,164.89M,-20.09M,1.528M,146.33M,,200.19M,-205.28M,-124.95M
2017-03,92.47M,-3.394M,,-3.394M,7.966M,10.04M,18.01M,18.01M,-1.47M,3.822M,,-0.01M,23.29M,-15.80M,-47.28M,-2.045M,,-41.83M,67.60M,-21.02M,10.00M,-11.01M,0.00,0.312M,-10.70M,62.85M,,62.85M,,-125.00M,-125.00M,8.201M,,-53.94M,158.67M,2.954M,3.265M,164.89M,,472.73M,-409.88M,-125.00M
2016-12,137.78M,,0.00,0.00,8.216M,9.886M,18.10M,18.10M,12.96M,4.445M,,0.175M,-56.87M,7.426M,25.59M,3.849M,,-20.01M,153.44M,-72.72M,0.062M,-72.66M,-1.70M,1.428M,-72.93M,57.52M,,57.52M,,-125.00M,-125.00M,5.284M,0.00,-62.19M,146.13M,18.32M,-5.778M,158.67M,,195.79M,-138.26M,-125.00M
2016-09,101.33M,0.00,0.00,0.00,8.411M,9.087M,17.50M,17.50M,-2.226M,3.612M,,0.107M,-0.468M,0.172M,24.95M,-0.039M,,24.61M,144.94M,-22.38M,0.143M,-22.23M,-105.35M,0.956M,-126.63M,131.20M,,131.20M,,-125.00M,-125.00M,6.222M,0.00,12.42M,114.65M,30.73M,0.756M,146.13M,,317.43M,-186.23M,-125.00M
2016-06,79.59M,0.00,8.189M,8.189M,7.994M,8.655M,16.65M,16.65M,-5.548M,3.593M,,-0.024M,-23.42M,-9.762M,53.67M,-2.066M,,18.42M,120.87M,-14.51M,0.083M,-14.43M,0.00,-1.053M,-15.48M,17.93M,,17.93M,,-125.00M,-125.00M,8.056M,-0.555M,-99.57M,110.60M,5.826M,-1.775M,114.65M,,163.15M,-145.22M,-125.00M
2016-03,65.67M,0.00,,0.00,8.122M,8.424M,16.55M,16.55M,-3.304M,3.656M,,-0.077M,28.61M,-10.27M,-57.88M,-1.453M,,-40.99M,41.50M,-14.35M,0.135M,-14.21M,-4.329M,2.128M,-16.41M,104.95M,,104.95M,,-125.00M,-125.00M,5.909M,-0.125M,-14.27M,98.89M,10.82M,0.887M,110.60M,,229.41M,-124.47M,-125.00M
2015-12,123.35M,,0.00,0.00,8.109M,8.022M,16.13M,16.13M,10.38M,3.875M,1.418M,-0.01M,-24.50M,8.229M,16.61M,-5.521M,,-5.176M,149.97M,-25.75M,0.668M,-25.08M,-2.81M,0.148M,-27.74M,-27.72M,,-27.72M,,-123.74M,-123.74M,7.722M,-2.352M,-146.10M,123.30M,-23.87M,-0.542M,98.89M,,191.86M,-219.59M,-123.74M
2015-09,88.86M,,,,8.32M,7.767M,16.09M,16.09M,-0.564M,3.367M,-0.14M,0.076M,4.359M,-8.355M,20.99M,1.361M,,18.35M,126.04M,-20.83M,0.154M,-20.68M,-10.67M,7.248M,-24.10M,-4.416M,,-4.416M,,-123.75M,-123.75M,4.096M,-0.01M,-124.08M,149.31M,-22.14M,-3.871M,123.30M,,56.55M,-60.97M,-123.75M
2015-06,77.56M,,0.00,0.00,8.357M,7.634M,15.99M,15.99M,-1.011M,3.485M,-0.837M,0.105M,-16.42M,-0.956M,28.41M,-1.142M,,9.899M,105.19M,-17.38M,0.085M,-17.30M,-0.10M,-4.427M,-21.83M,106.02M,,106.02M,,-123.73M,-123.73M,8.192M,-0.017M,-9.536M,75.36M,73.83M,0.123M,149.31M,,342.45M,-236.44M,-123.73M
2015-03,63.05M,,,,8.301M,7.528M,15.83M,15.83M,-1.67M,3.496M,-0.441M,-0.016M,38.18M,-17.70M,-42.31M,0.183M,,-21.65M,58.60M,-18.54M,0.042M,-18.50M,-0.20M,-8.384M,-27.08M,73.51M,,73.51M,,-123.74M,-123.74M,9.546M,0.441M,-40.25M,85.26M,-8.733M,-1.171M,75.36M,,151.00M,-77.49M,-123.74M
2014-12,121.17M,,,,8.148M,7.61M,15.76M,15.76M,21.46M,3.827M,6.902M,0.112M,-35.82M,8.722M,3.86M,-5.322M,,-28.56M,140.67M,-27.98M,0.295M,-27.68M,-2.399M,-0.059M,-30.14M,-31.48M,,-31.48M,,-117.52M,-117.52M,7.002M,-7.761M,-149.77M,126.31M,-39.24M,-1.813M,85.26M,,115.86M,-147.34M,-117.52M
2014-09,85.00M,,,,8.595M,7.198M,15.79M,15.79M,-2.66M,3.281M,-0.89M,0.025M,3.346M,-4.291M,19.94M,7.724M,,26.72M,127.26M,-24.29M,0.137M,-24.15M,-0.13M,0.263M,-24.02M,21.04M,,21.04M,,-112.50M,-112.50M,5.013M,-0.051M,-86.50M,111.01M,16.75M,-1.449M,126.31M,,202.96M,-181.92M,-112.50M
2014-06,74.02M,,,,8.454M,7.283M,15.74M,15.74M,-2.747M,3.302M,-5.074M,0.037M,-1.533M,-0.19M,23.10M,1.479M,,22.86M,108.13M,-20.40M,0.107M,-20.30M,-2.864M,0.154M,-23.01M,0.757M,,0.757M,,-101.48M,-101.48M,5.582M,5.074M,-90.07M,115.80M,-4.942M,0.15M,111.01M,,164.14M,-163.38M,-101.48M
2014-03,58.05M,,,,8.42M,7.094M,15.51M,15.51M,-0.695M,3.201M,-4.495M,0.037M,41.50M,-13.54M,-57.24M,0.511M,,-28.77M,42.84M,-16.72M,0.189M,-16.53M,-0.391M,-0.235M,-17.15M,52.65M,,52.65M,,-82.50M,-82.50M,3.45M,4.495M,-21.90M,111.87M,3.789M,0.141M,115.80M,,145.88M,-93.23M,-82.50M
2013-12,110.16M,,,,8.741M,6.935M,15.68M,15.68M,16.62M,3.651M,-1.282M,0.091M,-62.84M,10.87M,10.59M,4.973M,,-36.41M,108.51M,-25.35M,0.003M,-25.35M,-2.448M,,-29.02M,11.92M,,11.92M,,-77.56M,-77.56M,3.755M,1.61M,-60.28M,92.22M,19.22M,0.434M,111.87M,,173.95M,-162.03M,-77.56M
2013-09,74.33M,,,,8.577M,6.675M,15.25M,15.25M,-2.12M,3.136M,-0.046M,-0.001M,21.26M,-11.19M,19.85M,2.323M,,32.24M,122.78M,-20.22M,0.093M,-20.13M,0.00,,-20.13M,-61.69M,,-61.69M,,-72.57M,-72.57M,3.441M,-0.634M,-131.45M,120.22M,-28.79M,0.799M,92.22M,,170.99M,-232.68M,-72.57M
2013-06,69.06M,,,,8.566M,5.807M,14.37M,14.37M,-2.333M,3.047M,-0.263M,0.382M,-8.067M,-3.141M,24.87M,-6.972M,,6.692M,90.96M,-17.76M,0.079M,-17.68M,-0.213M,,-17.90M,22.16M,,22.16M,,-72.54M,-72.54M,5.48M,-0.424M,-45.33M,93.21M,27.73M,-0.724M,120.22M,,69.15M,-47.00M,-72.54M
2013-03,52.54M,,,,8.881M,5.122M,14.00M,14.00M,-3.354M,2.805M,-0.256M,0.026M,20.65M,-5.017M,-59.01M,1.282M,,-42.10M,23.67M,-19.02M,0.036M,-18.98M,0.00,,-18.98M,52.62M,,52.62M,,-72.30M,-72.30M,7.069M,-0.227M,-12.83M,101.70M,-8.143M,-0.35M,93.21M,,141.96M,-89.33M,-72.30M
2012-12,104.63M,,,,9.143M,5.586M,14.73M,14.73M,12.31M,3.961M,-8.863M,0.073M,-28.95M,18.63M,-1.212M,-3.585M,,-15.12M,111.73M,-31.30M,0.082M,-31.21M,0.00,,-31.21M,-27.53M,,-27.53M,,-70.82M,-70.82M,5.741M,8.314M,-84.30M,105.37M,-3.788M,0.116M,101.70M,,150.63M,-178.16M,-70.82M
2012-09,72.18M,,,,8.172M,5.215M,13.39M,13.39M,-2.131M,3.27M,-0.162M,0.124M,-3.459M,6.372M,9.397M,4.948M,,17.26M,103.93M,-21.06M,0.191M,-20.87M,-0.557M,,-21.42M,-44.35M,,-44.35M,,-72.08M,-72.08M,2.922M,-0.079M,-113.59M,134.77M,-31.09M,1.697M,105.37M,,213.24M,-257.59M,-72.08M
2012-06,61.70M,,,,8.331M,5.357M,13.69M,13.69M,-2.697M,2.651M,-0.064M,0.376M,-17.41M,13.53M,15.27M,4.203M,,15.59M,91.25M,-24.70M,0.066M,-24.64M,-1.541M,,-26.18M,-12.80M,,-12.80M,,-72.04M,-72.04M,0.426M,-0.315M,-84.73M,156.19M,-19.66M,-1.765M,134.77M,,20.67M,-33.47M,-72.04M
2012-03,52.33M,,,,7.775M,5.199M,12.97M,12.97M,-2.061M,3.303M,-0.276M,0.882M,41.06M,8.30M,-93.73M,-1.983M,,-46.35M,20.80M,-18.53M,0.087M,-18.44M,,,-18.44M,-33.00M,,-33.00M,,-63.72M,-63.72M,12.84M,0.112M,-83.77M,235.60M,-81.42M,2.006M,156.19M,,60.88M,-93.88M,-63.72M
2011-12,94.28M,,,,8.319M,5.066M,13.38M,13.38M,12.34M,3.435M,-6.353M,0.05M,-35.58M,18.04M,-4.26M,7.872M,,-13.93M,103.22M,-33.99M,0.083M,-33.91M,-0.711M,0.00,-34.62M,-73.36M,,-73.36M,,-33.40M,-33.40M,9.581M,3.036M,-94.14M,262.47M,-25.55M,-1.322M,235.60M,,403.61M,-476.97M,-33.40M
2011-09,68.20M,,,,8.516M,4.795M,13.31M,13.31M,-1.695M,3.113M,-1.328M,-0.059M,-22.51M,-4.69M,39.17M,-9.402M,,2.573M,84.11M,-23.99M,0.10M,-23.89M,-19.20M,-0.021M,-43.11M,-46.98M,,-46.98M,,-57.00M,-57.00M,4.606M,-6.60M,-105.97M,328.76M,-64.97M,-1.322M,262.47M,,19.55M,-66.53M,-57.00M
2011-06,107.02M,,,,7.471M,4.325M,11.80M,11.80M,-1.465M,2.535M,-2.584M,-47.32M,-10.48M,-11.39M,38.12M,0.804M,,17.05M,87.03M,-22.96M,2.254M,-20.70M,-0.931M,0.02M,-21.62M,-57.76M,-17.30M,-75.05M,,-57.00M,-57.00M,3.52M,2.738M,-125.80M,388.10M,-60.38M,1.042M,328.76M,,17.66M,-92.71M,-57.00M
2011-03,,,,,7.383M,3.622M,11.00M,11.00M,-6.593M,3.187M,-2.347M,46.80M,14.60M,-22.24M,-38.32M,0.425M,,-45.53M,6.524M,-17.56M,0.048M,-17.51M,-14.53M,-0.902M,-32.94M,,17.30M,17.30M,,-57.18M,-57.18M,3.063M,2.26M,-34.56M,447.58M,-60.98M,1.506M,388.10M,,28.78M,-11.49M,-57.18M
2010-12,232.15M,,,,7.425M,4.229M,11.65M,11.65M,11.45M,3.334M,-5.607M,-147.94M,-37.62M,1.197M,5.248M,-10.85M,,-42.03M,63.01M,-35.38M,0.193M,-35.19M,9.243M,,-26.05M,,-41.58M,343.46M,,-91.20M,-91.20M,8.211M,5.958M,266.42M,142.88M,303.38M,1.313M,447.58M,,620.88M,-277.42M,-91.20M
2010-09,,,,,7.796M,3.667M,11.46M,11.46M,-2.858M,3.042M,-0.692M,62.10M,-6.704M,-17.98M,44.58M,-6.934M,,12.96M,86.01M,-18.76M,0.055M,-18.71M,0.00,,-18.71M,,36.50M,36.50M,,-76.00M,-76.00M,2.86M,-2.711M,-39.35M,111.59M,27.95M,3.341M,142.88M,,41.55M,-5.057M,-76.00M
2010-06,-37.87M,,,,7.018M,3.565M,10.58M,10.58M,-2.728M,2.994M,-1.798M,89.32M,-14.65M,-12.61M,41.84M,-0.318M,,14.27M,74.76M,-9.342M,0.065M,-9.277M,-0.029M,,-9.306M,,0.433M,0.433M,,-43.61M,-43.61M,6.379M,-1.931M,-38.73M,85.88M,26.73M,-1.018M,111.59M,,28.29M,-27.86M,-43.61M
2010-03,37.87M,,,,7.447M,3.381M,10.83M,10.83M,-1.806M,3.015M,-0.92M,0.029M,3.949M,-11.02M,4.561M,-2.007M,,-4.52M,44.49M,-10.46M,0.037M,-10.42M,-12.53M,,-22.95M,,4.652M,4.652M,,-29.18M,-29.18M,3.005M,1.111M,-20.41M,85.03M,1.129M,-0.277M,85.88M,,23.85M,-19.20M,-29.18M
2009-12,69.44M,,,,7.708M,3.11M,10.82M,10.82M,19.54M,3.10M,-1.528M,-0.052M,-28.64M,-2.501M,-27.04M,0.995M,,-57.18M,44.13M,-23.40M,0.102M,-23.29M,-14.45M,,-37.74M,,-35.50M,-35.50M,,-5.988M,-5.988M,4.995M,1.164M,-35.33M,113.95M,-28.94M,0.025M,85.03M,,63.36M,-98.86M,-5.988M
2009-09,41.54M,,,,7.573M,3.237M,10.81M,10.81M,-4.976M,2.735M,-0.407M,-0.097M,8.094M,-2.292M,27.10M,-2.931M,,29.97M,79.58M,-12.63M,0.062M,-12.56M,0.00,,-12.56M,,-76.45M,-76.45M,,0.00,0.00,1.464M,0.468M,-74.52M,119.73M,-7.499M,1.721M,113.95M,,30.17M,-106.62M,0.00
2009-06,27.73M,,,,7.304M,2.814M,10.12M,10.12M,-6.935M,2.631M,-0.164M,0.353M,12.25M,7.106M,23.19M,-2.25M,,40.29M,74.02M,-11.57M,0.049M,-11.52M,0.00,,-11.52M,-26.05M,-49.43M,-75.48M,,0.00,0.00,1.649M,-2.497M,-76.33M,130.77M,-13.82M,2.778M,119.73M,,109.71M,-185.19M,0.00
2009-03,33.88M,,,,7.049M,2.683M,9.732M,9.732M,-3.862M,2.901M,-0.038M,-0.038M,45.37M,5.504M,-56.96M,-1.615M,,-7.703M,34.87M,-12.45M,1.868M,-10.58M,-0.17M,,-10.75M,26.05M,,26.05M,,0.00,0.00,2.96M,-0.282M,28.73M,78.07M,52.84M,-0.148M,130.77M,,58.19M,-32.14M,0.00
2008-12,62.92M,-0.088M,,-0.088M,6.793M,2.753M,9.546M,9.546M,12.09M,1.32M,-0.61M,0.71M,-14.41M,19.12M,-31.37M,3.997M,,-22.66M,62.52M,-23.55M,0.123M,-23.42M,-0.392M,,-23.82M,,-67.55M,-67.55M,,-4.375M,-4.375M,1.909M,0.718M,-69.30M,111.04M,-30.59M,-2.374M,78.07M,,70.89M,-138.44M,-4.375M
2008-09,52.72M,-0.568M,,-0.568M,7.20M,2.728M,9.928M,9.928M,-1.702M,2.305M,-0.32M,6.756M,-5.267M,1.652M,17.86M,-0.396M,,13.85M,76.59M,-17.25M,0.536M,-16.71M,-0.303M,,-17.02M,,39.42M,39.42M,,-69.07M,-69.07M,0.864M,-3.28M,-32.06M,85.52M,27.51M,-1.999M,111.04M,,66.58M,-27.15M,-69.07M
2008-06,48.85M,-0.004M,,-0.004M,7.69M,2.667M,10.36M,10.36M,-5.804M,2.547M,-0.46M,0.00,-7.872M,-6.905M,32.39M,2.776M,,20.39M,75.88M,-12.83M,0.172M,-12.66M,-0.304M,,-12.96M,,-4.147M,-4.147M,,-57.61M,-57.61M,1.236M,1.141M,-59.38M,80.68M,3.53M,1.31M,85.52M,,45.10M,-49.25M,-57.61M
2008-03,38.28M,-2.699M,,-2.699M,7.304M,2.405M,9.709M,9.709M,-0.451M,2.526M,-0.219M,-0.377M,27.60M,-14.27M,-41.86M,-10.09M,,-38.61M,8.154M,-7.379M,12.48M,5.097M,0.00,,5.097M,,79.31M,79.31M,,-98.61M,-98.61M,1.219M,0.296M,-17.79M,81.22M,-4.535M,3.997M,80.68M,,124.03M,-44.72M,-98.61M
2007-12,63.27M,,,-0.047M,7.163M,2.974M,10.14M,10.14M,28.89M,,,-2.394M,-47.46M,2.132M,23.99M,0.022M,-19.41M,-40.73M,59.13M,-22.72M,2.865M,-19.85M,0.00,,-19.85M,,,20.80M,9.687M,-70.36M,-60.68M,,4.35M,-35.53M,75.38M,3.751M,2.086M,81.22M,9.687M,,,-70.36M
2007-09,43.77M,,,-0.761M,6.584M,2.825M,9.409M,9.409M,-2.353M,,,1.467M,9.591M,-2.839M,0.759M,0.254M,16.90M,24.67M,76.20M,-8.529M,2.252M,-6.277M,-0.106M,,-6.383M,,,10.87M,1.076M,-108.60M,-107.53M,,0.58M,-96.07M,99.71M,-26.25M,1.931M,75.38M,1.076M,,,-108.60M
2007-06,41.03M,,,0.10M,6.463M,2.958M,9.421M,9.421M,-1.926M,,,-0.13M,-8.489M,-1.958M,2.216M,-1.771M,22.09M,12.08M,60.58M,-8.44M,0.94M,-7.50M,,,-7.50M,,,11.94M,4.431M,-68.96M,-64.53M,,2.188M,-50.41M,95.53M,2.673M,1.504M,99.71M,4.431M,,,-68.96M
2007-03,30.43M,,,0.005M,6.454M,2.925M,9.379M,9.379M,-2.375M,,,-0.374M,18.20M,-10.86M,-0.562M,-7.464M,-4.078M,-4.762M,32.30M,-7.857M,0.206M,-7.651M,,,-7.651M,,,-13.51M,6.023M,-76.94M,-70.92M,,2.455M,-81.98M,151.27M,-57.32M,1.584M,95.53M,6.023M,,,-76.94M
2006-12,52.02M,,,0.23M,6.752M,3.005M,9.757M,9.757M,13.96M,,,-1.215M,-31.18M,15.45M,6.711M,6.59M,-20.46M,-22.90M,51.85M,-13.72M,0.145M,-13.58M,0.00,,-13.58M,,,-16.88M,7.921M,-78.02M,-70.10M,,3.176M,-83.81M,195.36M,-45.54M,1.446M,151.27M,7.921M,,,-78.02M
2006-09,47.04M,,,0.089M,6.422M,2.793M,9.215M,9.215M,-1.549M,,,1.598M,-3.498M,2.766M,2.197M,-1.465M,11.08M,11.08M,67.47M,-8.808M,0.439M,-8.369M,0.00,,-8.369M,,,-52.11M,5.065M,-65.27M,-60.21M,,0.412M,-111.91M,246.77M,-52.81M,1.399M,195.36M,5.065M,,,-65.27M
2006-06,34.76M,,,3.253M,6.541M,2.85M,9.391M,9.391M,-3.365M,,,-3.48M,-10.06M,-1.808M,4.275M,2.40M,17.75M,12.56M,53.11M,-5.795M,1.959M,-3.836M,-0.218M,,-4.054M,,,-26.53M,7.726M,-49.24M,-41.52M,,2.177M,-65.87M,263.40M,-16.81M,0.179M,246.77M,7.726M,,,-49.24M
2006-03,23.72M,,,-4.573M,6.354M,2.855M,9.209M,9.209M,-1.68M,,,,24.68M,-5.025M,-11.22M,-4.931M,-11.04M,-7.538M,19.13M,-6.004M,1.638M,-4.366M,-0.572M,,-4.938M,,,-19.09M,9.741M,-72.10M,-62.36M,,5.571M,-75.88M,324.58M,-61.68M,0.503M,263.40M,9.741M,,,-72.10M
2005-12,44.19M,,,11.21M,6.519M,2.821M,9.34M,9.34M,5.108M,,,,-23.93M,0.559M,18.65M,1.829M,-7.489M,-10.38M,59.47M,-11.45M,0.549M,-10.90M,-0.103M,,-11.01M,,,224.71M,15.56M,-53.70M,-38.14M,,,185.80M,94.40M,234.27M,-4.087M,324.58M,15.56M,,,-53.70M
2005-09,25.62M,,,-0.124M,6.342M,2.816M,9.158M,9.158M,7.244M,,,,4.602M,-3.294M,0.838M,-0.11M,16.38M,18.41M,60.31M,-9.123M,0.28M,-8.843M,-3.771M,,-12.61M,,,-34.57M,7.526M,-33.48M,-25.96M,,,-60.52M,103.86M,-12.83M,3.362M,94.40M,7.526M,,,-33.48M
2005-06,18.31M,,,19.93M,6.463M,2.991M,9.454M,9.454M,-9.746M,,,,-2.587M,2.137M,5.255M,6.196M,1.643M,12.64M,50.59M,-6.578M,0.176M,-6.402M,0.00,,-6.402M,,,37.36M,1.951M,-46.30M,-44.35M,,,-6.987M,67.78M,37.20M,-1.119M,103.86M,1.951M,,,-46.30M
