,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,807.36M,807.36M,337.75M,469.61M,204.97M,34.66M,,14.12M,-4.57M,9.31M,-9.31M,253.75M,215.86M,9.31M,-9.31M,-0.738M,-9.31M,205.81M,44.04M,161.77M,,161.77M,165.36M,239.86M,24.74M,215.12M,6.76,,6.91,6.76,6.68,,6.827999999999999,6.68,23.92M,24.23M
2020-06,690.67M,690.67M,292.70M,397.97M,190.13M,31.19M,,13.89M,-0.86M,9.582M,-9.582M,235.22M,162.75M,9.582M,-9.582M,2.083M,-9.582M,155.26M,28.69M,126.56M,,126.56M,127.26M,188.92M,24.08M,164.84M,5.29,,5.319,5.29,5.22,,5.249,5.22,23.94M,24.23M
2020-03,649.16M,649.16M,274.75M,374.41M,198.74M,34.39M,,14.00M,-1.905M,10.22M,-10.22M,247.13M,127.28M,10.22M,-10.22M,1.438M,-10.22M,118.50M,20.38M,98.12M,,98.12M,99.70M,152.85M,24.13M,128.72M,4.08,,4.146,4.08,4.03,,4.095,4.03,24.03M,24.35M
2019-12,843.97M,843.97M,345.67M,498.30M,206.72M,35.30M,,12.81M,-4.614M,9.635M,-9.635M,254.83M,243.47M,9.635M,-9.635M,-2.69M,-9.635M,231.14M,38.39M,192.75M,,192.75M,196.60M,263.23M,22.46M,240.78M,7.95,,8.109,7.95,7.84,,7.996,7.84,24.24M,24.59M
2019-09,753.87M,753.87M,318.81M,435.06M,202.83M,36.02M,,12.33M,-6.732M,9.80M,-9.80M,251.17M,183.89M,9.80M,-9.80M,-4.727M,-9.80M,169.36M,39.96M,129.40M,,129.40M,134.54M,201.45M,22.29M,179.16M,5.28,,5.49,5.28,5.2,,5.407,5.2,24.49M,24.88M
2019-06,731.37M,731.37M,311.83M,419.54M,205.22M,36.58M,,12.33M,-2.891M,8.882M,-8.882M,254.12M,165.42M,8.882M,-8.882M,-1.317M,-8.882M,155.22M,28.06M,127.16M,,127.16M,129.53M,186.05M,21.95M,164.10M,5.15,,5.246,5.15,5.06,,5.154,5.06,24.70M,25.12M
2019-03,679.45M,679.45M,291.13M,388.32M,204.42M,36.05M,,12.22M,-1.523M,9.094M,-9.094M,252.70M,135.62M,9.094M,-9.094M,-0.849M,-9.094M,125.68M,13.87M,111.80M,,111.80M,113.16M,156.76M,21.99M,134.77M,4.5,,4.555,4.5,4.42,,4.474,4.42,24.85M,25.31M
2018-12,817.92M,817.92M,340.36M,477.57M,201.65M,36.20M,,11.96M,-4.464M,8.84M,-8.84M,249.82M,227.74M,8.84M,-8.84M,11.55M,-8.84M,230.45M,49.27M,181.19M,,181.19M,184.70M,260.54M,21.24M,239.29M,7.25,,7.391,7.25,7.11,,7.247999999999999,7.11,24.97M,25.49M
2018-09,734.85M,734.85M,315.59M,419.25M,202.45M,34.84M,,11.86M,-2.222M,9.003M,-9.003M,249.14M,170.11M,9.003M,-9.003M,-0.743M,-9.003M,160.36M,33.71M,126.65M,,126.65M,128.41M,190.50M,21.14M,169.37M,5.04,,5.11,5.04,4.93,,4.998,4.93,25.13M,25.68M
2018-06,722.00M,722.00M,309.37M,412.62M,208.02M,35.32M,,11.97M,-7.321M,8.309M,-8.309M,255.31M,157.32M,8.309M,-8.309M,-5.405M,-8.309M,143.60M,32.13M,111.47M,,111.47M,117.15M,173.33M,21.42M,151.91M,4.41,,4.635,4.41,4.31,,4.53,4.31,25.30M,25.87M
