,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,153.69M,153.69M,521.78M,521.78M,130.48M,51.99M,109.86M,292.33M,,,78.53M,1.046B,,,,,,,,758.01M,541.72M,199.15M,740.87M,37.12M,184.22M,1.720B,2.767B,146.65M,90.86M,237.51M,180.14M,417.65M,55.11M,55.11M,150.48M,150.48M,,,764.08M,1.169B,1.169B,41.98M,41.98M,,348.27M,1.559B,2.323B,0.448M,4.882B,799.70M,4.912B,,,-327.27M,443.07M
2020-06,127.28M,127.28M,490.43M,490.43M,143.60M,49.87M,106.28M,299.75M,,,72.36M,989.81M,,,,,,,,743.39M,537.62M,202.13M,739.76M,35.78M,170.91M,1.690B,2.680B,155.90M,70.77M,226.67M,162.36M,389.02M,53.58M,53.58M,150.74M,150.74M,,,702.83M,1.147B,1.147B,44.93M,44.93M,,335.21M,1.527B,2.230B,0.448M,4.721B,792.69M,4.718B,,,-345.60M,450.09M
2020-03,323.58M,323.58M,518.56M,518.56M,133.63M,49.58M,108.89M,292.11M,,,66.61M,1.201B,,,,,,,,742.65M,536.90M,205.70M,742.59M,35.54M,164.14M,1.685B,2.886B,168.52M,54.48M,223.00M,158.09M,381.08M,56.40M,56.40M,144.84M,144.84M,,,679.84M,1.513B,1.513B,44.90M,44.90M,,341.62M,1.900B,2.579B,0.448M,4.595B,788.27M,4.730B,,,-347.70M,306.40M
2019-12,207.78M,207.78M,566.26M,566.26M,129.29M,43.20M,101.79M,274.28M,,,61.32M,1.110B,0.0,58.05M,326.74M,927.81M,,1.313B,-563.94M,748.66M,535.98M,206.24M,742.22M,36.98M,151.82M,1.680B,2.789B,185.59M,69.04M,254.64M,166.12M,420.75M,55.87M,55.87M,122.49M,122.49M,,,754.51M,1.235B,1.235B,45.27M,45.27M,,333.41M,1.614B,2.369B,0.448M,4.499B,783.87M,4.539B,,,-323.67M,420.78M
2019-09,120.53M,120.53M,503.25M,503.25M,128.37M,45.84M,106.76M,280.98M,,,59.05M,963.81M,,,,,,,,722.59M,531.22M,209.37M,740.60M,34.60M,174.28M,1.672B,2.636B,148.22M,90.22M,238.44M,158.01M,396.45M,48.58M,48.58M,126.92M,126.92M,,,719.26M,1.124B,1.124B,39.95M,39.95M,,314.08M,1.478B,2.198B,0.448M,4.310B,778.87M,4.336B,,,-314.99M,438.30M
2019-06,124.44M,124.44M,498.72M,498.72M,128.62M,48.29M,109.43M,286.35M,,,71.94M,981.45M,,,,,,,,728.01M,534.56M,211.21M,745.77M,35.72M,169.92M,1.679B,2.661B,160.58M,74.07M,234.65M,162.78M,397.43M,51.92M,51.92M,128.70M,128.70M,,,707.25M,1.088B,1.088B,40.28M,40.28M,,321.36M,1.450B,2.157B,0.448M,4.180B,774.29M,4.150B,,,-301.43M,504.09M
2019-03,126.48M,126.48M,489.28M,489.28M,128.10M,50.91M,103.08M,282.09M,,,71.54M,969.38M,,,,,,,,722.93M,535.52M,213.98M,749.49M,34.50M,160.40M,1.667B,2.637B,174.64M,76.71M,251.35M,161.44M,412.79M,53.80M,53.80M,128.96M,128.96M,,,707.96M,1.008B,1.008B,39.65M,39.65M,,318.85M,1.367B,2.075B,0.448M,4.054B,769.95M,3.973B,,,-289.75M,561.75M
2018-12,178.11M,178.11M,535.53M,535.53M,122.94M,47.10M,98.78M,268.82M,,,63.40M,1.046B,0.0,58.07M,317.64M,857.48M,,1.233B,-515.66M,717.53M,534.78M,217.31M,752.09M,35.07M,68.31M,1.573B,2.619B,196.64M,73.78M,270.42M,156.45M,426.87M,49.67M,49.67M,105.38M,105.38M,,,734.43M,985.02M,985.02M,48.82M,48.82M,,260.51M,1.294B,2.029B,0.448M,3.942B,764.72M,3.815B,,,-302.41M,590.06M
2018-09,137.45M,137.45M,494.89M,494.89M,125.20M,50.55M,101.52M,277.27M,,,61.90M,971.50M,,,,,,,,697.69M,537.86M,220.90M,758.77M,36.42M,93.29M,1.586B,2.558B,156.45M,90.48M,246.93M,128.76M,375.69M,55.75M,55.75M,123.53M,123.53M,,,697.47M,988.89M,988.89M,50.22M,50.22M,,289.47M,1.329B,2.026B,0.448M,3.764B,759.64M,3.709B,,,-283.53M,531.62M
2018-06,183.19M,183.19M,486.20M,486.20M,121.26M,50.19M,98.60M,270.05M,,,63.87M,1.003B,,,,,,,,678.71M,536.41M,219.86M,756.26M,36.88M,83.06M,1.555B,2.558B,170.86M,76.61M,247.47M,145.89M,393.36M,52.05M,52.05M,126.84M,126.84M,,,688.82M,1.020B,1.020B,46.14M,46.14M,,270.41M,1.337B,2.026B,0.448M,3.638B,755.37M,3.595B,,,-265.72M,532.43M
