,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,210.00M,,210.00M,1.685B,,219.00M,1.904B,,111.00M,,43.00M,142.00M,2.41B,,,,,,24.43B,-13.13B,11.30B,5.444B,128.00M,5.572B,,768.00M,17.64B,20.05B,600.00M,600.00M,1.076B,1.676B,435.00M,435.00M,469.00M,469.00M,,2.58B,,7.958B,7.958B,1.436B,1.436B,302.00M,2.052B,11.45B,14.03B,6.00M,5.371B,4.537B,4.398B,223.00M,-17.00M,206.00M,5.722B
2008-03,466.00M,,466.00M,1.605B,,211.00M,1.816B,,107.00M,,46.00M,130.00M,2.565B,,,,,,24.27B,-12.98B,11.30B,5.411B,125.00M,5.536B,,786.00M,17.62B,20.18B,525.00M,525.00M,1.126B,1.651B,490.00M,490.00M,453.00M,453.00M,,2.594B,,8.229B,8.229B,1.422B,1.422B,307.00M,2.021B,11.67B,14.27B,6.00M,5.187B,4.527B,4.316B,218.00M,-11.00M,207.00M,5.611B
2007-12,348.00M,,348.00M,1.674B,,218.00M,1.892B,,103.00M,,51.00M,86.00M,2.48B,0.0,12.15B,2.541B,9.507B,,24.20B,-12.84B,11.35B,5.406B,124.00M,5.53B,,814.00M,17.70B,20.18B,656.00M,656.00M,1.151B,1.807B,329.00M,329.00M,462.00M,462.00M,,2.598B,,8.008B,8.008B,1.411B,1.411B,310.00M,2.056B,11.48B,14.07B,6.00M,5.08B,4.542B,4.065B,240.00M,-11.00M,229.00M,5.792B
2007-09,537.00M,,537.00M,1.687B,,208.00M,1.895B,104.00M,104.00M,,73.00M,252.00M,2.861B,,,,,,23.88B,-12.72B,11.16B,5.40B,128.00M,5.528B,,724.00M,17.41B,20.28B,574.00M,574.00M,1.235B,1.809B,481.00M,481.00M,450.00M,450.00M,,2.74B,,7.797B,7.797B,1.414B,1.414B,301.00M,2.091B,11.30B,14.04B,6.00M,4.894B,4.535B,3.725B,,,222.00M,5.932B
2007-06,570.00M,,570.00M,1.669B,,154.00M,1.823B,102.00M,102.00M,,80.00M,286.00M,2.861B,,,,,,23.53B,-12.43B,11.10B,5.359B,118.00M,5.477B,,750.00M,17.32B,20.18B,563.00M,563.00M,1.151B,1.714B,526.00M,526.00M,451.00M,451.00M,,2.691B,,7.723B,7.723B,1.315B,1.315B,284.00M,2.101B,11.14B,13.83B,6.00M,4.739B,4.524B,3.379B,,,180.00M,6.07B
2007-03,471.00M,,471.00M,1.606B,,166.00M,1.772B,101.00M,101.00M,,84.00M,344.00M,2.772B,,,,,,23.24B,-12.18B,11.06B,5.296B,117.00M,5.413B,,795.00M,17.27B,20.04B,551.00M,551.00M,1.225B,1.776B,759.00M,759.00M,442.00M,442.00M,,2.977B,,7.464B,7.464B,1.364B,1.364B,282.00M,2.176B,11.00B,13.98B,6.00M,4.421B,4.511B,3.291B,156.00M,-23.00M,133.00M,5.78B
2006-12,614.00M,,614.00M,1.65B,,208.00M,1.858B,101.00M,101.00M,,82.00M,527.00M,3.182B,0.0,11.39B,2.385B,9.393B,,23.17B,-11.99B,11.18B,5.292B,121.00M,5.413B,,826.00M,17.42B,20.60B,693.00M,693.00M,1.298B,1.991B,822.00M,822.00M,455.00M,455.00M,,3.268B,,7.495B,7.495B,1.365B,1.365B,275.00M,1.975B,10.84B,14.10B,6.00M,4.41B,4.513B,2.836B,,,129.00M,6.222B
2006-09,746.00M,,746.00M,1.739B,,224.00M,1.963B,98.00M,98.00M,,89.00M,704.00M,3.60B,,,,,,22.89B,-11.90B,10.98B,5.312B,127.00M,5.439B,,895.00M,17.32B,20.92B,605.00M,605.00M,1.448B,2.053B,862.00M,862.00M,443.00M,443.00M,,3.358B,,7.78B,7.78B,1.373B,1.373B,288.00M,1.96B,11.11B,14.47B,6.00M,4.282B,4.501B,2.783B,172.00M,-18.00M,154.00M,6.16B
2006-06,569.00M,,569.00M,1.725B,,222.00M,1.947B,,97.00M,,88.00M,881.00M,3.582B,,,,,,22.68B,-11.69B,10.99B,5.307B,133.00M,5.44B,,920.00M,17.35B,20.94B,616.00M,616.00M,1.304B,1.92B,863.00M,863.00M,462.00M,462.00M,,3.245B,,7.737B,7.737B,1.417B,1.417B,280.00M,2.024B,11.18B,14.42B,6.00M,4.10B,4.493B,2.516B,,,149.00M,6.232B
2006-03,454.00M,,454.00M,1.633B,,242.00M,1.875B,,96.00M,,91.00M,871.00M,3.387B,,,,,,22.53B,-11.47B,11.06B,,5.496B,5.496B,,900.00M,17.46B,20.85B,575.00M,575.00M,1.447B,2.022B,600.00M,600.00M,482.00M,482.00M,,3.104B,,8.02B,8.02B,1.362B,1.362B,290.00M,1.999B,11.38B,14.48B,6.00M,3.802B,4.485B,2.34B,,,118.00M,6.071B
2005-12,666.00M,,666.00M,1.757B,,247.00M,2.004B,,99.00M,,94.00M,588.00M,3.451B,0.0,10.86B,2.325B,9.328B,,22.51B,-11.29B,11.22B,5.364B,150.00M,5.514B,,949.00M,17.68B,21.14B,719.00M,719.00M,1.533B,2.252B,522.00M,522.00M,483.00M,483.00M,,3.257B,,8.165B,8.165B,1.364B,1.364B,281.00M,1.947B,11.48B,14.73B,6.00M,3.615B,4.486B,2.11B,,,124.00M,6.121B
2005-09,300.00M,,300.00M,1.748B,,223.00M,1.971B,,100.00M,481.00M,53.00M,,2.905B,,,,,,22.26B,-11.10B,11.16B,,5.519B,5.519B,,985.00M,17.66B,20.57B,593.00M,593.00M,1.442B,2.035B,174.00M,174.00M,469.00M,469.00M,,2.678B,,8.168B,8.168B,1.374B,1.374B,279.00M,1.963B,11.50B,14.18B,6.00M,3.557B,4.484B,2.066B,,,126.00M,6.107B
2005-06,481.00M,,481.00M,1.693B,,229.00M,1.922B,,95.00M,274.00M,55.00M,,2.827B,,,,,,22.21B,-10.90B,11.31B,,5.502B,5.502B,,1.056B,17.87B,20.69B,600.00M,600.00M,1.465B,2.065B,215.00M,215.00M,473.00M,473.00M,,2.753B,,8.216B,8.216B,1.337B,1.337B,294.00M,1.897B,11.45B,14.20B,6.00M,3.453B,4.483B,1.802B,,,57.00M,6.197B
2005-03,441.00M,,441.00M,1.598B,,236.00M,1.834B,,92.00M,260.00M,55.00M,,2.682B,,,,,,22.36B,-10.98B,11.38B,,5.497B,5.497B,,1.101B,17.98B,20.66B,588.00M,588.00M,1.648B,2.236B,319.00M,319.00M,463.00M,463.00M,,3.018B,,8.067B,8.067B,1.392B,1.392B,289.00M,1.949B,11.41B,14.43B,6.00M,3.04B,4.48B,1.647B,,,64.00M,5.943B
2004-12,424.00M,,424.00M,1.717B,,232.00M,1.949B,,90.00M,298.00M,58.00M,,2.819B,0.0,10.84B,2.285B,9.175B,,22.30B,-10.83B,11.48B,,5.453B,5.453B,,1.157B,18.09B,20.90B,772.00M,772.00M,1.586B,2.358B,384.00M,384.00M,463.00M,463.00M,,3.205B,,8.182B,8.182B,1.38B,1.38B,282.00M,1.885B,11.45B,14.65B,6.00M,3.004B,4.481B,1.585B,,,65.00M,5.971B
2004-09,619.00M,,619.00M,1.733B,241.00M,,1.974B,,86.00M,207.00M,419.00M,,3.305B,,,,,,21.74B,-10.34B,11.40B,,5.504B,5.504B,,1.224B,18.12B,21.43B,724.00M,724.00M,1.79B,2.514B,635.00M,635.00M,452.00M,452.00M,,3.601B,,8.152B,8.152B,1.671B,1.671B,275.00M,1.883B,11.71B,15.31B,6.00M,2.841B,4.485B,1.501B,,,15.00M,5.846B
2004-06,553.00M,,553.00M,1.592B,271.00M,,1.863B,,82.00M,208.00M,415.00M,,3.121B,,,,,,21.37B,-10.05B,11.32B,,5.476B,5.476B,,1.308B,18.11B,21.23B,677.00M,677.00M,1.685B,2.362B,775.00M,775.00M,442.00M,442.00M,,3.579B,,7.947B,7.947B,1.727B,1.727B,268.00M,1.951B,11.62B,15.20B,6.00M,2.647B,4.486B,1.299B,,,-82.00M,5.758B
2004-03,689.00M,,689.00M,1.454B,,300.00M,1.754B,,79.00M,195.00M,419.00M,,3.136B,,,,,,21.09B,-9.804B,11.29B,,5.459B,5.459B,,1.319B,18.06B,21.20B,590.00M,590.00M,1.711B,2.301B,575.00M,575.00M,427.00M,427.00M,,3.303B,,8.445B,8.445B,1.682B,1.682B,265.00M,1.831B,11.96B,15.26B,6.00M,2.54B,4.493B,1.295B,,,-69.00M,5.675B
2003-12,217.00M,,217.00M,1.494B,,317.00M,1.811B,,82.00M,139.00M,111.00M,,2.36B,0.0,9.927B,2.213B,8.824B,,20.96B,-9.553B,11.41B,,5.376B,5.376B,,1.235B,18.02B,20.38B,668.00M,668.00M,1.764B,2.432B,514.00M,514.00M,429.00M,429.00M,,3.375B,,7.997B,7.997B,1.307B,1.307B,250.00M,1.851B,11.16B,14.53B,6.00M,2.497B,4.501B,1.388B,,,-14.00M,5.602B
2003-09,523.00M,,523.00M,1.501B,148.00M,,1.649B,,80.00M,157.00M,417.00M,,2.826B,,,,,,20.16B,-9.368B,10.80B,,5.379B,5.379B,,1.185B,17.36B,20.19B,534.00M,534.00M,1.603B,2.137B,558.00M,558.00M,419.00M,419.00M,,3.114B,,8.002B,8.002B,1.656B,1.656B,44.00M,1.764B,11.42B,14.54B,6.00M,2.314B,4.506B,1.137B,,,-83.00M,5.606B
2003-06,753.00M,,753.00M,1.447B,231.00M,,1.678B,,77.00M,116.00M,562.00M,,3.186B,,,,,,19.93B,-9.116B,10.81B,,5.331B,5.331B,,1.127B,17.27B,20.46B,552.00M,552.00M,2.06B,2.612B,108.00M,108.00M,415.00M,415.00M,,3.135B,,8.35B,8.35B,1.625B,1.625B,47.00M,1.715B,11.69B,14.82B,6.00M,2.11B,4.51B,959.00M,,,-83.00M,5.584B
2003-03,381.00M,,381.00M,1.373B,250.00M,,1.623B,,78.00M,192.00M,557.00M,,2.831B,,,,,,19.58B,-8.875B,10.71B,,5.266B,5.266B,,1.112B,17.08B,19.92B,501.00M,501.00M,2.024B,2.525B,166.00M,166.00M,415.00M,415.00M,,3.106B,,8.164B,8.164B,1.577B,1.577B,46.00M,1.679B,11.42B,14.53B,6.00M,1.934B,4.51B,965.00M,,,-141.00M,5.344B
2002-12,264.00M,,264.00M,1.379B,369.00M,,1.748B,,80.00M,161.00M,551.00M,,2.804B,0.0,9.061B,1.573B,8.476B,,19.11B,-8.498B,10.61B,5.079B,105.00M,5.184B,,1.256B,17.05B,19.86B,526.00M,526.00M,2.106B,2.632B,231.00M,231.00M,414.00M,414.00M,,3.277B,,8.062B,8.062B,1.548B,1.548B,19.00M,1.642B,11.25B,14.53B,6.00M,1.873B,4.513B,905.00M,,,-179.00M,5.308B
2002-09,656.00M,,656.00M,1.49B,265.00M,,1.755B,,81.00M,148.00M,439.00M,,3.079B,,,,,,18.90B,-8.359B,10.54B,5.047B,109.00M,5.156B,,1.215B,16.91B,19.99B,533.00M,533.00M,2.32B,2.853B,375.00M,375.00M,407.00M,407.00M,,3.635B,,8.151B,8.151B,1.233B,1.233B,16.00M,1.544B,10.93B,14.56B,6.00M,1.637B,4.519B,558.00M,,,-194.00M,5.41B
2002-06,720.00M,,720.00M,1.482B,263.00M,,1.745B,,77.00M,159.00M,419.00M,,3.12B,,,,,,18.06B,-7.578B,10.48B,,5.146B,5.146B,,1.077B,16.71B,19.83B,556.00M,556.00M,2.164B,2.72B,383.00M,383.00M,398.00M,398.00M,,3.501B,,8.236B,8.236B,1.263B,1.263B,15.00M,1.523B,11.02B,14.52B,6.00M,1.412B,4.521B,508.00M,,,-141.00M,5.29B
2002-03,306.00M,,306.00M,1.30B,245.00M,,1.545B,,79.00M,209.00M,425.00M,,2.564B,,,,,,17.88B,-7.578B,10.30B,,5.125B,5.125B,,820.00M,16.24B,18.81B,513.00M,513.00M,2.122B,2.635B,82.00M,82.00M,383.00M,383.00M,,3.10B,,7.754B,7.754B,1.187B,1.187B,13.00M,1.508B,10.45B,13.55B,6.00M,1.195B,4.526B,330.00M,-153.00M,1.00M,-152.00M,5.245B
2001-12,730.00M,,730.00M,1.355B,314.00M,,1.669B,,83.00M,216.00M,426.00M,,3.124B,0.0,8.625B,1.432B,7.878B,,17.94B,-7.578B,10.36B,4.998B,123.00M,5.121B,,888.00M,16.37B,19.49B,672.00M,672.00M,2.16B,2.832B,515.00M,515.00M,374.00M,374.00M,,3.721B,,7.709B,7.709B,1.127B,1.127B,13.00M,1.528B,10.36B,14.08B,6.00M,1.057B,4.523B,44.00M,-154.00M,4.00M,-150.00M,5.392B
2001-09,75.00M,,75.00M,1.446B,299.00M,,1.745B,,82.00M,127.00M,424.00M,103.00M,2.556B,,,,,,17.03B,-6.859B,10.17B,,5.141B,5.141B,,1.015B,16.32B,18.88B,740.00M,740.00M,1.817B,2.557B,88.00M,88.00M,383.00M,383.00M,55.00M,3.083B,,7.854B,7.854B,1.06B,1.06B,10.00M,1.666B,10.58B,13.66B,6.00M,899.00M,4.509B,54.00M,-166.00M,13.00M,-153.00M,5.207B
2001-06,396.00M,,396.00M,1.43B,183.00M,,1.613B,,73.00M,104.00M,299.00M,222.00M,2.707B,,,,,,16.89B,-6.859B,10.03B,,5.15B,5.15B,,824.00M,16.00B,18.71B,712.00M,712.00M,1.321B,2.033B,690.00M,690.00M,382.00M,382.00M,88.00M,3.193B,,7.671B,7.671B,1.004B,1.004B,17.00M,1.633B,10.31B,13.50B,6.00M,875.00M,4.499B,76.00M,-126.00M,13.00M,-113.00M,5.191B
2001-03,887.00M,,887.00M,1.469B,,,1.469B,,75.00M,117.00M,309.00M,223.00M,3.08B,,,,,,16.81B,-6.859B,9.949B,,5.153B,5.153B,,776.00M,15.88B,18.96B,712.00M,712.00M,1.343B,2.055B,687.00M,687.00M,382.00M,382.00M,95.00M,3.219B,,8.282B,8.282B,945.00M,945.00M,16.00M,1.573B,10.80B,14.02B,6.00M,684.00M,4.491B,100.00M,-169.00M,11.00M,-158.00M,4.923B
2000-12,94.00M,,94.00M,1.575B,,,1.575B,,75.00M,,,713.00M,2.457B,,,,,,16.98B,-6.859B,10.13B,,5.193B,5.193B,,789.00M,16.11B,18.56B,865.00M,865.00M,,865.00M,113.00M,113.00M,,,1.959B,2.937B,,8.372B,8.372B,879.00M,879.00M,15.00M,1.561B,10.81B,13.75B,6.00M,560.00M,4.497B,133.00M,,,-129.00M,4.801B
2000-09,144.80M,,144.80M,1.601B,,,1.601B,,75.03M,,,1.283B,3.104B,,,,,,16.99B,-6.950B,10.04B,,5.246B,5.246B,,789.30M,16.07B,19.18B,850.88M,850.88M,,850.88M,1.017B,1.017B,,,2.070B,3.937B,,7.991B,7.991B,967.28M,967.28M,14.57M,1.637B,10.59B,14.53B,6.296M,521.00M,4.495B,153.17M,,,-240.04M,4.629B
2000-06,103.54M,,103.54M,,,,1.659B,,116.47M,,,2.498B,4.376B,,,,,,16.76B,-6.639B,10.12B,,5.367B,5.367B,,789.42M,16.28B,20.66B,940.59M,940.59M,,940.59M,2.063B,2.063B,,,2.360B,5.364B,,8.055B,8.055B,848.19M,848.19M,9.302M,1.651B,10.55B,15.92B,6.273M,718.06M,4.486B,3.208M,,,-477.24M,4.730B
2000-03,147.42M,,147.42M,,,,1.614B,,115.16M,,,4.029B,5.906B,,,,,,16.52B,-6.380B,10.14B,,5.365B,5.365B,,816.94M,16.32B,22.22B,965.87M,965.87M,,965.87M,2.760B,2.760B,,,3.236B,6.962B,,8.353B,8.353B,807.66M,807.66M,8.964M,1.640B,10.80B,17.76B,6.29M,717.75M,4.439B,3.89M,,,-706.71M,4.453B
1999-12,181.00M,,181.00M,1.908B,,,1.908B,,107.00M,,,4.025B,6.221B,,,,,,16.47B,-6.165B,10.30B,,5.356B,5.356B,,800.00M,16.46B,22.68B,1.063B,1.063B,,1.063B,3.099B,3.099B,,,3.328B,7.49B,,8.399B,8.399B,730.00M,730.00M,8.00M,1.652B,10.78B,18.27B,6.00M,663.00M,4.44B,140.00M,,,-567.00M,4.402B
1999-09,221.90M,,221.90M,,,,1.935B,,90.10M,,,2.551B,4.797B,,,,,,16.99B,-6.598B,10.39B,,5.505B,5.505B,,732.40M,16.63B,21.42B,1.098B,1.098B,,1.098B,2.690B,2.690B,,,2.096B,5.883B,,8.714B,8.714B,463.90M,463.90M,7.00M,1.804B,10.98B,16.86B,6.30M,777.50M,4.453B,155.80M,,,-527.90M,4.553B
1999-06,81.00M,,81.00M,,,,2.655B,,99.80M,,,670.10M,3.506B,,,,,,18.71B,-6.852B,11.85B,,6.751B,6.751B,,879.90M,19.49B,22.99B,1.068B,1.068B,,1.068B,369.60M,369.60M,,,2.390B,3.828B,,10.93B,10.93B,560.90M,560.90M,140.90M,2.054B,13.55B,17.37B,,1.732B,,,,,,5.476B
1999-03,59.40M,,59.40M,,,,2.373B,,98.60M,,,997.50M,3.529B,,,,,,18.42B,-6.892B,11.53B,,6.483B,6.483B,,1.064B,19.08B,22.61B,1.034B,1.034B,,1.034B,556.70M,556.70M,,,2.459B,4.049B,,10.98B,10.98B,510.70M,510.70M,115.30M,2.121B,13.61B,17.66B,,1.431B,,,,,,4.831B
1998-12,87.00M,,87.00M,,,,2.514B,,128.00M,,,1.262B,3.991B,,,,,,18.22B,-6.598B,11.63B,,6.25B,6.25B,,1.015B,18.89B,22.88B,1.041B,1.041B,,1.041B,598.00M,598.00M,,,2.765B,4.404B,,11.14B,11.14B,470.00M,470.00M,112.00M,2.388B,13.99B,18.40B,6.00M,1.067B,4.092B,3.00M,,,-789.00M,4.373B
1998-09,166.20M,,166.20M,,,,2.428B,,136.70M,,,1.285B,4.017B,,,,,,16.85B,-6.220B,10.63B,,5.779B,5.779B,,945.30M,17.36B,21.37B,901.90M,901.90M,,901.90M,738.50M,738.50M,,,2.703B,4.343B,,9.695B,9.695B,480.10M,480.10M,754.20M,2.129B,12.30B,16.65B,,992.50M,,,,,,3.973B
1998-06,45.00M,,45.00M,,,,630.40M,,,,,100.30M,775.70M,,,,,,6.119B,-996.30M,5.123B,,2.172B,2.172B,,304.00M,7.599B,8.375B,245.60M,245.60M,,245.60M,53.20M,53.20M,,,276.60M,575.40M,,4.051B,4.051B,351.40M,351.40M,,446.80M,4.849B,5.425B,,497.70M,,,,,,2.950B
1998-03,46.30M,,46.30M,,,,524.90M,,,,,105.10M,676.30M,,,,,,5.547B,-945.70M,4.602B,,2.032B,2.032B,,279.70M,6.913B,7.589B,196.70M,196.70M,,196.70M,46.50M,46.50M,,,255.20M,498.40M,,3.585B,3.585B,323.30M,323.30M,,407.70M,4.316B,4.814B,,374.50M,,,,,,2.775B
