,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-12,32.00M,,32.00M,1.70B,,432.00M,2.132B,90.00M,90.00M,,,122.00M,2.376B,0.0,14.88B,2.667B,10.55B,,28.10B,-17.15B,10.95B,6.215B,591.00M,6.806B,320.00M,407.00M,18.48B,20.86B,799.00M,799.00M,1.085B,1.884B,417.00M,417.00M,493.00M,493.00M,,2.794B,1.675B,8.893B,8.893B,1.482B,1.482B,23.00M,695.00M,12.74B,15.54B,6.00M,7.388B,4.85B,6.867B,,,-80.00M,5.297B
2016-09,30.00M,,30.00M,1.716B,,324.00M,2.04B,93.00M,93.00M,,,130.00M,2.293B,,,,,,27.84B,-17.00B,10.84B,6.227B,617.00M,6.844B,326.00M,451.00M,18.46B,20.76B,689.00M,689.00M,1.068B,1.757B,432.00M,432.00M,475.00M,475.00M,,2.664B,1.683B,8.829B,8.829B,1.428B,1.428B,24.00M,769.00M,12.71B,15.37B,6.00M,7.235B,4.874B,6.693B,,,-63.00M,5.359B
2016-06,39.00M,,39.00M,1.65B,,373.00M,2.023B,93.00M,93.00M,,,121.00M,2.276B,,,,,,27.66B,-16.82B,10.84B,6.23B,632.00M,6.862B,321.00M,452.00M,18.48B,20.75B,620.00M,620.00M,1.089B,1.709B,614.00M,614.00M,483.00M,483.00M,,2.806B,1.622B,8.916B,8.916B,1.395B,1.395B,20.00M,785.00M,12.72B,15.52B,6.00M,7.116B,4.802B,6.667B,,,-49.00M,5.208B
2016-03,104.00M,,104.00M,1.532B,,456.00M,1.988B,92.00M,92.00M,,,118.00M,2.302B,,,,,,27.39B,-16.60B,10.80B,6.215B,645.00M,6.86B,371.00M,452.00M,18.48B,20.78B,591.00M,591.00M,980.00M,1.571B,524.00M,524.00M,465.00M,465.00M,,2.56B,1.606B,9.072B,9.072B,1.438B,1.438B,20.00M,795.00M,12.91B,15.47B,6.00M,7.012B,4.795B,6.465B,,,-58.00M,5.29B
2015-12,39.00M,,39.00M,1.549B,,545.00M,2.094B,92.00M,92.00M,,,120.00M,2.345B,0.0,14.36B,2.546B,10.18B,,27.08B,-16.42B,10.66B,5.984B,477.00M,6.461B,360.00M,536.00M,18.02B,20.37B,721.00M,721.00M,1.064B,1.785B,253.00M,253.00M,472.00M,472.00M,,2.51B,1.584B,8.676B,8.676B,1.391B,1.391B,22.00M,839.00M,12.49B,15.00B,6.00M,6.939B,4.827B,6.30B,,,-127.00M,5.345B
2015-09,113.00M,,113.00M,1.57B,,432.00M,2.002B,92.00M,92.00M,,79.00M,113.00M,2.399B,,,,,,27.04B,-16.38B,10.66B,5.886B,495.00M,6.381B,374.00M,589.00M,18.00B,20.40B,671.00M,671.00M,1.095B,1.766B,215.00M,215.00M,461.00M,461.00M,,2.442B,1.605B,8.835B,8.835B,1.49B,1.49B,22.00M,773.00M,12.70B,15.14B,6.00M,6.84B,4.805B,6.325B,,,-91.00M,5.235B
2015-06,273.00M,,273.00M,1.578B,,375.00M,1.953B,102.00M,102.00M,,82.00M,143.00M,2.553B,,,,,,26.87B,-16.20B,10.66B,5.88B,512.00M,6.392B,390.00M,578.00M,18.02B,20.58B,707.00M,707.00M,1.095B,1.802B,196.00M,196.00M,479.00M,479.00M,,2.477B,1.592B,8.91B,8.91B,1.409B,1.409B,21.00M,783.00M,12.69B,15.17B,6.00M,6.68B,4.778B,6.044B,,,-34.00M,5.386B
2015-03,277.00M,,277.00M,1.489B,,519.00M,2.008B,109.00M,109.00M,,70.00M,153.00M,2.617B,,,,,,26.71B,-16.03B,10.68B,5.855B,564.00M,6.419B,397.00M,579.00M,18.07B,20.69B,634.00M,634.00M,1.008B,1.642B,168.00M,168.00M,463.00M,463.00M,,2.273B,1.568B,9.039B,9.039B,1.491B,1.491B,21.00M,745.00M,12.84B,15.12B,6.00M,6.582B,4.766B,5.75B,,,-50.00M,5.554B
2014-12,1.307B,,1.307B,1.587B,,350.00M,1.937B,106.00M,106.00M,,,176.00M,3.526B,0.0,14.07B,2.588B,9.963B,,26.62B,-15.97B,10.66B,5.74B,440.00M,6.18B,408.00M,526.00M,17.77B,21.30B,740.00M,740.00M,1.18B,1.92B,1.09B,1.09B,475.00M,475.00M,,3.485B,1.531B,8.345B,8.345B,1.338B,1.338B,23.00M,709.00M,11.92B,15.41B,6.00M,6.888B,4.585B,5.636B,,,23.00M,5.866B
2014-09,183.00M,0.00,183.00M,1.643B,,70.00M,1.713B,106.00M,106.00M,,139.00M,123.00M,4.116B,,,,,,26.88B,-16.04B,10.85B,5.766B,464.00M,6.23B,443.00M,573.00M,18.10B,22.21B,712.00M,712.00M,1.10B,1.812B,1.141B,1.141B,467.00M,467.00M,369.00M,3.789B,1.535B,9.023B,9.023B,1.522B,1.522B,299.00M,679.00M,12.76B,16.55B,6.00M,6.473B,4.466B,5.658B,,,77.00M,5.364B
2014-06,137.00M,0.00,137.00M,1.71B,,87.00M,1.797B,166.00M,166.00M,,106.00M,149.00M,2.355B,,,,,,29.03B,-17.00B,12.03B,6.094B,493.00M,6.587B,419.00M,787.00M,19.82B,22.18B,692.00M,692.00M,1.031B,1.723B,786.00M,786.00M,471.00M,471.00M,,2.98B,1.54B,9.011B,9.011B,1.796B,1.796B,294.00M,705.00M,13.05B,16.03B,6.00M,6.376B,4.624B,5.288B,,,135.00M,5.853B
2014-03,339.00M,0.00,339.00M,1.661B,,90.00M,1.751B,174.00M,174.00M,,96.00M,175.00M,2.535B,,,,,,29.04B,-16.87B,12.17B,6.068B,503.00M,6.571B,402.00M,764.00M,19.91B,22.44B,663.00M,663.00M,1.016B,1.679B,1.216B,1.216B,462.00M,462.00M,,3.357B,1.532B,8.978B,8.978B,1.815B,1.815B,302.00M,721.00M,13.05B,16.40B,6.00M,6.342B,4.607B,5.307B,,,89.00M,5.737B
2013-12,58.00M,177.00M,235.00M,1.699B,,111.00M,1.81B,178.00M,178.00M,,113.00M,163.00M,2.499B,0.0,14.05B,3.594B,11.42B,,29.07B,-16.72B,12.34B,6.07B,529.00M,6.599B,414.00M,747.00M,20.10B,22.60B,744.00M,744.00M,1.069B,1.813B,726.00M,726.00M,475.00M,475.00M,,3.014B,1.518B,9.50B,9.50B,1.842B,1.842B,295.00M,727.00M,13.59B,16.60B,6.00M,6.289B,4.596B,5.338B,,,154.00M,5.707B
2013-09,157.00M,,157.00M,1.751B,,109.00M,1.86B,178.00M,178.00M,,84.00M,138.00M,2.417B,,,,,,29.43B,-16.80B,12.62B,6.593B,569.00M,7.162B,656.00M,757.00M,21.20B,23.61B,763.00M,763.00M,1.059B,1.822B,568.00M,568.00M,472.00M,472.00M,,2.862B,1.507B,9.491B,9.491B,1.994B,1.994B,307.00M,744.00M,13.74B,16.60B,6.00M,7.066B,4.582B,5.115B,,,169.00M,6.708B
2013-06,154.00M,,154.00M,1.73B,,123.00M,1.853B,171.00M,171.00M,,83.00M,143.00M,2.404B,,,,,,29.01B,-16.54B,12.47B,6.391B,411.00M,6.802B,653.00M,684.00M,20.61B,23.01B,696.00M,696.00M,1.069B,1.765B,776.00M,776.00M,481.00M,481.00M,,3.022B,1.487B,8.994B,8.994B,1.923B,1.923B,309.00M,768.00M,13.17B,16.19B,6.00M,6.948B,4.569B,5.148B,,,134.00M,6.509B
2013-03,307.00M,,307.00M,1.658B,,121.00M,1.779B,177.00M,177.00M,,84.00M,150.00M,2.497B,,,,,,28.83B,-16.32B,12.51B,6.399B,424.00M,6.823B,658.00M,665.00M,20.66B,23.16B,674.00M,674.00M,1.084B,1.758B,964.00M,964.00M,466.00M,466.00M,,3.188B,1.486B,9.045B,9.045B,1.928B,1.928B,321.00M,792.00M,13.25B,16.44B,6.00M,6.875B,4.553B,5.199B,,,160.00M,6.395B
2012-12,194.00M,0.00,194.00M,1.737B,,102.00M,1.839B,174.00M,174.00M,,76.00M,140.00M,2.423B,0.0,13.92B,3.514B,11.33B,,28.76B,-16.11B,12.65B,6.291B,397.00M,6.688B,667.00M,668.00M,20.67B,23.10B,842.00M,842.00M,986.00M,1.828B,743.00M,743.00M,465.00M,465.00M,,3.036B,1.459B,9.173B,9.173B,1.947B,1.947B,321.00M,807.00M,13.39B,16.42B,6.00M,6.879B,4.549B,5.273B,,,193.00M,6.354B
2012-09,398.00M,,398.00M,1.76B,,108.00M,1.868B,155.00M,155.00M,,79.00M,159.00M,2.659B,,,,,,28.52B,-16.00B,12.52B,6.259B,405.00M,6.664B,652.00M,580.00M,20.41B,23.07B,787.00M,787.00M,1.115B,1.902B,826.00M,826.00M,459.00M,459.00M,,3.187B,,9.166B,9.166B,1.896B,1.896B,324.00M,2.212B,13.27B,16.46B,6.00M,6.82B,4.546B,5.284B,,,200.00M,6.288B
2012-06,237.00M,,237.00M,1.694B,,137.00M,1.831B,147.00M,147.00M,,73.00M,166.00M,2.454B,,,,,,28.10B,-15.74B,12.36B,6.237B,416.00M,6.653B,656.00M,568.00M,20.24B,22.69B,720.00M,720.00M,1.145B,1.865B,853.00M,853.00M,469.00M,469.00M,,3.187B,,8.973B,8.973B,1.879B,1.879B,319.00M,2.165B,13.02B,16.20B,6.00M,6.771B,4.54B,5.312B,,,163.00M,6.168B
2012-03,189.00M,,189.00M,1.58B,,140.00M,1.72B,153.00M,153.00M,,70.00M,153.00M,2.285B,,,,,,27.84B,-15.54B,12.30B,6.234B,450.00M,6.684B,646.00M,621.00M,20.25B,22.54B,662.00M,662.00M,1.06B,1.722B,860.00M,860.00M,465.00M,465.00M,,3.047B,1.426B,8.989B,8.989B,1.889B,1.889B,322.00M,703.00M,13.01B,16.05B,6.00M,6.727B,4.54B,5.32B,,,206.00M,6.159B
2011-12,258.00M,,258.00M,1.631B,,144.00M,1.775B,153.00M,153.00M,,78.00M,115.00M,2.379B,0.0,13.60B,3.273B,10.67B,,27.55B,-15.31B,12.24B,6.215B,457.00M,6.672B,637.00M,639.00M,20.19B,22.57B,838.00M,838.00M,1.129B,1.967B,631.00M,631.00M,470.00M,470.00M,,3.068B,1.404B,9.125B,9.125B,1.884B,1.884B,320.00M,698.00M,13.11B,16.18B,6.00M,6.721B,4.561B,5.39B,,,172.00M,6.07B
2011-09,282.00M,,282.00M,1.686B,,113.00M,1.799B,142.00M,142.00M,,43.00M,153.00M,2.419B,,,,,,27.02B,-15.11B,11.91B,6.104B,397.00M,6.501B,,1.221B,19.63B,22.05B,676.00M,676.00M,1.153B,1.829B,225.00M,225.00M,473.00M,473.00M,,2.527B,,9.388B,9.388B,1.695B,1.695B,337.00M,2.157B,13.24B,15.77B,6.00M,6.613B,4.553B,5.368B,,,144.00M,5.948B
2011-06,371.00M,,371.00M,1.609B,,104.00M,1.713B,137.00M,137.00M,,39.00M,114.00M,2.374B,,,,,,26.88B,-14.96B,11.92B,5.793B,310.00M,6.103B,,1.187B,19.21B,21.58B,576.00M,576.00M,1.056B,1.632B,198.00M,198.00M,465.00M,465.00M,,2.295B,,8.839B,8.839B,1.704B,1.704B,332.00M,2.122B,12.66B,14.96B,6.00M,6.499B,4.545B,5.018B,,,259.00M,6.291B
