,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.861B,3.861B,2.332B,1.529B,412.00M,412.00M,395.00M,24.00M,-66.00M,4.00M,97.00M,,-97.00M,,835.00M,694.00M,,97.00M,-97.00M,-81.00M,-97.00M,516.00M,126.00M,390.00M,,,0.00,,390.00M,439.83M,1.032B,419.00M,613.00M,0.92,,,,1.038,0.92,0.92,,,,1.037,0.92,422.70M,424.60M,0.545
2020-06,3.561B,3.561B,2.18B,1.381B,355.00M,355.00M,390.00M,24.00M,-63.00M,22.00M,119.00M,,-119.00M,,791.00M,590.00M,,119.00M,-119.00M,-76.00M,-119.00M,395.00M,88.00M,307.00M,,,0.00,,307.00M,356.01M,928.00M,414.00M,514.00M,0.73,,,,0.8461,0.73,0.72,,,,0.8356,0.72,422.30M,423.90M,0.545
2020-03,3.729B,3.729B,2.329B,1.40B,411.00M,411.00M,378.00M,24.00M,0.00,14.00M,112.00M,,-112.00M,,827.00M,573.00M,,112.00M,-112.00M,-26.00M,-112.00M,435.00M,74.00M,361.00M,,,0.00,,361.00M,361.00M,949.00M,402.00M,547.00M,0.85,,,,0.85,0.85,0.85,,,,0.85,0.85,424.20M,426.40M,0.545
2019-12,3.846B,3.846B,2.314B,1.532B,433.00M,433.00M,369.00M,26.00M,-37.00M,12.00M,110.00M,,-110.00M,,840.00M,692.00M,,110.00M,-110.00M,-51.00M,-110.00M,531.00M,84.00M,447.00M,,,0.00,,447.00M,478.15M,1.036B,395.00M,641.00M,1.05,,,,1.123,1.05,1.05,,,,1.123,1.05,424.60M,427.80M,0.5125
2019-09,3.967B,3.967B,2.441B,1.526B,379.00M,379.00M,377.00M,27.00M,-3.00M,7.00M,105.00M,,-105.00M,,790.00M,736.00M,,105.00M,-105.00M,-16.00M,-105.00M,615.00M,120.00M,495.00M,,,0.00,,495.00M,497.42M,1.124B,404.00M,720.00M,1.17,,,,1.176,1.17,1.16,,,,1.166,1.16,424.50M,427.40M,0.5125
2019-06,3.946B,3.946B,2.443B,1.503B,381.00M,381.00M,382.00M,27.00M,-91.00M,10.00M,100.00M,,-100.00M,,800.00M,703.00M,,100.00M,-100.00M,-106.00M,-100.00M,497.00M,115.00M,382.00M,,,-1.00M,,381.00M,450.80M,1.006B,409.00M,597.00M,0.9,,,,1.064,0.9,0.89,,,,1.053,0.89,424.80M,427.50M,0.5125
2019-03,3.696B,3.696B,2.298B,1.398B,400.00M,400.00M,340.00M,26.00M,-2.00M,9.00M,96.00M,,-96.00M,,775.00M,623.00M,,96.00M,-96.00M,-65.00M,-96.00M,462.00M,115.00M,347.00M,,,0.00,,347.00M,348.50M,924.00M,366.00M,558.00M,0.82,,,,0.8235,0.82,0.81,,,,0.8135,0.81,424.50M,426.90M,0.5125
2018-12,3.842B,3.842B,2.379B,1.463B,351.00M,351.00M,343.00M,27.00M,44.00M,19.00M,97.00M,,-97.00M,,740.00M,723.00M,,97.00M,-97.00M,33.00M,-97.00M,659.00M,128.00M,531.00M,,,0.00,,531.00M,495.55M,1.126B,370.00M,756.00M,1.25,,,,1.167,1.25,1.24,,,,1.157,1.24,425.50M,429.20M,0.465
2018-09,3.822B,3.822B,2.373B,1.449B,332.00M,332.00M,351.00M,25.00M,-29.00M,13.00M,93.00M,,-93.00M,,721.00M,728.00M,,93.00M,-93.00M,-38.00M,-93.00M,597.00M,99.00M,498.00M,,,1.00M,,499.00M,523.19M,1.066B,376.00M,690.00M,1.16,,,,1.217,1.16,1.16,,,,1.216,1.16,427.90M,430.80M,0.465
2018-06,3.739B,3.739B,2.313B,1.426B,355.00M,355.00M,358.00M,26.00M,38.00M,10.00M,93.00M,,-93.00M,,749.00M,677.00M,,93.00M,-93.00M,25.00M,-93.00M,609.00M,110.00M,499.00M,,,0.00,,499.00M,467.88M,1.086B,384.00M,702.00M,1.16,,,,1.088,1.16,1.15,,,,1.078,1.15,429.90M,432.30M,0.465
2018-03,3.511B,3.511B,2.184B,1.327B,362.00M,362.00M,324.00M,23.00M,1.00M,11.00M,91.00M,,-91.00M,,720.00M,607.00M,,91.00M,-91.00M,-5.00M,-91.00M,511.00M,116.00M,395.00M,,,1.00M,,396.00M,395.23M,949.00M,347.00M,602.00M,0.91,,,,0.9082,0.91,0.91,,,,0.9082,0.91,433.30M,435.80M,0.465
2017-12,3.652B,3.652B,2.263B,1.389B,357.00M,357.00M,317.00M,25.00M,20.00M,12.00M,91.00M,,-91.00M,,711.00M,678.00M,,91.00M,-91.00M,-3.00M,-91.00M,584.00M,-319.00M,903.00M,,,0.00,,903.00M,891.00M,1.017B,342.00M,675.00M,2.08,,,,2.052,2.08,2.06,,,,2.033,2.06,434.30M,437.70M,0.425
2017-09,3.716B,3.716B,2.302B,1.414B,346.00M,346.00M,326.00M,24.00M,-7.00M,10.00M,90.00M,,-90.00M,,706.00M,708.00M,,90.00M,-90.00M,-15.00M,-90.00M,603.00M,215.00M,388.00M,,,-2.00M,,386.00M,390.50M,1.043B,350.00M,693.00M,0.88,,,,0.8903,0.88,0.87,,,,0.8802,0.87,437.80M,440.80M,0.425
2017-06,3.677B,3.677B,2.29B,1.387B,343.00M,343.00M,332.00M,24.00M,-5.00M,10.00M,90.00M,,-90.00M,,709.00M,678.00M,,90.00M,-90.00M,-18.00M,-90.00M,570.00M,209.00M,361.00M,,,1.00M,,362.00M,365.17M,1.016B,356.00M,660.00M,0.82,,,,0.8272,0.82,0.81,,,,0.8171,0.81,441.90M,444.40M,0.425
2017-03,3.44B,3.44B,2.166B,1.274B,380.00M,380.00M,305.00M,23.00M,2.00M,10.00M,92.00M,,-92.00M,,718.00M,556.00M,,92.00M,-92.00M,-30.00M,-92.00M,434.00M,137.00M,297.00M,,,1.00M,,298.00M,296.63M,854.00M,328.00M,526.00M,0.68,,,,0.6769,0.68,0.67,,,,0.6669,0.67,441.30M,444.10M,0.425
2016-12,3.46B,3.46B,2.147B,1.313B,364.00M,364.00M,287.00M,26.00M,-5.00M,14.00M,94.00M,,-94.00M,,691.00M,622.00M,,94.00M,-94.00M,-18.00M,-94.00M,510.00M,176.00M,334.00M,,,1.00M,,335.00M,338.27M,917.00M,313.00M,604.00M,0.76,,,,0.7674,0.76,0.75,,,,0.7574,0.75,441.10M,444.70M,0.41
2016-09,3.548B,3.548B,2.216B,1.332B,322.00M,322.00M,311.00M,25.00M,-106.00M,8.00M,94.00M,,-94.00M,,666.00M,666.00M,,94.00M,-94.00M,-115.00M,-94.00M,457.00M,153.00M,304.00M,,,-2.00M,,302.00M,372.28M,887.00M,336.00M,551.00M,0.68,,,,0.8387,0.68,0.68,,,,0.8377,0.68,442.90M,445.70M,0.41
2016-06,3.425B,3.425B,2.13B,1.295B,333.00M,333.00M,314.00M,26.00M,-4.00M,7.00M,93.00M,,-93.00M,,680.00M,615.00M,,93.00M,-93.00M,-63.00M,-93.00M,459.00M,173.00M,286.00M,,,1.00M,,287.00M,289.50M,892.00M,340.00M,552.00M,0.65,,,,0.6556,0.65,0.64,,,,0.6456,0.64,444.00M,446.70M,0.41
2016-03,3.176B,3.176B,1.993B,1.183B,351.00M,351.00M,289.00M,23.00M,-1.00M,11.00M,95.00M,,-95.00M,,674.00M,509.00M,,95.00M,-95.00M,-18.00M,-95.00M,396.00M,140.00M,256.00M,,,2.00M,,258.00M,258.65M,803.00M,312.00M,491.00M,0.58,,,,0.5814,0.58,0.58,,,,0.5814,0.58,446.10M,448.60M,0.41
2015-12,3.246B,3.246B,2.027B,1.219B,333.00M,333.00M,281.00M,20.00M,-76.00M,10.00M,91.00M,,-91.00M,,644.00M,575.00M,,91.00M,-91.00M,-87.00M,-91.00M,397.00M,124.00M,273.00M,,,0.00,,273.00M,325.26M,789.00M,301.00M,488.00M,0.61,,,,0.7268,0.61,0.61,,,,0.7259,0.61,447.30M,451.10M,0.385
2015-09,3.36B,3.36B,2.095B,1.265B,322.00M,322.00M,311.00M,19.00M,-4.00M,8.00M,95.00M,,-95.00M,,660.00M,605.00M,,95.00M,-95.00M,-14.00M,-95.00M,496.00M,159.00M,337.00M,,,-2.00M,,335.00M,337.71M,921.00M,330.00M,591.00M,0.75,,,,0.756,0.75,0.74,,,,0.746,0.74,449.60M,452.70M,0.385
2015-06,3.315B,3.315B,2.163B,1.152B,316.00M,316.00M,302.00M,20.00M,-8.00M,6.00M,95.00M,,-95.00M,,644.00M,508.00M,,95.00M,-95.00M,-24.00M,-95.00M,389.00M,116.00M,273.00M,,,1.00M,,274.00M,279.63M,806.00M,322.00M,484.00M,0.6,,,,0.6124,0.6,0.6,,,,0.6123,0.6,455.50M,458.00M,0.385
2015-03,3.04B,3.04B,1.946B,1.094B,336.00M,336.00M,275.00M,17.00M,-564.00M,12.00M,104.00M,,-104.00M,,640.00M,454.00M,,104.00M,-104.00M,-572.00M,-104.00M,-222.00M,-91.00M,-131.00M,,,2.00M,,-129.00M,209.40M,174.00M,292.00M,-118.00M,-0.28,,,,0.4581,-0.28,-0.28,,,,0.4581,-0.28,458.50M,458.50M,0.385
2014-12,3.437B,3.437B,2.17B,1.267B,366.00M,366.00M,,,168.00M,10.00M,114.00M,,-114.00M,,683.00M,584.00M,,114.00M,-114.00M,129.00M,-114.00M,599.00M,1.00M,598.00M,,,-8.00M,,590.00M,422.28M,1.02B,307.00M,713.00M,1.29,,,,0.9241,1.29,1.28,,,,0.9179,1.28,458.40M,463.20M,0.375
