,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,244.09M,,1.328M,125.96M,125.96M,,0.00,15.97M,,-20.36M,-85.86M,,-94.58M,-3.824M,401.38M,182.67M,399.79M,766.79M,,-192.05M,,-192.05M,-51.75M,-34.58M,0.487M,-277.89M,,83.49M,83.49M,3.436M,-0.044M,3.392M,0.00,0.00,-15.09M,71.78M,,584.27M,560.68M,0.933M,1.146B,,3.436M,797.74M,-714.26M,-0.044M,194.07M,31.78M,,AOR,
2020-06,256.50M,,2.161M,126.21M,126.21M,,,15.91M,,-37.11M,61.53M,,105.18M,-5.989M,477.10M,-52.19M,585.64M,949.31M,,-170.51M,,-170.51M,-0.502M,5.338M,3.876M,-161.80M,,-274.23M,-274.23M,2.85M,-27.96M,-25.11M,0.00,0.00,-3.15M,-302.50M,,99.22M,485.02M,0.034M,584.27M,,2.85M,0.00,-274.23M,-27.96M,7.611M,22.32M,,AOR,
2020-03,144.46M,,,124.39M,124.39M,,,18.05M,,-26.92M,69.76M,,90.35M,11.08M,,70.89M,242.08M,502.06M,,-184.10M,,-184.10M,-0.751M,51.69M,-1.857M,-135.02M,,-179.64M,-179.64M,3.002M,-172.09M,-169.09M,-17.34M,-17.34M,-5.735M,-371.81M,,105.67M,-4.771M,-1.673M,99.22M,,3.002M,5.453M,-185.10M,-172.09M,6.783M,39.48M,,AOR,
2019-12,248.01M,,-1.558M,127.66M,127.66M,,0.00,17.26M,,-29.74M,-4.724M,,61.12M,-42.44M,,-42.23M,-28.28M,333.36M,,-161.85M,,-161.85M,-2.63M,-54.25M,-1.225M,-219.96M,,35.15M,35.15M,2.558M,-182.53M,-179.97M,-17.45M,-17.45M,-2.526M,-164.79M,,154.84M,-51.39M,2.218M,105.67M,,2.558M,24.12M,11.03M,-182.53M,39.32M,34.71M,,AOR,
2019-09,100.87M,,-5.982M,121.53M,121.53M,,97.63M,17.49M,,-23.93M,64.00M,,-16.35M,16.57M,0.00,60.73M,124.94M,432.55M,,-156.33M,,-156.33M,0.00,29.60M,3.15M,-123.58M,,-201.66M,-201.66M,2.977M,-93.33M,-90.35M,-17.60M,-17.60M,-0.237M,-309.85M,,156.70M,-0.878M,-0.986M,154.84M,,2.977M,-162.10M,-39.56M,-93.33M,75.89M,44.08M,,AOR,Restated
2019-06,241.26M,,,121.17M,121.17M,,,17.08M,,-21.80M,0.29M,,-38.08M,2.438M,0.00,-81.61M,-116.96M,240.76M,,-154.07M,,-154.07M,-11.07M,32.89M,-4.215M,-136.46M,,254.42M,254.42M,2.545M,-350.86M,-348.32M,-8.872M,-8.872M,-1.336M,-104.10M,,157.58M,0.192M,-1.067M,156.70M,,2.545M,168.50M,85.92M,-350.86M,140.32M,37.57M,,AOR,Restated
2019-03,237.40M,,,120.04M,120.04M,,,17.59M,,-22.32M,-101.62M,,74.00M,-3.771M,,110.48M,79.10M,431.80M,,-169.85M,,-169.85M,-0.879M,-28.01M,-9.678M,-208.41M,,-105.84M,-105.84M,2.726M,-143.78M,-141.06M,-9.081M,-9.081M,-10.31M,-266.29M,,199.68M,-42.90M,0.794M,157.58M,,2.726M,8.70M,-114.54M,-143.78M,5.087M,41.05M,,AOR,Restated
2018-12,163.62M,,2.727M,118.07M,118.07M,,49.31M,15.94M,,-22.92M,31.89M,,23.92M,5.704M,,-62.92M,-1.403M,325.34M,,-146.06M,,-146.06M,-1.421M,40.06M,-10.76M,-118.18M,,-21.68M,-21.68M,2.459M,-136.17M,-133.71M,-9.256M,-9.256M,-19.36M,-184.01M,,177.69M,23.16M,-1.163M,199.68M,,2.459M,708.85M,-730.53M,-136.17M,46.35M,36.13M,,AOR,Restated
2018-09,174.88M,,0.00,112.29M,112.29M,,0.00,15.93M,,-14.62M,-10.07M,,6.499M,-22.99M,,80.52M,53.96M,342.44M,,-238.18M,,-238.18M,0.149M,3.79M,-1.40M,-235.64M,,34.40M,34.40M,2.778M,-126.47M,-123.69M,-9.282M,-9.282M,-0.349M,-98.92M,,170.43M,7.87M,-0.604M,177.69M,,2.778M,51.90M,-17.50M,-126.47M,65.36M,43.27M,,AOR,Restated
2018-06,230.71M,,-1.81M,109.58M,109.58M,,,15.02M,,-19.84M,8.471M,,-74.68M,-8.706M,,-61.69M,-136.60M,197.06M,,-181.21M,,-181.21M,-5.384M,68.15M,-2.854M,-121.30M,,68.21M,68.21M,2.414M,-125.34M,-122.93M,-9.382M,-9.382M,-4.451M,-68.56M,,166.22M,7.205M,-2.995M,170.43M,,2.414M,10.00M,58.21M,-125.34M,179.38M,29.35M,,AOR,Restated
