,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,2.913B,2.913B,335.41M,2.577B,1.435B,1.435B,28.49M,,,23.79M,0.52M,-24.58M,666.66M,2.227B,349.67M,0.52M,23.79M,-24.58M,-1.831M,-24.58M,323.26M,79.17M,244.09M,,-2.813M,241.28M,241.28M,473.02M,125.96M,347.05M,,2.84,,2.84,2.84,,2.82,,2.82,2.82,,84.67M,85.25M,0.00,,AOR,
2020-06,2.730B,2.730B,283.57M,2.446B,1.336B,1.336B,28.19M,,,24.51M,0.317M,-25.47M,625.75M,2.088B,358.03M,0.317M,24.51M,-25.47M,3.10M,-25.47M,335.66M,79.15M,256.50M,,-4.575M,251.93M,251.93M,486.38M,126.21M,360.17M,,2.97,,2.97,2.97,,2.95,,2.95,2.95,,84.63M,85.06M,0.00,,AOR,
2020-03,2.830B,2.830B,317.83M,2.512B,1.461B,1.461B,28.29M,,,35.10M,0.03M,-36.35M,689.79M,2.275B,236.69M,0.03M,35.10M,-36.35M,-9.56M,-36.35M,190.78M,46.32M,144.46M,,-2.423M,142.04M,142.04M,350.28M,124.39M,225.88M,,1.64,,1.64,1.64,,1.64,,1.64,1.64,,86.21M,86.46M,0.20,,AOR,
2019-12,2.896B,2.896B,324.09M,2.572B,1.459B,1.459B,27.49M,,,37.96M,0.086M,-39.16M,644.39M,2.231B,340.98M,0.086M,37.96M,-39.16M,19.34M,-39.16M,321.16M,73.15M,248.01M,,-2.834M,245.18M,245.18M,486.78M,127.66M,359.12M,,2.81,,2.81,2.81,,2.79,,2.79,2.79,,87.18M,87.60M,0.20,,AOR,
2019-09,2.822B,2.822B,313.94M,2.509B,1.436B,1.436B,27.66M,,,40.23M,0.065M,-41.45M,762.17M,2.320B,188.93M,0.065M,40.23M,-41.45M,-9.407M,-41.45M,138.08M,37.20M,100.87M,,-3.68M,97.19M,97.19M,299.83M,121.53M,178.30M,,1.10,,1.10,1.10,,1.10,,1.10,1.10,,87.95M,88.36M,0.20,,AOR,Restated
2019-06,2.855B,2.855B,305.86M,2.549B,1.410B,1.410B,26.54M,,,41.71M,0.049M,-42.94M,672.56M,2.204B,345.56M,0.049M,41.71M,-42.94M,8.188M,-42.94M,310.81M,69.54M,241.26M,,-2.945M,238.32M,237.97M,473.69M,121.17M,352.52M,,2.67,,2.666,2.67,,2.66,,2.656,2.66,,89.14M,89.24M,0.10,,AOR,Restated
2019-03,2.804B,2.804B,307.46M,2.497B,1.392B,1.392B,26.12M,,,41.58M,0.269M,-42.58M,644.78M,2.156B,340.44M,0.269M,41.58M,-42.58M,-1.557M,-42.58M,296.30M,58.90M,237.40M,,-3.23M,234.17M,231.81M,457.91M,120.04M,337.87M,,2.57,,2.544,2.57,,2.57,,2.544,2.57,,90.78M,90.97M,0.10,,AOR,Restated
2018-12,2.754B,2.754B,300.79M,2.454B,1.358B,1.358B,26.16M,,,40.83M,0.846M,-42.40M,717.94M,2.194B,259.82M,0.846M,40.83M,-42.40M,-9.975M,-42.40M,207.45M,43.83M,163.62M,,-5.547M,158.08M,156.09M,366.35M,118.07M,248.28M,,1.71,,1.688,1.71,,1.70,,1.679,1.70,,92.19M,92.71M,0.10,,AOR,Restated
2018-09,2.649B,2.649B,285.20M,2.364B,1.343B,1.343B,26.11M,,,39.27M,0.036M,-41.47M,651.44M,2.107B,257.16M,0.036M,39.27M,-41.47M,13.38M,-41.47M,229.07M,54.19M,174.88M,,-3.135M,171.75M,170.24M,380.62M,112.29M,268.34M,,1.85,,1.834,1.85,,1.84,,1.824,1.84,,92.85M,93.33M,0.10,,AOR,Restated
2018-06,2.681B,2.681B,289.73M,2.392B,1.333B,1.333B,27.12M,,,37.83M,0.546M,-39.53M,624.48M,2.067B,324.46M,0.546M,37.83M,-39.53M,16.83M,-39.53M,301.77M,71.06M,230.71M,,-4.659M,226.05M,224.88M,449.18M,109.58M,339.60M,,2.40,,2.388,2.40,,2.39,,2.378,2.39,,93.84M,94.28M,0.10,,AOR,Restated
2018-03,2.688B,2.688B,292.93M,2.395B,1.327B,1.327B,26.70M,,,36.14M,0.103M,-38.28M,620.82M,2.061B,333.81M,0.103M,36.14M,-38.28M,0.709M,-38.28M,296.24M,67.57M,228.67M,,-4.837M,223.83M,223.28M,445.51M,113.13M,332.38M,,2.37,,2.364,2.37,,2.36,,2.354,2.36,,94.23M,94.68M,0.10,,AOR,Restated
2017-12,2.850B,2.643B,284.85M,2.358B,1.281B,1.281B,25.71M,,,34.52M,0.039M,-36.72M,624.99M,2.019B,338.74M,0.039M,34.52M,-36.72M,-0.066M,-36.72M,301.96M,76.92M,225.04M,,-5.426M,219.61M,219.66M,450.23M,113.76M,336.48M,,2.32,,2.321,2.32,,2.31,,2.311,2.31,,94.53M,94.91M,0.10,,AOR,Restated
2017-09,2.776B,2.542B,268.09M,2.274B,1.278B,1.278B,26.20M,,,34.49M,0.017M,-36.71M,628.52M,2.016B,257.31M,0.017M,34.49M,-36.71M,-0.246M,-36.71M,220.35M,74.99M,145.36M,,-4.117M,141.24M,141.41M,365.06M,110.22M,254.84M,,1.48,,1.482,1.48,,1.47,,1.472,1.47,,95.25M,95.98M,0.10,,AOR,Restated
2017-06,2.828B,2.612B,274.54M,2.338B,1.262B,1.262B,26.03M,,,32.93M,0.012M,-35.15M,632.19M,2.008B,330.19M,0.012M,32.93M,-35.15M,-0.773M,-35.15M,294.27M,103.88M,190.39M,,-4.994M,185.39M,185.89M,440.32M,113.11M,327.20M,,1.93,,1.935,1.93,,1.91,,1.915,1.91,,96.25M,97.04M,0.10,,AOR,Restated
2017-03,2.825B,2.613B,277.61M,2.335B,1.263B,1.263B,25.19M,,,31.98M,0.013M,-34.19M,607.36M,1.981B,353.93M,0.013M,31.98M,-34.19M,-1.318M,-34.19M,318.43M,107.90M,210.53M,,-4.472M,206.06M,206.93M,461.20M,110.80M,350.40M,,2.13,,2.139,2.13,,2.12,,2.129,2.12,,96.58M,97.37M,0.10,,AOR,Restated
2016-12,2.638B,2.476B,263.87M,2.212B,1.181B,1.181B,24.27M,,,28.86M,0.082M,-31.00M,614.49M,1.903B,308.89M,0.082M,28.86M,-31.00M,3.457M,-31.00M,281.35M,102.61M,178.74M,,-4.53M,174.21M,175.40M,417.64M,107.44M,310.21M,,1.80,,1.812,1.80,,1.78,,1.792,1.78,,97.00M,97.92M,0.10,,AOR,Restated
