,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,283.97M,,283.97M,28.64M,3.595B,3.595B,258.90M,,,4.166B,,,,,,,,,,2.758B,4.339B,1.200B,5.539B,,29.86M,8.327B,12.49B,,2.018B,9.752M,,2.028B,495.37M,2.523B,,,1.889M,,1.889M,,,,2.525B,,2.862B,,2.862B,565.15M,,565.15M,,,,303.93M,3.732B,6.257B,,234.11M,2.796B,3.211B,,,-3.938M,6.236B,,AOR,Restated
2018-01,267.44M,,267.44M,108.26M,3.609B,3.609B,263.12M,,,4.248B,0.00,291.63M,1.117B,3.186B,,72.49M,507.89M,5.175B,-2.474B,2.701B,4.339B,1.200B,5.539B,,28.76M,8.269B,12.52B,,2.010B,168.56M,,2.178B,170.18M,2.349B,96.28M,,401.34M,,401.34M,,,,2.965B,134.26M,2.605B,,2.605B,515.70M,44.78M,626.34M,,,,61.05M,3.426B,6.391B,,235.14M,2.698B,3.196B,,,-4.181M,6.126B,,AOR,Restated
2017-10,226.19M,,226.19M,99.68M,3.597B,3.597B,230.27M,,,4.153B,,,,,,,,,,2.655B,4.339B,1.200B,5.539B,,27.42M,8.221B,12.37B,,1.978B,4.646M,,1.983B,553.60M,2.536B,,,401.53M,,401.53M,,,,2.938B,,2.720B,,2.720B,690.80M,,690.80M,,,,282.43M,3.693B,6.631B,,237.60M,2.335B,3.176B,,,-4.383M,5.744B,,AOR,Restated
2017-07,214.17M,,214.17M,44.26M,3.463B,3.463B,258.56M,,,3.980B,,,,,,,,,,2.575B,4.339B,1.201B,5.539B,,26.89M,8.141B,12.12B,,1.881B,3.658M,,1.884B,521.03M,2.405B,,,401.40M,,401.40M,,,,2.807B,,2.683B,,2.683B,659.84M,,659.84M,,,,284.02M,3.627B,6.434B,,239.10M,2.286B,3.167B,,,-4.584M,5.687B,,AOR,Restated
2017-04,205.98M,,205.98M,10.49M,3.300B,3.300B,232.40M,,,3.749B,,,,,,,,,,2.487B,4.339B,1.201B,5.539B,,20.93M,8.047B,11.80B,,1.623B,208.97M,,1.832B,459.10M,2.291B,,,401.19M,,401.19M,,,,2.692B,,2.632B,,2.632B,662.48M,,662.48M,,,,280.86M,3.575B,6.267B,,239.95M,2.136B,3.157B,,,-4.789M,5.529B,,AOR,Restated
2017-01,187.92M,,187.92M,11.05M,3.259B,3.259B,220.02M,,,3.678B,0.00,273.38M,1.013B,2.797B,,72.54M,438.71M,4.595B,-2.161B,2.434B,4.339B,1.201B,5.539B,,20.82M,7.995B,11.67B,,1.558B,238.49M,,1.796B,234.52M,2.031B,,,500.95M,,500.95M,,,,2.623B,,2.711B,,2.711B,652.84M,49.26M,763.18M,137.74M,,,31.70M,3.643B,6.266B,,240.81M,2.016B,3.155B,,,-4.99M,5.406B,,AOR,Restated
2016-10,200.24M,,200.24M,54.59M,3.488B,3.488B,225.44M,,,3.969B,,,,,,,,,,2.388B,4.339B,1.201B,5.539B,,20.78M,7.949B,11.92B,,1.948B,5.721M,,1.954B,504.43M,2.458B,,,501.48M,,501.48M,,,,2.960B,,2.673B,,2.673B,637.14M,,637.14M,,,,285.14M,3.595B,6.555B,,244.46M,1.978B,3.145B,,,-5.206M,5.362B,,AOR,Restated
2016-07,185.03M,,185.03M,22.98M,3.271B,3.271B,229.35M,,,3.708B,,,,,,,,,,2.349B,4.339B,1.201B,5.539B,,20.80M,7.909B,11.62B,,1.721B,22.66M,,1.743B,474.43M,2.218B,,,501.55M,,501.55M,,,,2.719B,,2.556B,,2.556B,647.37M,,647.37M,,,,280.77M,3.485B,6.204B,,246.98M,2.035B,3.137B,,,-5.406M,5.413B,,AOR,Restated
2016-04,187.69M,,187.69M,6.827M,3.072B,3.072B,210.77M,,,3.477B,,,,,,,,,,2.278B,4.339B,1.201B,5.539B,,21.46M,7.839B,11.32B,,1.447B,122.15M,,1.569B,440.70M,2.010B,,,1.526M,,1.526M,,,,2.012B,,2.990B,,2.990B,647.63M,,647.63M,,,,279.12M,3.916B,5.928B,,249.10M,2.021B,3.124B,,,-5.607M,5.388B,,AOR,Restated
2016-01,157.95M,,157.95M,6.843M,3.074B,3.074B,193.47M,,,3.432B,0.00,255.49M,834.88M,2.527B,,150.28M,403.00M,4.170B,-1.906B,2.264B,4.339B,1.201B,5.540B,,21.83M,7.825B,11.26B,,1.494B,169.63M,,1.664B,219.17M,1.883B,,,1.379M,,1.379M,,,,1.996B,,2.969B,,2.969B,639.96M,53.74M,750.71M,137.80M,,,26.73M,3.884B,5.880B,,250.86M,2.026B,3.107B,,,-5.807M,5.378B,,AOR,Restated
