,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-04,602.46M,,602.46M,,,1.767B,137.31M,,,2.507B,,,,,,,,,,1.563B,4.339B,1.251B,5.590B,,55.49M,7.208B,9.715B,,933.71M,32.22M,,965.93M,380.42M,1.346B,,,1.039M,,1.039M,39.84M,39.84M,,1.387B,,3.263B,,3.263B,606.07M,,606.07M,,,9.267M,230.04M,4.108B,5.495B,,298.84M,987.90M,2.949B,,,-15.60M,4.220B,,AOR,Restated
2011-01,497.45M,,497.45M,,,1.765B,104.95M,,,2.368B,0.00,174.44M,575.30M,1.236B,,17.93M,173.84M,2.177B,-652.69M,1.525B,4.339B,1.257B,5.596B,,58.31M,7.178B,9.546B,,953.64M,100.88M,,1.055B,191.06M,1.246B,,,1.157M,,1.157M,36.85M,36.85M,,1.365B,,3.287B,,3.287B,598.56M,,598.56M,,,9.153M,231.58M,4.126B,5.492B,,298.82M,830.93M,2.945B,,,-20.30M,4.054B,,AOR,Restated
2010-10,237.91M,,237.91M,27.68M,,1.886B,121.42M,,,2.273B,,,,,,,,,,1.415B,4.339B,1.263B,5.601B,,60.69M,7.077B,9.350B,,971.54M,14.07M,,985.61M,378.75M,1.364B,,,1.358M,,1.358M,44.60M,44.60M,,1.410B,,3.287B,,3.287B,565.51M,,565.51M,,,14.78M,254.67M,4.122B,5.532B,,298.46M,608.39M,2.937B,,,-26.76M,3.817B,,AOR,Restated
2010-07,281.42M,,281.42M,0.00,,1.738B,114.82M,,,2.135B,,,,,,,,,,1.378B,4.339B,1.269B,5.608B,,59.58M,7.045B,9.179B,,941.74M,14.86M,,956.61M,321.67M,1.278B,,,1.595M,,1.595M,39.29M,39.29M,,1.319B,,3.351B,,3.351B,532.31M,,532.31M,,,14.93M,279.42M,4.177B,5.497B,,298.40M,480.27M,2.934B,,,-29.67M,3.683B,,AOR,Restated
2010-04,222.71M,,222.71M,0.00,,1.605B,111.12M,,,1.939B,,,,,,,,,,1.361B,4.339B,1.276B,5.615B,,62.87M,7.038B,8.977B,,789.27M,34.69M,,823.96M,332.25M,1.156B,,,3.547M,,3.547M,46.28M,46.28M,,1.206B,,3.400B,,3.400B,540.01M,,540.01M,,,16.62M,277.99M,4.235B,5.441B,,298.37M,339.07M,2.929B,,,-29.77M,3.537B,,AOR,Restated
2010-01,222.08M,,222.08M,7.543M,,1.520B,96.25M,,,1.845B,0.00,137.90M,520.87M,992.42M,,10.41M,130.77M,1.792B,-463.99M,1.328B,4.339B,1.284B,5.623B,,66.81M,7.018B,8.864B,,830.95M,4.525M,,835.48M,342.29M,1.178B,,,3.671M,,3.671M,25.06M,25.06M,,1.206B,,3.400B,,3.400B,546.17M,,546.17M,,,18.49M,302.35M,4.267B,5.473B,,298.01M,203.08M,2.923B,,,-34.17M,3.390B,,AOR,Restated
2009-10,337.02M,,337.02M,31.27M,,1.680B,68.75M,0.00,,2.117B,,,,,,,,,,1.306B,4.339B,1.293B,5.632B,,77.49M,7.015B,9.133B,,852.99M,3.659M,,856.65M,381.35M,1.238B,,,26.76M,,26.76M,46.18M,46.18M,,1.311B,,4.105B,,4.105B,547.18M,,547.18M,,,15.13M,298.62M,4.966B,6.277B,,278.20M,115.88M,2.498B,,,-36.60M,2.855B,,AOR,Restated
2009-07,515.38M,,515.38M,5.45M,,1.553B,72.37M,0.00,,2.146B,,,,,,,,,,1.273B,4.339B,1.303B,5.642B,,78.93M,6.994B,9.140B,,800.31M,19.30M,,819.61M,304.38M,1.124B,,,26.80M,,26.80M,15.03M,15.03M,,1.166B,,4.111B,,4.111B,550.55M,,550.55M,,,15.28M,280.73M,4.958B,6.123B,,278.22M,279.96M,2.495B,,,-36.62M,3.017B,,AOR,Restated
2009-04,434.58M,,434.58M,3.479M,,1.455B,69.39M,0.00,,1.962B,,,,,,,,,,1.281B,4.339B,1.314B,5.653B,,82.80M,7.017B,8.979B,,700.44M,28.03M,,728.47M,332.72M,1.061B,,,19.53M,,19.53M,11.94M,11.94M,,1.093B,,4.117B,,4.117B,554.10M,,554.10M,,,14.35M,283.92M,4.970B,6.062B,,278.16M,186.37M,2.492B,,,-40.43M,2.917B,,AOR,Restated
2009-01,378.00M,,378.00M,6.392M,,1.415B,66.18M,4.60M,,1.870B,0.00,137.78M,518.93M,781.42M,,5.025M,117.85M,1.561B,-292.05M,1.269B,4.339B,1.326B,5.664B,,85.97M,7.019B,8.889B,,678.42M,7.611M,,686.03M,375.04M,1.061B,,,14.16M,,14.16M,0.00,0.00,,1.075B,,4.123B,,4.123B,556.10M,,556.10M,,,13.92M,289.29M,4.982B,6.058B,,278.11M,103.36M,2.490B,,,-39.43M,2.832B,,AOR,Restated
2008-10,150.59M,0.00,150.59M,42.99M,,1.620B,72.80M,0.00,,1.886B,,,,,,,,,,1.289B,4.337B,1.337B,5.674B,,91.03M,7.054B,8.940B,,720.13M,1.824M,,721.95M,439.58M,1.162B,,,8.455M,,8.455M,22.67M,22.67M,,1.193B,,4.172B,,4.172B,542.26M,,542.26M,,,13.15M,256.10M,4.984B,6.177B,,277.94M,21.51M,2.487B,,,-23.06M,2.763B,,AOR,Restated
2008-07,261.63M,2.597M,264.23M,12.83M,,1.490B,68.29M,17.40M,,1.853B,,,,,,,,,,1.267B,4.345B,1.348B,5.693B,,97.39M,7.057B,8.910B,,818.25M,1.744M,,819.99M,341.73M,1.162B,,,2.999M,,2.999M,,,,1.165B,,4.178B,,4.178B,483.87M,,483.87M,,,11.16M,305.64M,4.978B,6.143B,,277.71M,28.82M,2.485B,,,-24.33M,2.767B,,AOR,Restated
2008-04,115.90M,48.57M,164.48M,33.81M,,1.317B,64.51M,15.25M,,1.595B,,,,,,,,,,1.251B,4.345B,1.359B,5.704B,,113.27M,7.068B,8.663B,,592.07M,2.924M,,595.00M,356.92M,951.91M,,,2.83M,,2.83M,,,,954.74M,,4.176B,,4.176B,490.04M,,490.04M,,,9.112M,302.38M,4.978B,5.932B,,277.74M,1.097M,2.482B,,,-30.64M,2.731B,,AOR,Restated
2008-01,100.21M,19.61M,119.82M,32.50M,,1.289B,59.46M,17.30M,,1.518B,0.00,137.54M,516.48M,645.38M,,2.823M,87.34M,1.390B,-115.32M,1.274B,4.345B,1.371B,5.715B,,148.96M,7.139B,8.656B,,551.04M,2.999M,,554.04M,300.96M,855.00M,,,3.246M,,3.246M,,,,858.24M,,4.279B,,4.279B,486.72M,,486.72M,,,9.122M,319.71M,5.094B,5.953B,,277.74M,-4.818M,2.480B,,,-49.11M,2.704B,,AOR,Restated
2007-04,204.42M,27.37M,231.79M,14.62M,,1.444B,57.57M,37.86M,,1.786B,,,,,,,,,,1.212B,,,,12.42M,63.54M,1.288B,3.074B,,484.95M,0.048M,,485.00M,258.09M,743.09M,,,7.186M,,7.186M,,,,750.27M,,260.37M,,260.37M,0.00,,0.00,,,,266.89M,527.26M,1.278B,,157.30M,1.114B,525.83M,,,-0.941M,1.797B,,AOR,Restated
2007-01,189.29M,29.95M,219.24M,9.833M,,1.432B,57.02M,24.32M,,1.743B,,,,,,,,,,1.237B,2.337M,0.086M,2.423M,,58.47M,1.298B,3.041B,,555.27M,15.96M,,571.23M,253.56M,824.79M,,,8.08M,,8.08M,,,,832.87M,,261.96M,,261.96M,41.60M,,41.60M,,,0.00,158.34M,461.90M,1.295B,,156.22M,1.104B,486.14M,,,-0.987M,1.746B,,AOR,Restated
2006-10,90.91M,29.40M,120.31M,,,1.676B,71.99M,49.63M,,1.918B,,,,,,,,,,1.247B,,,,,41.42M,1.288B,3.206B,,517.44M,15.83M,,533.27M,406.76M,940.03M,,,8.473M,,8.473M,,,,948.50M,,495.34M,,495.34M,59.52M,,59.52M,,,,,554.86M,1.503B,,156.02M,1.069B,477.69M,,,-0.659M,1.703B,,AOR,
2006-07,86.35M,21.53M,107.88M,38.75M,,1.735B,71.21M,1.002M,,1.954B,,,,,,,,,,1.241B,,,,,50.10M,1.291B,3.245B,,538.05M,9.57M,,547.62M,387.87M,935.48M,,,9.167M,,9.167M,,,,944.65M,,516.54M,,516.54M,62.53M,,62.53M,,,,,579.07M,1.524B,,156.00M,1.090B,475.46M,,,-0.696M,1.721B,,AOR,
2006-04,71.88M,18.82M,90.70M,,,1.636B,79.57M,2.367M,,1.809B,,,,,,,,,,1.212B,,,,,42.33M,1.255B,3.063B,,569.45M,22.03M,,591.47M,379.22M,970.69M,,,8.80M,,8.80M,,,,979.49M,,333.47M,,333.47M,63.69M,,63.69M,,,,,397.16M,1.377B,,155.86M,1.060B,470.88M,,,-0.74M,1.687B,,AOR,Restated
2006-01,200.61M,8.85M,209.46M,0.00,,1.474B,51.34M,0.00,,1.735B,,,,,,,,,,1.192B,,,,,52.89M,1.245B,2.980B,,508.39M,43.71M,,552.09M,242.35M,794.45M,,,8.785M,,8.785M,7.267M,7.267M,,810.50M,,269.96M,,269.96M,48.45M,,48.45M,,,,130.57M,448.98M,1.259B,,157.84M,1.106B,462.38M,,,-0.794M,1.721B,,AOR,Restated
2005-10,92.77M,1.417M,94.19M,,,1.575B,61.55M,14.35M,,1.745B,,,,,,,,,,1.155B,,,,,30.85M,1.186B,2.931B,,521.09M,7.452M,,528.54M,372.54M,901.08M,,,8.864M,,8.864M,,,,909.94M,,344.44M,,344.44M,62.12M,,62.12M,,,,,406.55M,1.316B,,158.44M,1.011B,451.18M,,,-0.839M,1.614B,,AOR,Restated
2005-07,145.95M,0.00,145.95M,,,1.461B,58.30M,33.71M,,1.699B,,,,,,,,,,1.122B,,,,,20.01M,1.142B,2.840B,,462.70M,49.50M,,512.20M,347.61M,859.81M,,,9.561M,,9.561M,,,,869.37M,,255.44M,,255.44M,67.74M,,67.74M,,,,,323.18M,1.193B,,160.63M,1.047B,447.62M,,,-0.883M,1.648B,,AOR,Restated
2005-04,236.52M,0.00,236.52M,,,1.466B,59.17M,21.52M,,1.783B,,,,,,,,,,1.092B,,,,,29.35M,1.121B,2.905B,,459.74M,54.56M,,514.30M,322.74M,837.04M,,,10.74M,,10.74M,,,,847.78M,,256.45M,,256.45M,72.34M,,72.34M,,,,,328.79M,1.177B,,164.07M,1.130B,441.12M,,,-0.928M,1.728B,,AOR,Restated
2005-01,232.83M,42.92M,275.76M,,,1.377B,53.70M,24.91M,,1.731B,,,,,,,,,,1.081B,,,,,29.26M,1.110B,2.841B,,409.33M,69.62M,,478.94M,333.89M,812.83M,,,12.86M,,12.86M,,,,825.69M,,258.46M,,258.46M,72.38M,,72.38M,,,,,330.85M,1.157B,,164.09M,1.102B,421.60M,,,-0.973M,1.684B,,AOR,Restated
2004-10,45.83M,,45.83M,,,1.559B,,17.30M,100.52M,1.722B,,,,,,,,1.906B,-828.95M,1.077B,,,,,29.16M,1.106B,2.828B,,475.84M,21.71M,,497.55M,336.41M,833.96M,,,14.70M,,14.70M,,,,848.66M,,321.19M,,321.19M,80.67M,,80.67M,,,,,401.87M,1.251B,,163.78M,1.015B,405.00M,,,-1.009M,1.577B,,AOR,Restated
2004-07,101.46M,,101.46M,,,1.380B,,11.00M,94.64M,1.587B,,,,,,,,1.833B,-794.40M,1.039B,,,,,29.32M,1.068B,2.655B,,440.48M,19.47M,,459.95M,304.96M,764.91M,,,15.96M,,15.96M,,,,780.87M,,259.01M,,259.01M,76.25M,,76.25M,,,,,335.26M,1.116B,,164.19M,985.24M,395.20M,,,-1.054M,1.539B,,AOR,Restated
2004-04,256.88M,,256.88M,,,1.277B,,21.85M,73.74M,1.630B,,,,,,,,1.775B,-757.85M,1.018B,,,,,26.46M,1.044B,2.674B,,510.19M,38.32M,,548.51M,288.03M,836.54M,,,16.88M,,16.88M,,,,853.42M,,261.62M,,261.62M,70.65M,,70.65M,,,,,332.27M,1.186B,,164.35M,943.40M,386.16M,,,-1.108M,1.488B,,AOR,Restated
2004-01,345.90M,68.73M,414.62M,,,1.157B,50.04M,30.41M,,1.652B,,,,,,,,,,957.63M,,,,,11.27M,968.90M,2.621B,,383.79M,45.72M,,429.52M,303.16M,732.67M,,,16.67M,,16.67M,,,,749.34M,,265.34M,,265.34M,52.14M,,52.14M,,,,,317.48M,1.067B,,168.10M,1.015B,376.93M,,,-1.161M,1.554B,,AOR,Restated
2003-10,138.47M,,138.47M,,,1.373B,,21.73M,65.30M,1.599B,,,,,,,,1.667B,-687.95M,979.49M,,,,,11.01M,990.49M,2.589B,,440.50M,14.55M,,455.06M,287.72M,742.78M,,,17.30M,,17.30M,,,,760.08M,,268.36M,,268.36M,59.10M,,59.10M,,,,,327.46M,1.088B,,168.42M,975.26M,363.77M,,,-1.206M,1.502B,,AOR,Restated
2003-07,102.28M,,102.28M,,,1.185B,,22.83M,57.49M,1.367B,,,,,,,,1.639B,-652.70M,986.46M,,,,,11.61M,998.07M,2.365B,,352.72M,9.182M,,361.90M,255.03M,616.93M,,,16.96M,,16.96M,,,,633.88M,,272.42M,,272.42M,56.93M,,56.93M,,,,,329.35M,963.24M,,167.34M,909.11M,331.18M,,,-1.266M,1.402B,,AOR,Restated
2003-04,75.95M,,75.95M,,,1.201B,,26.66M,52.08M,1.355B,,,,,,,,1.606B,-618.34M,988.11M,,,,,12.46M,1.001B,2.356B,,357.22M,36.54M,,393.76M,230.29M,624.05M,,,16.56M,,16.56M,,,,640.61M,,326.03M,,326.03M,51.58M,,51.58M,,,,,377.61M,1.018B,,166.76M,860.88M,314.97M,,,-1.311M,1.338B,,AOR,Restated
2003-01,121.32M,,121.32M,,,1.123B,,33.86M,45.70M,1.324B,,,,,,,,,,993.82M,,,,,15.42M,1.009B,2.333B,,341.30M,67.09M,,408.39M,239.90M,648.29M,,,16.21M,,16.21M,,,,664.50M,,330.34M,,330.34M,50.25M,,50.25M,,,,,380.58M,1.045B,,166.67M,812.22M,313.27M,2.742M,,-1.349M,1.288B,,AOR,Restated
2002-10,37.10M,,37.10M,,,1.249B,,43.10M,61.08M,1.390B,,,,,,,,1.581B,-581.16M,1.000B,,,,,20.51M,1.021B,2.411B,,410.43M,,0.20M,410.63M,246.82M,657.44M,,,15.83M,,15.83M,,,,673.28M,,502.50M,,502.50M,45.04M,,45.04M,,,,,547.54M,1.221B,,166.69M,714.80M,313.02M,,,-1.382M,1.190B,,AOR,Restated
2002-07,39.52M,,39.52M,55.57M,,1.058B,,25.55M,65.26M,1.244B,,,,,,,,1.547B,-548.07M,999.27M,,,,,21.85M,1.021B,2.265B,,346.79M,,,346.79M,219.22M,566.01M,,,15.13M,,15.13M,,,,581.14M,,506.71M,,506.71M,46.03M,,46.03M,,,,,552.74M,1.134B,,166.67M,656.89M,312.59M,,,-2.012M,1.131B,,AOR,Restated
2002-04,287.42M,,287.42M,,,1.134B,,80.97M,85.42M,1.588B,,,,,,,,1.507B,-515.94M,991.48M,,,,,8.989M,1.000B,2.589B,,341.13M,,161.00M,502.13M,212.59M,714.72M,,,395.88M,,395.88M,,,,1.111B,,336.08M,,336.08M,53.39M,,53.39M,,,,,389.47M,1.500B,,166.46M,625.19M,302.20M,,,-2.677M,1.089B,,AOR,Restated
2002-01,261.52M,,261.52M,,,1.131B,,105.09M,58.41M,1.556B,,,,,,,,,,988.92M,,,,,7.423M,996.34M,2.552B,,322.46M,10.63M,162.00M,495.10M,242.78M,737.88M,,,395.68M,,395.68M,,,,1.134B,,339.47M,,339.47M,37.65M,,37.65M,,,,,377.12M,1.511B,,166.36M,579.26M,301.85M,2.395M,,-3.228M,1.042B,,AOR,Restated
2001-10,74.82M,,74.82M,,,1.133B,,90.31M,48.60M,1.347B,,,,,,,,1.454B,-456.48M,997.79M,,,,,124.54M,1.122B,2.469B,,381.84M,10.49M,162.00M,554.34M,223.51M,777.84M,,,391.09M,,391.09M,,,,1.169B,,347.17M,,347.17M,,,,,,,,347.17M,1.516B,,166.30M,492.47M,300.62M,2.685M,,-3.552M,953.16M,,AOR,Restated
2001-07,81.63M,,81.63M,,,980.86M,,24.96M,53.23M,1.141B,,,,,,,,1.429B,-426.15M,1.003B,,,,,186.42M,1.190B,2.330B,,294.78M,0.00,,294.78M,214.13M,508.92M,,,7.942M,,7.942M,,,,516.86M,,735.44M,,735.44M,,,,,,,,897.44M,1.414B,,166.23M,456.38M,299.15M,2.69M,,-3.044M,916.03M,,AOR,Restated
2001-04,160.89M,,160.89M,,,905.53M,,21.91M,37.90M,1.126B,,,,,,,,1.387B,-395.85M,991.04M,,,,,184.32M,1.175B,2.302B,,282.56M,20.12M,,302.68M,200.68M,503.36M,,,7.083M,,7.083M,,,,510.45M,,733.53M,,733.53M,,,,,,,,895.53M,1.406B,,166.05M,439.92M,294.96M,2.469M,,-2.839M,895.62M,,AOR,Restated
2001-01,162.31M,,162.31M,,,896.24M,,21.51M,44.87M,1.125B,0.00,119.41M,286.48M,823.23M,,110.43M,,1.340B,-366.46M,973.09M,,,,52.71M,131.73M,1.158B,2.282B,,297.26M,17.45M,,314.71M,214.19M,528.90M,,,9.035M,,9.035M,,,,537.94M,,720.76M,,720.76M,0.00,,0.00,,,,,882.76M,1.421B,,165.65M,414.32M,283.92M,2.126M,,0.00,861.76M,,AOR,Restated
2000-10,13.08M,,13.08M,,,1.173B,,7.743M,62.96M,1.257B,,,,,,,,801.84M,-306.89M,494.94M,,,,,15.96M,510.90M,1.768B,,309.51M,3.946M,,313.45M,122.45M,435.90M,,,64.99M,,64.99M,,,,500.90M,,210.91M,,210.91M,50.82M,,50.82M,,,,,261.72M,762.62M,,165.28M,576.88M,263.23M,,,,1.005B,,AOR,Restated
2000-07,14.04M,,14.04M,,,1.062B,,6.936M,81.20M,1.164B,,,,,,,,736.44M,-286.77M,449.67M,,,,,12.94M,462.61M,1.627B,,277.82M,0.00,,277.82M,121.42M,399.24M,,,24.33M,,24.33M,,,,423.56M,,205.37M,,205.37M,51.67M,,51.67M,,,,,257.04M,680.60M,,164.55M,536.47M,245.34M,0.00,,,946.36M,,AOR,Restated
2000-04,28.40M,,28.40M,,,995.50M,,6.682M,106.47M,1.137B,,,,,,,,641.16M,-268.96M,372.20M,,,,,9.025M,381.22M,1.518B,,242.36M,13.11M,,255.47M,114.65M,370.12M,,,182.95M,,182.95M,,,,553.08M,,2.24M,,2.24M,55.44M,,55.44M,,,,,57.68M,610.76M,,164.16M,507.73M,235.62M,0.00,,,907.51M,,AOR,Restated
2000-01,54.74M,,54.74M,,,952.43M,,20.49M,46.46M,1.074B,0.00,91.49M,250.92M,651.66M,,115.31M,,1.109B,-271.99M,837.39M,,,,0.00,12.12M,849.51M,1.924B,,344.60M,26.99M,,371.59M,166.29M,537.88M,,,1.828M,,1.828M,,,,539.71M,,514.36M,,514.36M,24.21M,,24.21M,,,,,538.57M,1.078B,,165.41M,450.04M,229.91M,0.00,,,845.35M,,AOR,Restated
1999-10,35.70M,,35.70M,,,1.106B,,,72.50M,1.214B,,,,,,,,560.30M,-235.40M,324.90M,,,,,,335.40M,1.549B,,347.60M,,,347.60M,,347.60M,,,181.30M,,181.30M,,,144.60M,673.50M,,1.50M,,1.50M,12.10M,,12.10M,,,,,13.60M,687.00M,,132.70M,479.10M,250.30M,,,,862.10M,,,
1999-07,25.30M,,25.30M,,,951.10M,,,52.40M,1.029B,,,,,,,,523.60M,-220.00M,303.60M,,,,,,313.30M,1.342B,,209.90M,,,209.90M,,209.90M,,,149.90M,,149.90M,,,125.50M,485.30M,,1.50M,,1.50M,18.10M,,18.10M,,,,,19.60M,504.90M,,133.10M,463.20M,440.50M,200.50M,,,837.20M,,,
1999-04,25.60M,,25.60M,,,939.20M,,,34.30M,999.10M,,,,,,,,533.00M,-216.40M,316.60M,,,,,,326.30M,1.325B,,246.70M,,,246.70M,,246.70M,,,114.30M,,114.30M,,,151.70M,512.70M,,0.60M,,0.60M,24.60M,,24.60M,,,,,25.20M,537.90M,,,430.30M,,,,,787.50M,,,
1999-01,22.29M,,22.29M,,,811.72M,,2.523M,42.38M,878.92M,,,,,,,,528.24M,-201.83M,326.41M,,,,,6.459M,332.87M,1.212B,,257.76M,23.82M,,281.58M,172.82M,454.41M,,,0.725M,,0.725M,,,,455.13M,,0.786M,,0.786M,30.10M,,30.10M,,,,,30.89M,486.02M,,105.98M,402.27M,418.04M,200.53M,0.858M,,725.76M,,AOR,Restated
1998-10,18.30M,,18.30M,,,944.30M,,,40.80M,1.003B,,,,,,,,477.20M,-188.20M,289.00M,,,,,,295.60M,1.299B,,280.80M,,,280.80M,,280.80M,,,260.30M,,260.30M,,,93.40M,634.50M,,0.20M,,0.20M,12.30M,,12.30M,,,,,12.50M,647.00M,,,366.40M,,,,,652.00M,,,
1998-07,33.20M,,33.20M,,,797.30M,,,43.70M,874.20M,,,,,,,,445.40M,-174.90M,270.50M,,,,,,277.00M,1.151B,,214.50M,,,214.50M,,214.50M,,,161.60M,,161.60M,,,109.40M,485.50M,,0.20M,,0.20M,21.70M,,21.70M,,,,,21.90M,507.40M,,,332.20M,,,,,643.80M,,,
1998-04,37.20M,,37.20M,,,692.70M,,,26.70M,756.60M,,,,,,,,416.00M,-162.70M,253.30M,,,,,,259.90M,1.016B,,179.10M,,,179.10M,,179.10M,,,120.40M,,120.40M,,,98.30M,397.80M,,0.40M,,0.40M,21.70M,,21.70M,,,,,22.10M,419.80M,,,316.70M,,,,,596.70M,,,
1998-01,7.128M,,7.128M,,,631.95M,,5.743M,21.88M,666.71M,,,,,,,,391.91M,-150.47M,241.44M,,,,,6.684M,248.13M,914.84M,,179.96M,12.34M,,192.30M,92.03M,284.33M,,,23.38M,,23.38M,,,,307.71M,,1.294M,,1.294M,21.94M,,21.94M,,,,,23.23M,330.94M,,84.38M,320.08M,379.95M,200.53M,0.858M,,583.90M,,AOR,Restated
1997-10,13.20M,,13.20M,,,737.30M,,,25.40M,775.90M,,,,,,,,378.50M,-140.40M,238.10M,,,,,,243.70M,1.020B,,210.80M,,,210.80M,,210.80M,,,195.20M,,195.20M,,,89.90M,495.90M,,1.40M,,1.40M,5.40M,,5.40M,,,,,6.80M,502.70M,,,276.70M,,,,,516.90M,,,
1997-07,24.90M,,24.90M,,,589.70M,,,23.80M,638.40M,,,,,,,,351.80M,-130.90M,220.90M,,,,,,226.20M,864.60M,,163.10M,,,163.10M,,163.10M,,,59.60M,,59.60M,,,75.50M,298.20M,,1.60M,,1.60M,5.30M,,5.30M,,,,,6.90M,305.10M,,,322.60M,,,,,559.50M,,,
1997-04,33.40M,,33.40M,,,541.00M,,,22.40M,596.80M,,,,,,,,315.70M,-121.90M,193.80M,,,,,,199.20M,796.00M,,152.70M,,,152.70M,,152.70M,,,51.90M,,51.90M,,,62.40M,267.00M,,1.80M,,1.80M,7.80M,,7.80M,,,,,9.60M,276.60M,,,315.00M,,,,,519.40M,,,
1997-01,6.563M,,6.563M,,,476.10M,,3.689M,18.24M,504.60M,,,,,,,,321.92M,-113.38M,208.54M,,,,,5.012M,213.55M,718.15M,,103.52M,10.00M,,113.52M,70.44M,183.97M,,,40.50M,,40.50M,,,,224.46M,,2.582M,,2.582M,5.571M,,5.571M,,,,,8.153M,232.62M,,53.96M,302.14M,329.95M,200.53M,0.858M,,485.53M,,AOR,
1996-10,8.80M,,8.80M,,,623.40M,,,28.30M,660.50M,,,,,,,,285.10M,-105.70M,179.40M,,,,,,184.50M,845.00M,,144.70M,,,144.70M,,144.70M,,,186.80M,,186.80M,,,72.80M,404.30M,,2.70M,,2.70M,3.60M,,3.60M,,,,,6.30M,410.60M,,,265.40M,,,,,434.40M,,,
1996-07,13.00M,,13.00M,,,513.70M,,,25.50M,552.20M,,,,,,,,260.70M,-98.10M,162.60M,,,,,,167.70M,719.90M,,121.20M,,,121.20M,,121.20M,,,76.60M,,76.60M,,,66.80M,264.60M,,2.10M,,2.10M,3.60M,,3.60M,,,,,5.70M,270.30M,,,288.90M,,,,,449.60M,,,
1996-04,19.40M,,19.40M,,,526.10M,,,25.00M,570.50M,,,,,,,,247.80M,-90.80M,157.00M,,,,,,162.10M,732.60M,,120.40M,,,120.40M,,120.40M,,,106.50M,,106.50M,,,64.50M,291.40M,,2.30M,,2.30M,3.60M,,3.60M,,,,,5.90M,297.20M,,,284.10M,,,,,435.40M,,,
1996-01,4.344M,,4.344M,,,488.36M,,11.99M,11.55M,516.24M,,,,,,,,242.63M,-84.04M,158.59M,,,,,5.166M,163.75M,680.00M,,103.18M,14.76M,,117.93M,62.10M,180.03M,,,73.68M,,73.68M,,,,253.71M,,3.278M,,3.278M,2.993M,,2.993M,,,,,6.271M,259.98M,,43.62M,273.31M,303.61M,200.53M,0.858M,,420.01M,,AOR,
1995-10,4.10M,,4.10M,,,580.90M,,,24.50M,609.50M,,,,,,,,231.50M,-77.50M,154.00M,,,,,,159.50M,769.00M,,111.90M,,,111.90M,,111.90M,,,201.60M,,201.60M,,,65.70M,379.20M,,3.40M,,3.40M,3.40M,,3.40M,,,,,6.80M,385.90M,,,246.60M,,,,,383.10M,,,
1995-07,14.00M,,14.00M,,,462.60M,,,25.00M,501.60M,,,,,,,,212.30M,-72.60M,139.70M,,,,,,145.40M,647.00M,,93.60M,,,93.60M,,93.60M,,,126.00M,,126.00M,,,56.50M,276.10M,,3.60M,,3.60M,3.40M,,3.40M,,,,,7.00M,283.10M,,,229.90M,,,,,363.90M,,,
1995-04,41.10M,,41.10M,,,420.00M,,,25.80M,486.90M,,,,,,,,196.70M,-67.10M,129.60M,,,,,,135.10M,622.00M,,122.70M,,,122.70M,,122.70M,,,97.90M,,97.90M,,,59.60M,280.20M,,3.90M,,3.90M,3.40M,,3.40M,,,,,7.30M,287.40M,,,225.20M,,,,,334.60M,,,
1995-01,33.04M,,33.04M,,,356.11M,,11.78M,9.212M,410.15M,,,,,,,,187.36M,-62.11M,125.25M,,,,,5.463M,130.72M,540.87M,,111.68M,5.21M,,116.88M,61.04M,177.92M,,,31.04M,,31.04M,,,,208.96M,,4.767M,,4.767M,3.382M,,3.382M,,,,,8.149M,217.11M,,34.83M,207.44M,283.32M,201.83M,0.858M,,323.76M,,AOR,
1994-10,25.60M,,25.60M,,,392.60M,,,24.10M,442.30M,,,,,,,,165.30M,-57.50M,107.80M,,,,,,112.60M,554.90M,,88.80M,,,88.80M,,88.80M,,,114.00M,,114.00M,,,58.60M,261.40M,,4.50M,,4.50M,2.60M,,2.60M,,,,,7.10M,268.50M,,,184.00M,,,,,286.40M,,,
