,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,8.200B,8.200B,5.631B,2.568B,1.795B,,,40.30M,,-40.30M,1.795B,773.13M,,40.30M,-40.30M,,-40.30M,732.83M,158.57M,574.26M,,574.26M,574.26M,918.98M,145.85M,773.13M,,2.32,,2.32,2.32,,2.31,,2.31,2.31,,247.13M,249.06M,0.36,,AOR,
2020-07,8.684B,8.684B,5.866B,2.818B,1.776B,,,39.33M,,-39.33M,1.776B,1.043B,,39.33M,-39.33M,,-39.33M,1.003B,215.70M,787.60M,,787.60M,787.60M,1.184B,140.96M,1.043B,,3.15,,3.15,3.15,,3.12,,3.12,3.12,,250.28M,252.19M,0.36,,AOR,
2020-04,8.448B,8.448B,5.853B,2.596B,1.729B,,,30.49M,,-30.49M,1.729B,866.78M,,30.49M,-30.49M,,-30.49M,836.29M,185.84M,650.45M,,650.45M,650.45M,1.004B,137.66M,866.78M,,2.58,,2.58,2.58,,2.56,,2.56,2.56,,251.78M,253.63M,0.36,,AOR,
2020-01,7.158B,7.158B,4.885B,2.273B,1.552B,,,25.57M,,-25.57M,1.552B,720.88M,,25.57M,-25.57M,,-25.57M,695.31M,159.87M,535.44M,,535.44M,535.44M,853.30M,132.43M,720.88M,,2.11,,2.11,2.11,,2.10,,2.10,2.10,,253.36M,255.15M,0.32,,AOR,
2019-10,6.991B,6.991B,4.926B,2.065B,1.574B,,,24.26M,,-24.26M,1.574B,491.42M,,24.26M,-24.26M,,-24.26M,467.15M,101.60M,365.55M,,365.55M,365.55M,617.89M,126.47M,491.42M,,1.43,,1.43,1.43,,1.42,,1.42,1.42,,256.04M,257.70M,0.32,,AOR,Restated
2019-07,6.982B,6.982B,4.833B,2.149B,1.571B,,,24.81M,,-24.81M,1.571B,577.78M,,24.81M,-24.81M,,-24.81M,552.96M,126.41M,426.56M,,426.56M,426.56M,701.20M,123.42M,577.78M,,1.65,,1.65,1.65,,1.65,,1.65,1.65,,257.79M,259.10M,0.32,,AOR,Restated
2019-04,6.623B,6.623B,4.621B,2.002B,1.490B,,,25.93M,,-25.93M,1.490B,512.24M,,25.93M,-25.93M,,-25.93M,486.30M,101.29M,385.01M,,385.01M,385.01M,634.72M,122.48M,512.24M,,1.49,,1.49,1.49,,1.48,,1.48,1.48,,259.02M,260.26M,0.32,,AOR,Restated
2019-01,6.650B,6.650B,4.578B,2.072B,1.433B,,,25.06M,,-25.06M,1.433B,638.50M,,25.06M,-25.06M,0.00,-25.06M,613.44M,130.20M,483.24M,,483.24M,483.24M,756.27M,117.77M,638.50M,,1.85,,1.85,1.85,,1.84,,1.84,1.84,,261.41M,262.54M,0.29,,AOR,Restated
2018-10,6.417B,6.417B,4.522B,1.895B,1.453B,,,24.59M,,-24.59M,1.453B,442.14M,,24.59M,-24.59M,,-24.59M,417.56M,83.42M,334.14M,,334.14M,334.14M,557.00M,114.85M,442.14M,,1.26,,1.26,1.26,,1.26,,1.26,1.26,,264.49M,265.52M,0.29,,AOR,Restated
2018-07,6.443B,6.443B,4.468B,1.975B,1.429B,,,25.45M,,-25.45M,1.429B,545.48M,,25.45M,-25.45M,-1.019M,-25.45M,519.01M,111.77M,407.24M,,407.24M,407.24M,656.63M,112.18M,544.46M,,1.53,,1.53,1.53,,1.52,,1.52,1.52,,266.46M,267.23M,0.29,,AOR,Restated
