,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,,806.52M,,806.52M,759.56M,,759.56M,34.23M,355.27M,161.71M,,551.22M,70.98M,,,2.188B,0.00,805.10M,,2.524B,,86.27M,3.416B,-2.301B,1.115B,12.26B,5.066B,17.32B,26.99M,67.03M,55.20M,18.59B,20.78B,,213.27M,105.08M,318.35M,492.84M,811.20M,,,56.00M,56.00M,565.67M,565.67M,,1.433B,6.926B,,6.926B,943.12M,980.48M,,,113.82M,8.758B,10.19B,,61.82M,5.214B,5.363B,,,,-53.01M,10.59B,,AOR,Restated
2018-01,,827.55M,,827.55M,709.76M,,709.76M,37.75M,359.81M,162.16M,,559.72M,80.72M,,,2.178B,0.00,801.19M,,2.481B,,84.70M,3.367B,-2.252B,1.115B,12.22B,5.182B,17.41B,26.25M,69.85M,57.56M,18.68B,20.85B,,223.11M,48.60M,271.71M,385.31M,657.02M,,,50.00M,50.00M,529.53M,529.53M,,1.237B,7.385B,,7.385B,981.87M,1.021B,,,121.03M,9.269B,10.51B,,61.64M,5.012B,5.318B,,,,-44.36M,10.35B,,AOR,Restated
2017-10,226.16M,1.048B,,1.048B,688.95M,,688.95M,35.44M,376.48M,138.90M,,550.82M,63.73M,,,2.351B,0.00,794.46M,,2.435B,,75.26M,3.304B,-2.197B,1.107B,12.22B,5.319B,17.54B,24.84M,64.89M,56.04M,18.79B,21.14B,,236.63M,86.90M,323.53M,227.50M,551.04M,,300.00M,300.00M,300.00M,473.97M,473.97M,,1.596B,7.551B,,7.551B,1.675B,1.707B,,,75.50M,9.383B,10.98B,,61.44M,4.911B,5.251B,,,,-61.36M,10.16B,,AOR,Restated
2017-07,,908.57M,0.00,908.57M,692.55M,,692.55M,33.00M,349.99M,136.71M,,519.70M,67.83M,,,2.189B,0.00,788.04M,,2.400B,,67.47M,3.256B,-2.157B,1.099B,12.24B,5.441B,17.68B,28.96M,61.71M,54.33M,18.93B,21.11B,,228.13M,22.30M,250.43M,400.99M,651.41M,,,,,449.66M,449.66M,,1.101B,8.199B,,8.199B,1.730B,1.762B,,,130.03M,10.09B,11.19B,,61.28M,4.730B,5.190B,,,,-58.74M,9.923B,,AOR,Restated
2017-04,,5.698B,490.63M,6.188B,630.35M,,630.35M,30.56M,448.30M,169.00M,,647.86M,68.88M,,,7.535B,0.00,784.39M,,2.351B,,66.27M,3.201B,-2.112B,1.089B,12.27B,5.588B,17.86B,28.49M,60.03M,52.01M,19.09B,26.62B,,190.24M,60.56M,250.81M,499.51M,750.32M,,,4.321B,4.321B,377.79M,377.79M,,5.449B,8.572B,,8.572B,2.431B,2.459B,,,175.71M,11.21B,16.66B,,61.17M,4.827B,5.145B,,,,-66.71M,9.967B,,AOR,Restated
2017-01,,4.987B,1.330B,6.317B,472.51M,,472.51M,20.45M,228.52M,116.62M,,365.59M,78.57M,,,7.234B,0.00,565.31M,,2.076B,,59.55M,2.701B,-2.072B,628.92M,1.677B,529.52M,2.207B,22.99M,59.86M,50.94M,2.970B,10.20B,,156.65M,5.346M,162.00M,292.96M,454.96M,,,,,356.67M,356.67M,,811.63M,3.805B,,3.805B,103.24M,128.94M,,,150.97M,4.085B,4.897B,,51.54M,4.873B,457.94M,,,,-76.29M,5.306B,,AOR,Restated
2016-10,67.88M,921.13M,3.135B,4.056B,477.61M,,477.61M,20.26M,232.20M,124.10M,,376.56M,64.91M,,,4.975B,0.00,564.33M,,2.053B,,59.65M,2.677B,-2.041B,636.12M,1.679B,549.37M,2.228B,21.94M,62.16M,46.72M,2.995B,7.970B,,171.44M,4.10M,175.54M,143.85M,319.39M,,,,,351.54M,351.54M,,782.93M,1.732B,,1.732B,109.93M,136.08M,,,153.47M,2.022B,2.805B,,51.36M,4.786B,402.27M,,,,-73.81M,5.166B,,AOR,Restated
2016-07,,1.104B,2.700B,3.803B,452.94M,,452.94M,18.50M,256.01M,117.80M,,392.30M,79.21M,0.00,,4.728B,0.00,561.89M,,2.041B,,60.15M,2.663B,-2.034B,629.09M,1.639B,529.04M,2.168B,27.90M,59.84M,72.26M,2.957B,7.685B,,160.42M,2.396M,162.81M,188.44M,351.25M,,,,,327.44M,327.44M,,678.69M,1.732B,,1.732B,133.41M,159.59M,,,131.68M,2.023B,2.702B,,51.25M,4.619B,362.36M,,,,-49.56M,4.983B,,AOR,Restated
2016-04,,1.120B,2.634B,3.754B,398.98M,,398.98M,18.49M,269.96M,111.01M,,399.46M,75.36M,0.00,,4.628B,0.00,561.02M,,2.016B,,55.88M,2.633B,-2.007B,626.16M,1.639B,548.37M,2.188B,26.07M,60.52M,42.12M,2.942B,7.570B,,165.79M,5.627M,171.42M,195.89M,367.31M,,,,,317.29M,317.29M,,684.60M,1.731B,,1.731B,125.20M,149.81M,,,130.85M,2.012B,2.697B,,51.23M,4.518B,348.39M,,,,-43.72M,4.874B,,AOR,Restated
2016-01,,1.470B,2.319B,3.789B,375.09M,,375.09M,21.18M,260.41M,123.26M,,404.85M,74.73M,0.00,,4.644B,0.00,561.35M,,1.997B,,55.21M,2.613B,-1.980B,633.36M,1.631B,564.84M,2.196B,22.99M,60.25M,41.27M,2.954B,7.598B,,138.30M,8.122M,146.42M,149.41M,295.83M,,,,,298.27M,298.27M,,594.10M,1.731B,,1.731B,128.57M,151.90M,,,126.26M,2.009B,2.603B,,51.67M,4.477B,525.84M,,,,-59.81M,4.995B,,AOR,Restated
