,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-04,,1.008B,1.378B,2.387B,332.16M,,332.16M,14.94M,164.96M,67.76M,,247.66M,38.47M,71.65M,,3.078B,0.00,396.65M,,1.576B,,67.70M,2.040B,-1.587B,453.34M,255.54M,2.58M,258.12M,1.64M,87.33M,49.36M,849.79M,3.928B,,104.18M,84.79M,188.97M,167.46M,356.43M,,,,,206.65M,208.29M,,564.72M,383.31M,,383.31M,34.08M,41.49M,,,48.33M,473.13M,1.038B,,49.66M,2.604B,251.68M,,,,-14.72M,2.890B,,AOR,Restated
2010-01,,914.27M,1.265B,2.179B,313.29M,,313.29M,12.41M,167.80M,63.06M,,243.28M,29.95M,74.04M,,2.841B,0.00,395.05M,,1.579B,,66.82M,2.041B,-1.576B,464.46M,253.51M,4.465M,257.98M,1.459M,83.84M,49.48M,857.22M,3.698B,,113.75M,21.29M,135.04M,137.92M,272.96M,,,,,177.03M,178.47M,,451.43M,381.42M,,381.42M,45.91M,53.11M,,,48.05M,482.59M,934.02M,,49.62M,2.496B,233.30M,,,,-14.80M,2.764B,,AOR,Restated
2009-10,,639.73M,1.176B,1.816B,301.04M,,301.04M,,,,,,40.36M,78.74M,253.16M,2.491B,0.00,395.15M,,1.568B,,66.85M,2.030B,-1.554B,476.52M,250.88M,6.855M,257.74M,1.485M,45.34M,97.70M,878.77M,3.369B,,107.33M,6.445M,113.78M,122.19M,235.97M,,,,,149.28M,150.64M,,386.61M,379.63M,,379.63M,1.345M,7.922M,,,66.10M,453.64M,840.26M,,48.64M,2.434B,56.31M,,,,-10.25M,2.529B,,AOR,Restated
2009-07,,632.72M,1.092B,1.724B,244.02M,,244.02M,14.25M,192.29M,69.53M,,276.07M,37.13M,76.68M,,2.360B,0.00,394.20M,,1.561B,,66.45M,2.022B,-1.530B,491.56M,247.35M,8.816M,256.16M,1.677M,78.33M,92.79M,920.52M,3.280B,,94.79M,13.95M,108.74M,118.83M,227.57M,,,,,123.88M,125.16M,1.20M,353.93M,374.93M,,374.93M,20.83M,27.90M,,,65.03M,467.86M,821.79M,,48.59M,2.427B,0.00,,,,-16.81M,2.458B,,AOR,Restated
2009-04,,676.88M,608.60M,1.285B,228.52M,,228.52M,16.56M,208.94M,79.34M,,304.83M,39.34M,82.92M,,1.942B,0.00,384.57M,,1.578B,,66.07M,2.028B,-1.512B,515.94M,241.71M,10.10M,251.80M,1.149M,75.69M,88.55M,933.13M,2.875B,,85.56M,10.93M,96.50M,137.33M,233.83M,,,,,124.79M,125.91M,5.305M,365.05M,,,,21.44M,28.99M,,,61.05M,90.04M,455.09M,,48.54M,2.402B,0.00,,,,-30.17M,2.420B,,AOR,Restated
2009-01,,769.71M,513.42M,1.283B,235.35M,,235.35M,15.49M,213.65M,91.82M,,320.97M,34.72M,91.68M,,1.974B,0.00,382.82M,,1.586B,,66.50M,2.036B,-1.499B,537.20M,233.45M,11.26M,244.71M,0.761M,72.53M,89.65M,944.85M,2.919B,,82.60M,37.62M,120.22M,153.72M,273.94M,,,,,151.15M,159.64M,6.676M,440.25M,,,,11.13M,18.07M,,,58.80M,76.87M,517.12M,,48.54M,2.398B,0.00,,,,-44.25M,2.402B,,AOR,Restated
2008-10,,593.60M,716.09M,1.310B,315.29M,,315.29M,15.35M,200.44M,98.84M,,314.63M,40.46M,102.68M,6.836M,2.090B,0.00,378.19M,65.25M,1.576B,,,2.019B,-1.452B,567.44M,235.18M,12.30M,247.48M,,65.95M,120.55M,1.001B,3.091B,,130.45M,,130.45M,191.31M,321.76M,,,,,175.36M,175.36M,71.94M,569.06M,,,,14.31M,14.31M,,,87.36M,101.67M,670.73M,,48.53M,2.420B,,,-22.32M,-25.86M,-48.18M,2.420B,,,
2008-07,,418.46M,859.19M,1.278B,326.46M,,326.46M,13.22M,207.36M,89.28M,,309.87M,38.88M,90.09M,13.57M,2.057B,0.00,378.18M,65.38M,1.539B,,,1.982B,-1.424B,558.31M,260.15M,17.37M,277.52M,,61.99M,137.80M,1.036B,3.092B,,126.24M,,126.24M,157.87M,284.11M,,,,,174.07M,174.07M,155.13M,613.31M,,,,12.93M,12.93M,,,75.52M,88.45M,701.77M,,48.41M,2.320B,,,10.08M,11.40M,21.49M,2.390B,,,
2008-04,,414.36M,770.82M,1.185B,332.29M,,332.29M,13.34M,219.16M,86.92M,,319.42M,53.11M,86.06M,12.31M,1.988B,0.00,377.55M,65.35M,1.528B,,,1.971B,-1.415B,555.43M,258.70M,18.52M,277.22M,,54.57M,140.60M,1.028B,3.016B,,100.51M,,100.51M,171.63M,272.14M,,,,,174.35M,174.35M,176.47M,622.96M,,,,13.00M,13.00M,,,76.35M,89.35M,712.30M,,48.35M,2.228B,,,12.88M,14.22M,27.10M,2.304B,,,
2008-01,,633.09M,638.68M,1.272B,340.08M,,340.08M,15.87M,226.70M,87.62M,,330.20M,53.81M,79.53M,24.03M,2.099B,0.00,376.70M,65.02M,1.524B,,,1.965B,-1.404B,561.30M,262.32M,21.29M,283.60M,,52.69M,137.95M,1.036B,3.135B,,119.44M,,119.44M,185.85M,305.29M,,,,,160.37M,160.37M,245.77M,711.42M,,,,10.90M,10.90M,,,73.36M,84.26M,795.69M,,48.99M,2.259B,,,16.46M,14.99M,31.45M,2.339B,,,
2007-10,,424.97M,656.24M,1.081B,323.78M,,323.78M,14.66M,224.21M,85.51M,,324.37M,50.13M,110.68M,88.69M,1.979B,0.00,372.16M,62.88M,1.490B,,,1.925B,-1.369B,556.08M,279.47M,24.15M,303.62M,,52.49M,79.90M,992.09M,2.971B,,156.19M,,156.19M,149.36M,305.55M,,,,,151.42M,151.42M,91.08M,548.05M,,,,10.15M,10.15M,,,75.61M,85.76M,633.81M,,50.56M,2.253B,,,20.05M,13.04M,33.09M,2.337B,,,
2007-07,,393.90M,889.69M,1.284B,350.87M,,350.87M,17.52M,256.50M,97.76M,,371.77M,54.33M,110.67M,1.181M,2.172B,0.00,366.35M,61.99M,1.495B,,,1.924B,-1.359B,564.96M,276.97M,33.89M,310.86M,,54.56M,63.57M,993.95M,3.166B,,138.99M,,138.99M,141.13M,280.12M,,,,,149.28M,149.28M,130.46M,559.86M,,,,7.397M,7.397M,,,62.51M,69.91M,629.76M,,51.86M,2.472B,,,15.24M,-2.126M,13.11M,2.537B,,,
2007-04,,358.59M,1.436B,1.795B,332.12M,,332.12M,19.44M,260.24M,102.49M,,382.18M,73.17M,106.41M,1.178M,2.690B,0.00,358.00M,61.02M,1.479B,,,1.898B,-1.329B,569.32M,273.28M,36.95M,310.23M,,54.82M,62.59M,996.96M,3.687B,,138.69M,,138.69M,147.47M,286.16M,,,,,154.32M,154.32M,107.64M,548.12M,,,,13.55M,13.55M,,,60.69M,74.24M,622.36M,,54.52M,2.998B,,,14.47M,-2.232M,12.24M,3.064B,,,
2007-01,,398.55M,1.555B,1.954B,344.78M,,344.78M,18.89M,263.30M,103.58M,,385.77M,74.31M,77.40M,1.11M,2.837B,0.00,355.78M,109.50M,1.484B,,,1.949B,-1.384B,564.97M,263.12M,39.74M,302.86M,,58.25M,60.54M,986.63M,3.824B,,125.62M,,125.62M,133.61M,259.23M,,,,,160.42M,160.42M,68.85M,488.50M,,,,15.84M,15.84M,,,58.27M,74.10M,562.61M,,55.62M,3.200B,,,11.26M,-6.073M,5.191M,3.261B,,,
2006-10,,343.95M,1.784B,2.128B,305.76M,,305.76M,16.43M,255.23M,91.28M,,362.94M,82.77M,91.04M,40.45M,3.011B,0.00,353.91M,107.52M,1.425B,,,1.886B,-1.331B,554.94M,256.21M,31.44M,287.65M,,54.73M,78.22M,975.55M,3.987B,,122.93M,,122.93M,145.91M,268.84M,,,,,146.72M,146.72M,75.38M,490.94M,,,,3.414M,3.414M,,0.217M,56.48M,59.90M,550.84M,,57.00M,3.379B,,,9.414M,-9.621M,-0.207M,3.436B,,,
2006-07,,523.12M,1.993B,2.516B,359.77M,,359.77M,16.12M,264.84M,96.48M,,377.43M,94.62M,83.98M,1.063M,3.433B,0.00,350.53M,108.62M,1.460B,,,1.919B,-1.361B,558.05M,165.44M,15.50M,180.93M,,69.23M,51.10M,859.32M,4.292B,,166.31M,,166.31M,152.43M,318.74M,,,,,165.85M,165.85M,100.57M,585.16M,,,,3.659M,3.659M,,,55.99M,59.65M,644.81M,,58.81M,3.535B,60.24M,,,,-6.295M,3.647B,,,
2006-04,,402.49M,2.290B,2.693B,357.88M,,357.88M,14.90M,262.94M,81.58M,,359.42M,64.48M,81.86M,1.042M,3.557B,0.00,347.37M,108.84M,1.430B,,,1.886B,-1.325B,561.54M,163.37M,3.422M,166.80M,,65.76M,51.78M,845.87M,4.403B,,144.78M,,144.78M,176.99M,321.77M,,,,,152.86M,152.86M,221.05M,695.68M,,,,8.303M,8.303M,,,56.43M,64.73M,760.42M,,60.19M,3.448B,144.04M,,,,-8.821M,3.643B,,,
2006-01,,427.86M,2.307B,2.735B,317.73M,,317.73M,12.57M,255.42M,69.85M,,337.84M,64.53M,82.61M,4.158M,3.542B,0.00,345.72M,108.24M,1.413B,,,1.867B,-1.290B,576.80M,,167.19M,167.19M,,36.54M,51.67M,832.20M,4.374B,,128.99M,,128.99M,155.88M,284.87M,,,,,132.33M,132.33M,186.98M,604.18M,,,,5.793M,5.793M,,,54.57M,60.37M,664.55M,,61.02M,3.346B,317.56M,,,,-14.84M,3.710B,,,
2005-10,,627.59M,2.078B,2.706B,320.52M,,320.52M,12.41M,240.06M,73.13M,,325.60M,59.58M,86.43M,234.38M,3.732B,0.00,345.10M,108.34M,1.407B,,,1.861B,-1.261B,599.91M,163.37M,4.203M,167.58M,,13.33M,69.94M,850.76M,4.583B,,128.32M,,128.32M,162.15M,290.47M,,,,,121.80M,121.80M,406.65M,818.92M,,,,1.735M,1.735M,,,71.05M,72.79M,891.71M,,61.14M,3.269B,380.21M,,,,-19.26M,3.692B,,,
2005-07,,248.05M,2.536B,2.784B,296.08M,,296.08M,13.02M,242.75M,87.92M,,343.69M,62.70M,108.00M,,3.594B,0.00,335.53M,107.93M,1.400B,,,1.844B,-1.227B,617.04M,,167.40M,167.40M,,,312.70M,1.097B,4.692B,,113.75M,,113.75M,107.86M,221.61M,,,,,127.07M,127.07M,193.65M,542.33M,,,,10.00M,10.00M,,,304.45M,314.45M,856.79M,,62.07M,3.238B,551.85M,,,,-17.40M,3.835B,,,
2005-04,,314.37M,2.303B,2.617B,320.37M,,320.37M,13.79M,237.84M,96.81M,,348.45M,53.61M,107.00M,,3.447B,0.00,357.44M,108.75M,1.375B,,,1.841B,-1.205B,636.25M,,168.06M,168.06M,,,334.28M,1.139B,4.585B,,105.74M,,105.74M,129.25M,234.98M,,,,,128.96M,128.96M,172.42M,536.37M,,,,8.00M,8.00M,,,325.04M,333.04M,869.40M,,61.67M,3.154B,507.11M,,,,-6.748M,3.716B,,,
2005-01,,409.34M,2.189B,2.598B,324.03M,,324.03M,14.16M,244.51M,94.63M,,353.29M,56.80M,108.00M,,3.440B,0.00,315.67M,107.82M,1.404B,,,1.827B,-1.174B,653.61M,,168.72M,168.72M,,,349.31M,1.172B,4.612B,,94.97M,,94.97M,108.03M,203.00M,,,,,152.11M,152.11M,178.02M,533.13M,,,,4.00M,4.00M,,,340.58M,344.58M,877.70M,,62.09M,3.058B,614.72M,,,,-0.868M,3.734B,,,
2004-10,,518.94M,2.166B,2.685B,330.18M,,330.18M,11.28M,226.11M,111.02M,,348.41M,56.65M,70.34M,5.388M,3.496B,0.00,301.44M,106.83M,1.407B,,,1.815B,-1.148B,667.78M,,169.38M,169.38M,,41.24M,348.92M,1.227B,4.723B,,126.84M,,126.84M,127.88M,254.73M,,,,,157.95M,157.95M,162.90M,575.58M,,,,10.72M,10.72M,,,337.40M,348.12M,923.70M,,62.64M,2.974B,759.55M,,,,3.749M,3.800B,,,
2004-07,,383.32M,2.305B,2.689B,354.90M,,354.90M,9.433M,223.00M,93.87M,,326.30M,53.83M,115.00M,,3.539B,0.00,295.21M,118.23M,1.405B,,,1.818B,-1.151B,667.03M,,170.04M,170.04M,,,336.64M,1.174B,4.712B,,135.99M,,135.99M,106.87M,242.85M,,,,,166.36M,166.36M,172.70M,581.91M,,,,18.00M,18.00M,,,331.95M,349.95M,931.86M,,63.06M,2.864B,859.21M,,,,-5.821M,3.780B,,,
2004-04,,712.26M,1.829B,2.542B,328.32M,,328.32M,9.08M,212.73M,86.72M,,308.54M,41.82M,130.00M,,3.350B,0.00,292.93M,117.64M,1.384B,,,1.795B,-1.128B,666.83M,,170.70M,170.70M,,,330.54M,1.168B,4.518B,,149.75M,,149.75M,120.61M,270.36M,,,,,150.43M,150.43M,159.07M,579.87M,,,,16.00M,16.00M,,,323.56M,339.56M,919.42M,,63.31M,2.717B,909.48M,91.46M,,,0.096M,3.599B,,,
2004-01,,1.011B,1.296B,2.307B,315.90M,,315.90M,7.982M,213.19M,71.46M,,292.63M,40.13M,135.00M,,3.090B,0.00,292.90M,117.18M,1.368B,,,1.778B,-1.118B,660.89M,,171.36M,171.36M,,,379.80M,1.212B,4.302B,,116.78M,,116.78M,100.84M,217.62M,,,,,138.27M,138.27M,154.60M,510.49M,,,,15.00M,15.00M,,,338.76M,353.76M,864.25M,,62.97M,2.580B,879.12M,92.07M,,,8.101M,3.438B,,,
2003-10,,517.87M,1.599B,2.117B,294.78M,,294.78M,7.864M,217.96M,61.68M,,287.50M,42.44M,144.25M,,2.886B,0.00,294.35M,118.05M,1.369B,,,1.782B,-1.111B,671.14M,,172.02M,172.02M,,,364.00M,1.207B,4.093B,,99.34M,,99.34M,112.99M,212.32M,,,,,121.34M,121.34M,129.81M,463.48M,,,,16.56M,16.56M,,,324.76M,341.33M,804.80M,,61.71M,2.478B,745.50M,,,,2.966M,3.288B,,,
2003-07,,1.313B,1.917B,3.229B,259.13M,,259.13M,10.05M,222.76M,64.13M,,296.94M,44.55M,154.00M,,3.984B,0.00,294.50M,127.23M,1.465B,,,1.887B,-1.189B,697.84M,,172.67M,172.67M,,,393.56M,1.264B,5.248B,,106.05M,,106.05M,115.50M,221.55M,,,0.618M,0.618M,112.61M,112.61M,151.28M,486.05M,1.263B,,1.263B,18.00M,18.00M,,,316.89M,1.598B,2.084B,,61.89M,2.390B,802.66M,91.38M,,,0.63M,3.164B,,,
2003-04,,1.138B,1.963B,3.101B,242.77M,,242.77M,12.65M,215.41M,65.42M,,293.49M,40.15M,154.00M,,3.832B,0.00,294.29M,127.04M,1.480B,,,1.902B,-1.175B,726.53M,,173.33M,173.33M,,,403.56M,1.303B,5.135B,,93.70M,,93.70M,140.54M,234.24M,,,1.486M,1.486M,108.98M,108.98M,131.76M,476.47M,1.279B,,1.279B,18.00M,18.00M,,,305.69M,1.603B,2.079B,,61.63M,2.311B,781.78M,100.72M,,,2.274M,3.056B,,,
2003-01,,1.552B,1.447B,3.000B,231.42M,,231.42M,14.94M,223.67M,55.87M,,294.48M,40.55M,144.88M,,3.711B,0.00,294.25M,130.70M,1.480B,,,1.905B,-1.150B,754.57M,,173.98M,173.98M,,,392.68M,1.321B,5.032B,,80.39M,,80.39M,138.91M,219.30M,,,2.561M,2.561M,106.69M,106.69M,138.75M,467.30M,1.276B,,1.276B,20.00M,20.00M,,,296.42M,1.592B,2.059B,,61.45M,2.240B,771.25M,101.08M,,,1.834M,2.973B,,,
2002-10,,1.614B,1.284B,2.898B,228.34M,,228.34M,14.60M,225.68M,66.11M,,306.39M,38.92M,152.55M,,3.624B,0.00,294.04M,131.11M,1.480B,,,1.905B,-1.125B,780.90M,,174.64M,174.64M,,,400.42M,1.356B,4.980B,,91.27M,,91.27M,151.88M,243.15M,,,3.745M,3.745M,110.27M,110.27M,126.47M,483.64M,1.274B,,1.274B,22.61M,22.61M,,,299.44M,1.597B,2.080B,,61.28M,2.180B,762.47M,101.45M,,,-1.908M,2.900B,,,
2002-07,,1.186B,1.768B,2.954B,223.31M,,223.31M,15.28M,200.93M,67.83M,,284.04M,37.49M,155.00M,,3.654B,0.00,294.07M,130.28M,1.480B,,,1.904B,-1.090B,814.33M,,188.85M,188.85M,,,366.82M,1.370B,5.024B,,113.60M,,113.60M,156.47M,270.08M,,,4.355M,4.355M,112.43M,112.43M,113.82M,500.68M,1.232B,,1.232B,40.00M,40.00M,,,290.37M,1.562B,2.063B,,61.10M,2.145B,753.83M,2.852M,,,3.775M,2.961B,,,
2002-04,,1.394B,1.515B,2.909B,221.52M,,221.52M,15.08M,188.06M,50.02M,,253.15M,32.60M,150.00M,,3.566B,0.00,293.05M,130.62M,1.533B,,,1.957B,-1.111B,845.68M,,203.46M,203.46M,,,337.39M,1.387B,4.953B,,82.83M,,82.83M,176.54M,259.38M,,,4.814M,4.814M,,,259.47M,523.66M,1.194B,,1.194B,40.00M,40.00M,,,286.37M,1.520B,2.044B,,60.95M,2.113B,736.16M,3.321M,,,1.723M,2.909B,,,
2002-01,,1.500B,1.394B,2.895B,197.60M,,197.60M,16.62M,171.12M,53.37M,,241.11M,34.00M,130.00M,,3.497B,0.00,294.25M,130.52M,1.534B,,,1.959B,-1.082B,876.84M,,217.82M,217.82M,,,323.41M,1.418B,4.915B,,97.59M,,97.59M,168.18M,265.77M,,,4.601M,4.601M,,,239.95M,510.32M,1.201B,,1.201B,50.00M,50.00M,,,270.76M,1.522B,2.032B,,60.83M,2.099B,728.76M,3.116M,,,-2.424M,2.883B,,,
2001-10,,1.365B,1.428B,2.793B,218.15M,,218.15M,18.22M,159.46M,69.17M,,246.85M,37.27M,139.42M,,3.435B,0.00,294.60M,130.53M,1.540B,,,1.966B,-1.058B,907.94M,,229.33M,229.33M,,,312.67M,1.450B,4.885B,,79.78M,,79.78M,177.88M,257.66M,,,6.432M,6.432M,142.01M,142.01M,121.84M,527.95M,1.206B,,1.206B,51.34M,51.34M,,,256.51M,1.514B,2.042B,,60.56M,2.074B,713.43M,5.077M,,,-0.204M,2.843B,,,
2001-07,,1.550B,1.121B,2.672B,270.40M,,270.40M,21.62M,179.36M,77.50M,,278.48M,33.26M,105.00M,,3.359B,0.00,288.96M,131.67M,1.546B,,,1.967B,-1.024B,942.57M,,242.18M,242.18M,,,285.56M,1.470B,4.829B,,102.68M,,102.68M,186.31M,289.00M,,,6.999M,6.999M,151.59M,151.59M,167.37M,614.96M,1.20B,7.494M,1.207B,55.08M,55.08M,,,243.79M,1.506B,2.121B,,60.24M,2.050B,600.10M,5.00M,,,2.177M,2.708B,,,
2001-04,,1.217B,1.292B,2.510B,343.85M,,343.85M,22.23M,191.45M,105.15M,,318.83M,38.24M,113.00M,,3.323B,0.00,408.44M,,1.522B,,,1.931B,-992.47M,938.21M,,256.27M,256.27M,,,279.56M,1.474B,4.798B,,129.76M,,129.76M,191.98M,321.74M,,,7.183M,7.183M,,,328.09M,657.01M,1.200B,8.905M,1.209B,52.42M,52.42M,,,229.50M,1.491B,2.148B,,60.12M,2.011B,598.94M,24.73M,,,4.10M,2.649B,,,
2001-01,,1.192B,1.158B,2.350B,421.22M,,421.22M,22.59M,197.99M,136.49M,,357.08M,29.38M,,113.00M,3.271B,0.00,262.08M,,1.455B,128.06M,,1.845B,-964.44M,880.43M,,269.16M,269.16M,,,268.66M,1.418B,4.689B,,171.35M,,171.35M,179.76M,351.10M,,,9.172M,9.172M,,,302.99M,663.26M,1.201B,10.21M,1.211B,52.42M,52.42M,,,223.02M,1.486B,2.150B,,60.05M,1.908B,594.44M,25.58M,,,2.43M,2.540B,,,
2000-10,,1.736B,498.84M,2.235B,463.91M,,463.91M,17.50M,179.92M,134.67M,,332.09M,27.75M,108.99M,,3.168B,0.00,238.55M,120.71M,1.348B,,,1.707B,-927.54M,779.23M,,192.70M,192.70M,,,271.40M,1.243B,4.411B,,213.20M,,213.20M,194.02M,407.21M,,,15.69M,15.69M,,,226.99M,649.90M,1.213B,,1.213B,51.20M,51.20M,,,193.62M,1.458B,2.108B,,59.66M,1.718B,526.82M,3.617M,,,2.841M,2.304B,,,
2000-07,,619.08M,439.32M,1.058B,420.44M,,420.44M,16.10M,172.68M,125.12M,,313.90M,25.63M,,115.00M,1.933B,0.00,201.49M,,1.279B,115.94M,,1.596B,-892.48M,703.88M,,36.65M,36.65M,,,277.39M,1.018B,2.951B,,162.74M,,162.74M,138.25M,301.00M,,,20.72M,20.72M,,,295.94M,617.65M,,11.17M,11.17M,49.00M,49.00M,,,214.73M,274.90M,892.54M,,59.55M,1.518B,479.53M,2.168M,,,3.765M,2.059B,,,
2000-04,,514.89M,416.56M,931.45M,351.54M,,351.54M,13.10M,150.00M,117.29M,,280.40M,11.24M,,98.00M,1.673B,0.00,179.07M,,1.232B,113.81M,,1.525B,-860.59M,664.76M,,34.96M,34.96M,,,296.68M,996.40M,2.669B,,139.90M,,139.90M,152.01M,291.91M,,,13.46M,13.46M,,,248.52M,553.88M,,12.66M,12.66M,55.00M,55.00M,,,180.35M,248.00M,801.88M,,59.18M,1.326B,457.89M,1.503M,,,25.70M,1.867B,,,
2000-01,,409.50M,485.70M,895.20M,302.00M,,302.00M,13.20M,157.70M,79.40M,-0.10M,250.20M,12.30M,,99.30M,1.559B,0.00,172.00M,,1.193B,110.90M,,1.476B,-826.80M,648.80M,,35.30M,35.30M,,,246.20M,930.30M,2.489B,,125.00M,,125.00M,121.90M,246.90M,,,98.90M,98.90M,,,219.80M,565.60M,,13.20M,13.20M,62.60M,62.60M,,,101.60M,177.40M,743.00M,,29.90M,1.204B,538.30M,64.10M,,,38.50M,1.746B,,,
1999-10,,355.90M,406.60M,762.50M,267.10M,,267.10M,,,,,248.90M,,,100.60M,1.379B,,,,,,,1.438B,-795.30M,642.80M,,30.60M,30.60M,,,165.90M,839.30M,2.218B,,103.40M,,103.40M,,103.40M,,,97.10M,97.10M,,,278.80M,479.30M,16.20M,,16.20M,40.00M,40.00M,,,66.90M,123.10M,602.40M,,29.70M,1.111B,523.10M,59.80M,,,12.20M,1.616B,,,
1999-07,,405.60M,231.50M,637.10M,251.70M,,251.70M,13.90M,155.10M,86.60M,,255.60M,9.80M,,95.00M,1.249B,0.00,162.80M,,1.140B,106.70M,,1.410B,-763.40M,646.30M,,29.60M,29.60M,,,151.10M,827.00M,2.076B,,88.10M,,88.10M,87.10M,175.20M,,,17.20M,17.20M,,,165.40M,357.80M,80.00M,19.80M,99.80M,38.00M,38.00M,,,61.50M,199.30M,557.10M,,29.60M,1.038B,501.60M,57.60M,7.40M,,7.40M,1.519B,,,
1999-04,,401.30M,117.80M,519.10M,225.10M,,225.10M,22.20M,147.20M,90.00M,,259.40M,13.70M,,95.00M,1.112B,0.00,161.10M,,1.124B,104.80M,,1.390B,-729.70M,660.60M,,30.70M,30.70M,,,135.30M,826.60M,1.939B,,68.80M,,68.80M,79.00M,147.80M,,,14.60M,14.60M,,,149.50M,311.90M,80.00M,23.50M,103.50M,34.00M,34.00M,,,47.20M,184.70M,496.60M,,29.40M,983.40M,489.90M,67.80M,7.40M,,7.40M,1.442B,,,
1999-01,,332.40M,129.70M,462.10M,213.70M,,213.70M,25.00M,148.90M,96.50M,-0.10M,270.30M,14.60M,,98.10M,1.059B,0.00,159.60M,,1.114B,104.10M,,1.378B,-696.50M,681.30M,,15.10M,15.10M,,,139.40M,835.80M,1.895B,,58.00M,,58.00M,79.40M,137.40M,,,16.70M,16.70M,,,159.20M,313.30M,309.90M,27.20M,337.10M,33.00M,33.00M,,,45.00M,415.10M,728.40M,,27.40M,944.30M,254.80M,67.70M,7.40M,,7.40M,1.166B,,,
1998-10,,263.30M,,263.30M,207.40M,,207.40M,,,,,275.10M,,,157.70M,903.50M,,,,,,,1.367B,-664.00M,703.40M,,15.80M,15.80M,,,239.00M,958.20M,1.862B,,59.10M,,59.10M,,59.10M,,,14.50M,14.50M,,,247.30M,320.90M,340.80M,,340.80M,31.80M,31.80M,,,39.80M,412.40M,733.30M,,,914.00M,,,,,,1.128B,,,
1998-07,,261.70M,38.80M,300.50M,211.60M,,211.60M,27.70M,135.10M,109.60M,,272.40M,18.20M,,66.90M,869.60M,0.00,158.70M,,1.100B,100.30M,,1.359B,-644.90M,714.00M,,16.50M,16.50M,,,241.80M,972.30M,1.842B,,64.40M,,64.40M,80.80M,145.20M,,,14.00M,14.00M,,,110.20M,269.40M,310.00M,29.80M,339.80M,24.50M,24.50M,,,38.50M,402.80M,672.20M,,27.30M,933.10M,232.40M,30.10M,6.90M,,6.90M,1.170B,,,
1998-04,,286.10M,33.80M,319.90M,243.00M,,243.00M,27.60M,141.90M,97.60M,-0.10M,267.00M,18.50M,,63.50M,911.90M,0.00,158.60M,,1.086B,96.00M,,1.340B,-619.10M,721.00M,,17.20M,17.20M,,,249.40M,987.60M,1.900B,,95.80M,,95.80M,84.30M,180.10M,,,12.30M,12.30M,,,112.10M,304.50M,310.00M,32.90M,342.90M,24.00M,24.00M,,,36.60M,403.50M,708.00M,,27.30M,924.30M,233.30M,0.60M,7.20M,,7.20M,1.192B,,,
1998-01,,217.20M,76.50M,293.70M,245.70M,,245.70M,29.10M,128.60M,83.80M,,241.50M,19.60M,,60.10M,860.60M,0.00,158.30M,,1.040B,92.60M,,1.290B,-595.90M,694.50M,,17.90M,17.90M,,,247.10M,959.50M,1.820B,,95.40M,,95.40M,70.60M,166.00M,,,13.30M,13.30M,,,104.90M,284.20M,310.00M,35.90M,345.90M,24.00M,24.00M,,,32.20M,402.10M,686.30M,,27.10M,875.90M,224.80M,0.20M,6.20M,,6.20M,1.134B,,,
1997-10,,289.60M,51.00M,340.60M,255.90M,,255.90M,31.50M,128.20M,66.30M,,226.00M,18.20M,,54.70M,895.40M,0.00,146.00M,,997.30M,87.30M,,1.231B,-569.00M,661.60M,,14.80M,14.80M,,,192.10M,868.50M,1.764B,,97.70M,,97.70M,75.40M,173.10M,,,11.70M,11.70M,,,89.60M,274.40M,310.00M,38.90M,348.90M,20.70M,20.70M,,,31.80M,401.40M,675.80M,,27.00M,831.60M,223.90M,1.10M,6.70M,,6.70M,1.088B,,,
