,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.369B,1.369B,231.89M,1.137B,625.40M,116.82M,742.22M,186.83M,12.79M,216.87M,,,,941.83M,194.95M,,,,264.89M,,459.84M,103.16M,356.68M,,356.68M,175.05M,194.95M,,2020-09,1.17,,0.6196,1.17,,2020-09,,,0.6143,2020-09,305.76M,308.37M,0.18,,2020-09,AOR,
2020-06,1.330B,1.330B,211.96M,1.118B,645.09M,134.33M,779.42M,178.96M,13.11M,,,,,971.49M,146.90M,,,,24.63M,,171.53M,36.78M,134.75M,,134.75M,171.30M,146.90M,,2020-06,0.44,,0.44,0.44,,2020-06,,,0.44,2020-06,304.78M,306.72M,0.18,,2020-06,AOR,
2020-03,1.412B,1.412B,254.42M,1.157B,636.65M,139.85M,776.50M,185.32M,17.13M,,,,,978.95M,178.38M,,,,5.595M,,183.97M,36.81M,147.16M,,147.16M,172.65M,178.38M,,2020-03,0.48,,0.48,0.48,,2020-03,,,0.47,2020-03,309.66M,312.24M,0.18,,2020-03,AOR,
2019-12,1.442B,1.442B,277.39M,1.165B,648.51M,122.29M,770.80M,188.20M,23.01M,,,,,982.02M,182.83M,,,,-14.89M,,191.70M,37.37M,154.33M,,154.33M,178.41M,251.14M,,2019-12,0.49,,0.49,0.49,,2019-12,,,0.49,2019-12,312.07M,314.86M,0.18,,2019-12,AOR,
2019-09,1.429B,1.429B,271.78M,1.158B,707.74M,152.32M,860.06M,187.53M,21.28M,0.00,,,,1.069B,88.78M,,,,13.54M,,102.31M,20.38M,81.94M,,81.94M,173.07M,88.78M,,2019-09,0.26,,0.26,0.26,,2019-09,,,0.26,2019-09,315.88M,319.11M,0.18,,2019-09,AOR,Restated
2019-06,1.431B,1.431B,268.67M,1.162B,678.90M,149.79M,828.68M,181.05M,21.54M,,,,,1.031B,131.12M,,,,23.01M,,154.12M,27.15M,126.97M,,126.97M,169.82M,131.12M,,2019-06,0.40,,0.40,0.40,,2019-06,,,0.39,2019-06,321.28M,324.66M,0.18,,2019-06,AOR,Restated
2019-03,1.390B,1.390B,253.20M,1.137B,640.19M,96.20M,736.38M,180.36M,21.98M,,,,,938.73M,197.94M,,,,8.432M,,206.38M,40.16M,166.22M,,166.22M,166.67M,197.94M,,2019-03,0.51,,0.51,0.51,,2019-03,,,0.51,2019-03,324.57M,327.00M,,,2019-03,AOR,Restated
2018-12,1.366B,1.366B,236.96M,1.129B,662.70M,98.92M,761.62M,181.47M,21.49M,,,,,964.58M,164.13M,,,,-18.56M,,171.79M,40.47M,131.32M,,131.32M,168.84M,198.18M,,2018-12,0.40,,0.40,0.40,,2018-12,,,0.40,2018-12,327.97M,330.81M,,,2018-12,AOR,Restated
2018-09,1.340B,1.340B,230.33M,1.110B,605.95M,102.79M,708.74M,172.30M,21.55M,,,,,902.58M,207.16M,,,,6.943M,,214.10M,44.72M,169.38M,,169.38M,161.10M,207.16M,,2018-09,0.51,,0.51,0.51,,2018-09,,,0.51,2018-09,329.34M,332.94M,,,2018-09,AOR,Restated
2018-06,1.368B,1.368B,238.78M,1.129B,635.10M,95.46M,730.57M,168.28M,21.81M,,,,,920.66M,208.29M,,,,6.597M,,214.88M,45.53M,169.36M,,169.36M,160.05M,208.29M,,2018-06,0.51,,0.51,0.51,,2018-06,,,0.51,2018-06,330.21M,333.56M,,,2018-06,AOR,Restated
